kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,reform_2017_20,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst,d_ap_forrige,d_sp_forrige,d_h_forrige,h_resid_forrige,par
1122,Gjesdal,1999-2003,1999,2003,Rogaland,Vestlandet,3,792,False,0,3686.0,26.7,19.91,-6.79,15.19,23.87,8.68,20.27,11.52,-8.75,22.68,26.77,4.09,11.04,10.41,-0.63,0.0,6.98,6.98,4.12,0.0,-4.12,0.0,0.0,0.0,0.0,0.53,0.53,0.0,0.0,0.0,8747.0,9.0765,4.4587,16.3208,3.48,-8.92,5.16,1.1663783999377233,1995-1999→1999-2003
1124,Sola,1999-2003,1999,2003,Rogaland,Vestlandet,2,878,False,0,7970.0,14.91,13.4,-1.51,21.08,26.9,5.82,28.82,26.36,-2.46,15.23,10.79,-4.44,6.66,5.68,-0.98,0.0,8.24,8.24,5.07,3.22,-1.85,0.0,0.0,0.0,0.0,0.0,0.0,8.23,5.4,-2.83,18706.0,9.8366,4.4478,16.2008,-1.1,-6.76,6.69,4.404333030695346,1995-1999→1999-2003
1127,Randaberg,1999-2003,1999,2003,Rogaland,Vestlandet,3,867,False,0,4058.0,23.11,37.02,13.91,16.78,17.93,1.15,17.27,11.86,-5.41,18.58,14.75,-3.83,15.03,7.5,-7.53,0.0,6.0,6.0,9.22,4.94,-4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8741.0,9.0758,2.9402,13.1113,1.14,-3.84,-3.09,-5.556039867582161,1995-1999→1999-2003
1130,Strand,1999-2003,1999,2003,Rogaland,Vestlandet,3,787,False,0,4434.0,27.67,28.92,1.25,7.89,18.86,10.97,15.58,12.03,-3.55,21.36,19.98,-1.38,6.68,8.7,2.02,3.47,7.42,3.95,4.83,4.09,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,12.52,0.0,-12.52,9969.0,9.2072,3.3002,7.4499,2.24,-1.86,0.11,-1.890094593695513,1995-1999→1999-2003
1133,Hjelmeland,1999-2003,1999,2003,Rogaland,Vestlandet,5,593,False,0,1407.0,7.89,12.27,4.38,6.68,7.27,0.59,10.8,13.52,2.72,28.29,27.19,-1.1,27.72,25.31,-2.41,0.0,5.86,5.86,0.0,8.59,8.59,0.0,0.0,0.0,0.0,0.0,0.0,18.62,0.0,-18.62,2762.0,7.9237,-1.9551,-2.9043,-0.61,-5.07,-3.84,-4.503739298336393,1995-1999→1999-2003
1134,Suldal,1999-2003,1999,2003,Rogaland,Vestlandet,6,518,False,0,1932.0,19.72,21.52,1.8,0.0,0.0,0.0,7.4,6.71,-0.69,20.08,17.75,-2.33,27.07,30.56,3.49,10.4,14.64,4.24,15.32,8.82,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.0,8.3097,-3.4457,-4.6427,-0.33,-2.32,-0.66,-2.544010292426837,1995-1999→1999-2003
1135,Sauda,1999-2003,1999,2003,Rogaland,Vestlandet,5,604,False,0,2515.0,37.38,45.0,7.62,0.0,10.59,10.59,17.61,16.74,-0.87,12.33,5.72,-6.61,12.33,10.78,-1.55,16.3,8.17,-8.13,4.06,3.0,-1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5102.0,8.5374,-3.6652,-6.9657,5.21,-9.51,7.54,6.089456113398178,1995-1999→1999-2003
1144,Kvitsøy,1999-2003,1999,2003,Rogaland,Vestlandet,6,525,False,0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,510.0,6.2344,1.7647,7.6763,-20.86,0.0,0.0,-4.170422521108901,1995-1999→1999-2003
1145,Bokn,1999-2003,1999,2003,Rogaland,Vestlandet,5,624,False,0,393.0,19.08,19.95,0.87,0.0,0.0,0.0,29.52,38.01,8.49,18.07,9.97,-8.1,33.33,32.08,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.0,6.6241,1.5936,0.6579,-1.15,-7.6,4.4,5.546117079915415,1995-1999→1999-2003
1146,Tysvær,1999-2003,1999,2003,Rogaland,Vestlandet,4,724,False,0,3722.0,21.84,21.21,-0.63,13.14,20.65,7.51,19.4,17.01,-2.39,24.07,14.87,-9.2,12.6,14.09,1.49,0.0,8.08,8.08,6.23,4.09,-2.14,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.0,-2.71,8669.0,9.0675,4.8795,13.3242,2.11,-6.0,4.31,2.070426950126196,1995-1999→1999-2003
