kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,d_sp_frp,kv_sp_t0,kv_d_sp,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst,nettoinnfl_per1000,fodselsovsk_per1000,andel_67p_t0,andel_19_34_t0,d_andel_67p,andel_hoyutd_t0,inntekt_median_t0,andel_primaer_t0,andel_industri_t0,andel_offentlig_t0,reform_2017_20,d_ap_forrige,d_sp_forrige,d_h_forrige,h_resid_forrige,par
1121,Time,1997-2001,1997,2001,Rogaland,Vestlandet,3,836,False,7576.0,24.58,16.64,-7.94,14.9,14.76,-0.14,13.38,19.27,5.89,23.56,24.15,0.59,12.26,9.68,-2.58,3.74,7.65,3.91,5.73,4.59,-1.14,0.13,0.05,-0.08,0.75,0.43,-0.32,0.96,2.79,1.83,-2.72,19.63,-5.34,12893.0,9.4644,4.7157,11.9579,8.2215,39.8666,9.6099,23.7028,0.0265,17.1266,,,,,0,-0.25,-14.24,-2.08,0.25666752013966043,1993-1997→1997-2001
1122,Gjesdal,1997-2001,1997,2001,Rogaland,Vestlandet,3,792,False,4538.0,30.59,18.15,-12.44,13.77,15.52,1.75,10.31,18.36,8.05,25.32,25.89,0.57,10.42,7.7,-2.72,3.26,7.25,3.99,4.25,3.72,-0.53,0.2,0.11,-0.09,0.42,0.28,-0.14,1.45,3.03,1.58,-0.97,19.96,-8.92,8360.0,9.0312,7.5957,20.2379,29.6651,46.2919,8.0861,25.0718,-0.4374,12.7848,,,,,0,-0.55,-13.61,-0.15,0.8658787185859599,1993-1997→1997-2001
1124,Sola,1997-2001,1997,2001,Rogaland,Vestlandet,2,878,False,10160.0,23.51,13.42,-10.09,23.86,21.72,-2.14,18.71,28.14,9.43,17.8,18.26,0.46,6.75,4.2,-2.55,2.7,6.92,4.22,4.25,4.06,-0.19,0.12,0.09,-0.03,0.63,0.42,-0.21,1.67,2.78,1.11,-4.69,13.42,-6.76,18182.0,9.8082,4.6255,19.0277,2.64,43.6696,7.6614,24.9258,0.5602,18.7861,,,,,0,-1.77,-11.37,-1.33,2.0695791625187456,1993-1997→1997-2001
1127,Randaberg,1997-2001,1997,2001,Rogaland,Vestlandet,3,867,False,4901.0,25.55,15.45,-10.1,16.98,15.33,-1.65,15.75,23.86,8.11,23.4,23.18,-0.22,7.81,5.62,-2.19,3.2,7.57,4.37,5.28,5.43,0.15,0.14,0.06,-0.08,0.92,0.6,-0.32,0.96,2.9,1.94,-3.84,18.87,-3.84,8445.0,9.0413,3.7537,14.0737,-8.7626,46.5364,6.5956,25.7904,0.5375,17.8027,,,,,0,-0.95,-11.25,-0.41,2.0512262983600245,1993-1997→1997-2001
1130,Strand,1997-2001,1997,2001,Rogaland,Vestlandet,3,787,False,5517.0,25.14,15.92,-9.22,17.15,16.64,-0.51,9.04,16.37,7.33,30.11,28.4,-1.71,8.27,5.71,-2.56,3.81,9.12,5.31,4.62,4.08,-0.54,0.11,0.07,-0.04,0.4,0.34,-0.06,1.36,3.34,1.98,-3.07,8.54,-1.86,9792.0,9.1893,3.9828,6.7855,11.3358,28.3905,12.3672,22.498,-0.2478,12.5222,,,,,0,-2.58,-12.86,-2.18,-0.8208366217582244,1993-1997→1997-2001
1133,Hjelmeland,1997-2001,1997,2001,Rogaland,Vestlandet,5,593,False,1664.0,11.66,7.0,-4.66,9.68,8.95,-0.73,8.71,12.8,4.09,24.88,28.88,4.0,32.39,28.25,-4.14,2.76,5.67,2.91,8.11,5.49,-2.62,0.42,0.13,-0.29,0.42,0.44,0.02,0.96,2.4,1.44,-4.87,32.79,-5.07,2762.0,7.9237,-0.6155,-2.3826,-11.5858,5.0688,17.958,19.189,-0.3259,13.743,,,,,0,1.38,-14.55,-0.65,0.4139191656472293,1993-1997→1997-2001
1134,Suldal,1997-2001,1997,2001,Rogaland,Vestlandet,6,518,False,2417.0,19.98,15.41,-4.57,8.32,10.22,1.9,5.3,8.78,3.48,22.96,22.53,-0.43,28.18,21.92,-6.26,5.96,10.09,4.13,7.16,6.81,-0.35,0.0,0.17,0.17,1.03,0.39,-0.64,1.12,3.67,2.55,-4.36,29.39,-2.32,4106.0,8.3202,-1.5587,-2.2964,-22.1627,7.0628,16.9995,20.7258,-0.1514,14.169,,,,,0,-0.83,-13.11,-1.26,-0.8442997090209474,1993-1997→1997-2001
1135,Sauda,1997-2001,1997,2001,Rogaland,Vestlandet,5,604,False,3203.0,35.87,28.51,-7.36,12.46,15.16,2.7,9.58,13.7,4.12,19.51,16.1,-3.41,9.05,7.18,-1.87,5.37,12.08,6.71,5.09,3.99,-1.1,0.16,0.13,-0.03,1.53,0.58,-0.95,1.37,2.56,1.19,0.83,21.84,-9.51,5166.0,8.5499,-2.8455,-5.0511,-30.391,2.3229,17.0538,19.2605,1.4758,13.9269,,,,,0,-1.89,-10.99,2.85,3.27473764893103,1993-1997→1997-2001
1144,Kvitsøy,1997-2001,1997,2001,Rogaland,Vestlandet,6,525,False,336.0,22.92,15.03,-7.89,12.2,13.73,1.53,7.44,13.73,6.29,38.69,31.05,-7.64,5.65,3.59,-2.06,3.87,5.56,1.69,7.14,7.19,0.05,0.6,1.31,0.71,0.89,0.98,0.09,0.6,7.84,7.24,-0.53,0.0,0.0,518.0,6.25,2.1236,10.2083,11.583,9.6525,14.4788,18.5328,2.7235,11.4428,,,,,0,-3.7,-10.58,-6.85,-4.556461222854784,1993-1997→1997-2001
1145,Bokn,1997-2001,1997,2001,Rogaland,Vestlandet,5,624,False,469.0,17.91,9.29,-8.62,14.29,15.27,0.98,13.01,15.27,2.26,29.0,25.22,-3.78,19.4,13.27,-6.13,2.56,7.3,4.74,2.13,3.54,1.41,0.21,0.44,0.23,0.64,0.22,-0.42,0.85,10.18,9.33,-5.15,40.93,-7.6,771.0,6.6477,2.7237,7.6087,18.1582,9.0791,15.6939,22.4384,-0.6687,9.0461,,,,,0,3.06,-26.23,2.09,3.475005231520663,1993-1997→1997-2001
1146,Tysvær,1997-2001,1997,2001,Rogaland,Vestlandet,4,724,False,4734.0,24.23,15.62,-8.61,17.7,20.38,2.68,10.03,16.66,6.63,25.37,23.23,-2.14,11.83,8.08,-3.75,1.86,6.42,4.56,6.78,4.99,-1.79,0.21,0.23,0.02,0.49,0.19,-0.3,1.5,4.2,2.7,-1.07,18.6,-6.0,8393.0,9.0352,6.148,11.7256,25.8549,34.91,10.1275,23.0073,-0.3845,12.8259,,,,,0,1.8,-19.69,-0.25,0.8932078755342909,1993-1997→1997-2001
1149,Karmøy,1997-2001,1997,2001,Rogaland,Vestlandet,4,758,False,19831.0,27.09,16.34,-10.75,23.17,26.88,3.71,10.71,18.17,7.46,25.47,22.0,-3.47,4.76,2.43,-2.33,2.58,6.48,3.9,4.1,3.5,-0.6,0.07,0.03,-0.04,0.5,0.21,-0.29,1.56,3.97,2.41,1.38,7.04,-3.58,36041.0,10.4924,3.0632,5.7328,2.8579,27.6907,10.9292,23.6675,-0.0583,12.4346,,,,,0,-0.3,-11.47,-1.6,0.060734585800058305,1993-1997→1997-2001
1151,Utsira,1997-2001,1997,2001,Rogaland,Vestlandet,6,293,False,135.0,37.78,27.07,-10.71,11.85,3.76,-8.09,9.63,12.03,2.4,16.3,20.3,4.0,14.07,10.53,-3.54,1.48,9.02,7.54,7.41,6.02,-1.39,0.0,0.0,0.0,1.48,3.01,1.53,0.0,8.27,8.27,-11.63,0.0,0.0,214.0,5.366,8.4112,0.8696,79.4393,4.6729,23.3645,21.4953,-5.261,15.7895,,,,,0,3.65,-14.5,-9.42,-5.705682537464476,1993-1997→1997-2001
1160,Vindafjord,1997-2001,1997,2001,Rogaland,Vestlandet,5,643,False,4681.0,20.47,12.85,-7.62,11.28,16.46,5.18,8.25,13.94,5.69,27.49,26.53,-0.96,23.07,15.8,-7.27,3.08,6.42,3.34,4.79,4.18,-0.61,0.04,0.02,-0.02,0.36,0.4,0.04,1.17,3.41,2.24,-2.09,26.11,-9.66,8109.0,9.0007,0.4686,1.5076,-11.2221,16.0316,15.9946,21.7536,-0.406,12.0837,,,,,0,1.62,-20.39,-1.89,-0.69033546675235,1993-1997→1997-2001
1505,Kristiansund,1997-2001,1997,2001,Møre og Romsdal,Vestlandet,4,749,False,12945.0,40.27,30.86,-9.41,14.58,17.56,2.98,17.33,19.1,1.77,9.39,7.91,-1.48,2.89,1.57,-1.32,4.94,10.88,5.94,8.57,8.57,0.0,0.21,0.0,-0.21,0.91,0.56,-0.35,0.9,2.99,2.09,1.66,2.54,2.51,22076.0,10.0022,1.1007,1.1145,7.746,3.5785,14.7536,21.888,-0.6759,15.6008,,,,,0,-6.44,-8.11,1.29,3.9226440737321626,1993-1997→1997-2001
