kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,reform_2017_20,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst
1127,Randaberg,1987-1991,1987,1991,Rogaland,Vestlandet,3,867,False,False,3571.0,25.46,24.96,-0.5,0.0,8.25,8.25,33.04,25.28,-7.76,17.42,16.95,-0.47,15.09,18.85,3.76,0.0,0.0,0.0,8.99,5.7,-3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7151.0,8.875,7.4116,
1130,Strand,1987-1991,1987,1991,Rogaland,Vestlandet,3,787,False,False,4308.0,27.99,21.04,-6.95,0.0,0.0,0.0,19.59,11.25,-8.34,22.63,16.7,-5.93,5.32,8.24,2.92,8.7,10.0,1.3,5.48,6.6,1.12,0.0,0.0,0.0,0.0,0.0,0.0,10.28,26.17,15.89,9221.0,9.1292,3.4053,
1133,Hjelmeland,1987-1991,1987,1991,Rogaland,Vestlandet,5,593,False,False,1500.0,11.0,8.56,-2.44,4.87,4.05,-0.82,14.93,11.35,-3.58,25.73,22.69,-3.04,33.53,37.16,3.63,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93,9.49,-0.44,2837.0,7.9505,-0.8812,
1134,Suldal,1987-1991,1987,1991,Rogaland,Vestlandet,6,518,False,False,2062.0,21.05,21.55,0.5,0.0,0.0,0.0,10.57,8.6,-1.97,18.91,16.22,-2.69,27.93,36.0,8.07,3.39,5.75,2.36,9.31,7.11,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,8.83,4.77,-4.06,4281.0,8.3619,-3.3637,
1135,Sauda,1987-1991,1987,1991,Rogaland,Vestlandet,5,604,False,False,3045.0,41.58,38.13,-3.45,0.0,0.0,0.0,15.83,12.26,-3.57,11.17,11.38,0.21,8.41,17.05,8.64,12.15,16.1,3.95,9.98,5.07,-4.91,0.0,0.0,0.0,0.89,0.0,-0.89,0.0,0.0,0.0,5482.0,8.6092,-3.5753,
1144,Kvitsøy,1987-1991,1987,1991,Rogaland,Vestlandet,6,525,False,False,287.0,19.51,23.13,3.62,0.0,0.0,0.0,20.56,18.15,-2.41,30.66,22.06,-8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.27,36.65,7.38,506.0,6.2265,-5.1383,
1145,Bokn,1987-1991,1987,1991,Rogaland,Vestlandet,5,624,False,False,398.0,20.85,18.5,-2.35,0.0,0.0,0.0,25.63,21.0,-4.63,14.32,15.75,1.43,39.2,44.75,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.0,6.6053,-0.406,
1146,Tysvær,1987-1991,1987,1991,Rogaland,Vestlandet,4,724,False,False,3570.0,21.48,19.08,-2.4,10.34,0.0,-10.34,17.68,15.91,-1.77,19.08,22.44,3.36,11.85,20.44,8.59,0.0,0.0,0.0,16.05,17.93,1.88,0.0,0.0,0.0,0.0,0.0,0.0,3.53,4.21,0.68,7757.0,8.9564,2.7975,
1149,Karmøy,1987-1991,1987,1991,Rogaland,Vestlandet,4,758,False,False,15194.0,26.1,20.16,-5.94,15.72,8.41,-7.31,19.42,12.74,-6.68,22.22,23.97,1.75,3.27,7.91,4.64,2.74,5.67,2.93,10.29,5.31,-4.98,0.0,0.0,0.0,0.25,0.23,-0.02,0.0,15.62,15.62,34554.0,10.4503,1.6699,
1151,Utsira,1987-1991,1987,1991,Rogaland,Vestlandet,6,293,False,False,148.0,45.95,31.43,-14.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.05,68.57,14.52,244.0,5.4972,-5.7377,
1160,Vindafjord,1987-1991,1987,1991,Rogaland,Vestlandet,5,643,False,False,4159.0,9.31,10.85,1.54,2.55,1.66,-0.89,13.03,11.94,-1.09,10.94,12.21,1.27,3.37,24.49,21.12,1.78,2.69,0.91,4.21,2.4,-1.81,0.0,0.0,0.0,0.0,0.0,0.0,54.82,33.76,-21.06,7973.0,8.9838,0.6647,
1505,Kristiansund,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,4,749,False,False,11222.0,46.95,37.42,-9.53,6.91,3.2,-3.71,22.24,24.84,2.6,6.19,7.18,0.99,1.73,1.06,-0.67,3.21,10.33,7.12,8.25,7.05,-1.2,0.0,0.0,0.0,1.77,2.03,0.26,2.74,6.9,4.16,22198.0,10.0078,-0.5631,
1506,Molde,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,4,740,False,True,13525.0,30.94,26.05,-4.89,10.51,4.93,-5.58,20.18,18.47,-1.71,14.89,15.13,0.24,8.87,15.71,6.84,6.11,10.9,4.79,6.21,5.5,-0.71,0.0,0.0,0.0,1.55,1.86,0.31,0.73,1.45,0.72,27077.0,10.2064,2.1457,
1508,Ålesund,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,3,800,False,True,21239.0,25.6,21.59,-4.01,17.81,11.35,-6.46,25.15,25.68,0.53,12.99,14.39,1.4,4.09,8.56,4.47,4.31,10.34,6.03,1.88,6.39,4.51,0.0,0.0,0.0,1.29,1.71,0.42,6.89,0.0,-6.89,42073.0,10.6472,1.5188,
1511,Vanylven,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,6,535,False,False,1848.0,30.47,27.1,-3.37,0.0,0.0,0.0,16.77,11.86,-4.91,18.83,23.55,4.72,20.29,26.28,5.99,0.0,0.0,0.0,13.64,11.2,-2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3909.0,8.271,0.7163,
1514,Sande,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,6,560,False,False,1772.0,14.67,5.48,-9.19,0.0,0.0,0.0,17.21,17.6,0.39,18.06,9.19,-8.87,5.64,5.26,-0.38,2.99,3.43,0.44,7.56,3.32,-4.24,0.0,0.0,0.0,0.0,0.0,0.0,33.86,55.73,21.87,3437.0,8.1424,-3.9569,
1515,Herøy (Møre og Romsdal),1987-1991,1987,1991,Møre og Romsdal,Vestlandet,5,664,False,False,3795.0,23.77,26.97,3.2,0.0,5.46,5.46,19.42,15.66,-3.76,24.48,20.56,-3.92,6.11,9.98,3.87,0.0,6.07,6.07,9.33,7.06,-2.27,0.0,0.0,0.0,0.0,0.0,0.0,16.89,8.25,-8.64,8035.0,8.9916,1.3317,
1516,Ulstein,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,4,719,False,False,2801.0,20.64,24.4,3.76,6.03,9.37,3.34,28.88,19.22,-9.66,19.1,18.88,-0.22,8.96,11.41,2.45,5.36,8.31,2.95,11.03,8.42,-2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5559.0,8.6232,3.4539,
1517,Hareid,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,4,683,False,False,2119.0,15.95,13.87,-2.08,0.0,8.74,8.74,23.83,9.47,-14.36,18.26,13.39,-4.87,8.73,8.31,-0.42,5.29,4.95,-0.34,27.94,7.54,-20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.72,33.72,4337.0,8.3749,3.8045,
1520,Ørsta,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,4,718,False,False,5139.0,20.63,16.52,-4.11,7.78,4.81,-2.97,14.93,11.54,-3.39,19.91,18.87,-1.04,15.0,27.66,12.66,5.94,11.05,5.11,9.63,6.28,-3.35,0.0,0.0,0.0,0.0,0.0,0.0,6.19,3.28,-2.91,10264.0,9.2364,-0.1559,
1525,Stranda,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,5,628,False,False,2357.0,21.64,16.61,-5.03,0.0,6.18,6.18,23.5,23.44,-0.06,18.07,16.07,-2.0,11.46,16.44,4.98,0.0,0.0,0.0,9.59,5.56,-4.03,0.0,0.0,0.0,0.0,0.0,0.0,15.74,15.71,-0.03,4750.0,8.4659,-3.2632,
1528,Sykkylven,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,4,695,False,False,3340.0,23.77,20.64,-3.13,10.39,8.75,-1.64,22.07,19.8,-2.27,16.77,18.2,1.43,14.58,16.89,2.31,2.9,8.23,5.33,9.52,7.5,-2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6763.0,8.8192,1.8335,
1531,Sula,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,4,737,False,False,3380.0,14.67,14.42,-0.25,12.07,8.25,-3.82,18.02,15.67,-2.35,19.26,19.44,0.18,0.0,0.0,0.0,0.0,0.0,0.0,9.76,7.42,-2.34,0.0,0.0,0.0,0.0,0.0,0.0,26.21,34.79,8.58,6787.0,8.8228,-0.943,
1532,Giske,1987-1991,1987,1991,Møre og Romsdal,Vestlandet,4,714,False,False,2908.0,19.81,16.32,-3.49,0.0,6.47,6.47,27.96,23.76,-4.2,26.51,25.8,-0.71,19.26,20.02,0.76,0.0,0.0,0.0,5.71,7.64,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,-0.76,6161.0,8.726,0.6817,
