kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,reform_2017_20,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst
3312,Lier,1995-1999,1995,1999,Buskerud,Østlandet,2,887,False,False,10161.0,31.09,27.08,-4.01,11.24,9.83,-1.41,30.75,34.2,3.45,4.33,4.69,0.36,10.75,8.9,-1.85,4.11,6.71,2.6,2.99,2.53,-0.46,0.0,0.0,0.0,0.0,0.0,0.0,4.74,6.05,1.31,20131.0,9.91,5.2953,13.529
3314,Øvre Eiker,1995-1999,1995,1999,Buskerud,Østlandet,3,848,False,False,6790.0,37.95,38.91,0.96,11.89,12.0,0.11,19.66,20.48,0.82,6.14,6.81,0.67,15.73,12.92,-2.81,6.32,6.77,0.45,1.47,1.33,-0.14,0.0,0.0,0.0,0.84,0.77,-0.07,0.0,0.0,0.0,14704.0,9.5959,1.8634,2.2598
3316,Modum,1995-1999,1995,1999,Buskerud,Østlandet,3,812,False,False,5705.0,44.87,41.52,-3.35,7.45,9.76,2.31,10.36,12.44,2.08,4.73,5.57,0.84,15.11,13.97,-1.14,5.24,5.36,0.12,0.0,1.15,1.15,0.0,0.0,0.0,0.0,0.0,0.0,12.23,10.23,-2.0,12196.0,9.4089,1.1397,0.2031
3318,Krødsherad,1995-1999,1995,1999,Buskerud,Østlandet,5,656,False,False,1218.0,48.28,46.6,-1.68,0.0,0.0,0.0,12.97,14.58,1.61,0.0,0.0,0.0,0.0,0.0,0.0,8.37,7.69,-0.68,0.0,8.59,8.59,0.0,0.0,0.0,0.0,0.0,0.0,30.38,22.54,-7.84,2279.0,7.7315,-0.4388,-5.4583
3320,Flå,1995-1999,1995,1999,Buskerud,Østlandet,5,617,False,False,409.0,0.0,31.42,31.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,68.58,-31.42,1168.0,7.063,-4.6233,-7.7051
3322,Nesbyen,1995-1999,1995,1999,Buskerud,Østlandet,5,640,False,False,1808.0,32.85,40.32,7.47,0.0,0.0,0.0,18.58,23.55,4.97,7.58,8.27,0.69,23.01,18.09,-4.92,0.0,0.0,0.0,2.99,0.0,-2.99,0.0,0.0,0.0,0.0,0.0,0.0,14.99,9.76,-5.23,3442.0,8.1438,1.4526,2.7663
3324,Gol,1995-1999,1995,1999,Buskerud,Østlandet,4,683,False,False,2138.0,27.27,34.39,7.12,3.55,0.0,-3.55,15.58,20.17,4.59,7.11,9.28,2.17,32.23,26.78,-5.45,0.0,0.0,0.0,14.27,9.38,-4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4316.0,8.3701,0.9268,2.9544
3326,Hemsedal,1995-1999,1995,1999,Buskerud,Østlandet,5,625,False,False,955.0,14.87,12.27,-2.6,0.0,0.0,0.0,30.16,40.75,10.59,11.1,10.26,-0.84,35.6,26.85,-8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.27,9.88,1.61,1743.0,7.4634,4.9914,13.3127
3328,Ål,1995-1999,1995,1999,Buskerud,Østlandet,5,635,False,False,2288.0,22.03,19.76,-2.27,0.0,3.78,3.78,17.22,24.01,6.79,12.76,11.6,-1.16,27.36,24.69,-2.67,6.29,0.0,-6.29,14.34,16.15,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4801.0,8.4766,-2.0204,-6.6667
3330,Hol,1995-1999,1995,1999,Buskerud,Østlandet,5,629,False,False,2200.0,27.41,25.47,-1.94,6.77,0.0,-6.77,36.73,39.37,2.64,6.18,8.41,2.23,15.0,16.29,1.29,0.0,0.0,0.0,7.91,10.46,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4637.0,8.4418,0.0,-4.5885
3332,Sigdal,1995-1999,1995,1999,Buskerud,Østlandet,5,663,False,False,2050.0,21.17,23.09,1.92,0.0,6.05,6.05,18.0,19.24,1.24,0.0,0.0,0.0,42.54,39.56,-2.98,0.0,0.0,0.0,18.29,12.06,-6.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0,8.1989,-0.7149,-3.2681
3334,Flesberg,1995-1999,1995,1999,Buskerud,Østlandet,4,688,False,False,1298.0,32.43,34.26,1.83,8.63,15.58,6.95,18.41,14.11,-4.3,4.62,4.65,0.03,25.58,26.43,0.85,7.01,0.0,-7.01,3.31,4.96,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2533.0,7.8372,-1.3028,-1.8453
3336,Rollag,1995-1999,1995,1999,Buskerud,Østlandet,5,578,False,False,812.0,37.93,38.8,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.41,11.41,42.98,49.79,6.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.09,0.0,-19.09,1479.0,7.2991,0.8114,2.4742
3338,Nore og Uvdal,1995-1999,1995,1999,Buskerud,Østlandet,6,530,False,False,1522.0,36.66,28.1,-8.56,6.77,9.7,2.93,11.89,12.91,1.02,0.0,0.0,0.0,38.44,41.87,3.43,6.24,7.42,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2857.0,7.9575,-1.7151,-3.4056
3401,Kongsvinger,1995-1999,1995,1999,Innlandet,Innlandet,3,792,False,False,7861.0,40.87,32.0,-8.87,8.99,12.15,3.16,20.34,27.34,7.0,2.6,5.13,2.53,9.26,5.8,-3.46,10.18,13.01,2.83,2.58,1.75,-0.83,0.0,0.0,0.0,0.0,0.0,0.0,5.18,2.82,-2.36,17274.0,9.757,-0.1158,-1.552
3403,Hamar,1995-1999,1995,1999,Innlandet,Innlandet,2,873,False,False,12688.0,42.89,36.43,-6.46,5.78,5.55,-0.23,12.3,14.42,2.12,4.18,4.63,0.45,5.23,1.91,-3.32,6.61,8.5,1.89,3.31,1.9,-1.41,0.0,0.0,0.0,0.0,0.0,0.0,19.7,26.66,6.96,26284.0,10.1767,0.5326,6.1631
3405,Lillehammer,1995-1999,1995,1999,Innlandet,Innlandet,3,818,False,False,11013.0,43.44,34.02,-9.42,0.0,7.53,7.53,20.01,19.13,-0.88,5.87,7.2,1.33,11.39,7.76,-3.63,8.45,11.15,2.7,4.76,6.11,1.35,0.0,0.0,0.0,2.84,4.38,1.54,3.24,2.71,-0.53,24170.0,10.0929,1.5019,8.7263
3407,Gjøvik,1995-1999,1995,1999,Innlandet,Innlandet,3,805,False,False,13531.0,49.07,46.1,-2.97,10.6,11.39,0.79,11.39,13.68,2.29,6.9,8.84,1.94,11.61,7.49,-4.12,5.77,6.17,0.4,2.48,2.66,0.18,0.81,1.33,0.52,1.38,2.36,0.98,0.0,0.0,0.0,26844.0,10.1978,0.4619,3.1833
3411,Ringsaker,1995-1999,1995,1999,Innlandet,Innlandet,3,797,False,False,13198.0,53.89,46.45,-7.44,0.0,7.73,7.73,11.55,13.2,1.65,4.46,5.88,1.42,19.06,12.94,-6.12,7.16,9.44,2.28,2.05,2.45,0.4,0.0,0.0,0.0,0.0,1.23,1.23,1.84,0.67,-1.17,31215.0,10.3487,0.9643,1.6678
3412,Løten,1995-1999,1995,1999,Innlandet,Innlandet,3,790,False,False,3326.0,49.55,44.0,-5.55,0.0,8.55,8.55,10.82,12.07,1.25,0.0,0.0,0.0,25.62,20.32,-5.3,10.01,12.73,2.72,4.0,2.33,-1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7088.0,8.8662,1.2415,1.2701
3413,Stange,1995-1999,1995,1999,Innlandet,Innlandet,3,820,False,False,8332.0,51.44,43.64,-7.8,6.93,7.85,0.92,7.62,7.57,-0.05,4.94,6.08,1.14,17.65,10.83,-6.82,9.34,12.16,2.82,2.08,2.62,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.26,9.26,17636.0,9.7777,0.7201,0.7887
3414,Nord-Odal,1995-1999,1995,1999,Innlandet,Innlandet,4,708,False,False,2734.0,45.46,39.11,-6.35,0.0,6.87,6.87,0.0,0.0,0.0,0.0,0.0,0.0,14.59,13.4,-1.19,12.22,12.04,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.72,28.58,0.86,5106.0,8.5382,-1.0184,-5.2671
3415,Sør-Odal,1995-1999,1995,1999,Innlandet,Innlandet,3,777,False,False,3896.0,59.55,58.72,-0.83,0.0,8.07,8.07,6.9,12.0,5.1,0.0,0.0,0.0,9.68,12.0,2.32,4.36,9.22,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.51,0.0,-19.51,7299.0,8.8955,0.0411,-2.1311
3416,Eidskog,1995-1999,1995,1999,Innlandet,Innlandet,4,691,False,False,2885.0,53.48,53.34,-0.14,0.0,10.53,10.53,13.83,13.21,-0.62,0.0,0.0,0.0,25.06,14.85,-10.21,7.63,8.06,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6403.0,8.7645,-0.8121,-2.3073
3417,Grue,1995-1999,1995,1999,Innlandet,Innlandet,5,662,False,False,2652.0,49.51,41.45,-8.06,0.0,4.61,4.61,11.58,0.0,-11.58,3.17,0.0,-3.17,22.78,0.0,-22.78,6.98,5.36,-1.62,6.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.58,48.58,5602.0,8.6309,-2.7133,-7.7522
3418,Åsnes,1995-1999,1995,1999,Innlandet,Innlandet,5,665,False,False,4263.0,39.22,41.54,2.32,11.47,11.95,0.48,5.42,7.51,2.09,5.44,9.0,3.56,23.69,14.97,-8.72,13.02,11.24,-1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,3.78,2.04,8281.0,9.0217,-1.7631,-5.2527
3419,Våler (Innlandet),1995-1999,1995,1999,Innlandet,Innlandet,5,669,False,False,2158.0,38.6,34.64,-3.96,0.0,12.27,12.27,16.68,15.67,-1.01,0.0,0.0,0.0,24.65,25.71,1.06,8.34,7.16,-1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.72,4.56,-7.16,4259.0,8.3568,-3.2402,-7.3099
3420,Elverum,1995-1999,1995,1999,Innlandet,Innlandet,3,787,False,False,7566.0,43.15,39.9,-3.25,10.08,14.49,4.41,12.98,11.29,-1.69,3.42,4.29,0.87,17.43,11.32,-6.11,9.05,9.98,0.93,3.87,8.73,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17599.0,9.7756,1.8751,3.6598
3421,Trysil,1995-1999,1995,1999,Innlandet,Innlandet,5,604,False,False,3876.0,41.38,42.16,0.78,0.0,3.88,3.88,12.82,14.03,1.21,5.65,6.07,0.42,23.74,13.68,-10.06,11.84,13.38,1.54,4.57,6.8,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7306.0,8.8965,-3.5861,-4.0588
3422,Åmot,1995-1999,1995,1999,Innlandet,Innlandet,5,638,False,False,2233.0,35.56,25.68,-9.88,0.0,10.09,10.09,8.6,22.02,13.42,0.0,0.0,0.0,42.41,26.66,-15.75,13.43,15.54,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4328.0,8.3729,2.8189,-0.2913
3423,Stor-Elvdal,1995-1999,1995,1999,Innlandet,Innlandet,6,538,False,False,1808.0,37.11,42.07,4.96,0.0,3.95,3.95,7.69,6.27,-1.42,0.0,0.0,0.0,12.39,10.78,-1.61,5.81,0.0,-5.81,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,32.73,-0.07,3203.0,8.0718,-7.0247,-11.5796
3424,Rendalen,1995-1999,1995,1999,Innlandet,Innlandet,6,486,False,False,1440.0,46.67,42.15,-4.52,0.0,0.0,0.0,5.69,0.0,-5.69,0.0,0.0,0.0,30.35,40.39,10.04,7.29,8.37,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.08,-0.92,2412.0,7.7882,-6.592,-10.0958
3425,Engerdal,1995-1999,1995,1999,Innlandet,Innlandet,6,421,False,False,987.0,46.3,51.02,4.72,0.0,0.0,0.0,14.08,11.09,-2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.61,37.89,-1.72,1698.0,7.4372,-7.7739,-10.0517
3426,Tolga,1995-1999,1995,1999,Innlandet,Innlandet,5,567,False,False,972.0,21.81,32.38,10.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.51,41.37,-9.14,12.76,13.18,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,3.47,14.92,9.6,-5.32,1832.0,7.5132,0.4913,-1.2339
3427,Tynset,1995-1999,1995,1999,Innlandet,Innlandet,5,647,False,False,2636.0,27.2,25.94,-1.26,0.0,6.39,6.39,8.76,7.33,-1.43,5.8,5.86,0.06,43.55,40.53,-3.02,7.44,9.07,1.63,7.25,4.88,-2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5382.0,8.5908,0.1858,0.2603
3428,Alvdal,1995-1999,1995,1999,Innlandet,Innlandet,5,573,False,False,1333.0,30.38,38.23,7.85,0.0,0.0,0.0,4.05,0.0,-4.05,5.55,5.62,0.07,38.63,30.77,-7.86,4.73,0.0,-4.73,16.65,11.77,-4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.62,13.62,2433.0,7.7969,-0.7398,-0.9027
3429,Folldal,1995-1999,1995,1999,Innlandet,Innlandet,6,492,False,False,1127.0,53.06,42.27,-10.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.98,34.11,0.13,4.79,6.28,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16,17.34,9.18,1918.0,7.559,-4.7967,-9.3797
3430,Os,1995-1999,1995,1999,Innlandet,Innlandet,6,551,False,False,1109.0,36.52,33.33,-3.19,0.0,0.0,0.0,0.0,0.0,0.0,5.14,5.07,-0.07,48.06,48.8,0.74,10.28,12.8,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2035.0,7.6183,2.2604,2.3107
3431,Dovre,1995-1999,1995,1999,Innlandet,Innlandet,6,563,False,False,1516.0,46.77,32.84,-13.93,0.0,0.0,0.0,9.96,6.76,-3.2,0.0,3.38,3.38,43.27,50.54,7.27,0.0,0.0,0.0,0.0,6.49,6.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3074.0,8.0307,-5.3676,-5.1207
3432,Lesja,1995-1999,1995,1999,Innlandet,Innlandet,6,520,False,False,1136.0,26.14,28.85,2.71,0.0,0.0,0.0,10.21,7.51,-2.7,5.72,9.34,3.62,38.73,37.18,-1.55,0.0,0.0,0.0,5.9,7.42,1.52,0.0,0.0,0.0,0.0,0.0,0.0,13.29,9.71,-3.58,2365.0,7.7685,-3.8901,-8.1245
3433,Skjåk,1995-1999,1995,1999,Innlandet,Innlandet,6,550,False,False,1305.0,20.38,22.83,2.45,0.0,0.0,0.0,3.91,8.43,4.52,0.0,0.0,0.0,60.46,49.25,-11.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,19.49,4.24,2494.0,7.8216,-4.0497,-8.8728
3434,Lom,1995-1999,1995,1999,Innlandet,Innlandet,6,547,False,False,1281.0,53.08,34.82,-18.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7,30.2,-7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.21,34.98,25.77,2628.0,7.874,-3.2344,-4.4344
3435,Vågå,1995-1999,1995,1999,Innlandet,Innlandet,5,610,False,False,2163.0,41.52,51.0,9.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.15,27.62,5.47,9.06,6.81,-2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.28,14.57,-12.71,3907.0,8.2705,-1.8173,-4.3153
3436,Nord-Fron,1995-1999,1995,1999,Innlandet,Innlandet,5,629,False,False,3006.0,56.25,57.76,1.51,0.0,0.0,0.0,7.49,8.47,0.98,4.49,8.39,3.9,24.88,19.78,-5.1,4.76,5.6,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,-2.13,6102.0,8.7164,-2.0321,-4.7179
3437,Sel,1995-1999,1995,1999,Innlandet,Innlandet,5,627,False,False,2869.0,54.97,47.62,-7.35,0.0,0.0,0.0,8.33,12.83,4.5,4.6,9.76,5.16,21.58,13.72,-7.86,6.83,10.31,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,2.92,3.69,2.85,-0.84,6338.0,8.7543,-1.6882,-3.3204
3438,Sør-Fron,1995-1999,1995,1999,Innlandet,Innlandet,5,615,False,False,1778.0,55.12,49.94,-5.18,0.0,0.0,0.0,6.64,7.7,1.06,0.0,0.0,0.0,30.37,34.86,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.87,7.5,-0.37,3430.0,8.1403,-1.9242,-3.6103
3439,Ringebu,1995-1999,1995,1999,Innlandet,Innlandet,5,647,False,False,2677.0,45.39,41.3,-4.09,0.0,0.0,0.0,7.58,7.54,-0.04,0.0,0.0,0.0,37.54,37.12,-0.42,0.0,2.82,2.82,0.0,11.23,11.23,0.0,0.0,0.0,0.0,0.0,0.0,9.49,0.0,-9.49,4960.0,8.5092,-3.246,-7.7648
3440,Øyer,1995-1999,1995,1999,Innlandet,Innlandet,4,698,False,False,2301.0,32.33,31.83,-0.5,0.0,0.0,0.0,6.91,10.93,4.02,4.82,4.51,-0.31,35.07,26.5,-8.57,4.95,6.33,1.38,2.48,0.0,-2.48,0.0,0.0,0.0,0.0,0.0,0.0,13.43,19.9,6.47,4706.0,8.4566,2.8899,9.3002
3441,Gausdal,1995-1999,1995,1999,Innlandet,Innlandet,4,673,False,False,3357.0,39.77,33.88,-5.89,5.45,6.12,0.67,2.83,2.96,0.13,2.95,4.18,1.23,32.32,31.91,-0.41,4.71,4.87,0.16,3.31,5.1,1.79,0.0,0.0,0.0,0.0,0.0,0.0,8.67,10.99,2.32,6341.0,8.7548,-1.7978,-4.0967
3442,Østre Toten,1995-1999,1995,1999,Innlandet,Innlandet,4,747,False,False,7052.0,43.12,41.53,-1.59,9.02,8.81,-0.21,8.25,9.75,1.5,6.88,7.53,0.65,22.94,21.53,-1.41,4.17,5.19,1.02,5.62,5.66,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14258.0,9.5651,-1.6622,-1.8687
3443,Vestre Toten,1995-1999,1995,1999,Innlandet,Innlandet,3,789,False,False,6342.0,44.94,41.87,-3.07,9.21,11.3,2.09,11.95,13.06,1.11,7.62,7.52,-0.1,16.67,15.79,-0.88,5.27,6.91,1.64,3.04,2.59,-0.45,0.0,0.0,0.0,1.31,0.95,-0.36,0.0,0.0,0.0,13067.0,9.4778,0.0077,-2.5067
3446,Gran,1995-1999,1995,1999,Innlandet,Innlandet,3,801,False,False,6333.0,40.11,43.39,3.28,11.87,10.51,-1.36,11.08,12.19,1.11,6.19,7.57,1.38,21.4,15.73,-5.67,6.38,7.27,0.89,2.97,3.33,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12533.0,9.4361,1.524,0.9921
3447,Søndre Land,1995-1999,1995,1999,Innlandet,Innlandet,4,692,False,False,3201.0,43.8,39.04,-4.76,0.0,0.0,0.0,4.56,6.09,1.53,0.0,3.56,3.56,8.5,6.29,-2.21,6.44,8.31,1.87,0.0,3.59,3.59,0.0,0.0,0.0,0.0,0.0,0.0,36.71,33.13,-3.58,6231.0,8.7373,-2.9369,-4.5605
3448,Nordre Land,1995-1999,1995,1999,Innlandet,Innlandet,4,695,False,False,3104.0,55.8,45.55,-10.25,0.0,5.37,5.37,8.47,7.07,-1.4,5.93,5.73,-0.2,17.91,9.54,-8.37,6.41,6.25,-0.16,5.48,2.74,-2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.74,17.74,7032.0,8.8582,-0.9243,-0.5992
3449,Sør-Aurdal,1995-1999,1995,1999,Innlandet,Innlandet,5,581,False,False,1783.0,38.75,42.44,3.69,0.0,0.0,0.0,12.06,12.24,0.18,0.0,8.6,8.6,0.0,14.31,14.31,4.77,0.0,-4.77,2.24,0.0,-2.24,0.0,0.0,0.0,0.0,0.0,0.0,42.18,22.41,-19.77,3557.0,8.1767,-4.1327,-5.2515
3450,Etnedal,1995-1999,1995,1999,Innlandet,Innlandet,5,587,False,False,879.0,21.39,23.94,2.55,0.0,0.0,0.0,5.69,6.88,1.19,8.87,9.52,0.65,33.56,39.55,5.99,0.0,0.0,0.0,10.69,8.99,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,19.8,11.11,-8.69,1501.0,7.3139,-6.529,-12.422
3451,Nord-Aurdal,1995-1999,1995,1999,Innlandet,Innlandet,4,686,False,False,3194.0,37.48,32.84,-4.64,0.0,8.85,8.85,14.46,14.09,-0.37,5.92,6.6,0.68,31.0,26.52,-4.48,6.36,6.78,0.42,4.79,4.32,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6552.0,8.7875,-0.3816,-1.5832
3452,Vestre Slidre,1995-1999,1995,1999,Innlandet,Innlandet,5,583,False,False,1299.0,28.1,26.59,-1.51,10.85,0.0,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,35.18,27.55,-7.63,0.0,0.0,0.0,10.01,0.0,-10.01,0.0,0.0,0.0,0.0,0.0,0.0,15.86,45.86,30.0,2458.0,7.8071,-7.5671,-9.6979
3453,Øystre Slidre,1995-1999,1995,1999,Innlandet,Innlandet,5,602,False,False,1496.0,25.27,41.77,16.5,0.0,0.0,0.0,9.63,10.56,0.93,0.0,5.62,5.62,43.52,29.45,-14.07,8.62,0.0,-8.62,12.97,12.59,-0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3088.0,8.0353,-1.3277,-1.7097
3454,Vang,1995-1999,1995,1999,Innlandet,Innlandet,6,541,False,False,923.0,28.71,14.15,-14.56,0.0,0.0,0.0,10.18,7.6,-2.58,0.0,0.0,0.0,61.11,42.34,-18.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.91,35.91,1711.0,7.4448,-4.5587,-13.9167
3901,Horten,1995-1999,1995,1999,Vestfold,Østlandet,2,874,False,False,11024.0,25.53,25.82,0.29,13.39,11.89,-1.5,34.98,20.33,-14.65,5.71,5.36,-0.35,4.83,2.94,-1.89,3.86,5.63,1.77,3.13,2.0,-1.13,0.0,0.0,0.0,8.57,7.77,-0.8,0.0,18.26,18.26,22945.0,10.0409,2.7762,5.4981
3903,Holmestrand,1995-1999,1995,1999,Vestfold,Østlandet,3,837,False,True,9489.0,32.44,37.17,4.73,6.14,6.25,0.11,17.28,23.63,6.35,4.45,6.74,2.29,12.96,12.52,-0.44,2.99,1.89,-1.1,1.89,3.54,1.65,0.0,0.0,0.0,0.32,0.0,-0.32,21.53,8.26,-13.27,18935.0,9.8488,2.5984,3.81
3905,Tønsberg,1995-1999,1995,1999,Vestfold,Østlandet,2,879,False,True,20820.0,25.34,21.06,-4.28,15.93,19.39,3.46,28.91,25.63,-3.28,10.55,10.97,0.42,10.72,7.88,-2.84,4.83,10.16,5.33,1.97,3.87,1.9,0.57,0.0,-0.57,1.18,1.03,-0.15,0.0,0.0,0.0,40444.0,10.6077,4.9179,10.8838
3907,Sandefjord,1995-1999,1995,1999,Vestfold,Østlandet,3,861,False,True,25376.0,24.23,18.31,-5.92,15.44,16.16,0.72,31.56,29.2,-2.36,9.52,10.77,1.25,8.95,5.85,-3.1,4.78,8.08,3.3,3.43,4.07,0.64,0.0,0.0,0.0,1.92,1.31,-0.61,0.17,6.26,6.09,50751.0,10.8347,4.0846,7.6722
3909,Larvik,1995-1999,1995,1999,Vestfold,Østlandet,3,842,False,True,20500.0,32.03,25.7,-6.33,19.36,18.62,-0.74,18.42,23.36,4.94,7.71,9.47,1.76,10.91,8.44,-2.47,5.1,7.44,2.34,5.29,5.66,0.37,0.0,0.0,0.0,1.18,1.31,0.13,0.0,0.0,0.0,41361.0,10.6301,2.5507,5.5728
3911,Færder,1995-1999,1995,1999,Vestfold,Østlandet,3,846,False,True,11823.0,22.93,20.99,-1.94,17.53,18.4,0.87,36.18,33.59,-2.59,5.33,6.85,1.52,2.96,1.84,-1.12,3.68,0.0,-3.68,2.7,2.47,-0.23,0.0,0.0,0.0,5.33,0.26,-5.07,3.36,15.61,12.25,22816.0,10.0352,4.4574,9.9207
4001,Porsgrunn,1995-1999,1995,1999,Telemark,Østlandet,3,855,False,False,14696.0,38.05,40.75,2.7,15.45,18.86,3.41,15.32,13.76,-1.56,8.6,9.26,0.66,5.14,1.68,-3.46,6.67,7.89,1.22,8.23,4.94,-3.29,0.0,0.0,0.0,2.55,2.27,-0.28,0.0,0.59,0.59,31651.0,10.3625,2.8814,4.2416
4003,Skien,1995-1999,1995,1999,Telemark,Østlandet,3,849,False,False,22326.0,32.29,31.51,-0.78,15.09,18.52,3.43,15.41,16.51,1.1,9.76,11.93,2.17,6.28,2.93,-3.35,7.44,11.06,3.62,3.91,3.77,-0.14,0.0,0.0,0.0,1.87,2.0,0.13,7.95,1.78,-6.17,48319.0,10.7856,2.44,4.0902
4005,Notodden,1995-1999,1995,1999,Telemark,Østlandet,4,774,False,False,6122.0,29.08,36.76,7.68,14.57,9.67,-4.9,7.95,10.95,3.0,11.58,13.52,1.94,11.71,10.89,-0.82,0.0,0.0,0.0,2.87,2.68,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,22.23,15.53,-6.7,12184.0,9.4079,0.1559,-2.4852
4010,Siljan,1995-1999,1995,1999,Telemark,Østlandet,4,739,False,False,1064.0,48.78,49.87,1.09,0.0,0.0,0.0,14.0,0.0,-14.0,16.54,0.0,-16.54,14.0,0.0,-14.0,6.67,9.7,3.03,0.0,8.09,8.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.35,32.35,2278.0,7.7311,-0.5268,3.0
4012,Bamble,1995-1999,1995,1999,Telemark,Østlandet,3,786,False,False,6055.0,30.7,33.97,3.27,13.05,16.86,3.81,17.18,16.94,-0.24,9.69,13.76,4.07,8.19,4.18,-4.01,9.56,6.52,-3.04,7.12,3.76,-3.36,0.0,0.0,0.0,4.51,4.02,-0.49,0.0,0.0,0.0,14026.0,9.5487,0.606,2.3055
4014,Kragerø,1995-1999,1995,1999,Telemark,Østlandet,4,755,False,False,4902.0,32.54,25.95,-6.59,0.0,10.58,10.58,15.08,22.67,7.59,10.65,13.59,2.94,9.69,3.81,-5.88,6.34,7.04,0.7,9.85,6.88,-2.97,0.0,0.0,0.0,8.55,9.49,0.94,7.3,0.0,-7.3,10855.0,9.2924,-2.0728,-1.492
