valgslag,t,t1,rolle,h_nasj_t,sp_nasj_t1,ap_nasj_t,h_i_regjering_andel,sp_i_regjering_andel,h_i_regjering,r_biv_h_t,r_biv_sp_t1,b_P1_v4,lo_P1_v4,hi_P1_v4,b_P2_v4,lo_P2_v4,hi_P2_v4,b_P1,lo_P1,hi_P1,p_P1,snur_P1,b_P2,lo_P2,hi_P2,p_P2,snur_P2,b_P2_ap,lo_P2_ap,hi_P2_ap,b_ap_t,lo_ap_t,hi_ap_t,b_P4,lo_P4,hi_P4,b_P2_reform,lo_P2_reform,hi_P2_reform,b_reform,lo_reform,hi_reform,p_holm_P1,robust_P1,p_holm_P2,robust_P2,par_støtter
ST,1989-1993,1993-1997,bare_vekst4,-5.274486527856884,-8.67075050734607,2.7430882001235837,0.0,0.0,False,,0.16656172011633452,0.021932181114531615,-0.10001057572527075,0.14387493795433398,-0.3227496619057122,-0.4282186965085281,-0.21728062730289627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
ST,1993-1997,1997-2001,test,-2.8058925863012294,-2.2653348829478306,-1.8595371481874576,0.0,0.6036960985626283,False,-0.210494378189495,0.19513564753925114,0.010201149203958143,-0.054148361030991514,0.0745506594389078,-0.10296593601193185,-0.1631197946889813,-0.04281207733488242,0.007426353036191826,-0.02242577676343222,0.03727848283581587,0.6258453940199636,2.0,-0.04060889991213357,-0.0845037881857203,0.0032859883614531557,0.06979476349418638,0.0,-0.00924646179512226,-0.05961207712033985,0.04111915353009532,-0.010398294944165014,-0.07091158391090972,0.0501149940225797,0.019911153954873324,-0.163640078175632,0.20346238608537867,,,,,,,1.0,False,1.0,False,False
ST,1997-2001,2001-2005,test,6.7348089893191965,1.0087585432743018,-10.616340070167222,0.973305954825462,0.0,True,0.5731882553993163,-0.2727329128738642,0.34838803739770025,0.206499905052412,0.4902761697429885,0.008606909348304208,-0.044549054903542426,0.06176287360015084,0.13518771963461626,0.052272469024660664,0.21810297024457187,0.0013954574391575206,0.0,0.01856622342879007,-0.013120301474992772,0.050252748332572914,0.25079925386049207,17.0,0.01394736419582693,-0.018204722683899367,0.04609945107555322,-0.10008304416381568,-0.15894197549845993,-0.04122411282917144,-0.03919097634587783,-0.12675413233039182,0.04837217963863616,,,,,,,0.03628189341809553,True,1.0,False,False
ST,2001-2005,2005-2009,test,-7.1762248453894415,-0.20375033628660097,8.416155153658867,0.025325119780971937,0.974674880219028,False,-0.4291485230730888,-0.04407829454982121,0.04737430856883871,-0.06654822058393464,0.16129683772161205,-0.027871100329758355,-0.0819583553219699,0.026216154662453202,0.005819304058217085,-0.04408835607478516,0.055726964191219336,0.8192306728925542,3.0,-0.01728220330872528,-0.03875541019641944,0.0041910035789688785,0.11469645303428525,1.0,-0.026067759968434658,-0.051777342602612214,-0.0003581773342570989,-0.16202576723698994,-0.21819563495473376,-0.10585589951924612,0.14771291756969734,0.05233656350916957,0.24308927163022512,,,,,,,1.0,False,1.0,False,False
ST,2005-2009,2009-2013,test,3.0237071573466823,-0.6088646656625304,2.7574135055246067,0.0,1.0,False,0.037113369847260234,0.03656374554819007,0.01228006216203993,-0.07085314079317792,0.09541326511725778,-0.07982697658370319,-0.12652117388749723,-0.033132779279909166,0.01926236669152014,-0.016991177889692958,0.05551591127273324,0.297701412871451,1.0,-0.024519249923705844,-0.0425485244960666,-0.006489975351345087,0.007687627256994412,0.0,-0.0032430056479295986,-0.024782026876939943,0.018296015581080745,0.001091277864342826,-0.03736555026506069,0.03954810599374635,-0.08873389763985497,-0.18770746390753215,0.010239668627822218,,,,,,,1.0,False,0.1921906814248603,False,False
ST,2009-2013,2013-2017,sett,9.495069108909268,4.937154968055686,-4.479877688049102,0.9753593429158111,0.024640657084188913,True,0.36289588108691834,-0.5360511050758815,0.1481878626849555,0.03857337471468504,0.257802350655226,-0.29929473752165364,-0.4790242250721424,-0.11956524997116494,0.0728811836945268,0.027355591681199602,0.11840677570785399,0.0017029379675961892,0.0,-0.16929063914311152,-0.23498662096411205,-0.103594657322111,4.404444822044602e-07,0.0,-0.05643748196464668,-0.11894407463778842,0.006069110708495057,-0.002194730158435172,-0.04886434464017522,0.044474884323304875,-0.10762999988278334,-0.4481101747718334,0.23285017500626676,,,,,,,,True,,True,True
ST,2013-2017,2017-2021,test,-1.8256050407806124,3.2777028204860135,-3.437604251649049,1.0,0.0,True,0.0994938994452347,0.010002570539357665,0.03434374606377158,-0.0956801742628462,0.16436766639038936,0.05649455045741586,-0.07417330076717296,0.18716240168200468,0.020664356560686874,-0.02670721282719242,0.06803592594856617,0.3925663076229893,1.0,0.005372214635022007,-0.0551219723268454,0.06586640159688942,0.8618218290000293,13.0,0.06295954334575558,0.004444376655890987,0.12147471003562019,-0.044591215369252035,-0.09655931344524976,0.007376882706745691,0.2345498487449385,-0.093739426004317,0.5628391234941941,0.005333609350460016,-0.05449453388696378,0.06516175258788381,0.004848928899014041,-0.8117698809641241,0.8214677387621521,1.0,False,1.0,False,False
ST,2017-2021,2021-2025,test,-4.7386955423194195,-7.764333850727183,-1.0756402861998418,0.02327173169062286,0.8275154004106776,False,-0.08517942430793851,0.38086184145545776,-0.09555339461497336,-0.18736846037746757,-0.0037383288524791697,-0.07598899895859393,-0.16921822487818625,0.01724022696099839,-0.04884165936691694,-0.09145792717514595,-0.006225391558687919,0.024686344281354616,16.0,-0.04295275486469537,-0.08404348553145632,-0.0018620241979344157,0.040483667075251174,0.0,-0.04719266866364733,-0.08959429453093253,-0.004791042796362138,0.02169202877991487,-0.03682541300617123,0.08020947056600097,0.29929520075379323,0.1539536288432101,0.4446367726643764,,,,,,,0.5924722627525107,False,0.931124342730777,False,False
KV,1987-1991,1991-1995,bare_vekst4,-1.7809029270313859,0.3223435087501466,-5.576523692493309,0.0,0.0,False,,,-0.04007916195843334,-0.21350111557944426,0.1333427916625776,-0.20693806895149025,-0.33737147832907655,-0.07650465957390398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
KV,1991-1995,1995-1999,bare_vekst4,-1.5317565823038028,-3.255256843275094,0.5056593964226835,0.0,0.47433264887063653,False,,-0.03189297062485648,0.12971049608181742,-0.16367637473603866,0.4230973668996735,-0.17087638971068247,-0.31442570452810015,-0.02732707489326483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
KV,1995-1999,1999-2003,test,1.1078747499059713,-0.16074530919500035,-1.7930565125450837,0.4729637234770705,0.1293634496919918,False,0.02508595553605027,0.008597032932074323,0.16893114667011364,-0.11915178051102751,0.4570140738512548,0.09137235681810918,-0.0762920831294002,0.2590367967656185,0.09801426083874044,-0.035643263835781494,0.2316717855132624,0.1506360392535287,0.0,0.02482919443585054,-0.038089636511416475,0.08774802538311754,0.4392583930763684,16.0,0.04358252349446262,-0.030722563282869014,0.11788761027179426,-0.15080949640027147,-0.36400515207030304,0.06238615926976007,-0.03874745249464383,-0.12120874333664584,0.04371383834735819,,,,,,,1.0,False,1.0,False,False
KV,1999-2003,2003-2007,test,-3.3735047995639,0.056566809819967284,-1.0425954918141818,0.5256673511293635,0.47433264887063653,True,0.0067865529192997365,-0.06961572561550233,-0.12495100175903301,-0.34947445179371295,0.09957244827564696,0.01661191629370845,-0.13635259669725885,0.16957642928467576,0.017203804780219885,-0.10146192122112666,0.13586953078156644,0.7762956135491734,3.0,-0.02610021822475799,-0.08759652592217804,0.03539608947266206,0.40549559874216623,1.0,-0.014038326679932824,-0.07712935486035684,0.049052701500491194,-0.1018355689153956,-0.23834391700357727,0.03467277917278609,0.026609241566836042,-0.033345526249070515,0.0865640093827426,,,,,,,1.0,False,1.0,False,False
KV,2003-2007,2007-2011,test,1.1462706772603262,-1.0098827840492866,2.1977007058525837,0.0,1.0,False,0.07756524574104098,0.0007763588844158646,-0.004238250832362553,-0.3230982667963808,0.3146217651316557,-0.08485478186218168,-0.188750215444477,0.01904065172011364,0.08031219086712355,-0.03999040529745958,0.20061478703170665,0.19072334449359873,1.0,-0.0277649872421312,-0.07129673273239877,0.015766758248136375,0.21126855767034558,0.0,-0.012180062487400382,-0.05681593332668449,0.032455808351883726,-0.08955668631531502,-0.22868650732349668,0.049573134692866644,0.05612773474455488,0.0029168226498210437,0.10933864683928872,,,,,,,1.0,False,1.0,False,False
KV,2007-2011,2011-2015,test,8.497609218567527,1.8133532257666893,2.022784088938773,0.4750171115674196,0.5249828884325805,False,0.17854834930362934,-0.13870829995138947,0.0024723624416033963,-0.3058752651185775,0.31081999000178423,-0.23351470755579787,-0.39792783600690046,-0.06910157910469528,-0.007720476738775167,-0.16035990423228383,0.14491895075473352,0.9210313601800921,11.0,-0.059379969051683364,-0.12199379447590028,0.003233856372533546,0.06306450158266695,0.0,0.004925046439779673,-0.06844313299547125,0.0782932258750306,-0.16923253521215387,-0.334858554096661,-0.003606516327646747,-0.06588838723960215,-0.1631339445986943,0.031357170119490005,,,,,,,1.0,False,1.0,False,False
KV,2011-2015,2015-2019,test,-4.901731863040933,6.132937951229341,1.4326728828495374,1.0,0.0,True,-0.2223526954166011,-0.012687331745758177,-0.25254607369964926,-0.6179603722772705,0.11286822487797199,0.04840484193661391,-0.21096914171616424,0.30777882558939207,-0.09843197339435429,-0.24724899036609005,0.05038504357738145,0.19484525082209236,17.0,-0.10513588181394957,-0.22521966680546596,0.014947903177566807,0.08616392204842448,0.0,-0.0366998217593932,-0.15431019872163082,0.0809105552028444,-0.0149013426972648,-0.18766605354652616,0.15786336815199653,0.061969892815937545,-0.0784880046290993,0.20242779026097438,-0.10228843859175854,-0.22075777680457187,0.016180899621054776,-0.46340721573968763,-2.06896920185879,1.142154770379415,1.0,False,1.0,False,False
KV,2015-2019,2019-2023,test,-3.19583842778387,-6.081768326346965,-8.127666312222008,0.5236139630390144,0.47638603696098564,True,-0.06328255424738222,0.023491428923280867,0.13997008330639782,-0.053021552252495,0.33296171886529063,0.058201024775280455,-0.1573236390729133,0.2737256886234742,0.07688985303683799,-0.011687970617614854,0.1654676766912908,0.08887842313548343,0.0,0.018472413759746717,-0.06696287911252302,0.10390770663201646,0.6717305571584395,17.0,0.008829695639564535,-0.07716694376205561,0.09482633504118469,-0.10030264088958667,-0.2690638117615708,0.06845852998239745,0.13717821878799286,0.011803978365353907,0.2625524592106318,0.025119185412863742,-0.05735597929683661,0.1075943501225641,-0.5612860470432297,-1.5896015717795517,0.46702947769309233,1.0,False,1.0,False,False
