kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,d_sp_frp,kv_sp_t0,kv_d_sp,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst,nettoinnfl_per1000,fodselsovsk_per1000,andel_67p_t0,andel_19_34_t0,d_andel_67p,andel_hoyutd_t0,inntekt_median_t0,andel_primaer_t0,andel_industri_t0,andel_offentlig_t0
4647,Sunnfjord,1993-1997,1993,1997,Vestland,Vestlandet,5,667,False,10119.0,26.05,26.61,0.56,1.02,5.41,4.39,10.14,10.04,-0.1,18.18,23.41,5.23,31.32,19.49,-11.83,8.98,7.87,-1.11,3.29,5.95,2.66,0.0,0.04,0.04,0.55,0.85,0.3,0.46,0.34,-0.12,-7.44,31.61,-3.96,17868.0,9.7908,3.4307,11.3313,8.227,26.0242,13.3367,25.347,-1.0376,17.3114,,,,
4648,Bremanger,1993-1997,1993,1997,Vestland,Vestlandet,6,476,False,2536.0,34.86,28.63,-6.23,1.62,8.45,6.83,11.91,9.21,-2.7,14.35,17.07,2.72,23.62,11.64,-11.98,9.35,3.47,-5.88,3.75,21.21,17.46,0.0,0.0,0.0,0.12,0.2,0.08,0.43,0.12,-0.31,-5.15,17.42,10.23,4402.0,8.3898,-3.5438,-10.4975,-31.8037,-3.4075,18.0827,21.4675,0.735,8.3123,,,,
4649,Stad,1993-1997,1993,1997,Vestland,Vestlandet,5,607,False,5003.0,22.79,21.27,-1.52,2.9,9.92,7.02,13.07,17.44,4.37,12.69,22.21,9.52,35.26,17.67,-17.59,5.98,3.62,-2.36,5.52,7.25,1.73,0.0,0.04,0.04,0.14,0.36,0.22,1.66,0.23,-1.43,-10.57,27.46,-3.11,9009.0,9.106,-0.1554,3.0591,-17.427,15.096,14.7186,23.6541,-0.5218,12.27,,,,
4650,Gloppen,1993-1997,1993,1997,Vestland,Vestlandet,5,617,False,3674.0,16.6,17.73,1.13,1.2,4.35,3.15,9.31,9.73,0.42,16.52,25.15,8.63,43.82,28.41,-15.41,6.75,5.27,-1.48,4.44,8.48,4.04,0.0,0.11,0.11,0.14,0.5,0.36,1.22,0.28,-0.94,-12.26,40.38,3.55,6002.0,8.6998,-1.8161,-6.0577,-21.4928,2.8324,18.1939,21.4429,-0.8513,16.7235,,,,
4651,Stryn,1993-1997,1993,1997,Vestland,Vestlandet,5,603,False,3761.0,23.48,23.13,-0.35,4.87,13.86,8.99,11.62,8.56,-3.06,12.76,20.52,7.76,40.02,25.2,-14.82,4.31,3.02,-1.29,2.31,5.15,2.84,0.0,0.05,0.05,0.05,0.33,0.28,0.58,0.18,-0.4,-5.83,35.39,1.61,6656.0,8.8033,0.3906,1.0587,-3.6058,8.5637,16.9471,23.6028,-0.9489,12.2938,,,,
5001,Trondheim - Tråante,1993-1997,1993,1997,Trøndelag,Trøndelag,2,885,False,83649.0,41.13,39.6,-1.53,4.51,13.49,8.98,20.66,16.77,-3.89,5.36,8.85,3.49,10.49,3.7,-6.79,10.11,8.29,-1.82,4.09,4.13,0.04,0.4,0.45,0.05,1.4,3.13,1.73,1.86,1.58,-0.28,2.19,6.69,-2.41,145036.0,11.8847,3.0027,7.8036,4.8264,24.9248,12.6465,26.9512,-0.0674,21.969,,,,
5006,Steinkjer - Stïentje,1993-1997,1993,1997,Trøndelag,Trøndelag,4,721,False,13664.0,40.87,41.7,0.83,2.18,8.77,6.59,8.86,6.82,-2.04,2.84,9.59,6.75,30.35,20.43,-9.92,9.23,6.11,-3.12,4.17,4.92,0.75,0.0,0.07,0.07,0.43,0.95,0.52,1.08,0.65,-0.43,-3.33,31.82,4.08,23726.0,10.0743,-1.1169,-0.8369,-17.8285,6.5329,15.7422,23.2193,0.5785,13.1331,,,,
5007,Namsos - Nåavmesjenjaelmie,1993-1997,1993,1997,Trøndelag,Trøndelag,4,690,False,8510.0,41.36,44.35,2.99,3.03,10.3,7.27,8.71,6.54,-2.17,4.72,11.69,6.97,24.65,13.48,-11.17,12.3,6.92,-5.38,3.87,4.89,1.02,0.0,0.15,0.15,0.32,0.91,0.59,1.03,0.78,-0.25,-3.9,14.71,3.44,14931.0,9.6112,-0.0268,1.4752,-19.2218,19.4227,14.6943,23.7225,0.426,14.0787,,,,
5014,Frøya,1993-1997,1993,1997,Trøndelag,Trøndelag,6,531,False,2219.0,45.65,40.06,-5.59,3.02,12.62,9.6,10.32,9.59,-0.73,9.87,18.71,8.84,17.35,6.7,-10.65,8.47,5.06,-3.41,3.42,4.75,1.33,0.14,0.26,0.12,0.5,0.82,0.32,1.26,1.43,0.17,-1.05,9.01,1.66,4151.0,8.3311,-1.1323,-5.9794,-8.1908,-2.65,19.0075,21.8261,0.5344,6.7671,,,,
5020,Osen,1993-1997,1993,1997,Trøndelag,Trøndelag,6,459,False,688.0,26.74,28.74,2.0,1.6,7.93,6.33,5.23,5.24,0.01,11.34,17.07,5.73,37.65,27.1,-10.55,8.28,5.69,-2.59,8.43,6.44,-1.99,0.0,0.15,0.15,0.44,1.2,0.76,0.29,0.45,0.16,-4.22,20.77,9.3,1260.0,7.1389,-4.5238,-10.2239,-39.6825,-6.3492,20.7937,18.1746,-1.0929,6.8,,,,
5021,Oppdal,1993-1997,1993,1997,Trøndelag,Trøndelag,5,666,False,3585.0,33.08,33.16,0.08,2.85,10.58,7.73,9.87,9.67,-0.2,8.17,17.85,9.68,33.17,19.66,-13.51,6.05,3.83,-2.22,3.63,4.19,0.56,0.17,0.25,0.08,0.08,0.44,0.36,2.93,0.39,-2.54,-5.78,31.55,3.11,6207.0,8.7334,1.16,2.8838,6.2832,5.6388,15.837,22.3296,-0.3249,10.2181,,,,
5022,Rennebu,1993-1997,1993,1997,Trøndelag,Trøndelag,5,602,False,1718.0,30.33,30.66,0.33,1.57,5.2,3.63,5.3,5.2,-0.1,18.22,25.16,6.94,35.62,24.03,-11.59,4.89,2.99,-1.9,3.03,5.08,2.05,0.06,0.18,0.12,0.06,0.6,0.54,0.93,0.9,-0.03,-7.96,34.24,-3.42,2883.0,7.9666,-3.7808,-7.3171,-28.7895,-7.9778,19.7017,21.0545,-0.1631,8.1115,,,,
5025,Røros - Rosse,1993-1997,1993,1997,Trøndelag,Trøndelag,5,644,False,3405.0,44.08,45.46,1.38,1.97,8.39,6.42,10.01,8.01,-2.0,2.76,7.95,5.19,23.11,12.56,-10.55,12.95,9.05,-3.9,3.14,3.87,0.73,0.35,0.3,-0.05,0.91,3.07,2.16,0.7,1.33,0.63,-4.13,0.0,0.0,5355.0,8.5858,2.2596,2.3743,14.9393,7.6564,19.3277,21.4939,-0.8836,12.6645,,,,
5026,Holtålen,1993-1997,1993,1997,Trøndelag,Trøndelag,6,524,False,1506.0,50.33,50.14,-0.19,1.13,5.8,4.67,3.32,3.96,0.64,5.18,9.69,4.51,26.16,18.89,-7.27,10.23,6.75,-3.48,1.99,1.98,-0.01,0.13,0.0,-0.13,0.4,1.3,0.9,1.13,1.5,0.37,-2.6,0.0,19.96,2404.0,7.7849,-4.8253,-11.7965,-7.9035,-42.4293,26.4143,18.7604,-2.7692,7.3304,,,,
5027,Midtre Gauldal,1993-1997,1993,1997,Trøndelag,Trøndelag,5,657,False,3592.0,34.02,35.69,1.67,2.0,6.31,4.31,6.26,5.57,-0.69,9.58,18.52,8.94,38.03,25.06,-12.97,5.68,3.54,-2.14,3.29,3.62,0.33,0.06,0.06,0.0,0.17,0.74,0.57,0.92,0.9,-0.02,-8.66,36.34,-1.09,5994.0,8.6985,-2.9029,-5.4888,-25.5255,-3.003,18.7187,22.6226,0.3878,8.5887,,,,
5028,Melhus,1993-1997,1993,1997,Trøndelag,Trøndelag,3,776,False,7114.0,38.25,37.54,-0.71,4.15,12.5,8.35,10.18,9.71,-0.47,8.93,15.43,6.5,27.13,14.68,-12.45,6.52,4.42,-2.1,3.51,3.58,0.07,0.08,0.13,0.05,0.18,0.84,0.66,1.07,1.18,0.11,-4.1,24.88,-1.33,12737.0,9.4523,1.531,6.2002,-6.5164,21.7477,11.4313,24.4406,0.2607,11.4944,,,,
5029,Skaun,1993-1997,1993,1997,Trøndelag,Trøndelag,4,746,False,3203.0,35.87,37.79,1.92,2.84,11.16,8.32,9.83,9.23,-0.6,7.84,12.77,4.93,31.22,18.44,-12.78,7.9,5.0,-2.9,3.34,3.47,0.13,0.16,0.18,0.02,0.09,1.19,1.1,0.91,0.76,-0.15,-4.46,30.25,-0.12,5636.0,8.6369,2.6082,6.8157,6.7424,19.1625,13.0944,23.6338,-0.3156,11.785,,,,
5031,Malvik,1993-1997,1993,1997,Trøndelag,Trøndelag,3,807,False,5478.0,48.05,46.05,-2.0,4.87,14.08,9.21,14.46,12.72,-1.74,3.87,8.47,4.6,13.73,5.58,-8.15,8.96,6.5,-2.46,3.8,3.53,-0.27,0.13,0.28,0.15,0.51,1.41,0.9,1.62,1.39,-0.23,1.06,10.66,-0.79,10055.0,9.2158,6.2655,16.9165,28.9408,33.4162,9.9055,24.356,-0.1067,15.0943,,,,
5032,Selbu,1993-1997,1993,1997,Trøndelag,Trøndelag,5,643,False,2453.0,36.04,36.28,0.24,2.04,8.3,6.26,10.76,10.42,-0.34,6.4,13.12,6.72,28.78,18.26,-10.52,10.84,7.43,-3.41,3.71,3.57,-0.14,0.04,0.04,0.0,0.49,1.29,0.8,0.9,1.29,0.39,-4.26,23.86,-23.86,4103.0,8.3195,-1.5111,-1.7983,4.387,-20.2291,21.1796,20.8872,-0.8381,10.4179,,,,
5033,Tydal,1993-1997,1993,1997,Trøndelag,Trøndelag,6,519,False,618.0,34.79,33.33,-1.46,1.78,9.12,7.34,9.22,8.29,-0.93,3.24,7.63,4.39,33.33,25.21,-8.12,11.49,8.46,-3.03,3.24,4.64,1.4,0.16,0.5,0.34,0.16,0.66,0.5,2.59,2.16,-0.43,-0.78,0.0,15.85,975.0,6.8824,0.7179,-1.3065,-2.0513,9.2308,16.7179,22.5641,0.8992,9.172,,,,
5034,Meråker,1993-1997,1993,1997,Trøndelag,Trøndelag,5,626,False,1458.0,47.19,48.04,0.85,2.74,12.21,9.47,6.86,4.86,-2.0,1.58,6.68,5.1,17.01,12.28,-4.73,11.39,6.48,-4.91,11.59,5.87,-5.72,0.0,0.07,0.07,0.75,1.69,0.94,0.89,1.82,0.93,4.74,14.66,2.06,2677.0,7.8925,-1.2701,-8.1015,6.7239,-20.1718,22.1143,18.715,-0.2831,8.8315,,,,
5035,Stjørdal,1993-1997,1993,1997,Trøndelag,Trøndelag,3,802,False,9728.0,40.85,41.31,0.46,3.51,10.8,7.29,12.16,10.46,-1.7,6.05,11.48,5.43,24.02,13.64,-10.38,8.06,5.81,-2.25,3.8,4.09,0.29,0.0,0.16,0.16,0.71,1.22,0.51,0.83,1.03,0.2,-3.09,21.46,-0.99,17402.0,9.7643,1.8733,4.9056,-2.5284,20.4,12.8031,24.8017,0.0353,12.4472,,,,
5036,Frosta,1993-1997,1993,1997,Trøndelag,Trøndelag,5,657,False,1466.0,28.72,28.41,-0.31,1.98,7.53,5.55,6.75,4.86,-1.89,7.03,12.39,5.36,45.09,27.1,-17.99,5.53,2.67,-2.86,4.09,15.67,11.58,0.0,0.27,0.27,0.27,0.82,0.55,0.55,0.27,-0.28,-12.44,41.02,3.21,2461.0,7.8083,-0.0813,0.0,-1.219,-2.0317,18.6916,21.2515,-1.1235,8.3077,,,,
5037,Levanger - Levangke,1993-1997,1993,1997,Trøndelag,Trøndelag,4,752,False,9611.0,37.41,38.3,0.89,2.46,8.75,6.29,8.88,7.23,-1.65,7.34,14.88,7.54,27.55,17.26,-10.29,10.69,7.67,-3.02,3.83,4.18,0.35,0.0,0.11,0.11,0.55,1.1,0.55,1.31,0.52,-0.79,-4.0,26.75,0.94,17133.0,9.7488,1.3775,5.3752,-9.9224,23.4051,13.5703,24.1814,-0.1556,18.7575,,,,
5038,Verdal,1993-1997,1993,1997,Trøndelag,Trøndelag,4,747,False,7563.0,46.13,47.03,0.9,2.5,9.26,6.76,6.88,6.11,-0.77,3.07,11.07,8.0,26.99,15.05,-11.94,9.53,5.8,-3.73,2.76,3.14,0.38,0.0,0.16,0.16,0.73,1.16,0.43,1.41,1.23,-0.18,-5.18,22.86,5.45,13713.0,9.5261,0.051,3.6254,-21.6583,23.1168,13.3304,24.4148,0.1535,10.1964,,,,
5041,Snåase - Snåsa,1993-1997,1993,1997,Trøndelag,Trøndelag,6,561,False,1502.0,30.49,33.0,2.51,0.8,4.45,3.65,3.6,4.52,0.92,1.07,9.82,8.75,47.94,35.69,-12.25,10.39,6.29,-4.1,4.93,3.75,-1.18,0.0,0.14,0.14,0.13,2.12,1.99,0.67,0.21,-0.46,-8.6,36.0,6.33,2508.0,7.8272,-3.6284,-5.6596,-31.1005,-4.7847,17.6635,22.807,-0.2866,10.574,,,,
5042,Lierne,1993-1997,1993,1997,Trøndelag,Trøndelag,6,398,False,855.0,32.63,34.44,1.81,1.75,5.04,3.29,3.98,3.57,-0.41,5.85,14.51,8.66,40.94,28.78,-12.16,6.78,5.17,-1.61,7.37,7.75,0.38,0.0,0.0,0.0,0.0,0.37,0.37,0.7,0.37,-0.33,-8.87,28.28,14.55,1647.0,7.4067,-2.9144,-9.712,-16.3934,-12.7505,17.3649,18.3971,0.959,8.1942,,,,
5043,Raarvihke - Røyrvik,1993-1997,1993,1997,Trøndelag,Trøndelag,6,389,False,418.0,30.14,35.79,5.65,1.44,5.58,4.14,6.22,5.84,-0.38,7.18,20.81,13.63,31.58,16.24,-15.34,15.79,6.85,-8.94,6.46,7.61,1.15,0.0,0.0,0.0,0.48,0.0,-0.48,0.72,1.27,0.55,-11.2,0.0,0.0,747.0,6.6161,-9.2369,-2.5862,-115.1272,21.419,10.7095,24.498,0.7949,11.9565,,,,
5044,Namsskogan,1993-1997,1993,1997,Trøndelag,Trøndelag,6,427,False,668.0,41.17,44.82,3.65,2.1,7.66,5.56,3.14,1.59,-1.55,4.64,13.4,8.76,25.6,18.18,-7.42,20.36,10.37,-9.99,1.8,0.96,-0.84,0.0,0.64,0.64,0.15,1.12,0.97,1.05,1.28,0.23,-1.86,16.79,4.11,1079.0,6.9838,-3.0584,-16.32,-37.9981,6.4875,16.6821,21.5941,0.8131,7.7703,,,,
5045,Grong,1993-1997,1993,1997,Trøndelag,Trøndelag,5,593,False,1618.0,34.86,39.18,4.32,1.55,6.75,5.2,6.12,5.17,-0.95,0.8,7.82,7.02,37.21,25.68,-11.53,14.15,8.64,-5.51,4.64,4.92,0.28,0.0,0.06,0.06,0.19,1.14,0.95,0.49,0.63,0.14,-6.33,42.99,1.53,2544.0,7.8415,0.7075,-1.1955,-5.8962,12.9717,20.5189,21.816,-0.1442,11.43,,,,
5046,Høylandet,1993-1997,1993,1997,Trøndelag,Trøndelag,6,525,False,864.0,29.98,35.95,5.97,0.23,3.64,3.41,1.97,1.93,-0.04,2.43,10.24,7.81,46.88,35.04,-11.84,8.45,4.44,-4.01,6.83,7.85,1.02,0.0,0.34,0.34,0.69,0.46,-0.23,2.55,0.11,-2.44,-8.43,24.91,5.95,1391.0,7.2378,-1.8692,-6.5708,-22.2861,0.7189,17.6851,19.7699,-0.2492,11.5732,,,,
5047,Overhalla,1993-1997,1993,1997,Trøndelag,Trøndelag,5,611,False,2239.0,32.87,36.56,3.69,1.79,7.33,5.54,5.23,4.43,-0.8,1.79,10.18,8.39,46.0,29.19,-16.81,8.58,6.65,-1.93,2.81,4.48,1.67,0.0,0.14,0.14,0.27,0.54,0.27,0.67,0.5,-0.17,-11.27,51.49,4.0,3793.0,8.2409,-2.1091,0.1889,-27.9462,7.1184,14.7904,23.3325,-0.4354,11.5463,,,,
5049,Flatanger,1993-1997,1993,1997,Trøndelag,Trøndelag,6,475,False,775.0,25.94,24.97,-0.97,2.19,10.7,8.51,9.55,8.03,-1.52,7.87,17.32,9.45,38.32,24.84,-13.48,9.94,7.52,-2.42,4.77,5.22,0.45,0.0,0.0,0.0,0.13,1.02,0.89,1.29,0.38,-0.91,-4.97,30.58,-2.5,1380.0,7.2298,-3.6232,-11.7452,-31.8841,-5.7971,18.4058,21.0145,-0.2103,7.8804,,,,
5052,Leka,1993-1997,1993,1997,Trøndelag,Trøndelag,6,386,False,465.0,27.96,31.0,3.04,1.72,7.46,5.74,3.66,3.96,0.3,1.72,18.65,16.93,50.32,30.54,-19.78,10.75,4.43,-6.32,2.58,1.86,-0.72,0.0,0.23,0.23,0.65,0.7,0.05,0.65,1.17,0.52,-14.04,0.0,0.0,821.0,6.7105,-4.7503,-15.2763,-45.067,0.0,15.5907,22.5335,0.5218,7.9755,,,,
5053,Inderøy,1993-1997,1993,1997,Trøndelag,Trøndelag,4,670,False,3992.0,36.87,38.96,2.09,1.55,6.15,4.6,5.69,5.16,-0.53,5.51,11.81,6.3,34.92,24.5,-10.42,10.6,6.97,-3.63,3.86,4.64,0.78,0.0,0.22,0.22,0.48,0.99,0.51,0.53,0.6,0.07,-5.82,32.82,3.09,6728.0,8.814,-0.0446,0.8095,-8.0262,8.1748,15.6956,21.3585,-0.454,12.9051,,,,
5054,Indre Fosen,1993-1997,1993,1997,Trøndelag,Trøndelag,5,621,False,5545.0,29.41,30.49,1.08,2.56,11.06,8.5,8.91,7.81,-1.1,10.01,16.48,6.47,37.67,24.29,-13.38,6.24,4.32,-1.92,3.9,3.79,-0.11,0.05,0.18,0.13,0.29,0.66,0.37,0.96,0.92,-0.04,-4.88,35.67,0.14,9917.0,9.202,-0.1815,-4.9818,-7.9661,5.7477,17.0314,21.8413,-0.3024,8.9132,,,,
5055,Heim,1993-1997,1993,1997,Trøndelag,Trøndelag,5,588,True,3672.73,37.67,39.27,1.6,2.53,8.71,6.18,9.82,8.69,-1.13,7.7,14.33,6.63,32.58,19.54,-13.04,5.2,3.54,-1.66,3.41,4.19,0.78,0.03,0.11,0.08,0.22,0.67,0.45,0.84,0.95,0.11,-6.86,28.6,1.36,6468.4863,8.7747,-0.4314,-3.6372,-1.3903,-1.7943,17.3054,22.1541,-0.3261,9.0446,,,,
5056,Hitra,1993-1997,1993,1997,Trøndelag,Trøndelag,6,551,True,2479.57,34.42,32.21,-2.21,3.93,14.91,10.98,13.2,10.78,-2.42,9.27,17.44,8.17,26.98,15.74,-11.24,8.5,4.18,-4.32,1.99,2.39,0.4,0.22,0.27,0.05,0.69,1.23,0.54,0.81,0.84,0.03,-0.26,18.05,3.76,4593.2442,8.4323,-2.348,-6.6125,-17.7233,-4.9559,18.2995,20.6755,0.2287,8.3431,,,,
5057,Ørland,1993-1997,1993,1997,Trøndelag,Trøndelag,5,603,False,5482.0,30.66,30.84,0.18,4.2,13.76,9.56,13.59,11.85,-1.74,6.57,13.35,6.78,32.25,18.14,-14.11,5.95,4.54,-1.41,3.16,3.69,0.53,0.09,0.23,0.14,0.31,1.03,0.72,3.23,2.57,-0.66,-4.55,31.71,0.69,9926.0,9.2029,-0.4735,1.0639,-19.2424,14.3059,14.4268,23.9774,0.3318,11.2928,,,,
5058,Åfjord,1993-1997,1993,1997,Trøndelag,Trøndelag,6,512,False,2810.0,21.81,21.78,-0.03,2.14,9.79,7.65,10.85,8.67,-2.18,13.77,20.91,7.14,41.67,28.71,-12.96,4.7,3.79,-0.91,3.95,4.66,0.71,0.07,0.11,0.04,0.18,0.61,0.43,0.85,0.98,0.13,-5.31,29.87,5.9,4733.0,8.4623,-1.4367,-5.0672,-13.7334,-0.4226,17.7055,21.9945,0.2366,6.9513,,,,
5059,Orkland,1993-1997,1993,1997,Trøndelag,Trøndelag,4,728,True,9569.7,40.8,41.65,0.85,2.65,9.6,6.95,8.67,7.9,-0.77,8.54,13.97,5.43,27.18,15.6,-11.58,6.12,4.61,-1.51,4.49,4.9,0.41,0.09,0.16,0.07,0.49,0.81,0.32,0.98,0.81,-0.17,-4.63,24.41,-1.27,16804.2695,9.7294,-1.2511,-2.8926,-2.7135,-9.2018,18.329,21.8712,-0.6096,10.6989,,,,
5060,Nærøysund,1993-1997,1993,1997,Trøndelag,Trøndelag,5,581,False,5122.0,29.01,33.37,4.36,2.69,10.13,7.44,5.76,6.47,0.71,4.57,16.76,12.19,45.08,22.4,-22.68,7.75,4.92,-2.83,4.14,4.61,0.47,0.0,0.14,0.14,0.27,0.68,0.41,0.72,0.52,-0.2,-15.24,36.53,2.54,9229.0,9.1301,-0.1625,-2.8264,-9.1017,7.2597,16.4482,22.7002,-0.4616,8.137,,,,
5061,Rindal,1993-1997,1993,1997,Trøndelag,Trøndelag,5,607,False,1277.0,30.46,32.71,2.25,1.02,5.1,4.08,7.44,7.53,0.09,9.87,16.47,6.6,46.83,32.78,-14.05,3.05,2.35,-0.7,1.02,2.04,1.02,0.0,0.08,0.08,0.08,0.47,0.39,0.23,0.47,0.24,-9.97,47.97,2.49,2217.0,7.7039,-1.8493,-6.0855,-12.6297,-7.668,22.959,20.433,-0.5325,8.8123,,,,
5501,Tromsø,1993-1997,1993,1997,Troms,Nord-Norge,3,803,False,28970.0,35.26,34.5,-0.76,4.86,12.89,8.03,14.63,12.73,-1.9,5.68,12.89,7.21,16.77,7.24,-9.53,15.66,9.78,-5.88,3.9,3.7,-0.2,0.0,0.36,0.36,2.54,5.47,2.93,0.71,0.44,-0.27,-1.5,6.64,-0.03,53456.0,10.8866,7.3481,17.4987,29.0706,44.7284,8.9513,29.1043,-0.1126,21.7211,,,,
5503,Harstad - Hárstták,1993-1997,1993,1997,Troms,Nord-Norge,4,738,False,12188.0,36.81,35.83,-0.98,6.05,15.35,9.3,21.81,16.22,-5.59,5.23,13.65,8.42,16.46,7.69,-8.77,9.02,5.35,-3.67,3.47,3.41,-0.06,0.0,0.14,0.14,0.75,2.05,1.3,0.41,0.31,-0.1,0.53,7.33,0.18,23340.0,10.0579,1.1911,3.1759,-7.9263,19.7515,12.4379,24.533,0.3744,15.8984,,,,
5510,Kvæfjord,1993-1997,1993,1997,Troms,Nord-Norge,5,587,False,1775.0,33.24,34.76,1.52,4.06,9.95,5.89,13.8,10.53,-3.27,4.96,14.05,9.09,25.3,15.79,-9.51,12.17,6.3,-5.87,4.79,5.96,1.17,0.0,0.0,0.0,1.24,2.43,1.19,0.45,0.23,-0.22,-3.62,14.14,4.51,3424.0,8.1386,-1.3727,-8.5072,-25.1168,11.0981,16.1507,21.8166,-1.2262,12.2442,,,,
5512,Dielddanuorri - Tjeldsund,1993-1997,1993,1997,Troms,Nord-Norge,6,542,False,2526.0,38.56,31.82,-6.74,4.59,15.02,10.43,15.12,11.48,-3.64,6.1,16.83,10.73,23.0,13.0,-10.0,8.04,4.73,-3.31,3.48,3.47,-0.01,0.0,0.07,0.07,0.36,0.9,0.54,0.75,2.67,1.92,0.43,0.0,6.1,4944.0,8.5059,-3.3172,-11.0863,-24.2718,-8.2929,16.4239,20.8536,-0.106,10.433,,,,
5514,Ibestad,1993-1997,1993,1997,Troms,Nord-Norge,6,447,False,1210.0,38.02,31.68,-6.34,3.64,10.39,6.75,13.06,10.9,-2.16,9.34,22.05,12.71,23.72,14.17,-9.55,8.76,4.78,-3.98,2.64,4.69,2.05,0.0,0.08,0.08,0.25,0.84,0.59,0.58,0.42,-0.16,-2.8,0.0,9.55,2144.0,7.6704,-8.7687,-17.953,-56.903,-31.7164,22.6213,20.0093,1.8675,9.0095,,,,
5516,Gratangen - Rivtták,1993-1997,1993,1997,Troms,Nord-Norge,6,509,False,795.0,40.38,35.49,-4.89,4.53,12.93,8.4,8.3,7.32,-0.98,6.79,15.0,8.21,29.81,19.51,-10.3,8.3,6.46,-1.84,0.75,1.95,1.2,0.0,0.0,0.0,0.38,1.22,0.84,0.75,0.12,-0.63,-1.9,33.05,2.43,1448.0,7.2779,-4.6961,-10.9103,-20.7182,-24.1713,21.7541,20.5801,-0.015,8.1308,,,,
5518,Loabák - Lavangen,1993-1997,1993,1997,Troms,Nord-Norge,6,517,False,726.0,44.08,38.56,-5.52,2.2,12.99,10.79,14.74,9.75,-4.99,7.58,17.37,9.79,21.9,13.98,-7.92,7.16,3.53,-3.63,1.93,1.98,0.05,0.0,0.42,0.42,0.41,0.99,0.58,0.0,0.42,0.42,2.87,0.0,18.94,1133.0,7.0326,-3.7952,-6.1154,-28.2436,-10.5914,19.8588,21.7123,1.8843,10.9691,,,,
5520,Bardu,1993-1997,1993,1997,Troms,Nord-Norge,5,597,False,2221.0,37.87,38.72,0.85,4.91,11.48,6.57,18.01,15.0,-3.01,3.33,9.57,6.24,26.79,15.67,-11.12,6.39,4.63,-1.76,2.21,3.38,1.17,0.0,0.18,0.18,0.32,1.25,0.93,0.18,0.13,-0.05,-4.55,23.78,-0.68,3842.0,8.2537,0.963,-2.2676,-16.658,26.809,11.6606,27.0692,0.1466,15.625,,,,
5522,Salangen,1993-1997,1993,1997,Troms,Nord-Norge,6,552,False,1419.0,38.05,35.44,-2.61,2.47,10.64,8.17,8.88,7.91,-0.97,6.27,12.8,6.53,29.67,20.56,-9.11,12.47,8.12,-4.35,1.55,2.73,1.18,0.0,0.14,0.14,0.56,1.44,0.88,0.07,0.22,0.15,-0.94,18.85,11.76,2536.0,7.8383,-3.3912,-2.9319,-34.306,-2.3659,15.4968,23.8959,-0.4764,12.6712,,,,
5524,Målselv,1993-1997,1993,1997,Troms,Nord-Norge,5,576,False,3978.0,33.33,30.78,-2.55,3.54,12.32,8.78,15.94,12.74,-3.2,3.32,11.91,8.59,27.33,14.49,-12.84,8.17,5.95,-2.22,7.49,10.03,2.54,0.0,0.31,0.31,0.43,1.31,0.88,0.45,0.16,-0.29,-4.06,17.66,1.08,7342.0,8.9014,-2.3427,-3.0295,-47.1261,26.1509,12.5443,30.3323,0.3707,17.3697,,,,
5526,Sørreisa,1993-1997,1993,1997,Troms,Nord-Norge,5,610,False,1811.0,44.73,39.59,-5.14,3.42,12.59,9.17,9.83,10.36,0.53,7.29,16.22,8.93,23.25,11.4,-11.85,9.83,5.7,-4.13,1.21,2.64,1.43,0.0,0.1,0.1,0.17,1.14,0.97,0.28,0.26,-0.02,-2.68,13.83,5.63,3442.0,8.1438,-1.4817,-0.6737,-40.093,24.1139,13.3934,24.5787,0.6143,10.8148,,,,
5528,Dyrøy,1993-1997,1993,1997,Troms,Nord-Norge,6,496,False,812.0,34.11,33.72,-0.39,1.97,10.42,8.45,6.53,4.57,-1.96,7.14,21.19,14.05,39.29,19.44,-19.85,9.85,6.91,-2.94,0.62,2.11,1.49,0.0,0.12,0.12,0.49,1.17,0.68,0.0,0.35,0.35,-11.4,23.97,11.2,1512.0,7.3212,-5.6217,-15.3618,-18.5185,-39.6825,22.5529,21.8254,-1.0392,8.2344,,,,
5530,Senja,1993-1997,1993,1997,Troms,Nord-Norge,5,611,False,8423.0,37.28,35.58,-1.7,2.8,11.33,8.53,9.6,8.24,-1.36,7.28,19.28,12.0,26.96,14.07,-12.89,13.33,7.18,-6.15,1.86,2.4,0.54,0.0,0.18,0.18,0.59,1.3,0.71,0.28,0.44,0.16,-4.36,11.29,7.76,15224.0,9.6306,-0.335,-4.6922,-10.8382,7.3568,14.9107,23.8636,0.0831,9.7816,,,,
