kode,aar,kom2024,andel,befolkning,metode
0821,1986,4020,1.0,4527,arvet
0822,1986,4020,1.0,4318,arvet
0826,1986,4026,1.0,7201,arvet
0827,1986,4024,1.0,1724,arvet
0828,1986,4022,1.0,3176,arvet
0829,1986,4028,1.0,2956,arvet
0830,1986,4030,1.0,1532,arvet
0831,1986,4032,1.0,1454,arvet
0833,1986,4034,1.0,2750,arvet
0834,1986,4036,1.0,3994,arvet
0901,1986,4201,1.0,6953,arvet
0903,1986,4203,1.0,12160,arvet
0904,1986,4202,1.0,14768,arvet
0911,1986,4211,1.0,2687,arvet
0912,1986,4212,1.0,1825,arvet
0914,1986,4213,1.0,5772,arvet
0918,1986,4203,1.0,7849,arvet
0919,1986,4214,1.0,3849,arvet
0920,1986,4203,1.0,8429,arvet
0921,1986,4203,1.0,4529,arvet
0922,1986,4203,1.0,3944,arvet
0926,1986,4215,1.0,7564,arvet
0928,1986,4216,1.0,3995,arvet
0929,1986,4217,1.0,2107,arvet
0935,1986,4218,1.0,1144,arvet
0937,1986,4219,1.0,3420,arvet
0938,1986,4220,1.0,1499,arvet
0940,1986,4221,1.0,1481,arvet
0941,1986,4222,1.0,694,arvet
1001,1986,4204,1.0,62646,arvet
1002,1986,4205,1.0,12231,arvet
1003,1986,4206,1.0,9504,arvet
1004,1986,4207,1.0,8825,arvet
1014,1986,4223,1.0,11084,arvet
1017,1986,4204,1.0,4794,arvet
1018,1986,4204,1.0,6900,arvet
1021,1986,4205,1.0,2269,arvet
1026,1986,4224,1.0,817,arvet
1027,1986,4225,1.0,1615,arvet
1029,1986,4205,1.0,4119,arvet
1032,1986,4225,1.0,6503,arvet
1034,1986,4226,1.0,1604,arvet
1037,1986,4227,1.0,5677,arvet
1046,1986,4228,1.0,1624,arvet
1101,1986,1101,1.0,12087,arvet
1102,1986,1108,1.0,40856,arvet
1103,1986,1103,1.0,95084,arvet
1106,1986,1106,1.0,26883,arvet
1111,1986,1111,1.0,3483,arvet
1112,1986,1112,1.0,3110,arvet
1114,1986,1114,1.0,2283,arvet
1119,1986,1119,1.0,12715,arvet
1120,1986,1120,1.0,11358,arvet
1121,1986,1121,1.0,11182,arvet
1122,1986,1122,1.0,6238,arvet
1124,1986,1124,1.0,14832,arvet
1127,1986,1127,1.0,6967,arvet
1129,1986,1108,1.0,947,arvet
1130,1986,1130,1.0,9059,arvet
1133,1986,1133,1.0,2860,arvet
1134,1986,1134,1.0,4410,arvet
1135,1986,1135,1.0,5484,arvet
1141,1986,1103,1.0,2750,arvet
1142,1986,1103,1.0,2477,arvet
1144,1986,1144,1.0,518,arvet
1145,1986,1145,1.0,742,arvet
1146,1986,1146,1.0,7613,arvet
1149,1986,1149,1.0,34196,arvet
1151,1986,1151,1.0,252,arvet
1154,1986,1160,1.0,4924,arvet
1201,1986,4601,1.0,207922,arvet
1211,1986,4611,1.0,4086,arvet
1214,1986,1160,1.0,3111,arvet
1216,1986,4612,1.0,4544,arvet
1219,1986,4613,1.0,9502,arvet
1221,1986,4614,1.0,13865,arvet
1222,1986,4615,1.0,2998,arvet
1223,1986,4616,1.0,2893,arvet
1224,1986,4617,1.0,13187,arvet
1227,1986,4618,1.0,1306,arvet
1228,1986,4618,1.0,8659,arvet
1231,1986,4618,1.0,4047,arvet
1232,1986,4619,1.0,1031,arvet
1233,1986,4620,1.0,1281,arvet
1234,1986,4621,1.0,1097,arvet
1235,1986,4621,1.0,14025,arvet
1238,1986,4622,1.0,8754,arvet
1241,1986,4624,1.0,3820,arvet
1242,1986,4623,1.0,2383,arvet
1243,1986,4624,1.0,11763,arvet
1244,1986,4625,1.0,4178,arvet
1245,1986,4626,1.0,4585,arvet
1246,1986,4626,1.0,12793,arvet
1247,1986,4627,1.0,18163,arvet
1251,1986,4628,1.0,4650,arvet
1252,1986,4629,1.0,378,arvet
1253,1986,4630,1.0,6897,arvet
1256,1986,4631,1.0,4151,arvet
1259,1986,4626,1.0,2709,arvet
1260,1986,4631,1.0,4487,arvet
1263,1986,4631,1.0,11091,arvet
1264,1986,4632,1.0,2585,arvet
1265,1986,4633,1.0,795,arvet
1266,1986,4634,1.0,1926,arvet
1401,1986,4602,1.0,9438,arvet
1411,1986,4635,1.0,2664,arvet
1412,1986,4636,1.0,1170,arvet
1413,1986,4637,1.0,1786,arvet
1416,1986,4638,1.0,4909,arvet
1417,1986,4639,1.0,2528,arvet
1418,1986,4640,1.0,1894,arvet
1419,1986,4640,1.0,2839,arvet
1420,1986,4640,1.0,5729,arvet
1421,1986,4641,1.0,1933,arvet
1422,1986,4642,1.0,2263,arvet
1424,1986,4643,1.0,6305,arvet
1426,1986,4644,1.0,5130,arvet
1428,1986,4645,1.0,3412,arvet
1429,1986,4646,1.0,3390,arvet
1430,1986,4647,1.0,2849,arvet
1431,1986,4647,1.0,3023,arvet
1432,1986,4647,1.0,7954,arvet
1433,1986,4647,1.0,2762,arvet
1438,1986,4648,1.0,4802,arvet
1439,1986,4602,1.0,6445,arvet
1441,1986,4649,1.0,3395,arvet
1443,1986,4649,1.0,5304,arvet
1444,1986,1577,1.0,1255,arvet
1445,1986,4650,1.0,6298,arvet
1449,1986,4651,1.0,6629,arvet
1502,1986,1506,1.0,21439,arvet
1503,1986,1505,1.0,17766,arvet
1504,1986,1508,1.0,35157,arvet
1511,1986,1511,1.0,3939,arvet
1514,1986,1514,1.0,3415,arvet
1515,1986,1515,1.0,8069,arvet
1516,1986,1516,1.0,5525,arvet
1517,1986,1517,1.0,4336,arvet
1519,1986,1577,1.0,7819,arvet
1520,1986,1520,1.0,10290,arvet
1523,1986,1508,1.0,1965,arvet
1524,1986,1578,1.0,2086,arvet
1525,1986,1525,1.0,4745,arvet
1526,1986,1578,1.0,1027,arvet
1528,1986,1528,1.0,6753,arvet
1529,1986,1508,1.0,3151,arvet
1531,1986,1531,1.0,6737,arvet
1532,1986,1532,1.0,6150,arvet
1534,1986,1580,1.0,8716,arvet
1535,1986,1535,1.0,6359,arvet
1539,1986,1539,1.0,7874,arvet
1543,1986,1506,1.0,3363,arvet
1545,1986,1506,1.0,2126,arvet
1546,1986,1508,1.0,1610,arvet
1547,1986,1547,1.0,2995,arvet
1548,1986,1579,1.0,8893,arvet
1551,1986,1579,1.0,3084,arvet
1554,1986,1554,1.0,5601,arvet
1556,1986,1505,1.0,4398,arvet
1557,1986,1557,1.0,2964,arvet
1560,1986,1560,1.0,3481,arvet
1563,1986,1563,1.0,7498,arvet
1566,1986,1566,1.0,6485,arvet
1567,1986,5061,1.0,2338,arvet
1569,1986,1576,1.0,2957,arvet
1571,1986,5055,1.0,2111,arvet
1572,1986,1576,1.0,1149,arvet
1573,1986,1573,1.0,2859,arvet
1601,1986,5001,1.0,134362,arvet
1612,1986,5055,1.0,4410,arvet
1613,1986,5055,0.153333,1221,"delt, anslått fra befolkningsendring 2019→2020"
1613,1986,5056,0.339048,1221,"delt, anslått fra befolkningsendring 2019→2020"
1613,1986,5059,0.507619,1221,"delt, anslått fra befolkningsendring 2019→2020"
1617,1986,5056,1.0,4416,arvet
1620,1986,5014,1.0,4445,arvet
1621,1986,5057,1.0,4828,arvet
1622,1986,5059,1.0,2011,arvet
1624,1986,5054,1.0,6808,arvet
1627,1986,5057,1.0,4951,arvet
1630,1986,5058,1.0,3687,arvet
1632,1986,5058,1.0,1286,arvet
1633,1986,5020,1.0,1359,arvet
1634,1986,5021,1.0,6088,arvet
1635,1986,5022,1.0,3043,arvet
1636,1986,5059,1.0,4521,arvet
1638,1986,5059,1.0,9963,arvet
1640,1986,5025,1.0,5408,arvet
1644,1986,5026,1.0,2648,arvet
1648,1986,5027,1.0,6161,arvet
1653,1986,5028,1.0,11934,arvet
1657,1986,5029,1.0,5310,arvet
1662,1986,5001,1.0,3898,arvet
1663,1986,5031,1.0,8926,arvet
1664,1986,5032,1.0,4123,arvet
1665,1986,5033,1.0,993,arvet
1702,1986,5006,1.0,20476,arvet
1703,1986,5007,1.0,11858,arvet
1711,1986,5034,1.0,2868,arvet
1714,1986,5035,1.0,16748,arvet
1717,1986,5036,1.0,2471,arvet
1718,1986,5054,1.0,3647,arvet
1719,1986,5037,1.0,16337,arvet
1721,1986,5038,1.0,13197,arvet
1723,1986,5053,1.0,990,arvet
1724,1986,5006,1.0,3350,arvet
1725,1986,5007,1.0,2052,arvet
1729,1986,5053,1.0,5657,arvet
1736,1986,5041,1.0,2601,arvet
1738,1986,5042,1.0,1782,arvet
1739,1986,5043,1.0,713,arvet
1740,1986,5044,1.0,1270,arvet
1742,1986,5045,1.0,2616,arvet
1743,1986,5046,1.0,1470,arvet
1744,1986,5047,1.0,3681,arvet
1748,1986,5007,1.0,853,arvet
1749,1986,5049,1.0,1547,arvet
1750,1986,5060,1.0,3763,arvet
1751,1986,5060,1.0,5821,arvet
1755,1986,5052,1.0,943,arvet
1804,1986,1804,1.0,34485,arvet
1805,1986,1806,1.0,18750,arvet
1811,1986,1811,1.0,2173,arvet
1812,1986,1812,1.0,2176,arvet
1813,1986,1813,1.0,6832,arvet
1815,1986,1815,1.0,1661,arvet
1816,1986,1816,1.0,749,arvet
1818,1986,1818,1.0,2124,arvet
1820,1986,1820,1.0,7612,arvet
1822,1986,1822,1.0,2429,arvet
1824,1986,1824,1.0,13189,arvet
1825,1986,1825,1.0,1755,arvet
1826,1986,1826,1.0,1768,arvet
1827,1986,1827,1.0,1966,arvet
1828,1986,1828,1.0,1832,arvet
1832,1986,1832,1.0,4935,arvet
1833,1986,1833,1.0,25219,arvet
1834,1986,1834,1.0,2435,arvet
1835,1986,1835,1.0,537,arvet
1836,1986,1836,1.0,1893,arvet
1837,1986,1837,1.0,7007,arvet
1838,1986,1838,1.0,2713,arvet
1839,1986,1839,1.0,1569,arvet
1840,1986,1840,1.0,5274,arvet
1841,1986,1841,1.0,10054,arvet
1842,1986,1804,1.0,1307,arvet
1845,1986,1845,1.0,3017,arvet
1848,1986,1848,1.0,3525,arvet
1849,1986,1875,1.0,2325,arvet
1850,1986,1806,0.422336,2738,"delt, anslått fra befolkningsendring 2019→2020"
1850,1986,1875,0.577664,2738,"delt, anslått fra befolkningsendring 2019→2020"
1851,1986,1851,1.0,2968,arvet
1852,1986,5512,1.0,1945,arvet
1853,1986,1853,1.0,1805,arvet
1854,1986,1806,1.0,3219,arvet
1856,1986,1856,1.0,726,arvet
1857,1986,1857,1.0,948,arvet
1859,1986,1859,1.0,1710,arvet
1860,1986,1860,1.0,10745,arvet
1865,1986,1865,1.0,9503,arvet
1866,1986,1866,1.0,8763,arvet
1867,1986,1867,1.0,4106,arvet
1868,1986,1868,1.0,5082,arvet
1870,1986,1870,1.0,8243,arvet
1871,1986,1871,1.0,6894,arvet
1874,1986,1874,1.0,1534,arvet
1901,1986,5503,1.0,21947,arvet
1902,1986,5501,1.0,48091,arvet
1911,1986,5510,1.0,3723,arvet
1913,1986,5512,1.0,3510,arvet
1915,1986,5503,1.0,806,arvet
1917,1986,5514,1.0,2445,arvet
1919,1986,5516,1.0,1612,arvet
1920,1986,5518,1.0,1192,arvet
1922,1986,5520,1.0,4048,arvet
1923,1986,5522,1.0,2526,arvet
1924,1986,5524,1.0,7499,arvet
1925,1986,5526,1.0,3472,arvet
1926,1986,5528,1.0,1706,arvet
1927,1986,5530,1.0,2137,arvet
1928,1986,5530,1.0,1438,arvet
1929,1986,5530,1.0,1317,arvet
1931,1986,5530,1.0,11176,arvet
1933,1986,5532,1.0,6717,arvet
1936,1986,5534,1.0,2965,arvet
1938,1986,5536,1.0,3735,arvet
1939,1986,5538,1.0,1917,arvet
1940,1986,5540,1.0,2944,arvet
1941,1986,5542,1.0,3320,arvet
1942,1986,5544,1.0,4768,arvet
1943,1986,5546,1.0,1691,arvet
2001,1986,5603,1.0,7087,arvet
2002,1986,5634,1.0,3243,arvet
2003,1986,5607,1.0,5958,arvet
2011,1986,5612,1.0,2925,arvet
2012,1986,5601,1.0,14000,arvet
2014,1986,5614,1.0,1922,arvet
2015,1986,5616,1.0,1537,arvet
2016,1986,5603,1.0,2319,arvet
2017,1986,5603,1.0,1505,arvet
2018,1986,5618,1.0,2018,arvet
2019,1986,5620,1.0,4393,arvet
2020,1986,5622,1.0,4389,arvet
2021,1986,5610,1.0,2694,arvet
2022,1986,5624,1.0,1811,arvet
2023,1986,5626,1.0,1523,arvet
2024,1986,5630,1.0,1533,arvet
2025,1986,5628,1.0,3309,arvet
2027,1986,5636,1.0,1006,arvet
2028,1986,5632,1.0,2643,arvet
2030,1986,5605,1.0,9853,arvet
0101,1987,3101,1.0,25807,arvet
0102,1987,3105,1.0,11859,arvet
0103,1987,3107,1.0,26664,arvet
0104,1987,3103,1.0,24668,arvet
0111,1987,3110,1.0,2968,arvet
0113,1987,3107,1.0,11708,arvet
0114,1987,3105,1.0,2184,arvet
0115,1987,3105,1.0,13899,arvet
0118,1987,3124,1.0,1509,arvet
0119,1987,3122,1.0,3435,arvet
0121,1987,3226,1.0,696,arvet
0122,1987,3118,1.0,4725,arvet
0123,1987,3118,1.0,4250,arvet
0124,1987,3118,1.0,12766,arvet
0125,1987,3118,1.0,9157,arvet
0127,1987,3116,1.0,3140,arvet
0128,1987,3120,1.0,7139,arvet
0130,1987,3105,1.0,18557,arvet
0131,1987,3107,1.0,5713,arvet
0133,1987,3107,1.0,7407,arvet
0134,1987,3107,1.0,12499,arvet
0135,1987,3112,1.0,5864,arvet
0136,1987,3103,1.0,11592,arvet
0137,1987,3114,1.0,3742,arvet
0138,1987,3118,1.0,3783,arvet
0211,1987,3216,1.0,11220,arvet
0213,1987,3207,1.0,21720,arvet
0214,1987,3218,1.0,11403,arvet
0215,1987,3214,1.0,9740,arvet
0216,1987,3212,1.0,11998,arvet
0217,1987,3207,1.0,19369,arvet
0219,1987,3201,1.0,86541,arvet
0220,1987,3203,1.0,39704,arvet
0221,1987,3226,1.0,12534,arvet
0226,1987,3205,1.0,10596,arvet
0227,1987,3205,1.0,8199,arvet
0228,1987,3224,1.0,13514,arvet
0229,1987,3220,1.0,7729,arvet
0230,1987,3222,1.0,24364,arvet
0231,1987,3205,1.0,32794,arvet
0233,1987,3232,1.0,15411,arvet
0234,1987,3230,1.0,3578,arvet
0235,1987,3209,1.0,17671,arvet
0236,1987,3228,1.0,15132,arvet
0237,1987,3240,1.0,15967,arvet
0238,1987,3238,1.0,7858,arvet
0239,1987,3242,1.0,2503,arvet
0301,1987,0301,1.0,451345,arvet
0401,1987,3403,1.0,15718,arvet
0402,1987,3401,1.0,17522,arvet
0412,1987,3411,1.0,30606,arvet
0414,1987,3403,1.0,8850,arvet
0415,1987,3412,1.0,6977,arvet
0417,1987,3413,1.0,17670,arvet
0418,1987,3414,1.0,5320,arvet
0419,1987,3415,1.0,7459,arvet
0420,1987,3416,1.0,6394,arvet
0423,1987,3417,1.0,6020,arvet
0425,1987,3418,1.0,8642,arvet
0426,1987,3419,1.0,4568,arvet
0427,1987,3420,1.0,16934,arvet
0428,1987,3421,1.0,7344,arvet
0429,1987,3422,1.0,4564,arvet
0430,1987,3423,1.0,3442,arvet
0432,1987,3424,1.0,2634,arvet
0434,1987,3425,1.0,1721,arvet
0436,1987,3426,1.0,1857,arvet
0437,1987,3427,1.0,5391,arvet
0438,1987,3428,1.0,2458,arvet
0439,1987,3429,1.0,2036,arvet
0441,1987,3430,1.0,2027,arvet
0501,1987,3405,1.0,22193,arvet
0502,1987,3407,1.0,25937,arvet
0511,1987,3431,1.0,3134,arvet
0512,1987,3432,1.0,2467,arvet
0513,1987,3433,1.0,2673,arvet
0514,1987,3434,1.0,2709,arvet
0515,1987,3435,1.0,4048,arvet
0516,1987,3436,1.0,6233,arvet
0517,1987,3437,1.0,6535,arvet
0519,1987,3438,1.0,3526,arvet
0520,1987,3439,1.0,5200,arvet
0521,1987,3440,1.0,4470,arvet
0522,1987,3441,1.0,6483,arvet
0528,1987,3442,1.0,14119,arvet
0529,1987,3443,1.0,13511,arvet
0532,1987,3236,1.0,5735,arvet
0533,1987,3234,1.0,7676,arvet
0534,1987,3446,1.0,12486,arvet
0536,1987,3447,1.0,6305,arvet
0538,1987,3448,1.0,7022,arvet
0540,1987,3449,1.0,3618,arvet
0541,1987,3450,1.0,1657,arvet
0542,1987,3451,1.0,6541,arvet
0543,1987,3452,1.0,2404,arvet
0544,1987,3453,1.0,3082,arvet
0545,1987,3454,1.0,1748,arvet
0602,1987,3301,1.0,51350,arvet
0604,1987,3303,1.0,21205,arvet
0605,1987,3305,1.0,26784,arvet
0612,1987,3310,1.0,4270,arvet
0615,1987,3320,1.0,1252,arvet
0616,1987,3322,1.0,3376,arvet
0617,1987,3324,1.0,4095,arvet
0618,1987,3326,1.0,1624,arvet
0619,1987,3328,1.0,4694,arvet
0620,1987,3330,1.0,4663,arvet
0621,1987,3332,1.0,3764,arvet
0622,1987,3318,1.0,2348,arvet
0623,1987,3316,1.0,12184,arvet
0624,1987,3314,1.0,14291,arvet
0625,1987,3301,1.0,18363,arvet
0626,1987,3312,1.0,18449,arvet
0627,1987,3203,1.0,13764,arvet
0628,1987,3203,1.0,7854,arvet
0631,1987,3334,1.0,2543,arvet
0632,1987,3336,1.0,1449,arvet
0633,1987,3338,1.0,2953,arvet
0702,1987,3903,1.0,9007,arvet
0703,1987,3901,1.0,12994,eksakt-sum
0705,1987,3905,1.0,8896,eksakt-sum
0706,1987,3907,1.0,35453,arvet
0707,1987,3909,1.0,8045,eksakt-sum
0708,1987,3909,1.0,2538,eksakt-sum
0711,1987,3301,1.0,5612,arvet
0713,1987,3903,1.0,6688,arvet
0714,1987,3903,1.0,2725,arvet
0716,1987,3905,1.0,3740,arvet
0717,1987,3901,1.0,9098,eksakt-sum
0718,1987,3905,1.0,3364,arvet
0719,1987,3907,1.0,4349,arvet
0720,1987,3907,1.0,8574,arvet
0721,1987,3905,1.0,21948,eksakt-sum
0722,1987,3911,1.0,17384,arvet
0723,1987,3911,1.0,3652,arvet
0725,1987,3909,1.0,7878,eksakt-sum
0726,1987,3909,1.0,8138,eksakt-sum
0727,1987,3909,1.0,10449,eksakt-sum
0728,1987,3909,1.0,2350,arvet
0805,1987,4001,1.0,31294,arvet
0806,1987,4003,1.0,47258,arvet
0807,1987,4005,1.0,12491,arvet
0811,1987,4010,1.0,2133,arvet
0814,1987,4012,1.0,13384,arvet
0815,1987,4014,1.0,10855,arvet
0817,1987,4016,1.0,4504,arvet
0819,1987,4018,1.0,7093,arvet
0821,1987,4020,1.0,4575,arvet
0822,1987,4020,1.0,4346,arvet
0826,1987,4026,1.0,7106,arvet
0827,1987,4024,1.0,1723,arvet
0828,1987,4022,1.0,3173,arvet
0829,1987,4028,1.0,2933,arvet
0830,1987,4030,1.0,1510,arvet
0831,1987,4032,1.0,1441,arvet
0833,1987,4034,1.0,2749,arvet
0834,1987,4036,1.0,3950,arvet
0901,1987,4201,1.0,6979,arvet
0903,1987,4203,1.0,12230,arvet
0904,1987,4202,1.0,14959,arvet
0911,1987,4211,1.0,2664,arvet
0912,1987,4212,1.0,1845,arvet
0914,1987,4213,1.0,5830,arvet
0918,1987,4203,1.0,7925,arvet
0919,1987,4214,1.0,3910,arvet
0920,1987,4203,1.0,8562,arvet
0921,1987,4203,1.0,4530,arvet
0922,1987,4203,1.0,3955,arvet
0926,1987,4215,1.0,7728,arvet
0928,1987,4216,1.0,4038,arvet
0929,1987,4217,1.0,2090,arvet
0935,1987,4218,1.0,1151,arvet
0937,1987,4219,1.0,3398,arvet
0938,1987,4220,1.0,1454,arvet
0940,1987,4221,1.0,1460,arvet
0941,1987,4222,1.0,706,arvet
1001,1987,4204,1.0,63314,arvet
1002,1987,4205,1.0,12267,arvet
1003,1987,4206,1.0,9506,arvet
1004,1987,4207,1.0,8774,arvet
1014,1987,4223,1.0,11151,arvet
1017,1987,4204,1.0,4879,arvet
1018,1987,4204,1.0,7028,arvet
1021,1987,4205,1.0,2259,arvet
1026,1987,4224,1.0,804,arvet
1027,1987,4225,1.0,1624,arvet
1029,1987,4205,1.0,4085,arvet
1032,1987,4225,1.0,6577,arvet
1034,1987,4226,1.0,1606,arvet
1037,1987,4227,1.0,5671,arvet
1046,1987,4228,1.0,1678,arvet
1101,1987,1101,1.0,12159,arvet
1102,1987,1108,1.0,41945,arvet
1103,1987,1103,1.0,95463,arvet
1106,1987,1106,1.0,26884,arvet
1111,1987,1111,1.0,3487,arvet
1112,1987,1112,1.0,3109,arvet
1114,1987,1114,1.0,2305,arvet
1119,1987,1119,1.0,12802,arvet
1120,1987,1120,1.0,11565,arvet
1121,1987,1121,1.0,11353,arvet
1122,1987,1122,1.0,6608,arvet
1124,1987,1124,1.0,14981,arvet
1127,1987,1127,1.0,7151,arvet
1129,1987,1108,1.0,942,arvet
1130,1987,1130,1.0,9221,arvet
1133,1987,1133,1.0,2837,arvet
1134,1987,1134,1.0,4281,arvet
1135,1987,1135,1.0,5482,arvet
1141,1987,1103,1.0,2794,arvet
1142,1987,1103,1.0,2504,arvet
1144,1987,1144,1.0,506,arvet
1145,1987,1145,1.0,739,arvet
1146,1987,1146,1.0,7757,arvet
1149,1987,1149,1.0,34554,arvet
1151,1987,1151,1.0,244,arvet
1154,1987,1160,1.0,4887,arvet
1201,1987,4601,1.0,208886,arvet
1211,1987,4611,1.0,4070,arvet
1214,1987,1160,1.0,3086,arvet
1216,1987,4612,1.0,4567,arvet
1219,1987,4613,1.0,9525,arvet
1221,1987,4614,1.0,14012,arvet
1222,1987,4615,1.0,3014,arvet
1223,1987,4616,1.0,2903,arvet
1224,1987,4617,1.0,13140,arvet
1227,1987,4618,1.0,1285,arvet
1228,1987,4618,1.0,8459,arvet
1231,1987,4618,1.0,4014,arvet
1232,1987,4619,1.0,1040,arvet
1233,1987,4620,1.0,1250,arvet
1234,1987,4621,1.0,1078,arvet
1235,1987,4621,1.0,14030,arvet
1238,1987,4622,1.0,8693,arvet
1241,1987,4624,1.0,3798,arvet
