kom2024,parti,stemmer
1835,02,23
1835,03,54
1835,04,61
1835,05,47
1835,06,35
1835,07,6
1835,10,3
1835,15,4
1836,01,340
1836,02,91
1836,03,146
1836,04,169
1836,05,107
1836,06,85
1836,07,25
1836,10,2
1836,14,2
1836,15,9
1837,01,1543
1837,02,426
1837,03,768
1837,04,463
1837,05,204
1837,06,513
1837,07,118
1837,10,11
1837,14,13
1837,15,59
1838,01,631
1838,02,141
1838,03,314
1838,04,174
1838,05,99
1838,06,146
1838,07,41
1838,10,9
1838,14,2
1838,15,6
1839,01,431
1839,02,74
1839,03,126
1839,04,51
1839,05,122
1839,06,88
1839,07,7
1839,10,2
1839,14,4
1839,15,12
1840,01,1303
1840,02,263
1840,03,482
1840,04,153
1840,05,147
1840,06,500
1840,07,101
1840,10,8
1840,14,17
1840,15,43
1841,01,3191
1841,02,725
1841,03,1226
1841,04,313
1841,05,277
1841,06,1001
1841,07,177
1841,10,15
1841,14,43
1841,15,85
1845,01,780
1845,02,161
1845,03,251
1845,04,117
1845,05,155
1845,06,208
1845,07,23
1845,10,7
1845,14,5
1845,15,10
1848,01,598
1848,02,154
1848,03,295
1848,04,207
1848,05,271
1848,06,207
1848,07,62
1848,10,9
1848,14,11
1848,15,18
1851,01,620
1851,02,172
1851,03,457
1851,04,93
1851,05,94
1851,06,217
1851,07,67
1851,10,8
1851,14,6
1851,15,7
1853,01,356
1853,02,113
1853,03,181
1853,04,81
1853,05,137
1853,06,104
1853,07,45
1853,10,9
1853,14,7
1853,15,9
1856,01,202
1856,02,20
1856,03,48
1856,04,18
1856,05,24
1856,06,49
1856,07,25
1856,10,1
1857,01,249
1857,02,52
1857,03,56
1857,04,70
1857,05,21
1857,06,48
1857,07,3
1857,10,5
1857,15,7
1859,01,343
1859,02,76
1859,03,132
1859,04,63
1859,05,112
1859,06,171
1859,07,17
1859,10,3
1859,15,12
1860,01,1839
1860,02,736
1860,03,1122
1860,04,719
1860,05,703
1860,06,684
1860,07,107
1860,10,111
1860,14,19
1860,15,50
1865,01,1731
1865,02,705
1865,03,1115
1865,04,250
1865,05,273
1865,06,750
1865,07,125
1865,10,33
1865,14,13
1865,15,112
1866,01,1784
1866,02,605
1866,03,853
1866,04,492
1866,05,298
1866,06,690
1866,07,149
1866,10,53
1866,14,22
1866,15,45
1867,01,788
1867,02,334
1867,03,381
1867,04,236
1867,05,141
1867,06,333
1867,07,100
1867,10,17
1867,14,7
1867,15,17
1868,01,907
1868,02,267
1868,03,552
1868,04,375
1868,05,155
1868,06,345
1868,07,78
1868,10,15
1868,14,4
1868,15,17
1870,01,1679
1870,02,592
1870,03,1085
1870,04,317
1870,05,259
1870,06,665
1870,07,165
1870,10,20
1870,14,20
1870,15,38
1871,01,1604
1871,02,432
1871,03,962
1871,04,223
1871,05,283
1871,06,405
1871,07,192
1871,10,25
1871,14,10
1871,15,11
1874,01,375
1874,02,63
1874,03,80
1874,04,56
1874,05,67
1874,06,181
1874,07,9
1874,10,4
1874,14,5
1874,15,5
1875,01,1140
1875,02,236
1875,03,430
1875,04,350
1875,05,221
1875,06,398
1875,07,75
1875,10,11
1875,14,14
1875,15,25
3101,01,7759
3101,02,1971
3101,03,2382
3101,04,1558
3101,05,829
3101,06,1522
3101,07,216
3101,08,211
3101,10,66
3101,15,82
3103,01,8129
3103,02,3933
3103,03,6042
3103,04,992
3103,05,649
3103,06,2514
3103,07,465
3103,08,98
3103,10,161
3103,15,189
3105,01,14671
3105,02,3559
3105,03,4709
3105,04,2377
3105,05,1138
3105,06,2788
3105,07,467
3105,08,111
3105,10,95
3105,15,192
3107,01,17442
3107,02,5345
3107,03,8900
3107,04,3293
3107,05,1176
3107,06,5145
3107,07,855
3107,08,235
3107,10,164
3107,15,201
3110,01,644
3110,02,342
3110,03,506
3110,04,176
3110,05,47
3110,06,215
3110,07,42
3110,08,11
3110,10,5
3110,15,2
3112,01,1208
3112,02,681
3112,03,692
3112,04,468
3112,05,478
3112,06,247
