kom2024,Gjeld,Brutto,gjeldsgrad
1505,829000,504500,1.643
1506,835600,531300,1.573
1508,894600,539500,1.658
1511,436200,481800,0.905
1514,514000,476500,1.079
1515,767900,549800,1.397
1516,831900,533300,1.56
1517,663700,484100,1.371
1520,702900,493600,1.424
1525,508200,491700,1.034
1528,609300,485200,1.256
1531,877700,509900,1.721
1532,908000,540200,1.681
1535,632600,492000,1.286
1539,603300,501700,1.203
1547,780600,505200,1.545
1554,727900,522400,1.393
1557,579800,466800,1.242
1560,558600,464400,1.203
1563,607700,503000,1.208
1566,586200,472700,1.24
1573,583400,493500,1.182
1576,549000,483000,1.137
1577,673700,452200,1.49
1578,477400,453800,1.052
1579,763600,499200,1.53
5001,1000900,536800,1.865
5006,773600,466600,1.658
5007,733600,482100,1.522
5014,803200,881100,0.912
5020,444000,453700,0.979
5021,675000,484700,1.393
5022,475600,446400,1.065
5025,674000,480000,1.404
5026,495800,450000,1.102
5027,637000,466100,1.367
5028,877500,494800,1.773
5029,980100,514500,1.905
5031,1040800,544100,1.913
5032,645200,475200,1.358
5033,457400,460700,0.993
5034,508500,418800,1.214
5035,870900,486200,1.791
5036,702700,471400,1.491
5037,860000,493500,1.743
5038,830500,467200,1.778
5041,546800,467300,1.17
5042,416300,449400,0.926
5043,351800,426200,0.825
5044,465100,459900,1.011
5045,591000,470200,1.257
5046,590500,461200,1.28
5047,750600,495300,1.515
5049,553000,548200,1.009
5052,471600,500100,0.943
5053,767900,500200,1.535
5054,618500,458200,1.35
5055,574100,488900,1.174
5056,736300,494700,1.488
5057,793400,484900,1.636
5058,590200,488900,1.207
5059,724000,478900,1.512
5060,779100,567200,1.374
5061,559900,451400,1.24
1804,990800,542400,1.827
1806,775900,496100,1.564
1811,341000,509700,0.669
1812,631100,498200,1.267
1813,771800,584700,1.32
1815,527900,554700,0.952
1816,545200,546200,0.998
1818,544300,502100,1.084
1820,766600,488000,1.571
1822,680100,461000,1.475
1824,772700,488400,1.582
1825,474400,440600,1.077
1826,327800,409500,0.8
1827,546900,512100,1.068
1828,537800,465200,1.156
1832,613100,451700,1.357
1833,914500,490900,1.863
1834,530500,626300,0.847
1835,408100,486600,0.839
1836,447900,465000,0.963
1837,590200,496500,1.189
1838,533100,472400,1.128
1839,318200,404900,0.786
1840,515600,468300,1.101
1841,665100,483400,1.376
1845,440800,441800,0.998
1848,527000,494300,1.066
1851,465800,472400,0.986
1853,455600,426200,1.069
1856,455600,522400,0.872
1857,413900,495900,0.835
1859,508100,480000,1.059
1860,700200,494000,1.417
1865,739200,515200,1.435
1866,664500,538200,1.235
1867,511200,622600,0.821
1868,585700,494000,1.186
1870,753700,520100,1.449
1871,513800,488600,1.052
1874,461100,499000,0.924
1875,395500,441500,0.896
5501,1039000,529600,1.962
5503,797900,512100,1.558
5601,955600,505900,1.889
5634,458500,436700,1.05
5607,634000,487500,1.301
5603,866500,522200,1.659
5510,549400,449700,1.222
5512,546000,467100,1.169
5514,327500,482400,0.679
5516,453700,463300,0.979
5518,434000,421300,1.03
5520,611100,502100,1.217
5522,403800,449400,0.899
5524,581500,497500,1.169
5526,566800,480600,1.179
5528,415900,450400,0.923
5530,613900,494400,1.242
5532,504500,451900,1.116
5534,590100,468700,1.259
5536,509900,448800,1.136
5538,463800,436200,1.063
5540,451300,422100,1.069
5542,549900,461000,1.193
5544,600200,468800,1.28
5546,456800,432000,1.057
5612,457400,407100,1.124
5614,358500,429200,0.835
5616,382700,438300,0.873
5618,408100,485100,0.841
5620,534100,481900,1.108
5622,602800,470900,1.28
5610,565600,452500,1.25
5624,406300,457500,0.888
5626,362600,428400,0.846
5630,433200,488600,0.887
5628,550800,474900,1.16
5636,476100,449100,1.06
5632,437700,466900,0.937
5605,754500,485100,1.555
