kom2024,aar,stemmeberettigede,avgitte_stemmer,godkjente_stemmer,forkastede_stemmer,blanke_stemmer,rettede_stemmer,forhandsstemmer,forhandsstemmer_prosent,valgdeltakelse_prosent
5021,2015,5341,3199,3169,1,29,1881,775,24.23,59.9
5022,2015,2049,1293,1275,4,14,801,223,17.25,63.1
5025,2015,4602,3286,3239,1,46,1666,543,16.52,71.4
5026,2015,1627,1168,1147,1,20,614,249,21.32,71.8
5027,2015,4864,2996,2977,5,14,1550,661,22.06,61.6
5028,2015,12071,7339,7276,10,53,3262,1518,20.68,60.8
5029,2015,5651,3509,3489,0,20,1678,536,15.28,62.1
5031,2015,10097,6139,6080,21,38,2290,1645,26.8,60.8
5032,2015,3220,2074,2055,1,18,1078,310,14.95,64.4
5033,2015,710,554,545,1,8,349,173,31.23,78.0
5034,2015,2014,1291,1274,3,14,843,356,27.58,64.1
5035,2015,17601,11036,10952,17,67,5198,2516,22.8,62.7
5036,2015,2011,1315,1303,3,9,819,244,18.56,65.4
5037,2015,14958,8900,8839,6,55,4029,2327,26.15,59.5
5038,2015,11495,6311,6272,3,36,2802,1877,29.74,54.9
5041,2015,1701,1228,1222,1,5,669,261,21.25,72.2
5042,2015,1099,712,705,3,4,444,151,21.21,64.8
5043,2015,383,289,286,1,2,196,94,32.53,75.5
5044,2015,713,492,482,1,9,297,128,26.02,69.0
5045,2015,1919,1330,1324,0,6,637,309,23.23,69.3
5046,2015,939,713,713,0,0,419,141,19.78,75.9
5047,2015,2835,1874,1866,1,7,901,342,18.25,66.1
5049,2015,896,588,586,1,1,392,157,26.7,65.6
5052,2015,479,323,306,0,17,213,75,23.22,67.4
5053,2015,7926,5376,5332,10,34,2613,1107,20.59,67.82
5054,2015,5127,3271,3250,4,17,1837,665,20.33,63.8
5055,2015,4119,2628,2609,1,18,1335,439,16.7,63.8
5056,2015,3550,1839,1831,3,5,980,452,24.58,51.8
5057,2015,7773,4625,4566,12,47,2616,1142,24.69,59.5
5058,2015,2597,1670,1659,5,6,945,343,20.54,64.3
5059,2015,13591,8198,8140,11,47,4100,1845,22.51,60.32
5060,2015,7286,4243,4198,20,25,2522,857,20.2,58.24
5061,2015,1604,1105,1086,0,19,664,245,22.17,68.9
5501,2015,55987,33704,33348,64,292,15085,8676,25.74,60.2
5503,2015,19241,10602,10525,7,70,5660,2415,22.78,55.1
5510,2015,2396,1368,1354,5,9,741,259,18.93,57.1
5512,2015,3432,2166,2154,3,9,1296,417,19.25,63.11
5514,2015,1164,703,698,1,4,534,193,27.45,60.4
5516,2015,901,603,594,3,6,364,176,29.19,66.9
5518,2015,790,580,573,4,3,356,115,19.83,73.4
5520,2015,3099,1850,1818,6,26,1014,391,21.14,59.7
5522,2015,1721,1115,1092,4,19,670,240,21.52,64.8
5524,2015,5450,3030,2996,10,24,1708,526,17.36,55.6
5526,2015,2647,1567,1554,3,10,849,289,18.44,59.2
5528,2015,957,674,666,2,6,357,158,23.44,70.4
5530,2015,11376,6316,6257,11,48,3654,1536,24.32,55.52
5532,2015,4545,2559,2540,4,15,1385,384,15.01,56.3
5534,2015,1881,1014,996,5,13,658,203,20.02,53.9
5536,2015,2355,1571,1557,6,8,634,447,28.45,66.7
5538,2015,1492,1131,1126,0,5,847,249,22.02,75.8
5540,2015,1771,1057,1051,0,6,706,122,11.54,59.7
5542,2015,2265,1341,1337,2,2,918,273,20.36,59.2
5544,2015,3840,2135,2108,4,23,1212,476,22.3,55.6
5546,2015,1002,649,645,1,3,447,249,38.37,64.8
