kom2024,aar,stemmeberettigede,avgitte_stemmer,godkjente_stemmer,forkastede_stemmer,blanke_stemmer,rettede_stemmer,forhandsstemmer,forhandsstemmer_prosent,valgdeltakelse_prosent
1875,2019,2279,1593,1586,2,6,1232,599,37.6,69.9
3101,2019,25295,15152,15069,65,225,5629,3120,20.59,59.9
3103,2019,39350,24318,24173,31,309,9874,6186,25.44,61.8
3105,2019,44860,25615,25431,127,307,9853,5538,21.62,57.1
3107,2019,65845,38190,37974,34,477,14662,11917,31.2,58.0
3110,2019,3910,2796,2789,4,22,1221,807,28.86,71.5
3112,2019,5984,3752,3706,25,35,1419,916,24.41,62.7
3114,2019,4324,2733,2710,0,47,1346,396,14.49,63.2
3116,2019,2989,1904,1891,8,26,1148,377,19.8,63.7
3118,2019,35439,20413,20307,72,295,10279,6144,30.1,57.6
3120,2019,6570,4047,4019,6,49,1966,607,15.0,61.6
3122,2019,3006,1966,1949,10,61,856,441,22.43,65.4
3124,2019,1114,853,846,5,12,462,144,16.88,76.6
3201,2019,97045,68708,68541,74,345,23516,34398,50.06,70.8
3203,2019,72075,49155,48965,58,339,21698,17084,34.76,68.2
3205,2019,66010,40002,39753,130,342,15360,10818,27.04,60.6
3207,2019,45043,31395,31260,67,258,11533,8045,25.63,69.7
3209,2019,29386,16662,16492,61,214,6777,5048,30.3,56.7
3212,2019,15043,10921,10900,29,90,4560,4294,39.32,72.6
3214,2019,12647,8878,8828,29,57,3731,2672,30.1,70.2
3216,2019,13702,8906,8868,6,78,4031,2206,24.77,65.0
3218,2019,15375,9917,9859,41,135,3820,2803,28.26,64.5
3220,2019,8433,5296,5257,32,53,2363,1071,20.22,62.8
3222,2019,31609,19092,18941,83,267,6469,5475,28.68,60.4
3224,2019,13845,8598,8550,37,89,3520,2488,28.94,62.1
3226,2019,13706,8525,8467,23,95,3859,1871,21.95,62.2
3228,2019,17859,10876,10822,39,164,4632,2759,25.37,60.9
3230,2019,5224,3479,3437,13,18,1481,622,17.88,66.6
3232,2019,18292,12274,12147,59,121,4392,2706,22.05,67.1
3234,2019,7137,4739,4708,16,87,2352,1058,22.33,66.4
3236,2019,5459,3494,3474,8,42,1730,959,27.45,64.0
3238,2019,10573,6122,6072,23,61,2656,1359,22.2,57.9
3240,2019,19499,11524,11452,47,112,4870,2814,24.42,59.1
3242,2019,2292,1529,1514,18,12,753,492,32.18,66.7
3301,2019,79551,48367,48164,56,482,19891,18852,38.98,60.8
3303,2019,21796,13470,13408,9,157,5348,4155,30.85,61.8
3305,2019,24619,14525,14360,24,191,5828,6479,44.61,59.0
3310,2019,5275,3534,3511,20,40,1633,1249,35.34,67.0
3312,2019,20456,13317,13230,79,152,5225,3690,27.71,65.1
3314,2019,15160,8884,8864,17,67,3825,2250,25.33,58.6
3316,2019,11250,6975,6939,41,86,2971,1907,27.34,62.0
3318,2019,1739,1155,1140,4,24,602,315,27.27,66.4
3320,2019,853,629,617,12,5,430,205,32.59,73.7
3322,2019,2750,1790,1778,4,16,1144,483,26.98,65.1
3324,2019,3669,2319,2312,8,16,1393,802,34.58,63.2
3326,2019,1903,1336,1333,3,7,933,434,32.49,70.2
3328,2019,3729,2599,2591,9,22,1538,762,29.32,69.7
3330,2019,3644,2372,2339,18,31,1453,808,34.06,65.1
3332,2019,2795,1864,1858,5,18,914,336,18.03,66.7
3334,2019,2121,1385,1379,2,15,723,305,22.02,65.3
3336,2019,1163,793,787,1,41,410,158,19.92,68.2
3338,2019,2014,1301,1300,0,18,756,223,17.14,64.6
3401,2019,14614,8783,8811,8,77,3656,3049,34.71,60.1
3403,2019,25185,16219,16169,27,116,6894,5740,35.39,64.4
3405,2019,22636,14555,14509,14,110,5214,6297,43.26,64.3
3407,2019,24509,14436,14397,17,139,6316,3687,25.54,58.9
3411,2019,27654,16371,16289,24,103,6420,5815,35.52,59.2
3412,2019,6166,3983,3927,14,49,1602,976,24.5,64.6
3413,2019,16707,11411,11324,29,92,4680,2756,24.15,68.3
3414,2019,4222,2664,2629,12,99,1012,808,30.33,63.1
3415,2019,6496,3969,3939,7,47,1545,1233,31.07,61.1
3416,2019,5217,3240,3224,3,42,1635,1044,32.22,62.1
3417,2019,3995,2465,2450,8,51,1097,594,24.1,61.7
3418,2019,6042,3722,3689,17,48,1806,1337,35.92,61.6
3419,2019,3075,2057,2048,6,22,1169,741,36.02,66.9
3420,2019,16897,10172,10106,18,200,4237,2468,24.26,60.2
3421,2019,5450,3804,3788,2,33,1892,997,26.21,69.8
3422,2019,3549,2190,2170,12,56,1061,578,26.39,61.7
3423,2019,2006,1358,1350,5,26,757,478,35.2,67.7
3424,2019,1503,1144,1128,4,11,619,343,29.98,76.1
3425,2019,1066,828,823,2,16,435,232,28.02,77.7
3426,2019,1229,924,921,3,13,515,189,20.45,75.2
3427,2019,4427,3050,3031,4,12,1606,810,26.56,68.9
3428,2019,1887,1387,1382,3,15,819,290,20.91,73.5
3429,2019,1295,1006,1000,6,9,572,278,27.63,77.7
3430,2019,1593,1147,1143,0,5,678,245,21.36,72.0
3431,2019,2174,1435,1430,4,23,814,537,37.42,66.0
3432,2019,1584,1126,1116,3,8,661,481,42.72,71.1
3433,2019,1820,1283,1282,1,12,697,704,54.87,70.5
3434,2019,1834,1174,1167,3,19,669,471,40.12,64.0
3435,2019,2898,2008,1998,4,29,1026,698,34.76,69.3
3436,2019,4667,2945,2925,4,17,1405,840,28.52,63.1
3437,2019,4723,3339,3311,8,18,1510,1262,37.8,70.7
3438,2019,2486,1581,1572,5,12,755,347,21.95,63.6
3439,2019,3600,2257,2244,4,27,894,624,27.65,62.7
3440,2019,4113,2665,2646,11,25,1341,837,31.41,64.8
3441,2019,5027,3177,3137,6,23,1223,1127,35.47,63.2
3442,2019,12074,7329,7303,27,65,2859,1582,21.59,60.7
3443,2019,10909,6698,6618,8,79,2867,1164,17.38,61.4
3446,2019,10961,7004,6980,13,57,3078,2424,34.61,63.9
3447,2019,4599,2764,2746,9,29,1359,764,27.64,60.1
3448,2019,5402,3398,3373,1,28,1598,1040,30.61,62.9
3449,2019,2419,1587,1575,4,12,1002,342,21.55,65.6
3450,2019,1062,740,738,2,10,490,298,40.27,69.7
3451,2019,5246,3200,3188,15,34,1606,955,29.84,61.0
3452,2019,1698,1109,1101,5,12,662,273,24.62,65.3
3453,2019,2570,1614,1596,6,10,951,403,24.97,62.8
3454,2019,1240,904,897,2,3,693,371,41.04,72.9
3901,2019,21880,13850,13775,36,156,5726,4630,33.43,63.3
3903,2019,19453,12411,12344,70,146,5604,3389,27.31,63.8
3905,2019,44421,28385,28248,34,318,11899,6492,22.87,63.9
3907,2019,50054,30533,30297,28,234,13711,8178,26.78,61.0
3909,2019,37967,23008,22841,59,208,9439,5200,22.6,60.6
3911,2019,21332,14015,13956,27,135,5185,4324,30.85,65.7
4001,2019,29162,17672,17623,11,215,7603,4240,23.99,60.6
4003,2019,43779,25523,25413,31,231,11331,6560,25.7,58.3
4005,2019,10498,6498,6464,0,54,3209,1914,29.46,61.9
4010,2019,1877,1331,1319,8,15,635,307,23.07,70.9
4012,2019,11351,7015,6976,21,50,3220,1623,23.14,61.8
4014,2019,8527,5551,5537,13,41,2692,1878,33.83,65.1
4016,2019,3275,2201,2192,6,20,1032,553,25.12,67.2
4018,2019,5290,3343,3325,12,35,1356,806,24.11,63.2
4020,2019,8126,4786,4775,17,44,2370,1681,35.12,58.9
4022,2019,2317,1587,1579,4,13,829,465,29.3,68.5
4024,2019,1248,922,918,3,19,486,178,19.31,73.9
4026,2019,4702,3122,3128,10,46,1651,946,30.3,66.4
4028,2019,1988,1292,1275,2,20,640,322,24.92,65.0
4030,2019,1145,854,850,4,5,557,271,31.73,74.6
4032,2019,1021,763,763,0,9,463,190,24.9,74.7
4034,2019,1804,1310,1279,8,9,634,332,25.34,72.6
4036,2019,2952,1987,1966,11,9,951,520,26.17,67.3
4201,2019,5610,3770,3758,6,22,2122,968,25.68,67.2
4202,2019,17957,10846,10821,11,88,5669,3883,35.8,60.4
4203,2019,35555,22044,22037,13,135,11229,6339,28.76,62.0
4204,2019,86276,56597,56381,36,382,27955,18630,32.92,65.6
4205,2019,17774,11802,11787,20,50,7328,4079,34.56,66.4
4206,2019,7624,4963,4942,18,39,3100,1470,29.62,65.1
4207,2019,7055,4508,4488,14,21,2898,1431,31.74,63.9
4211,2019,1964,1259,1249,2,36,707,408,32.41,64.1
4212,2019,1595,1252,1247,6,10,786,376,30.03,78.5
4213,2019,4901,3303,3276,0,16,1875,1286,38.93,67.4
4214,2019,4538,2818,2801,9,23,1622,745,26.44,62.1
4215,2019,8484,5523,5515,1,39,2878,1529,27.68,65.1
4216,2019,3877,2512,2491,10,13,1614,931,37.06,64.8
4217,2019,1465,977,969,4,15,698,217,22.21,66.7
4218,2019,978,707,717,2,6,458,152,21.5,72.3
4219,2019,2804,1842,1835,3,12,1111,603,32.74,65.7
4220,2019,969,708,704,3,10,453,179,25.28,73.1
4221,2019,950,672,665,0,13,454,237,35.27,70.7
4222,2019,751,530,526,3,3,391,123,23.21,70.6
4223,2019,11252,7055,7002,13,38,4063,1496,21.2,62.7
4224,2019,732,580,579,0,4,475,159,27.41,79.2
4225,2019,7737,5060,5040,14,15,3219,1446,28.58,65.4
4226,2019,1282,982,978,3,15,765,140,14.26,76.6
4227,2019,4651,3195,3184,6,23,2153,1084,33.93,68.7
4228,2019,1410,1111,1107,3,7,865,521,46.89,78.8
4601,2019,223674,152322,151680,232,1406,52764,65000,42.67,68.1
4602,2019,13381,8390,8355,19,88,5510,2753,32.81,62.7
4611,2019,3148,2210,2208,6,9,1429,627,28.37,70.2
4612,2019,4297,2892,2887,9,18,1861,969,33.51,67.3
4613,2019,9029,6248,6222,4,42,3884,1716,27.46,69.2
4614,2019,14397,9315,9280,16,109,4616,3276,35.17,64.7
4615,2019,2436,1725,1700,11,33,992,391,22.67,70.8
4616,2019,2278,1624,1612,8,16,1009,533,32.82,71.3
4617,2019,10355,6503,6455,29,73,2483,2649,40.74,62.8
4618,2019,8947,6272,6249,14,37,3914,2744,43.75,70.1
4619,2019,725,527,524,1,6,397,170,32.26,72.7
4620,2019,862,660,653,5,8,370,280,42.42,76.6
4621,2019,12280,8363,8300,9,54,4028,2931,35.05,68.1
4622,2019,6595,4597,4560,10,30,2653,1422,30.93,69.7
4623,2019,1970,1357,1346,1,17,814,379,27.93,68.9
4624,2019,18683,13377,13317,39,101,7354,4987,37.28,71.6
4625,2019,3865,2771,2751,7,16,1921,835,30.13,71.7
4626,2019,28845,18403,18278,38,176,8708,6091,33.1,63.8
4627,2019,21880,14594,14496,61,128,6242,4657,31.91,66.7
4628,2019,3168,2281,2267,12,17,1218,841,36.87,72.0
4629,2019,287,215,211,1,3,162,37,17.21,74.9
4630,2019,6268,4394,4366,14,53,2364,1394,31.73,70.1
4631,2019,22181,15682,15631,4,100,7888,4682,29.86,70.7
4632,2019,2255,1452,1444,9,18,792,461,31.75,64.4
4633,2019,439,362,360,3,4,232,151,41.71,82.5
4634,2019,1327,983,980,3,11,634,417,42.42,74.1
4635,2019,1826,1287,1285,4,7,910,398,30.92,70.5
4636,2019,650,454,450,2,11,268,204,44.93,69.8
4637,2019,1097,738,729,4,11,457,300,40.65,67.3
4638,2019,3389,2264,2234,23,17,1334,551,24.34,66.8
4639,2019,2094,1470,1456,9,15,946,405,27.55,70.2
4640,2019,9100,6379,6333,17,34,3975,1830,28.69,70.1
4641,2019,1413,1033,1026,5,3,755,357,34.56,73.1
4642,2019,1731,1229,1227,4,16,896,393,31.98,71.0
4643,2019,4280,2906,2896,11,10,1714,802,27.6,67.9
4644,2019,4035,3006,2997,7,19,2019,861,28.64,74.5
4645,2019,2387,1616,1595,6,14,1072,466,28.84,67.7
4646,2019,2043,1469,1466,2,6,1005,330,22.46,71.9
4647,2019,16713,11248,11198,9,54,6959,3557,31.62,67.3
4648,2019,2949,2032,2018,1,13,1436,680,33.46,68.9
4649,2019,7364,5096,5076,24,36,3372,1494,29.32,69.2
4650,2019,4544,3235,3219,7,9,2040,1098,33.94,71.2
4651,2019,5447,3475,3454,6,9,2364,876,25.21,63.8
5001,2019,159601,105496,105044,96,906,39143,39187,37.15,66.1
5006,2019,19354,12232,12202,7,88,5284,4355,35.6,63.2
5007,2019,12043,7551,7487,21,31,3835,3371,44.64,62.7
5014,2019,3922,2357,2351,4,18,1460,1116,47.35,60.1
5020,2019,793,512,505,3,16,300,205,40.04,64.6
5021,2019,5499,3679,3666,3,43,2056,1390,37.78,66.9
5022,2019,1994,1436,1433,4,13,881,403,28.06,72.0
5025,2019,4591,3370,3353,4,24,1577,893,26.5,73.4
5026,2019,1652,1322,1316,5,23,692,364,27.53,80.0
5027,2019,4958,3153,3133,15,24,1655,672,21.31,63.6
5028,2019,12717,8279,8249,19,69,3711,2682,32.4,65.1
5029,2019,6100,3953,3921,10,26,1884,918,23.22,64.8
5031,2019,10600,7134,7059,34,60,2909,2180,30.56,67.3
5032,2019,3251,2139,2130,6,37,1131,615,28.75,65.8
5033,2019,657,517,515,2,9,329,203,39.26,78.7
5034,2019,1978,1329,1321,5,8,814,400,30.1,67.2
5035,2019,18676,12345,12289,40,67,5974,4431,35.89,66.1
5036,2019,2078,1459,1451,3,9,873,358,24.54,70.2
5037,2019,15665,10339,10283,25,81,4527,3469,33.55,66.0
5038,2019,11871,7467,7425,21,52,3220,2697,36.12,62.9
5041,2019,1669,1265,1263,1,5,703,440,34.78,75.8
5042,2019,1120,735,733,0,4,417,235,31.97,65.6
5043,2019,379,285,285,0,5,180,145,50.88,75.2
5044,2019,702,534,529,6,8,348,226,42.32,76.1
5045,2019,1873,1362,1356,5,7,652,420,30.84,72.7
5046,2019,957,708,714,0,12,321,186,26.27,74.0
5047,2019,2923,1961,1951,6,4,887,508,25.91,67.1
5049,2019,892,664,677,0,5,426,232,34.94,74.4
5052,2019,469,390,390,3,5,265,179,45.9,83.2
5053,2019,5313,3799,3777,14,42,1843,970,25.53,71.5
5054,2019,7944,5354,5332,17,22,2970,1931,36.07,67.4
5055,2019,4820,3268,3240,21,28,1742,860,26.32,67.8
5056,2019,4012,2295,2280,9,13,1286,753,32.81,57.2
5057,2019,8132,5294,5268,19,72,3315,1815,34.28,65.1
5058,2019,3467,2389,2380,5,19,1461,942,39.43,68.9
5059,2019,14394,9097,9061,3,60,4601,2538,27.9,63.2
5060,2019,7418,4814,4785,7,43,3123,1453,30.18,64.9
5061,2019,1622,1103,1091,1,24,618,298,27.02,68.0
5501,2019,59981,38148,38070,45,421,17371,12672,33.22,63.6
5503,2019,19613,12062,12024,37,136,5778,3648,30.24,61.5
5510,2019,2327,1489,1479,5,18,800,348,23.37,64.0
5512,2019,3492,2228,2218,5,16,1327,551,24.73,63.8
5514,2019,1147,821,819,1,5,590,352,42.87,71.6
5516,2019,894,580,578,1,11,355,174,30.0,64.9
5518,2019,823,596,594,1,15,357,146,24.5,72.4
5520,2019,3153,2201,2173,18,23,1111,695,31.58,69.8
5522,2019,1740,1169,1159,4,20,595,370,31.65,67.2
5524,2019,5383,3391,3375,6,37,1688,798,23.53,63.0
5526,2019,2746,1733,1724,3,22,977,493,28.45,63.1
5528,2019,938,679,675,1,9,387,201,29.6,72.4
5530,2019,11658,7065,7046,7,57,3978,2153,30.47,60.6
5532,2019,4559,2831,2820,6,36,1552,526,18.58,62.1
5534,2019,1874,1205,1194,6,7,789,319,26.47,64.3
5536,2019,2347,1669,1664,4,14,1304,620,37.15,71.1
5538,2019,1496,1113,1111,1,3,793,297,26.68,74.4
5540,2019,1725,1130,1131,0,8,702,217,19.2,65.5
5542,2019,2309,1443,1433,6,3,1026,427,29.59,62.5
5544,2019,3847,2408,2392,11,33,1354,794,32.97,62.6
5546,2019,1001,679,676,2,16,461,273,40.21,67.8
5601,2019,15867,8917,8881,16,262,5396,3880,43.51,56.2
5603,2019,8966,5281,5256,7,83,3652,2148,40.67,58.9
5605,2019,8118,4887,4859,12,93,2891,1306,26.72,60.2
5607,2019,4680,2995,2967,11,26,1541,966,32.25,64.0
5610,2019,2178,1492,1486,3,27,1023,620,41.55,68.5
5612,2019,2294,1457,1456,2,10,1116,634,43.51,63.5
5614,2019,771,545,542,2,7,412,249,45.69,70.7
5616,2019,818,507,504,0,8,355,154,30.37,62.0
5618,2019,1013,615,616,0,8,427,348,56.59,60.7
5620,2019,2587,1806,1791,5,12,1200,775,42.91,69.8
5622,2019,1493455,940212,935255,2263,9825,407205,286915,30.52,62.96
5624,2019,1057,729,718,8,3,489,368,50.48,69.0
5626,2019,932,600,597,4,1,454,198,33.0,64.4
5628,2019,2426,1681,1675,3,11,1193,510,30.34,69.3
5630,2019,795,555,548,1,7,295,193,34.77,69.8
5632,2019,1761,1136,1134,2,17,647,503,44.28,64.5
5634,2019,1722,1085,1080,7,18,676,293,27.0,63.0
5636,2019,764,597,598,1,6,435,293,49.08,78.1
0301,2023,570301,366133,364854,66,2469,153684,197453,53.93,64.2
1101,2023,11701,7711,7689,2,63,4749,2813,36.48,65.9
1103,2023,112819,75250,74968,30,480,35939,42159,56.03,66.7
1106,2023,30028,17987,17948,8,152,9157,11306,62.86,59.9
1108,2023,62442,37590,37449,49,470,17145,15299,40.7,60.2
1111,2023,2527,1804,1797,2,29,1222,724,40.13,71.4
1112,2023,2447,1730,1728,2,28,1194,547,31.62,70.7
1114,2023,2140,1515,1511,0,10,1064,572,37.76,70.8
1119,2023,14374,9386,9356,18,60,5106,4726,50.35,65.3
1120,2023,15402,9765,9750,15,95,4863,4085,41.83,63.4
1121,2023,14932,10139,10112,10,80,5549,4610,45.47,67.9
1122,2023,8991,5763,5732,13,65,3097,3074,53.34,64.1
1124,2023,21215,13493,13454,16,124,6122,7227,53.56,63.6
1127,2023,8875,6017,5973,15,68,2871,2939,48.84,67.8
1130,2023,10126,6572,6528,11,65,3358,3075,46.79,64.9
1133,2023,1975,1428,1420,8,20,960,458,32.07,72.3
1134,2023,2894,2211,2206,3,11,1631,771,34.87,76.4
1135,2023,3547,2497,2487,5,42,1574,1349,54.02,70.4
1144,2023,426,364,359,4,8,284,166,45.6,85.4
1145,2023,707,509,501,4,8,358,202,39.69,72.0
1146,2023,8488,5619,5593,14,55,2958,2782,49.51,66.2
1149,2023,33220,20530,20453,29,209,11370,11095,54.04,61.8
1151,2023,157,142,140,1,4,105,75,52.82,90.4
1160,2023,6771,4367,4332,17,57,2756,1307,29.93,64.5
1505,2023,19543,11550,11474,15,162,5937,7875,68.18,59.1
1506,2023,25678,15792,15716,7,132,8214,6874,43.53,61.5
1508,2023,45631,28337,28232,27,277,13879,15753,55.59,62.1
1511,2023,2506,1799,1791,3,12,1220,713,39.63,71.8
1514,2023,1897,1269,1255,6,13,946,447,35.22,66.9
1515,2023,6950,4323,4269,5,22,2816,1615,37.36,62.2
1516,2023,6737,4352,4315,4,37,2503,2130,48.94,64.6
1517,2023,3940,2506,2491,9,14,1665,1115,44.49,63.6
1520,2023,8484,5421,5389,10,82,3235,2066,38.11,63.9
1525,2023,3492,2214,2201,4,38,1273,938,42.37,63.4
1528,2023,5961,3845,3827,5,36,2601,1885,49.02,64.5
1531,2023,7222,4788,4749,22,53,2788,2031,42.42,66.3
1532,2023,6508,4321,4291,13,38,2536,1562,36.15,66.4
1535,2023,5578,3425,3407,2,37,1870,1303,38.04,61.4
1539,2023,5576,3797,3773,13,31,2396,2073,54.6,68.1
1547,2023,2750,1768,1748,11,42,1128,747,42.25,64.3
1554,2023,4641,2780,2762,11,48,1544,1502,54.03,59.9
1557,2023,2070,1385,1377,6,11,966,662,47.8,66.9
1560,2023,2404,1570,1569,0,20,1028,560,35.67,65.3
1563,2023,5599,3505,3485,14,46,1798,1353,38.6,62.6
1566,2023,4736,2908,2890,8,28,1867,1116,38.38,61.4
1573,2023,1720,1123,1112,5,34,669,544,48.44,65.3
1576,2023,2719,1754,1745,9,26,1096,1060,60.43,64.5
1577,2023,8498,5668,5645,10,64,3193,2357,41.58,66.7
1578,2023,2021,1338,1327,7,6,946,509,38.04,66.2
1579,2023,10407,6244,6228,6,66,3549,2251,36.05,60.0
1580,2023,7350,4836,4814,10,33,3189,2472,51.12,65.8
1804,2023,41908,26360,26214,54,326,10836,12387,46.99,62.9
1806,2023,17285,10233,10197,19,156,5156,4327,42.28,59.2
1811,2023,1108,748,738,3,105,322,309,41.31,67.5
1812,2023,1592,1116,1108,3,12,735,353,31.63,70.1
1813,2023,6148,3695,3662,12,72,2147,1416,38.32,60.1
1815,2023,984,787,763,0,8,496,343,43.58,80.0
1816,2023,376,272,271,1,2,235,138,50.74,72.3
1818,2023,1399,897,888,3,15,558,464,51.73,64.1
1820,2023,5805,3187,3173,2,47,1650,1809,56.76,54.9
1822,2023,1707,1108,1100,6,14,731,685,61.82,64.9
1824,2023,10780,6414,6391,14,78,3740,3310,51.61,59.5
1825,2023,1164,760,748,2,49,389,328,43.16,65.3
1826,2023,1048,703,695,2,30,405,216,30.73,67.1
1827,2023,1096,787,778,3,7,564,313,39.77,71.8
1828,2023,1369,886,882,4,8,529,455,51.35,64.7
1832,2023,3580,2388,2374,5,39,1400,726,30.4,66.7
1833,2023,20903,12228,12142,180,147,5473,6543,53.51,58.5
1834,2023,1491,956,943,3,11,620,266,27.82,64.1
1835,2023,324,255,255,0,3,184,163,63.92,78.7
1836,2023,912,697,689,2,5,528,377,54.09,76.4
1837,2023,4910,3162,3147,12,53,2165,1321,41.78,64.4
1838,2023,1559,1018,1020,5,11,686,446,43.81,65.3
1839,2023,840,658,658,0,12,379,265,40.27,78.3
1840,2023,3687,2437,2472,6,36,1377,824,33.81,66.1
1841,2023,7884,4817,4781,12,93,2201,1998,41.48,61.1
1845,2023,1519,1004,988,2,19,434,348,34.66,66.1
1848,2023,2098,1309,1287,2,11,823,883,67.46,62.4
1851,2023,1636,1121,1119,4,9,587,475,42.37,68.5
1853,2023,1100,811,806,3,11,474,380,46.86,73.7
1856,2023,389,251,243,6,28,155,135,53.78,64.5
1857,2023,535,364,353,8,5,212,157,43.13,68.0
1859,2023,987,601,585,3,5,378,181,30.12,60.9
1860,2023,9000,5148,5105,17,66,2929,2118,41.14,57.2
1865,2023,7636,4261,4238,6,59,2543,1883,44.19,55.8
1866,2023,6518,3976,3963,15,46,2358,1749,43.99,61.0
1867,2023,2167,1495,1492,6,11,839,606,40.54,69.0
1868,2023,3543,2023,2004,4,38,1045,989,48.89,57.1
1870,2023,8193,4842,4815,6,68,2542,2066,42.67,59.1
1871,2023,3676,2485,2469,8,54,1529,821,33.04,67.6
1874,2023,788,443,446,5,14,305,203,45.82,56.2
1875,2023,2185,1549,1547,4,13,1129,760,49.06,70.9
3101,2023,26021,15066,15027,36,229,5894,6360,42.21,57.9
3103,2023,41423,24357,24239,26,307,9697,10939,44.91,58.8
3105,2023,47360,25764,25625,29,335,9535,9965,38.68,54.4
3107,2023,68608,40204,40115,19,533,15016,19072,47.44,58.6
3110,2023,4054,2939,2934,0,23,1195,1421,48.35,72.5
3112,2023,6136,3749,3729,24,70,1557,1480,39.48,61.1
3114,2023,4578,2683,2671,10,74,1310,900,33.54,58.6
3116,2023,3084,1829,1819,5,40,1032,740,40.46,59.3
3118,2023,37079,20208,20128,43,337,9865,10123,50.09,54.5
3120,2023,6823,3903,3883,12,65,1885,978,25.06,57.2
3122,2023,3022,1931,1918,8,44,945,742,38.43,63.9
3124,2023,1120,842,836,3,12,443,176,20.9,75.2
3201,2023,100267,68783,68662,33,437,23050,44805,65.14,68.6
3203,2023,75498,49451,49360,25,400,19927,27667,55.95,65.5
3205,2023,72034,40483,40382,51,488,14960,19839,49.01,56.2
3207,2023,48202,31958,31872,43,317,10256,13402,41.94,66.3
3209,2023,32589,17207,17084,82,293,6945,8331,48.42,52.8
3212,2023,15710,11201,11164,37,93,4469,5653,50.47,71.3
3214,2023,13066,8911,8878,16,92,3368,4183,46.94,68.2
3216,2023,14750,9263,9229,18,109,3664,3480,37.57,62.8
3218,2023,16260,10195,10161,19,104,3732,4339,42.56,62.7
3220,2023,8807,4985,4958,17,108,2085,1384,27.76,56.6
3222,2023,36412,20245,20153,7,224,6938,11012,54.39,55.6
3224,2023,14968,8771,8716,23,108,3435,3367,38.39,58.6
3226,2023,14349,8294,8263,12,141,3831,3044,36.7,57.8
3228,2023,19125,10978,10921,28,223,4427,4220,38.44,57.4
3230,2023,5683,3586,3568,9,44,1618,1424,39.71,63.1
3232,2023,19453,12197,12115,43,164,4215,5334,43.73,62.7
3234,2023,7365,4706,4688,5,80,2345,1736,36.89,63.9
3236,2023,5564,3316,3287,6,45,1569,1506,45.42,59.6
3238,2023,12029,6207,6186,15,91,2588,2155,34.72,51.6
3240,2023,21463,12320,12166,18,230,5261,6015,48.82,57.4
3242,2023,2356,1428,1420,5,18,641,608,42.58,60.6
3301,2023,82506,45461,45280,27,600,17753,23526,51.75,55.1
3303,2023,22602,13516,13469,27,212,5619,6303,46.63,59.8
3305,2023,25546,14306,14251,20,198,6053,9638,67.37,56.0
3310,2023,5308,3307,3272,26,43,1435,1931,58.39,62.3
3312,2023,21694,13255,13166,73,171,4900,6287,47.43,61.1
3314,2023,16125,9030,8969,21,172,3693,4860,53.82,56.0
3316,2023,11713,6618,6593,2,168,2699,2822,42.64,56.5
3318,2023,1739,1301,1294,4,16,758,637,48.96,74.8
3320,2023,862,620,614,3,7,448,278,44.84,71.9
3322,2023,2729,1779,1771,9,34,1103,722,40.58,65.2
3324,2023,3860,2293,2281,9,32,1413,1059,46.18,59.4
3326,2023,1999,1385,1382,1,3,926,646,46.64,69.3
3328,2023,3793,2678,2675,3,24,1711,999,37.3,70.6
3330,2023,3658,2407,2400,5,35,1502,1118,46.45,65.8
3332,2023,2837,1790,1777,5,26,830,444,24.8,63.1
3334,2023,2160,1363,1349,8,26,646,461,33.82,63.1
3336,2023,1130,801,792,4,13,395,256,31.96,70.9
3338,2023,1997,1294,1285,4,15,757,337,26.04,64.8
3401,2023,14844,8105,8064,11,130,3130,4022,49.62,54.6
3403,2023,26288,16325,16261,20,177,6608,7552,46.26,62.1
3405,2023,23067,14117,14073,12,166,5276,7577,53.67,61.2
3407,2023,24662,13811,13772,27,231,6175,5366,38.85,56.0
3411,2023,28423,15860,15806,9,255,5794,7418,46.77,55.8
3412,2023,6280,3774,3736,18,82,1567,1449,38.39,60.1
3413,2023,16932,10515,10472,19,172,4194,3611,34.34,62.1
3414,2023,4242,2520,2502,3,117,1059,1007,39.96,59.4
3415,2023,6642,3859,3844,7,59,1466,1601,41.49,58.1
3416,2023,5227,2880,2854,5,77,1299,1118,38.82,55.1
3417,2023,3937,2142,2127,7,45,908,1128,52.66,54.4
3418,2023,6049,3575,3542,14,98,1690,1774,49.62,59.1
3419,2023,3027,1783,1764,11,53,1022,763,42.79,58.9
3420,2023,17377,9870,9804,25,222,4015,4342,43.99,56.8
3421,2023,5400,3548,3520,8,85,1808,1138,32.07,65.7
3422,2023,3461,1990,1965,10,73,1039,796,40.0,57.5
3423,2023,1914,1250,1244,2,38,692,530,42.4,65.3
3424,2023,1489,1112,1104,6,10,679,458,41.19,74.7
3425,2023,1073,790,786,3,44,386,327,41.39,73.6
3426,2023,1197,892,891,0,13,470,235,26.35,74.5
3427,2023,4413,2979,2949,5,21,1640,1263,42.4,67.5
3428,2023,1914,1361,1353,5,13,799,524,38.5,71.1
3429,2023,1255,936,928,4,7,529,362,38.68,74.6
3430,2023,1576,1113,1101,8,24,711,448,40.25,70.6
3431,2023,2033,1240,1231,3,22,651,586,47.26,61.0
3432,2023,1578,1038,1032,0,23,612,457,44.03,65.8
3433,2023,1794,1177,1152,9,49,574,754,64.06,65.6
3434,2023,1825,1252,1251,1,50,683,611,48.8,68.6
3435,2023,2858,1912,1904,9,20,1031,870,45.5,66.9
