kom2024,aar,parti,stemmer,total_stemmer_alle_partier,prosent_alle
1119,1999,55,0,6185,0.0
1119,2003,01,541,6448,8.39
1119,2003,02,1045,6448,16.21
1119,2003,03,839,6448,13.01
1119,2003,04,1242,6448,19.26
1119,2003,05,1173,6448,18.19
1119,2003,06,312,6448,4.84
1119,2003,07,74,6448,1.15
1119,2003,08,0,6448,0.0
1119,2003,55,0,6448,0.0
1119,2007,01,449,7028,6.39
1119,2007,02,914,7028,13.01
1119,2007,03,635,7028,9.04
1119,2007,04,1449,7028,20.62
1119,2007,05,826,7028,11.75
1119,2007,06,192,7028,2.73
1119,2007,07,120,7028,1.71
1119,2007,08,0,7028,0.0
1119,2007,55,0,7028,0.0
1119,2011,01,599,8054,7.44
1119,2011,02,723,8054,8.98
1119,2011,03,1586,8054,19.69
1119,2011,04,1385,8054,17.2
1119,2011,05,770,8054,9.56
1119,2011,06,144,8054,1.79
1119,2011,07,114,8054,1.42
1119,2011,08,0,8054,0.0
1119,2011,55,0,8054,0.0
1119,2015,01,672,8834,7.61
1119,2015,02,748,8834,8.47
1119,2015,03,1680,8834,19.02
1119,2015,04,1763,8834,19.96
1119,2015,05,798,8834,9.03
1119,2015,06,134,8834,1.52
1119,2015,07,51,8834,0.58
