kom2024,aar,stemmer_andre,total_stemmer_alle_partier,prosent_andre
5033,1995,218,612,35.62
5034,1995,253,1286,19.67
5035,1995,0,7954,0.0
5036,1995,0,1266,0.0
5037,1995,0,7916,0.0
5038,1995,239,6175,3.87
5041,1995,155,1245,12.45
5042,1995,185,913,20.26
5043,1995,237,405,58.52
5044,1995,127,641,19.81
5045,1995,0,1406,0.0
5046,1995,207,807,25.65
5047,1995,0,1768,0.0
5049,1995,0,730,0.0
5052,1995,232,403,57.57
5053,1995,89,5054,1.76
5054,1995,0,2974,0.0
5055,1995,311,2677,11.62
5056,1995,0,1738,0.0
5057,1995,234,4658,5.02
5058,1995,0,1790,0.0
5059,1995,897,7611,11.79
5060,1995,0,4187,0.0
5061,1995,0,1185,0.0
5501,1995,2945,22542,13.06
5503,1995,555,10132,5.48
5510,1995,0,1544,0.0
5512,1995,935,2376,39.35
5514,1995,382,1141,33.48
5516,1995,210,823,25.52
5518,1995,0,681,0.0
5520,1995,115,1983,5.8
5522,1995,0,1176,0.0
5524,1995,0,3084,0.0
5526,1995,0,1336,0.0
5528,1995,61,762,8.01
5530,1995,914,6881,13.28
5532,1995,0,2844,0.0
5534,1995,190,1282,14.82
5536,1995,473,1613,29.32
5538,1995,203,930,21.83
5540,1995,501,1338,37.44
5542,1995,0,1427,0.0
5544,1995,285,1992,14.31
5546,1995,344,808,42.57
5601,1995,476,5974,7.97
5603,1995,468,4797,9.76
5605,1995,0,4152,0.0
5607,1995,307,2931,10.47
5610,1995,293,1351,21.69
5612,1995,478,1552,30.8
5614,1995,189,828,22.83
5616,1995,89,714,12.46
5618,1995,0,781,0.0
5620,1995,0,1756,0.0
5622,1995,317,1855,17.09
5624,1995,56,715,7.83
5626,1995,354,811,43.65
5628,1995,198,1635,12.11
5630,1995,0,604,0.0
5632,1995,267,1112,24.01
5634,1995,0,1450,0.0
5636,1995,278,586,47.44
0301,1999,15145,259142,5.84
1101,1999,0,5787,0.0
1103,1999,4198,52657,7.97
1106,1999,93,12534,0.74
1108,1999,1212,24121,5.02
1111,1999,0,1593,0.0
1112,1999,0,1472,0.0
1114,1999,0,1263,0.0
1119,1999,1028,6185,16.62
1120,1999,0,5926,0.0
1121,1999,0,6209,0.0
1122,1999,0,3686,0.0
1124,1999,656,7970,8.23
1127,1999,0,4058,0.0
1130,1999,555,4434,12.52
1133,1999,262,1407,18.62
1134,1999,0,1932,0.0
1135,1999,0,2515,0.0
1144,1999,266,266,100.0
1145,1999,0,393,0.0
1146,1999,101,3722,2.71
1149,1999,452,14496,3.12
1151,1999,97,146,66.44
1160,1999,1249,3891,32.1
1505,1999,285,10508,2.71
1506,1999,675,12861,5.25
1508,1999,3560,18023,19.75
1511,1999,363,1748,20.77
1514,1999,576,1474,39.08
1515,1999,67,3706,1.81
1516,1999,0,2950,0.0
1517,1999,394,2321,16.98
1520,1999,0,4585,0.0
1525,1999,0,2298,0.0
1528,1999,0,3159,0.0
1531,1999,803,3184,25.22
1532,1999,0,3048,0.0
1535,1999,0,2885,0.0
1539,1999,0,3286,0.0
1547,1999,0,1446,0.0
1554,1999,0,2519,0.0
1557,1999,0,1362,0.0
1560,1999,0,1583,0.0
1563,1999,0,3321,0.0
1566,1999,0,2866,0.0
1573,1999,0,1205,0.0
1576,1999,253,2801,9.03
1577,1999,0,4016,0.0
1578,1999,0,1520,0.0
1579,1999,0,5139,0.0
1580,1999,586,4016,14.59
1804,1999,843,16132,5.23
1806,1999,617,8864,6.96
1811,1999,0,1153,0.0
1812,1999,53,1038,5.11
1813,1999,364,3120,11.67
1815,1999,0,764,0.0
1816,1999,250,354,70.62
1818,1999,238,844,28.2
1820,1999,519,3057,16.98
1822,1999,292,918,31.81
1824,1999,193,5567,3.47
1825,1999,445,808,55.07
1826,1999,108,951,11.36
1827,1999,0,775,0.0
1828,1999,0,854,0.0
1832,1999,135,2271,5.94
1833,1999,538,10338,5.2
1834,1999,527,998,52.81
1835,1999,134,224,59.82
1836,1999,236,772,30.57
1837,1999,349,3089,11.3
1838,1999,0,1089,0.0
1839,1999,168,791,21.24
1840,1999,185,2196,8.42
1841,1999,641,5277,12.15
1845,1999,0,1191,0.0
1848,1999,166,1273,13.04
1851,1999,0,1179,0.0
1853,1999,0,779,0.0
1856,1999,179,297,60.27
1857,1999,159,408,38.97
1859,1999,448,670,66.87
1860,1999,634,4215,15.04
1865,1999,895,3684,24.29
1866,1999,143,3379,4.23
1867,1999,311,1744,17.83
1868,1999,0,1729,0.0
1870,1999,179,3413,5.24
1871,1999,0,2641,0.0
1874,1999,497,668,74.4
1875,1999,1358,2200,61.73
3101,1999,614,12543,4.9
3103,1999,1066,17737,6.01
3105,1999,1276,20104,6.35
3107,1999,6660,30128,22.11
3110,1999,208,1744,11.93
3112,1999,30,3021,0.99
3114,1999,0,1730,0.0
3116,1999,0,1513,0.0
3118,1999,768,16879,4.55
3120,1999,531,3400,15.62
3122,1999,0,1744,0.0
3124,1999,0,806,0.0
3201,1999,5599,51772,10.81
3203,1999,4181,35049,11.93
3205,1999,571,27930,2.04
3207,1999,1134,23506,4.82
3209,1999,245,8487,2.89
3212,1999,341,7290,4.68
3214,1999,519,6064,8.56
3216,1999,505,5627,8.97
3218,1999,294,6328,4.65
3220,1999,75,3831,1.96
3222,1999,167,13765,1.21
3224,1999,555,6514,8.52
3226,1999,655,6538,10.02
3228,1999,2340,7164,32.66
3230,1999,0,2141,0.0
3232,1999,109,8524,1.28
3234,1999,0,3985,0.0
3236,1999,0,2980,0.0
3238,1999,0,3806,0.0
3240,1999,896,7692,11.65
3242,1999,424,1355,31.29
3301,1999,3251,36736,8.85
3303,1999,383,10323,3.71
3305,1999,287,12431,2.31
3310,1999,0,2462,0.0
3312,1999,622,10277,6.05
3314,1999,51,6592,0.77
3316,1999,603,5893,10.23
3318,1999,252,1118,22.54
3320,1999,441,643,68.58
3322,1999,170,1741,9.76
3324,1999,0,1983,0.0
3326,1999,103,1043,9.88
3328,1999,0,2353,0.0
3330,1999,0,2093,0.0
3332,1999,0,1949,0.0
3334,1999,0,1290,0.0
3336,1999,0,701,0.0
3338,1999,0,1402,0.0
3401,1999,220,7810,2.82
3403,1999,3556,13339,26.66
3405,1999,792,11175,7.09
3407,1999,303,12862,2.36
3411,1999,250,13125,1.9
3412,1999,0,3298,0.0
3413,1999,771,8323,9.26
3414,1999,757,2649,28.58
3415,1999,0,3493,0.0
3416,1999,0,2915,0.0
3417,1999,1424,2931,48.58
3418,1999,150,3967,3.78
3419,1999,98,2151,4.56
3420,1999,0,7859,0.0
3421,1999,0,3707,0.0
3422,1999,0,2239,0.0
3423,1999,522,1595,32.73
3424,1999,129,1421,9.08
3425,1999,352,929,37.89
3426,1999,128,979,13.07
3427,1999,0,2645,0.0
3428,1999,177,1300,13.62
3429,1999,185,1067,17.34
3430,1999,0,1125,0.0
3431,1999,0,1480,0.0
3432,1999,106,1092,9.71
3433,1999,222,1139,19.49
3434,1999,447,1278,34.98
3435,1999,278,1908,14.57
3436,1999,0,2609,0.0
3437,1999,156,2705,5.77
3438,1999,116,1546,7.5
3439,1999,0,2414,0.0
3440,1999,437,2196,19.9
3441,1999,334,3040,10.99
3442,1999,0,6480,0.0
3443,1999,58,6104,0.95
3446,1999,0,6299,0.0
3447,1999,969,2925,33.13
3448,1999,582,3280,17.74
3449,1999,357,1593,22.41
3450,1999,84,756,11.11
3451,1999,0,2847,0.0
3452,1999,526,1147,45.86
3453,1999,0,1477,0.0
3454,1999,307,855,35.91
3901,1999,2909,11175,26.03
3903,1999,733,12652,5.79
3905,1999,207,16255,1.27
3907,1999,1880,24833,7.57
3909,1999,256,19544,1.31
3911,1999,1860,11725,15.86
4001,1999,417,14605,2.86
4003,1999,803,21247,3.78
4005,1999,827,5326,15.53
4010,1999,360,1113,32.35
4012,1999,246,6121,4.02
4014,1999,488,5144,9.49
4016,1999,0,2035,0.0
4018,1999,369,3186,11.58
4020,1999,28,4283,0.65
4022,1999,0,1336,0.0
4024,1999,0,845,0.0
4026,1999,0,3382,0.0
4028,1999,0,1255,0.0
4030,1999,0,766,0.0
4032,1999,253,751,33.69
4034,1999,86,1385,6.21
4036,1999,162,1839,8.81
4201,1999,376,3249,11.57
4202,1999,62,7891,0.79
4203,1999,1482,16453,9.01
4204,1999,1156,38593,3.0
4205,1999,516,10136,5.09
4206,1999,0,4503,0.0
4207,1999,0,4035,0.0
4211,1999,0,1259,0.0
4212,1999,0,1052,0.0
4213,1999,506,2887,17.53
4214,1999,0,1924,0.0
4215,1999,0,3957,0.0
4216,1999,0,1913,0.0
4217,1999,0,971,0.0
4218,1999,0,581,0.0
4219,1999,0,1472,0.0
4220,1999,0,636,0.0
4221,1999,0,736,0.0
4222,1999,48,432,11.11
4223,1999,0,5481,0.0
4224,1999,285,468,60.9
4225,1999,0,3229,0.0
4226,1999,355,935,37.97
4227,1999,0,2627,0.0
4228,1999,0,947,0.0
4601,1999,9396,103780,9.05
4602,1999,160,7411,2.16
4611,1999,225,1928,11.67
4612,1999,257,2121,12.12
4613,1999,828,4699,17.62
4614,1999,100,6687,1.5
4615,1999,0,1529,0.0
4616,1999,179,1449,12.35
4617,1999,920,6024,15.27
4618,1999,336,5957,5.64
4619,1999,168,547,30.71
4620,1999,0,676,0.0
4621,1999,225,7194,3.13
4622,1999,384,3998,9.6
4623,1999,234,1175,19.91
4624,1999,1063,8529,12.46
4625,1999,134,2031,6.6
4626,1999,2983,11862,25.15
4627,1999,756,8707,8.68
4628,1999,641,2188,29.3
4629,1999,159,159,100.0
4630,1999,1033,3610,28.61
4631,1999,183,10074,1.82
4632,1999,148,1217,12.16
4633,1999,0,418,0.0
4634,1999,0,1068,0.0
4635,1999,0,1286,0.0
4636,1999,0,552,0.0
4637,1999,236,794,29.72
4638,1999,180,2282,7.89
4639,1999,0,1509,0.0
4640,1999,48,3798,1.26
4641,1999,0,990,0.0
4642,1999,558,2358,23.66
4643,1999,671,2481,27.05
4644,1999,937,2525,37.11
4645,1999,0,1574,0.0
4646,1999,522,2896,18.02
4647,1999,494,7179,6.88
4648,1999,0,2239,0.0
4649,1999,293,4197,6.98
4650,1999,0,3651,0.0
4651,1999,0,3061,0.0
5001,1999,4985,69684,7.15
5006,1999,400,11839,3.38
5007,1999,253,5881,4.3
5014,1999,0,1864,0.0
5020,1999,62,1207,5.14
5021,1999,0,2745,0.0
5022,1999,0,1355,0.0
5025,1999,773,2741,28.2
5026,1999,410,1262,32.49
5027,1999,302,2738,11.03
5028,1999,0,5716,0.0
5029,1999,493,2707,18.21
5031,1999,1271,4461,28.49
5032,1999,1077,2061,52.26
5033,1999,0,564,0.0
5034,1999,227,1266,17.93
5035,1999,115,7789,1.48
5036,1999,0,1228,0.0
5037,1999,0,7683,0.0
5038,1999,74,5899,1.25
5041,1999,250,1248,20.03
5042,1999,85,778,10.93
5043,1999,201,333,60.36
5044,1999,232,551,42.11
5045,1999,0,1328,0.0
5046,1999,180,768,23.44
5047,1999,319,1924,16.58
5049,1999,0,635,0.0
5052,1999,169,379,44.59
5053,1999,50,4776,1.05
5054,1999,0,2831,0.0
5055,1999,897,2473,36.27
5056,1999,0,1808,0.0
5057,1999,438,4427,9.89
5058,1999,0,1668,0.0
5059,1999,1570,7536,20.83
5060,1999,0,4039,0.0
5061,1999,0,1135,0.0
5501,1999,1405,23492,5.98
5503,1999,646,9467,6.82
5510,1999,221,1297,17.04
5512,1999,448,2251,19.9
5514,1999,316,977,32.34
5516,1999,100,720,13.89
5518,1999,0,622,0.0
5520,1999,112,1824,6.14
5522,1999,0,1198,0.0
5524,1999,173,2765,6.26
5526,1999,0,1481,0.0
5528,1999,80,644,12.42
5530,1999,988,6643,14.87
5532,1999,0,2599,0.0
5534,1999,147,1160,12.67
5536,1999,323,1493,21.63
5538,1999,294,880,33.41
5540,1999,428,1186,36.09
5542,1999,0,1284,0.0
5544,1999,200,2039,9.81
5546,1999,332,730,45.48
5601,1999,544,5996,9.07
5603,1999,434,4509,9.63
5605,1999,171,3771,4.53
5607,1999,167,2745,6.08
5610,1999,446,1321,33.76
5612,1999,808,1506,53.65
5614,1999,174,699,24.89
5616,1999,52,563,9.24
5618,1999,0,613,0.0
5620,1999,0,1633,0.0
5622,1999,121,1875,6.45
5624,1999,92,607,15.16
5626,1999,119,621,19.16
5628,1999,123,1623,7.58
5630,1999,139,640,21.72
5632,1999,241,1027,23.47
5634,1999,0,1298,0.0
5636,1999,293,561,52.23
0301,2003,15334,259181,5.92
1101,2003,0,5953,0.0
1103,2003,3218,53172,6.05
1106,2003,307,13253,2.32
1108,2003,1555,23696,6.56
1111,2003,0,1587,0.0
1112,2003,0,1458,0.0
1114,2003,0,1237,0.0
1119,2003,1222,6448,18.95
1120,2003,0,6033,0.0
1121,2003,31,6623,0.47
1122,2003,21,3967,0.53
1124,2003,461,8542,5.4
1127,2003,0,4149,0.0
1130,2003,0,4274,0.0
1133,2003,0,1280,0.0
1134,2003,0,1803,0.0
1135,2003,0,2569,0.0
1144,2003,263,263,100.0
1145,2003,0,371,0.0
1146,2003,0,3739,0.0
1149,2003,473,15737,3.01
1151,2003,73,129,56.59
1160,2003,753,3400,22.15
1505,2003,379,9500,3.99
1506,2003,154,13611,1.13
1508,2003,2555,18332,13.94
1511,2003,265,1776,14.92
1514,2003,271,1345,20.15
1515,2003,753,3497,21.53
1516,2003,0,2896,0.0
1517,2003,231,2241,10.31
1520,2003,0,4554,0.0
1525,2003,0,2328,0.0
1528,2003,0,3297,0.0
1531,2003,453,3305,13.71
1532,2003,0,2851,0.0
1535,2003,238,2911,8.18
1539,2003,0,3258,0.0
1547,2003,0,1380,0.0
1554,2003,0,2362,0.0
1557,2003,0,1211,0.0
1560,2003,0,1537,0.0
1563,2003,0,3446,0.0
1566,2003,0,2404,0.0
1573,2003,0,1039,0.0
1576,2003,730,2672,27.32
1577,2003,0,3745,0.0
1578,2003,268,1382,19.39
1579,2003,0,5062,0.0
1580,2003,741,4064,18.23
1804,2003,613,15043,4.07
1806,2003,214,9225,2.32
1811,2003,464,1113,41.69
1812,2003,105,892,11.77
1813,2003,286,2901,9.86
1815,2003,0,694,0.0
1816,2003,208,307,67.75
1818,2003,0,771,0.0
1820,2003,222,2931,7.57
1822,2003,187,873,21.42
1824,2003,359,5733,6.26
1825,2003,272,785,34.65
1826,2003,287,889,32.28
1827,2003,144,768,18.75
1828,2003,32,847,3.78
1832,2003,66,2184,3.02
1833,2003,248,10148,2.44
1834,2003,259,981,26.4
1835,2003,122,212,57.55
1836,2003,294,748,39.3
1837,2003,184,2780,6.62
1838,2003,196,1060,18.49
1839,2003,284,700,40.57
1840,2003,101,2159,4.68
1841,2003,501,4956,10.11
1845,2003,0,1055,0.0
1848,2003,0,1264,0.0
1851,2003,0,1203,0.0
1853,2003,0,771,0.0
1856,2003,160,309,51.78
1857,2003,201,358,56.15
1859,2003,364,680,53.53
1860,2003,531,4047,13.12
1865,2003,713,3455,20.64
1866,2003,757,3365,22.5
1867,2003,0,1523,0.0
1868,2003,366,2012,18.19
1870,2003,126,3415,3.69
1871,2003,0,2489,0.0
1874,2003,178,568,31.34
1875,2003,1323,2157,61.34
3101,2003,827,12079,6.85
3103,2003,1061,18501,5.73
3105,2003,1107,20981,5.28
3107,2003,4364,28112,15.52
3110,2003,85,1805,4.71
3112,2003,0,3149,0.0
3114,2003,0,1796,0.0
3116,2003,0,1413,0.0
3118,2003,557,16107,3.46
3120,2003,153,3154,4.85
3122,2003,0,1568,0.0
3124,2003,0,768,0.0
3201,2003,2354,50215,4.69
3203,2003,3255,35688,9.12
3205,2003,804,28034,2.87
3207,2003,1074,23580,4.55
3209,2003,737,9470,7.78
3212,2003,241,7252,3.32
3214,2003,429,6178,6.94
3216,2003,234,5978,3.91
3218,2003,113,6608,1.71
3220,2003,67,3986,1.68
3222,2003,182,13889,1.31
3224,2003,444,6397,6.94
3226,2003,509,6506,7.82
3228,2003,826,7268,11.36
3230,2003,0,2234,0.0
3232,2003,142,6603,2.15
3234,2003,59,3836,1.54
3236,2003,0,2907,0.0
3238,2003,0,3865,0.0
3240,2003,489,7263,6.73
3242,2003,0,1279,0.0
3301,2003,1891,36294,5.21
3303,2003,344,10043,3.43
3305,2003,395,12248,3.23
3310,2003,0,2432,0.0
3312,2003,342,9586,3.57
3314,2003,47,6681,0.7
3316,2003,481,5604,8.58
3318,2003,485,1120,43.3
3320,2003,287,560,51.25
3322,2003,255,1519,16.79
3324,2003,0,1981,0.0
3326,2003,0,992,0.0
3328,2003,0,2303,0.0
3330,2003,0,2356,0.0
3332,2003,0,1709,0.0
3334,2003,0,1148,0.0
3336,2003,0,694,0.0
3338,2003,0,1286,0.0
3401,2003,0,7546,0.0
3403,2003,4408,12246,36.0
3405,2003,533,10706,4.98
3407,2003,375,12508,3.0
3411,2003,65,11881,0.55
3412,2003,0,3349,0.0
3413,2003,840,7824,10.74
3414,2003,323,2598,12.43
3415,2003,0,3591,0.0
3416,2003,0,2889,0.0
3417,2003,1082,2359,45.87
3418,2003,727,3425,21.23
3419,2003,155,1887,8.21
3420,2003,0,7654,0.0
3421,2003,0,3319,0.0
3422,2003,0,1969,0.0
3423,2003,379,1450,26.14
3424,2003,78,1262,6.18
3425,2003,347,847,40.97
3426,2003,68,905,7.51
3427,2003,0,2500,0.0
3428,2003,87,1107,7.86
3429,2003,136,933,14.58
3430,2003,0,1061,0.0
3431,2003,0,1311,0.0
3432,2003,63,1033,6.1
3433,2003,166,1098,15.12
3434,2003,198,998,19.84
3435,2003,210,1793,11.71
3436,2003,0,2337,0.0
3437,2003,91,2591,3.51
3438,2003,0,1379,0.0
3439,2003,0,2187,0.0
3440,2003,207,1970,10.51
3441,2003,494,2778,17.78
3442,2003,223,6511,3.42
3443,2003,97,5599,1.73
3446,2003,0,5807,0.0
3447,2003,900,2401,37.48
3448,2003,330,2838,11.63
3449,2003,217,1437,15.1
3450,2003,0,645,0.0
3451,2003,0,2941,0.0
3452,2003,500,1000,50.0
3453,2003,0,1346,0.0
3454,2003,199,843,23.61
3901,2003,990,11017,8.99
3903,2003,446,13037,3.42
3905,2003,2030,17743,11.44
3907,2003,1043,24591,4.24
3909,2003,4286,19859,21.58
3911,2003,3693,12557,29.41
4001,2003,300,14656,2.05
4003,2003,492,20664,2.38
4005,2003,896,5342,16.77
4010,2003,0,1123,0.0
4012,2003,213,6208,3.43
4014,2003,262,5099,5.14
4016,2003,0,2097,0.0
4018,2003,293,3039,9.64
4020,2003,13,4234,0.31
4022,2003,0,1341,0.0
4024,2003,0,739,0.0
4026,2003,0,3074,0.0
4028,2003,0,1130,0.0
4030,2003,0,760,0.0
4032,2003,262,640,40.94
4034,2003,0,1309,0.0
4036,2003,111,1703,6.52
4201,2003,329,3100,10.61
4202,2003,0,8067,0.0
4203,2003,1150,16766,6.86
4204,2003,2675,39771,6.73
4205,2003,378,10032,3.77
4206,2003,19,4351,0.44
4207,2003,172,3954,4.35
4211,2003,0,1088,0.0
4212,2003,0,1025,0.0
4213,2003,805,2687,29.96
4214,2003,0,1922,0.0
4215,2003,55,4099,1.34
4216,2003,13,1979,0.66
4217,2003,0,872,0.0
4218,2003,0,506,0.0
4219,2003,13,1551,0.84
4220,2003,214,671,31.89
4221,2003,0,665,0.0
4222,2003,46,433,10.62
4223,2003,100,5453,1.83
4224,2003,243,410,59.27
4225,2003,81,3499,2.31
4226,2003,416,906,45.92
4227,2003,345,2675,12.9
4228,2003,0,921,0.0
4601,2003,11611,110685,10.49
4602,2003,211,7396,2.85
4611,2003,107,1733,6.17
4612,2003,232,2239,10.36
4613,2003,58,4707,1.23
4614,2003,395,6929,5.7
4615,2003,0,1422,0.0
4616,2003,207,1396,14.83
4617,2003,1102,6125,17.99
4618,2003,694,5814,11.94
4619,2003,130,487,26.69
4620,2003,46,578,7.96
4621,2003,132,6947,1.9
4622,2003,234,3928,5.96
4623,2003,218,1069,20.39
4624,2003,920,9413,9.77
4625,2003,0,2050,0.0
4626,2003,2491,12567,19.82
4627,2003,511,9470,5.4
4628,2003,729,2172,33.56
4629,2003,181,181,100.0
4630,2003,313,3407,9.19
4631,2003,369,10454,3.53
4632,2003,201,1164,17.27
4633,2003,37,403,9.18
4634,2003,0,928,0.0
4635,2003,0,1174,0.0
4636,2003,0,439,0.0
4637,2003,129,644,20.03
4638,2003,270,2252,11.99
4639,2003,0,1417,0.0
4640,2003,0,3654,0.0
4641,2003,0,889,0.0
4642,2003,344,2271,15.15
4643,2003,0,2660,0.0
4644,2003,0,2488,0.0
4645,2003,37,1600,2.31
4646,2003,388,2745,14.13
4647,2003,276,7270,3.8
4648,2003,0,1959,0.0
4649,2003,183,3924,4.66
4650,2003,0,3506,0.0
4651,2003,14,2824,0.5
5001,2003,5826,70040,8.32
5006,2003,142,11085,1.28
5007,2003,215,5629,3.82
5014,2003,0,1746,0.0
5020,2003,127,1066,11.91
5021,2003,0,2940,0.0
5022,2003,0,1266,0.0
5025,2003,586,2825,20.74
5026,2003,436,1066,40.9
5027,2003,461,2741,16.82
5028,2003,41,5882,0.7
5029,2003,336,2552,13.17
5031,2003,636,4963,12.81
5032,2003,811,1849,43.86
5033,2003,0,514,0.0
5034,2003,139,1273,10.92
5035,2003,0,8299,0.0
5036,2003,0,1148,0.0
5037,2003,63,7626,0.83
5038,2003,44,5767,0.76
5041,2003,72,1126,6.39
5042,2003,60,727,8.25
5043,2003,193,314,61.46
5044,2003,67,484,13.84
5045,2003,0,1313,0.0
5046,2003,112,712,15.73
5047,2003,0,1615,0.0
5049,2003,0,657,0.0
5052,2003,223,316,70.57
5053,2003,42,4922,0.85
5054,2003,0,2661,0.0
5055,2003,365,2464,14.81
5056,2003,0,1788,0.0
5057,2003,432,4257,10.15
5058,2003,0,1599,0.0
5059,2003,1602,6970,22.98
5060,2003,0,3918,0.0
5061,2003,0,938,0.0
5501,2003,2147,25313,8.48
5503,2003,558,8264,6.75
5510,2003,0,1279,0.0
5512,2003,300,2140,14.02
5514,2003,896,1017,88.1
5516,2003,0,604,0.0
5518,2003,139,535,25.98
5520,2003,57,1734,3.29
5522,2003,0,987,0.0
5524,2003,337,2514,13.4
5526,2003,0,1480,0.0
5528,2003,91,636,14.31
5530,2003,1065,6386,16.68
5532,2003,241,2236,10.78
5534,2003,359,1072,33.49
5536,2003,193,1485,13.0
5538,2003,233,916,25.44
5540,2003,200,986,20.28
5542,2003,0,1375,0.0
5544,2003,0,2332,0.0
5546,2003,243,673,36.11
5601,2003,500,6057,8.25
5603,2003,422,4025,10.48
5605,2003,331,3830,8.64
5607,2003,156,2630,5.93
5610,2003,421,1238,34.01
5612,2003,716,1446,49.52
5614,2003,187,575,32.52
5616,2003,0,562,0.0
5618,2003,0,615,0.0
5620,2003,184,1464,12.57
5622,2003,0,1817,0.0
5624,2003,0,600,0.0
5626,2003,0,487,0.0
5628,2003,342,1512,22.62
5630,2003,82,573,14.31
5632,2003,179,1062,16.85
5634,2003,0,1065,0.0
5636,2003,219,554,39.53
0301,2007,18574,271835,6.83
1101,2007,0,6115,0.0
1103,2007,2115,56524,3.74
1106,2007,758,14169,5.35
1108,2007,1009,27839,3.62
1111,2007,0,1610,0.0
1112,2007,0,1603,0.0
1114,2007,0,1323,0.0
1119,2007,2443,7028,34.76
1120,2007,22,6350,0.35
1121,2007,183,6965,2.63
1122,2007,0,4326,0.0
1124,2007,1023,9759,10.48
1127,2007,0,4547,0.0
1130,2007,0,4648,0.0
1133,2007,0,1371,0.0
1134,2007,0,1993,0.0
1135,2007,0,2517,0.0
1144,2007,305,305,100.0
1145,2007,0,413,0.0
1146,2007,0,4149,0.0
1149,2007,352,17087,2.06
1151,2007,129,129,100.0
1160,2007,129,3502,3.68
1505,2007,221,10438,2.12
1506,2007,204,14109,1.45
1508,2007,2309,20868,11.06
1511,2007,113,1764,6.41
1514,2007,305,1350,22.59
1515,2007,441,3951,11.16
1516,2007,41,3203,1.28
1517,2007,541,2267,23.86
1520,2007,0,4850,0.0
1525,2007,31,2491,1.24
1528,2007,0,3497,0.0
1531,2007,676,3481,19.42
1532,2007,0,3293,0.0
1535,2007,0,2976,0.0
1539,2007,171,3358,5.09
1547,2007,0,1509,0.0
1554,2007,0,2728,0.0
1557,2007,0,1384,0.0
1560,2007,0,1575,0.0
1563,2007,0,3748,0.0
1566,2007,0,2741,0.0
1573,2007,0,1194,0.0
1576,2007,174,2646,6.58
1577,2007,0,4073,0.0
1578,2007,429,1411,30.4
1579,2007,0,5403,0.0
1580,2007,719,4085,17.6
1804,2007,1279,20328,6.29
1806,2007,46,9533,0.48
1811,2007,535,993,53.88
1812,2007,611,1082,56.47
1813,2007,284,3304,8.6
1815,2007,0,771,0.0
1816,2007,199,294,67.69
1818,2007,0,785,0.0
1820,2007,653,3153,20.71
1822,2007,109,1001,10.89
1824,2007,546,5853,9.33
1825,2007,285,775,36.77
1826,2007,0,857,0.0
1827,2007,88,808,10.89
1828,2007,0,888,0.0
1832,2007,51,2387,2.14
1833,2007,1466,11203,13.09
1834,2007,278,1053,26.4
1835,2007,73,183,39.89
1836,2007,250,682,36.66
1837,2007,254,3061,8.3
1838,2007,0,1070,0.0
1839,2007,385,718,53.62
1840,2007,0,2293,0.0
1841,2007,364,4570,7.96
1845,2007,0,1008,0.0
1848,2007,0,1393,0.0
1851,2007,0,1200,0.0
1853,2007,0,680,0.0
1856,2007,308,308,100.0
1857,2007,170,336,50.6
1859,2007,361,614,58.79
1860,2007,284,4459,6.37
1865,2007,497,4121,12.06
1866,2007,953,3683,25.88
1867,2007,659,1596,41.29
1868,2007,759,2127,35.68
1870,2007,173,3866,4.47
1871,2007,0,2513,0.0
1874,2007,347,590,58.81
1875,2007,634,2026,31.29
3101,2007,514,12924,3.98
3103,2007,1048,20114,5.21
3105,2007,946,21729,4.35
3107,2007,2668,33747,7.91
3110,2007,60,2091,2.87
3112,2007,0,3444,0.0
3114,2007,0,1905,0.0
3116,2007,0,1559,0.0
3118,2007,354,17467,2.03
3120,2007,0,3348,0.0
3122,2007,0,1758,0.0
3124,2007,0,747,0.0
3201,2007,1838,53543,3.43
3203,2007,1840,38215,4.81
3205,2007,616,32587,1.89
3207,2007,796,25427,3.13
3209,2007,397,11723,3.39
3212,2007,498,7951,6.26
3214,2007,274,7145,3.83
3216,2007,121,6282,1.93
3218,2007,135,6919,1.95
3220,2007,0,4418,0.0
3222,2007,938,14733,6.37
3224,2007,395,6760,5.84
3226,2007,0,7153,0.0
3228,2007,0,8024,0.0
3230,2007,0,2553,0.0
3232,2007,457,9488,4.82
3234,2007,0,4125,0.0
3236,2007,0,3115,0.0
3238,2007,0,4624,0.0
3240,2007,1000,8576,11.66
3242,2007,0,1310,0.0
3301,2007,1112,39747,2.8
3303,2007,329,11130,2.96
3305,2007,721,12704,5.68
3310,2007,0,2777,0.0
3312,2007,275,10433,2.64
3314,2007,66,7196,0.92
3316,2007,459,5944,7.72
3318,2007,644,1144,56.29
3320,2007,446,587,75.98
3322,2007,321,1657,19.37
3324,2007,0,2065,0.0
3326,2007,0,1048,0.0
3328,2007,0,2235,0.0
3330,2007,0,2238,0.0
3332,2007,0,1770,0.0
3334,2007,0,1294,0.0
3336,2007,0,702,0.0
3338,2007,0,1282,0.0
3401,2007,1205,7456,16.16
3403,2007,6362,14054,45.27
3405,2007,1230,11912,10.33
3407,2007,963,12435,7.74
3411,2007,1991,12981,15.34
3412,2007,94,3362,2.8
3413,2007,892,8855,10.07
3414,2007,311,2575,12.08
3415,2007,167,3698,4.52
3416,2007,0,2897,0.0
3417,2007,946,2409,39.27
3418,2007,845,3655,23.12
3419,2007,138,1995,6.92
3420,2007,0,8444,0.0
3421,2007,0,3316,0.0
3422,2007,0,2004,0.0
3423,2007,326,1472,22.15
