kom2024,navn,aar,parti,stemmer,total_stemmer,prosent
1111,Sokndal,2021,02,439,1852,23.7
1111,Sokndal,2021,03,331,1852,17.87
1111,Sokndal,2021,04,313,1852,16.9
1111,Sokndal,2021,05,289,1852,15.6
1111,Sokndal,2021,06,42,1852,2.27
1111,Sokndal,2021,07,34,1852,1.84
1111,Sokndal,2021,08,13,1852,0.7
1111,Sokndal,2021,55,58,1852,3.13
1111,Sokndal,2025,01,364,1940,18.76
1111,Sokndal,2025,02,719,1940,37.06
1111,Sokndal,2025,03,170,1940,8.76
1111,Sokndal,2025,04,391,1940,20.15
1111,Sokndal,2025,05,146,1940,7.53
1111,Sokndal,2025,06,38,1940,1.96
1111,Sokndal,2025,07,22,1940,1.13
1111,Sokndal,2025,08,23,1940,1.19
1111,Sokndal,2025,55,67,1940,3.45
1112,Lund,1989,01,914,2315,39.48
1112,Lund,1989,02,263,2315,11.36
1112,Lund,1989,03,323,2315,13.95
1112,Lund,1989,04,426,2315,18.4
1112,Lund,1989,05,235,2315,10.15
1112,Lund,1989,06,89,2315,3.84
1112,Lund,1989,07,63,2315,2.72
1112,Lund,1989,08,2,2315,0.09
1112,Lund,1993,01,404,1645,24.56
1112,Lund,1993,02,86,1645,5.23
1112,Lund,1993,03,218,1645,13.25
1112,Lund,1993,04,353,1645,21.46
1112,Lund,1993,05,485,1645,29.48
1112,Lund,1993,06,53,1645,3.22
1112,Lund,1993,07,45,1645,2.74
1112,Lund,1993,08,1,1645,0.06
1112,Lund,1997,01,404,1758,22.98
1112,Lund,1997,02,257,1758,14.62
1112,Lund,1997,03,175,1758,9.95
1112,Lund,1997,04,523,1758,29.75
1112,Lund,1997,05,253,1758,14.39
1112,Lund,1997,06,32,1758,1.82
1112,Lund,1997,07,114,1758,6.48
1112,Lund,2001,01,289,1647,17.55
1112,Lund,2001,02,282,1647,17.12
1112,Lund,2001,03,255,1647,15.48
1112,Lund,2001,04,448,1647,27.2
1112,Lund,2001,05,195,1647,11.84
1112,Lund,2001,06,82,1647,4.98
1112,Lund,2001,07,94,1647,5.71
1112,Lund,2001,08,2,1647,0.12
1112,Lund,2005,01,323,1703,18.97
1112,Lund,2005,02,474,1703,27.83
1112,Lund,2005,03,142,1703,8.34
1112,Lund,2005,04,365,1703,21.43
1112,Lund,2005,05,225,1703,13.21
1112,Lund,2005,06,63,1703,3.7
1112,Lund,2005,07,109,1703,6.4
1112,Lund,2005,08,2,1703,0.12
1112,Lund,2009,01,423,1701,24.87
1112,Lund,2009,02,512,1701,30.1
1112,Lund,2009,03,180,1701,10.58
1112,Lund,2009,04,319,1701,18.75
1112,Lund,2009,05,168,1701,9.88
1112,Lund,2009,06,29,1701,1.7
1112,Lund,2009,07,64,1701,3.76
1112,Lund,2009,08,2,1701,0.12
1112,Lund,2009,55,4,1701,0.24
1112,Lund,2013,01,399,1716,23.25
1112,Lund,2013,02,397,1716,23.14
1112,Lund,2013,03,341,1716,19.87
1112,Lund,2013,04,297,1716,17.31
1112,Lund,2013,05,185,1716,10.78
1112,Lund,2013,06,21,1716,1.22
1112,Lund,2013,07,46,1716,2.68
1112,Lund,2013,08,25,1716,1.46
1112,Lund,2013,55,5,1716,0.29
1112,Lund,2017,01,338,1777,19.02
1112,Lund,2017,02,468,1777,26.34
1112,Lund,2017,03,361,1777,20.32
1112,Lund,2017,04,244,1777,13.73
1112,Lund,2017,05,262,1777,14.74
1112,Lund,2017,06,26,1777,1.46
1112,Lund,2017,07,34,1777,1.91
1112,Lund,2017,08,32,1777,1.8
1112,Lund,2017,55,12,1777,0.68
1112,Lund,2021,01,296,1680,17.62
1112,Lund,2021,02,335,1680,19.94
1112,Lund,2021,03,236,1680,14.05
1112,Lund,2021,04,285,1680,16.96
1112,Lund,2021,05,403,1680,23.99
1112,Lund,2021,06,27,1680,1.61
1112,Lund,2021,07,38,1680,2.26
1112,Lund,2021,08,27,1680,1.61
1112,Lund,2021,55,33,1680,1.96
1112,Lund,2025,01,364,1787,20.37
1112,Lund,2025,02,605,1787,33.86
1112,Lund,2025,03,142,1787,7.95
1112,Lund,2025,04,323,1787,18.07
1112,Lund,2025,05,209,1787,11.7
1112,Lund,2025,06,21,1787,1.18
1112,Lund,2025,07,26,1787,1.45
1112,Lund,2025,08,24,1787,1.34
1112,Lund,2025,55,73,1787,4.09
1114,Bjerkreim,1989,01,370,1583,23.37
1114,Bjerkreim,1989,02,81,1583,5.12
1114,Bjerkreim,1989,03,198,1583,12.51
1114,Bjerkreim,1989,04,353,1583,22.3
1114,Bjerkreim,1989,05,507,1583,32.03
1114,Bjerkreim,1989,06,39,1583,2.46
1114,Bjerkreim,1989,07,34,1583,2.15
1114,Bjerkreim,1989,08,1,1583,0.06
1114,Bjerkreim,1993,01,172,1427,12.05
1114,Bjerkreim,1993,02,30,1427,2.1
1114,Bjerkreim,1993,03,94,1427,6.59
1114,Bjerkreim,1993,04,339,1427,23.76
1114,Bjerkreim,1993,05,736,1427,51.58
1114,Bjerkreim,1993,06,30,1427,2.1
1114,Bjerkreim,1993,07,26,1427,1.82
1114,Bjerkreim,1997,01,185,1457,12.7
1114,Bjerkreim,1997,02,140,1457,9.61
1114,Bjerkreim,1997,03,90,1457,6.18
1114,Bjerkreim,1997,04,485,1457,33.29
1114,Bjerkreim,1997,05,459,1457,31.5
1114,Bjerkreim,1997,06,33,1457,2.26
1114,Bjerkreim,1997,07,64,1457,4.39
1114,Bjerkreim,1997,08,1,1457,0.07
1114,Bjerkreim,2001,01,103,1392,7.4
1114,Bjerkreim,2001,02,141,1392,10.13
1114,Bjerkreim,2001,03,183,1392,13.15
1114,Bjerkreim,2001,04,499,1392,35.85
1114,Bjerkreim,2001,05,332,1392,23.85
1114,Bjerkreim,2001,06,59,1392,4.24
1114,Bjerkreim,2001,07,74,1392,5.32
1114,Bjerkreim,2001,08,1,1392,0.07
1114,Bjerkreim,2005,01,160,1427,11.21
1114,Bjerkreim,2005,02,248,1427,17.38
1114,Bjerkreim,2005,03,134,1427,9.39
1114,Bjerkreim,2005,04,327,1427,22.92
1114,Bjerkreim,2005,05,421,1427,29.5
1114,Bjerkreim,2005,06,32,1427,2.24
1114,Bjerkreim,2005,07,103,1427,7.22
1114,Bjerkreim,2005,08,2,1427,0.14
1114,Bjerkreim,2009,01,207,1445,14.33
1114,Bjerkreim,2009,02,243,1445,16.82
1114,Bjerkreim,2009,03,191,1445,13.22
1114,Bjerkreim,2009,04,333,1445,23.04
1114,Bjerkreim,2009,05,374,1445,25.88
1114,Bjerkreim,2009,06,22,1445,1.52
1114,Bjerkreim,2009,07,63,1445,4.36
1114,Bjerkreim,2009,08,9,1445,0.62
1114,Bjerkreim,2009,55,3,1445,0.21
1114,Bjerkreim,2013,01,196,1537,12.75
1114,Bjerkreim,2013,02,182,1537,11.84
1114,Bjerkreim,2013,03,318,1537,20.69
1114,Bjerkreim,2013,04,330,1537,21.47
1114,Bjerkreim,2013,05,452,1537,29.41
1114,Bjerkreim,2013,06,16,1537,1.04
1114,Bjerkreim,2013,07,27,1537,1.76
1114,Bjerkreim,2013,08,14,1537,0.91
1114,Bjerkreim,2013,55,2,1537,0.13
1114,Bjerkreim,2017,01,150,1546,9.7
1114,Bjerkreim,2017,02,258,1546,16.69
1114,Bjerkreim,2017,03,307,1546,19.86
1114,Bjerkreim,2017,04,298,1546,19.28
1114,Bjerkreim,2017,05,456,1546,29.5
1114,Bjerkreim,2017,06,26,1546,1.68
1114,Bjerkreim,2017,07,30,1546,1.94
1114,Bjerkreim,2017,08,10,1546,0.65
1114,Bjerkreim,2017,55,11,1546,0.71
1114,Bjerkreim,2021,01,177,1569,11.28
1114,Bjerkreim,2021,02,219,1569,13.96
1114,Bjerkreim,2021,03,236,1569,15.04
1114,Bjerkreim,2021,04,253,1569,16.12
1114,Bjerkreim,2021,05,571,1569,36.39
1114,Bjerkreim,2021,06,42,1569,2.68
1114,Bjerkreim,2021,07,30,1569,1.91
1114,Bjerkreim,2021,08,14,1569,0.89
1114,Bjerkreim,2021,55,27,1569,1.72
1114,Bjerkreim,2025,01,221,1607,13.75
1114,Bjerkreim,2025,02,390,1607,24.27
1114,Bjerkreim,2025,03,171,1607,10.64
1114,Bjerkreim,2025,04,272,1607,16.93
1114,Bjerkreim,2025,05,401,1607,24.95
1114,Bjerkreim,2025,06,32,1607,1.99
1114,Bjerkreim,2025,07,22,1607,1.37
1114,Bjerkreim,2025,08,24,1607,1.49
1114,Bjerkreim,2025,55,74,1607,4.6
1119,Hå,1989,01,2548,8873,28.72
1119,Hå,1989,02,1076,8873,12.13
1119,Hå,1989,03,1223,8873,13.78
1119,Hå,1989,04,1870,8873,21.08
1119,Hå,1989,05,1630,8873,18.37
1119,Hå,1989,06,302,8873,3.4
1119,Hå,1989,07,212,8873,2.39
1119,Hå,1989,08,12,8873,0.14
1119,Hå,1993,01,1413,7179,19.68
1119,Hå,1993,02,431,7179,6.0
1119,Hå,1993,03,709,7179,9.88
1119,Hå,1993,04,1582,7179,22.04
1119,Hå,1993,05,2664,7179,37.11
1119,Hå,1993,06,231,7179,3.22
1119,Hå,1993,07,144,7179,2.01
1119,Hå,1993,08,5,7179,0.07
1119,Hå,1997,01,1539,7670,20.07
1119,Hå,1997,02,1148,7670,14.97
1119,Hå,1997,03,716,7670,9.34
1119,Hå,1997,04,2342,7670,30.53
1119,Hå,1997,05,1514,7670,19.74
1119,Hå,1997,06,172,7670,2.24
1119,Hå,1997,07,231,7670,3.01
1119,Hå,1997,08,8,7670,0.1
1119,Hå,2001,01,910,7383,12.33
1119,Hå,2001,02,1292,7383,17.5
1119,Hå,2001,03,1101,7383,14.91
1119,Hå,2001,04,2414,7383,32.7
1119,Hå,2001,05,1000,7383,13.54
1119,Hå,2001,06,409,7383,5.54
1119,Hå,2001,07,253,7383,3.43
1119,Hå,2001,08,4,7383,0.05
1119,Hå,2005,01,1221,7930,15.4
1119,Hå,2005,02,2022,7930,25.5
1119,Hå,2005,03,847,7930,10.68
1119,Hå,2005,04,1865,7930,23.52
1119,Hå,2005,05,1253,7930,15.8
1119,Hå,2005,06,320,7930,4.04
1119,Hå,2005,07,396,7930,4.99
1119,Hå,2005,08,6,7930,0.08
1119,Hå,2009,01,1475,8258,17.86
1119,Hå,2009,02,2233,8258,27.04
