kom2024,navn,aar,befolkning
0301,Oslo - Oslove,1986,449395
0301,Oslo - Oslove,1987,451345
0301,Oslo - Oslove,1987,451345
0301,Oslo - Oslove,1988,453730
0301,Oslo - Oslove,1989,456124
0301,Oslo - Oslove,1990,458364
0301,Oslo - Oslove,1990,458364
0301,Oslo - Oslove,1991,461644
0301,Oslo - Oslove,1992,467441
0301,Oslo - Oslove,1993,473454
0301,Oslo - Oslove,1994,477781
0301,Oslo - Oslove,1995,483401
0301,Oslo - Oslove,1995,483401
0301,Oslo - Oslove,1996,488659
0301,Oslo - Oslove,1997,494793
0301,Oslo - Oslove,1998,499693
0301,Oslo - Oslove,1999,502867
0301,Oslo - Oslove,2000,507467
0301,Oslo - Oslove,2000,507467
0301,Oslo - Oslove,2001,508726
0301,Oslo - Oslove,2002,512589
0301,Oslo - Oslove,2003,517401
0301,Oslo - Oslove,2004,521886
0301,Oslo - Oslove,2005,529846
0301,Oslo - Oslove,2006,538411
0301,Oslo - Oslove,2007,548617
0301,Oslo - Oslove,2008,560484
0301,Oslo - Oslove,2009,575475
0301,Oslo - Oslove,2010,586860
0301,Oslo - Oslove,2011,599230
0301,Oslo - Oslove,2012,613285
0301,Oslo - Oslove,2013,623966
0301,Oslo - Oslove,2014,634463
0301,Oslo - Oslove,2015,647676
0301,Oslo - Oslove,2016,658390
0301,Oslo - Oslove,2017,666759
0301,Oslo - Oslove,2018,673469
0301,Oslo - Oslove,2019,681071
0301,Oslo - Oslove,2020,693494
0301,Oslo - Oslove,2021,697010
0301,Oslo - Oslove,2022,699827
0301,Oslo - Oslove,2023,709037
0301,Oslo - Oslove,2024,717710
0301,Oslo - Oslove,2025,724290
0301,Oslo - Oslove,2026,728714
1101,Eigersund,1986,12087
1101,Eigersund,1987,12159
1101,Eigersund,1987,12159
1101,Eigersund,1988,12203
1101,Eigersund,1989,12337
1101,Eigersund,1990,12391
1101,Eigersund,1990,12391
1101,Eigersund,1991,12398
1101,Eigersund,1992,12495
1101,Eigersund,1993,12646
1101,Eigersund,1994,12721
1101,Eigersund,1995,12798
1101,Eigersund,1995,12798
1101,Eigersund,1996,12863
1101,Eigersund,1997,12904
1101,Eigersund,1998,13045
1101,Eigersund,1999,13109
1101,Eigersund,2000,13288
1101,Eigersund,2000,13288
1101,Eigersund,2001,13291
1101,Eigersund,2002,13324
1101,Eigersund,2003,13350
1101,Eigersund,2004,13388
1101,Eigersund,2005,13408
1101,Eigersund,2006,13418
1101,Eigersund,2007,13594
1101,Eigersund,2008,13778
1101,Eigersund,2009,13969
1101,Eigersund,2010,14170
1101,Eigersund,2011,14346
1101,Eigersund,2012,14475
1101,Eigersund,2013,14636
1101,Eigersund,2014,14811
1101,Eigersund,2015,14916
1101,Eigersund,2016,14942
1101,Eigersund,2017,14899
1101,Eigersund,2018,14898
1101,Eigersund,2019,14830
1101,Eigersund,2020,14811
1101,Eigersund,2021,14787
1101,Eigersund,2022,14860
1101,Eigersund,2023,15011
1101,Eigersund,2024,15221
1101,Eigersund,2025,15375
1101,Eigersund,2026,15546
1103,Stavanger,1986,100311
1103,Stavanger,1987,100761
1103,Stavanger,1987,100761
1103,Stavanger,1988,101733
1103,Stavanger,1989,102308
1103,Stavanger,1990,102908
1103,Stavanger,1990,102908
1103,Stavanger,1991,103536
1103,Stavanger,1992,105192
1103,Stavanger,1993,106797
1103,Stavanger,1994,108072
1103,Stavanger,1995,109126
1103,Stavanger,1995,109126
1103,Stavanger,1996,109996
1103,Stavanger,1997,111324
1103,Stavanger,1998,112624
1103,Stavanger,1999,113893
1103,Stavanger,2000,114794
1103,Stavanger,2000,114794
1103,Stavanger,2001,114870
1103,Stavanger,2002,115781
1103,Stavanger,2003,117074
1103,Stavanger,2004,118523
1103,Stavanger,2005,120113
1103,Stavanger,2006,121298
1103,Stavanger,2007,123513
1103,Stavanger,2008,126058
1103,Stavanger,2009,128288
1103,Stavanger,2010,130709
1103,Stavanger,2011,133142
1103,Stavanger,2012,134849
1103,Stavanger,2013,136825
1103,Stavanger,2014,138567
1103,Stavanger,2015,140043
1103,Stavanger,2016,140721
1103,Stavanger,2017,140856
1103,Stavanger,2018,141186
1103,Stavanger,2019,142034
1103,Stavanger,2020,143574
1103,Stavanger,2021,144147
1103,Stavanger,2022,144699
1103,Stavanger,2023,146011
1103,Stavanger,2024,149048
1103,Stavanger,2025,150123
1103,Stavanger,2026,151669
1106,Haugesund,1986,26883
1106,Haugesund,1987,26884
1106,Haugesund,1987,26884
1106,Haugesund,1988,26947
1106,Haugesund,1989,27229
1106,Haugesund,1990,27600
1106,Haugesund,1990,27600
1106,Haugesund,1991,27788
1106,Haugesund,1992,28106
1106,Haugesund,1993,28436
1106,Haugesund,1994,28670
1106,Haugesund,1995,29064
1106,Haugesund,1995,29064
1106,Haugesund,1996,29229
1106,Haugesund,1997,29385
1106,Haugesund,1998,29699
1106,Haugesund,1999,29888
1106,Haugesund,2000,30362
1106,Haugesund,2000,30362
1106,Haugesund,2001,30609
1106,Haugesund,2002,30742
1106,Haugesund,2003,31013
1106,Haugesund,2004,31361
1106,Haugesund,2005,31530
1106,Haugesund,2006,31738
1106,Haugesund,2007,32303
1106,Haugesund,2008,32956
1106,Haugesund,2009,33665
1106,Haugesund,2010,34049
1106,Haugesund,2011,34619
1106,Haugesund,2012,35099
1106,Haugesund,2013,35753
1106,Haugesund,2014,36099
1106,Haugesund,2015,36538
1106,Haugesund,2016,36951
1106,Haugesund,2017,37166
1106,Haugesund,2018,37167
1106,Haugesund,2019,37250
1106,Haugesund,2020,37357
1106,Haugesund,2021,37323
1106,Haugesund,2022,37444
1106,Haugesund,2023,37855
1106,Haugesund,2024,38292
1106,Haugesund,2025,38441
1106,Haugesund,2026,38663
1108,Sandnes,1986,41803
1108,Sandnes,1987,42887
1108,Sandnes,1987,42887
1108,Sandnes,1988,43525
1108,Sandnes,1989,44613
1108,Sandnes,1990,45339
1108,Sandnes,1990,45339
1108,Sandnes,1991,45983
1108,Sandnes,1992,46747
1108,Sandnes,1993,47848
1108,Sandnes,1994,48956
1108,Sandnes,1995,49763
1108,Sandnes,1995,49763
1108,Sandnes,1996,50273
1108,Sandnes,1997,50974
1108,Sandnes,1998,51863
1108,Sandnes,1999,53092
1108,Sandnes,2000,54016
1108,Sandnes,2000,54016
1108,Sandnes,2001,54893
1108,Sandnes,2002,55984
1108,Sandnes,2003,56805
1108,Sandnes,2004,57737
1108,Sandnes,2005,58720
1108,Sandnes,2006,60039
1108,Sandnes,2007,61610
1108,Sandnes,2008,63153
1108,Sandnes,2009,64565
1108,Sandnes,2010,65820
1108,Sandnes,2011,67411
1108,Sandnes,2012,69004
1108,Sandnes,2013,71273
1108,Sandnes,2014,73142
1108,Sandnes,2015,74832
1108,Sandnes,2016,76058
1108,Sandnes,2017,76742
1108,Sandnes,2018,77574
1108,Sandnes,2019,78439
1108,Sandnes,2020,79537
1108,Sandnes,2021,80450
1108,Sandnes,2022,81305
1108,Sandnes,2023,82548
1108,Sandnes,2024,83702
1108,Sandnes,2025,84908
1108,Sandnes,2026,85785
1111,Sokndal,1986,3483
1111,Sokndal,1987,3487
1111,Sokndal,1987,3487
1111,Sokndal,1988,3507
1111,Sokndal,1989,3497
1111,Sokndal,1990,3487
1111,Sokndal,1990,3487
1111,Sokndal,1991,3453
1111,Sokndal,1992,3486
1111,Sokndal,1993,3501
1111,Sokndal,1994,3508
1111,Sokndal,1995,3517
1111,Sokndal,1995,3517
1111,Sokndal,1996,3495
1111,Sokndal,1997,3484
1111,Sokndal,1998,3424
1111,Sokndal,1999,3394
1111,Sokndal,2000,3358
1111,Sokndal,2000,3358
1111,Sokndal,2001,3354
1111,Sokndal,2002,3309
1111,Sokndal,2003,3294
1111,Sokndal,2004,3320
1111,Sokndal,2005,3309
1111,Sokndal,2006,3301
1111,Sokndal,2007,3266
1111,Sokndal,2008,3242
1111,Sokndal,2009,3246
1111,Sokndal,2010,3285
1111,Sokndal,2011,3265
1111,Sokndal,2012,3257
1111,Sokndal,2013,3286
1111,Sokndal,2014,3303
1111,Sokndal,2015,3309
1111,Sokndal,2016,3313
1111,Sokndal,2017,3316
1111,Sokndal,2018,3331
1111,Sokndal,2019,3305
1111,Sokndal,2020,3280
1111,Sokndal,2021,3257
1111,Sokndal,2022,3281
1111,Sokndal,2023,3324
1111,Sokndal,2024,3347
1111,Sokndal,2025,3371
1111,Sokndal,2026,3356
1112,Lund,1986,3110
1112,Lund,1987,3109
1112,Lund,1987,3109
1112,Lund,1988,3113
1112,Lund,1989,3138
1112,Lund,1990,3101
1112,Lund,1990,3101
1112,Lund,1991,3086
1112,Lund,1992,3059
1112,Lund,1993,3083
1112,Lund,1994,3071
1112,Lund,1995,3072
1112,Lund,1995,3072
1112,Lund,1996,3063
1112,Lund,1997,3091
1112,Lund,1998,3084
1112,Lund,1999,3092
1112,Lund,2000,3096
1112,Lund,2000,3096
1112,Lund,2001,3114
1112,Lund,2002,3130
1112,Lund,2003,3097
1112,Lund,2004,3105
1112,Lund,2005,3129
1112,Lund,2006,3098
1112,Lund,2007,3120
1112,Lund,2008,3112
1112,Lund,2009,3111
1112,Lund,2010,3139
1112,Lund,2011,3186
1112,Lund,2012,3183
1112,Lund,2013,3173
1112,Lund,2014,3225
1112,Lund,2015,3247
1112,Lund,2016,3243
1112,Lund,2017,3259
1112,Lund,2018,3237
1112,Lund,2019,3213
1112,Lund,2020,3202
1112,Lund,2021,3174
1112,Lund,2022,3178
1112,Lund,2023,3206
1112,Lund,2024,3226
1112,Lund,2025,3259
1112,Lund,2026,3229
1114,Bjerkreim,1986,2283
1114,Bjerkreim,1987,2305
1114,Bjerkreim,1987,2305
1114,Bjerkreim,1988,2320
1114,Bjerkreim,1989,2309
1114,Bjerkreim,1990,2340
1114,Bjerkreim,1990,2340
1114,Bjerkreim,1991,2373
1114,Bjerkreim,1992,2373
1114,Bjerkreim,1993,2432
1114,Bjerkreim,1994,2437
1114,Bjerkreim,1995,2458
1114,Bjerkreim,1995,2458
1114,Bjerkreim,1996,2449
1114,Bjerkreim,1997,2449
1114,Bjerkreim,1998,2437
1114,Bjerkreim,1999,2454
1114,Bjerkreim,2000,2456
1114,Bjerkreim,2000,2456
1114,Bjerkreim,2001,2483
1114,Bjerkreim,2002,2467
1114,Bjerkreim,2003,2480
1114,Bjerkreim,2004,2461
1114,Bjerkreim,2005,2463
1114,Bjerkreim,2006,2475
1114,Bjerkreim,2007,2507
1114,Bjerkreim,2008,2539
1114,Bjerkreim,2009,2580
1114,Bjerkreim,2010,2583
1114,Bjerkreim,2011,2651
1114,Bjerkreim,2012,2739
1114,Bjerkreim,2013,2779
1114,Bjerkreim,2014,2820
1114,Bjerkreim,2015,2861
1114,Bjerkreim,2016,2825
1114,Bjerkreim,2017,2826
1114,Bjerkreim,2018,2826
1114,Bjerkreim,2019,2807
1114,Bjerkreim,2020,2787
1114,Bjerkreim,2021,2791
1114,Bjerkreim,2022,2789
1114,Bjerkreim,2023,2848
1114,Bjerkreim,2024,2892
1114,Bjerkreim,2025,2905
1114,Bjerkreim,2026,2894
1119,Hå,1986,12715
1119,Hå,1987,12802
1119,Hå,1987,12802
1119,Hå,1988,12868
1119,Hå,1989,12988
1119,Hå,1990,13034
1119,Hå,1990,13034
1119,Hå,1991,13022
1119,Hå,1992,13067
1119,Hå,1993,13041
1119,Hå,1994,13409
1119,Hå,1995,13268
1119,Hå,1995,13268
1119,Hå,1996,13280
1119,Hå,1997,13356
1119,Hå,1998,13498
1119,Hå,1999,13723
1119,Hå,2000,13921
1119,Hå,2000,13921
1119,Hå,2001,14017
1119,Hå,2002,14203
1119,Hå,2003,14417
1119,Hå,2004,14570
1119,Hå,2005,14784
1119,Hå,2006,14883
1119,Hå,2007,15072
1119,Hå,2008,15438
1119,Hå,2009,15949
1119,Hå,2010,16342
1119,Hå,2011,16822
1119,Hå,2012,17244
1119,Hå,2013,17635
1119,Hå,2014,18115
1119,Hå,2015,18528
1119,Hå,2016,18591
1119,Hå,2017,18800
1119,Hå,2018,18762
1119,Hå,2019,18814
1119,Hå,2020,18991
1119,Hå,2021,19120
1119,Hå,2022,19296
1119,Hå,2023,19649
1119,Hå,2024,19827
1119,Hå,2025,20067
1119,Hå,2026,20087
1120,Klepp,1986,11358
1120,Klepp,1987,11565
1120,Klepp,1987,11565
1120,Klepp,1988,11688
1120,Klepp,1989,11796
1120,Klepp,1990,11788
1120,Klepp,1990,11788
1120,Klepp,1991,11871
1120,Klepp,1992,11953
1120,Klepp,1993,12202
1120,Klepp,1994,12381
1120,Klepp,1995,12605
1120,Klepp,1995,12605
1120,Klepp,1996,12757
1120,Klepp,1997,12950
1120,Klepp,1998,13240
1120,Klepp,1999,13548
1120,Klepp,2000,13789
1120,Klepp,2000,13789
1120,Klepp,2001,13884
1120,Klepp,2002,14009
1120,Klepp,2003,14135
