kom2024,sent_klasse,sent_indeks,sent_navn,sent_gammel_0_3,gammel_konflikt
3224,1,948,Sentralitet: 1 (925-1000) - høy,3,False
3226,3,797,Sentralitet: 3 (775-869),3,False
3228,3,826,Sentralitet: 3 (775-869),3,False
3230,2,880,Sentralitet: 2 (870-924),3,False
3232,2,886,Sentralitet: 2 (870-924),3,False
3234,3,785,Sentralitet: 3 (775-869),3,False
3236,3,793,Sentralitet: 3 (775-869),3,False
3238,3,834,Sentralitet: 3 (775-869),3,False
3240,3,851,Sentralitet: 3 (775-869),3,False
3242,4,736,Sentralitet: 4 (670-774),3,False
3301,2,912,Sentralitet: 2 (870-924),3,False
3303,3,848,Sentralitet: 3 (775-869),3,False
3305,3,838,Sentralitet: 3 (775-869),3,False
3310,3,832,Sentralitet: 3 (775-869),3,False
3312,2,887,Sentralitet: 2 (870-924),3,False
3314,3,848,Sentralitet: 3 (775-869),3,False
3316,3,812,Sentralitet: 3 (775-869),3,False
3318,5,656,Sentralitet: 5 (565-669),3,False
3320,5,617,Sentralitet: 5 (565-669),0,False
3322,5,640,Sentralitet: 5 (565-669),0,False
3324,4,683,Sentralitet: 4 (670-774),0,False
3326,5,625,Sentralitet: 5 (565-669),0,False
3328,5,635,Sentralitet: 5 (565-669),0,False
3330,5,629,Sentralitet: 5 (565-669),0,False
3332,5,663,Sentralitet: 5 (565-669),3,False
3334,4,688,Sentralitet: 4 (670-774),3,False
3336,5,578,Sentralitet: 5 (565-669),2,False
3338,6,530,Sentralitet: 6 (0-564) - lav,0,False
3401,3,792,Sentralitet: 3 (775-869),3,False
3403,2,873,Sentralitet: 2 (870-924),3,False
3405,3,818,Sentralitet: 3 (775-869),2,False
3407,3,805,Sentralitet: 3 (775-869),2,False
3411,3,797,Sentralitet: 3 (775-869),2,False
3412,3,790,Sentralitet: 3 (775-869),3,False
3413,3,820,Sentralitet: 3 (775-869),3,False
3414,4,708,Sentralitet: 4 (670-774),3,False
3415,3,777,Sentralitet: 3 (775-869),3,False
3416,4,691,Sentralitet: 4 (670-774),3,False
3417,5,662,Sentralitet: 5 (565-669),1,False
3418,5,665,Sentralitet: 5 (565-669),2,False
3419,5,669,Sentralitet: 5 (565-669),2,False
3420,3,787,Sentralitet: 3 (775-869),2,False
3421,5,604,Sentralitet: 5 (565-669),0,False
3422,5,638,Sentralitet: 5 (565-669),2,False
3423,6,538,Sentralitet: 6 (0-564) - lav,0,False
3424,6,486,Sentralitet: 6 (0-564) - lav,0,False
3425,6,421,Sentralitet: 6 (0-564) - lav,0,False
3426,5,567,Sentralitet: 5 (565-669),0,False
3427,5,647,Sentralitet: 5 (565-669),0,False
3428,5,573,Sentralitet: 5 (565-669),0,False
3429,6,492,Sentralitet: 6 (0-564) - lav,0,False
3430,6,551,Sentralitet: 6 (0-564) - lav,0,False
3431,6,563,Sentralitet: 6 (0-564) - lav,0,False
3432,6,520,Sentralitet: 6 (0-564) - lav,0,False
3433,6,550,Sentralitet: 6 (0-564) - lav,0,False
