kom2024,navn,aar,parti,stemmer,total_stemmer,prosent,estimert,sikkerhet
1837,Meløy,1945,02,0.0,1985.0,0.0,False,lav
1837,Meløy,1945,03,434.0,1985.0,21.86,False,lav
1837,Meløy,1945,04,0.0,1985.0,0.0,False,lav
1837,Meløy,1945,05,57.0,1985.0,2.87,False,lav
1837,Meløy,1945,06,0.0,1985.0,0.0,False,lav
1837,Meløy,1945,07,342.0,1985.0,17.23,False,lav
1837,Meløy,1945,08,0.0,1985.0,0.0,False,lav
1837,Meløy,1945,55,0.0,1985.0,0.0,False,lav
1837,Meløy,1945,09,307.0,1985.0,15.47,False,lav
1837,Meløy,1945,90,0.0,1985.0,0.0,False,lav
1837,Meløy,1945,99,0.0,1985.0,0.0,False,lav
1838,Gildeskål,1945,01,950.0,1575.0,60.32,False,lav
1838,Gildeskål,1945,02,0.0,1575.0,0.0,False,lav
1838,Gildeskål,1945,03,287.0,1575.0,18.22,False,lav
1838,Gildeskål,1945,04,0.0,1575.0,0.0,False,lav
1838,Gildeskål,1945,05,37.0,1575.0,2.35,False,lav
1838,Gildeskål,1945,06,0.0,1575.0,0.0,False,lav
1838,Gildeskål,1945,07,241.0,1575.0,15.3,False,lav
1838,Gildeskål,1945,08,0.0,1575.0,0.0,False,lav
1838,Gildeskål,1945,55,0.0,1575.0,0.0,False,lav
1838,Gildeskål,1945,09,60.0,1575.0,3.81,False,lav
1838,Gildeskål,1945,90,0.0,1575.0,0.0,False,lav
1838,Gildeskål,1945,99,0.0,1575.0,0.0,False,lav
1839,Beiarn,1945,01,547.0,836.0,65.43,False,lav
1839,Beiarn,1945,02,0.0,836.0,0.0,False,lav
1839,Beiarn,1945,03,117.0,836.0,14.0,False,lav
1839,Beiarn,1945,04,0.0,836.0,0.0,False,lav
1839,Beiarn,1945,05,62.0,836.0,7.42,False,lav
1839,Beiarn,1945,06,0.0,836.0,0.0,False,lav
1839,Beiarn,1945,07,56.0,836.0,6.7,False,lav
1839,Beiarn,1945,08,0.0,836.0,0.0,False,lav
1839,Beiarn,1945,55,0.0,836.0,0.0,False,lav
1839,Beiarn,1945,09,54.0,836.0,6.46,False,lav
1839,Beiarn,1945,90,0.0,836.0,0.0,False,lav
1839,Beiarn,1945,99,0.0,836.0,0.0,False,lav
1840,Saltdal,1945,01,1152.0,1961.0,58.75,False,lav
1840,Saltdal,1945,02,0.0,1961.0,0.0,False,lav
1840,Saltdal,1945,03,228.0,1961.0,11.63,False,lav
1840,Saltdal,1945,04,0.0,1961.0,0.0,False,lav
1840,Saltdal,1945,05,65.0,1961.0,3.31,False,lav
1840,Saltdal,1945,06,0.0,1961.0,0.0,False,lav
1840,Saltdal,1945,07,193.0,1961.0,9.84,False,lav
1840,Saltdal,1945,08,0.0,1961.0,0.0,False,lav
1840,Saltdal,1945,55,0.0,1961.0,0.0,False,lav
1840,Saltdal,1945,09,323.0,1961.0,16.47,False,lav
1840,Saltdal,1945,90,0.0,1961.0,0.0,False,lav
1840,Saltdal,1945,99,0.0,1961.0,0.0,False,lav
1841,Fauske - Fuossko,1945,01,2026.0,3673.0,55.16,False,lav
1841,Fauske - Fuossko,1945,02,0.0,3673.0,0.0,False,lav
1841,Fauske - Fuossko,1945,03,220.0,3673.0,5.99,False,lav
1841,Fauske - Fuossko,1945,04,0.0,3673.0,0.0,False,lav
1841,Fauske - Fuossko,1945,05,74.0,3673.0,2.01,False,lav
1841,Fauske - Fuossko,1945,06,0.0,3673.0,0.0,False,lav
1841,Fauske - Fuossko,1945,07,442.0,3673.0,12.03,False,lav
1841,Fauske - Fuossko,1945,08,0.0,3673.0,0.0,False,lav
1841,Fauske - Fuossko,1945,55,0.0,3673.0,0.0,False,lav
1841,Fauske - Fuossko,1945,09,911.0,3673.0,24.8,False,lav
1841,Fauske - Fuossko,1945,90,0.0,3673.0,0.0,False,lav
1841,Fauske - Fuossko,1945,99,0.0,3673.0,0.0,False,lav
1845,Sørfold - Fuolldá,1945,01,761.68,1274.15,59.78,True,lav
1845,Sørfold - Fuolldá,1945,02,0.0,1274.15,0.0,True,lav
