kom2024,navn,aar,parti,stemmer,total_stemmer,prosent,sum_9parti,prosent_9parti,dekning,estimert
1114,Bjerkreim,1987,06,0,1228,0.0,1092,0.0,1.0,False
1114,Bjerkreim,1987,07,0,1228,0.0,1092,0.0,1.0,False
1114,Bjerkreim,1987,08,0,1228,0.0,1092,0.0,1.0,False
1114,Bjerkreim,1987,55,0,1228,0.0,1092,0.0,1.0,False
1114,Bjerkreim,1987,99,136,1228,11.07,1092,,1.0,False
1119,Hå,1987,01,588,6402,9.18,2902,20.26,1.0,False
1119,Hå,1987,02,249,6402,3.89,2902,8.58,1.0,False
1119,Hå,1987,03,380,6402,5.94,2902,13.09,1.0,False
1119,Hå,1987,04,1080,6402,16.87,2902,37.22,1.0,False
1119,Hå,1987,05,448,6402,7.0,2902,15.44,1.0,False
1119,Hå,1987,06,157,6402,2.45,2902,5.41,1.0,False
1119,Hå,1987,07,0,6402,0.0,2902,0.0,1.0,False
1119,Hå,1987,08,0,6402,0.0,2902,0.0,1.0,False
1119,Hå,1987,55,0,6402,0.0,2902,0.0,1.0,False
1119,Hå,1987,99,3500,6402,54.67,2902,,1.0,False
1120,Klepp,1987,01,1031,5527,18.65,5110,20.18,1.0,False
1120,Klepp,1987,02,726,5527,13.14,5110,14.21,1.0,False
1120,Klepp,1987,03,1465,5527,26.51,5110,28.67,1.0,False
1120,Klepp,1987,04,920,5527,16.65,5110,18.0,1.0,False
1120,Klepp,1987,05,946,5527,17.12,5110,18.51,1.0,False
1120,Klepp,1987,06,0,5527,0.0,5110,0.0,1.0,False
1120,Klepp,1987,07,0,5527,0.0,5110,0.0,1.0,False
1120,Klepp,1987,08,0,5527,0.0,5110,0.0,1.0,False
1120,Klepp,1987,55,22,5527,0.4,5110,0.43,1.0,False
1120,Klepp,1987,99,417,5527,7.54,5110,,1.0,False
1121,Time,1987,01,1233,5938,20.76,5608,21.99,1.0,False
1121,Time,1987,02,728,5938,12.26,5608,12.98,1.0,False
1121,Time,1987,03,1450,5938,24.42,5608,25.86,1.0,False
1121,Time,1987,04,1066,5938,17.95,5608,19.01,1.0,False
1121,Time,1987,05,824,5938,13.88,5608,14.69,1.0,False
1121,Time,1987,06,282,5938,4.75,5608,5.03,1.0,False
1121,Time,1987,07,0,5938,0.0,5608,0.0,1.0,False
1121,Time,1987,08,0,5938,0.0,5608,0.0,1.0,False
1121,Time,1987,55,25,5938,0.42,5608,0.45,1.0,False
1121,Time,1987,99,330,5938,5.56,5608,,1.0,False
1122,Gjesdal,1987,01,1029,3436,29.95,3436,29.95,1.0,False
1122,Gjesdal,1987,02,417,3436,12.14,3436,12.14,1.0,False
1122,Gjesdal,1987,03,550,3436,16.01,3436,16.01,1.0,False
1122,Gjesdal,1987,04,721,3436,20.98,3436,20.98,1.0,False
1122,Gjesdal,1987,05,436,3436,12.69,3436,12.69,1.0,False
1122,Gjesdal,1987,06,0,3436,0.0,3436,0.0,1.0,False
1122,Gjesdal,1987,07,283,3436,8.24,3436,8.24,1.0,False
1122,Gjesdal,1987,08,0,3436,0.0,3436,0.0,1.0,False
1122,Gjesdal,1987,55,0,3436,0.0,3436,0.0,1.0,False
1122,Gjesdal,1987,99,0,3436,0.0,3436,,1.0,False
1124,Sola,1987,01,1295,7449,17.38,6220,20.82,1.0,False
1124,Sola,1987,02,1719,7449,23.08,6220,27.64,1.0,False
1124,Sola,1987,03,1396,7449,18.74,6220,22.44,1.0,False
1124,Sola,1987,04,858,7449,11.52,6220,13.79,1.0,False
1124,Sola,1987,05,776,7449,10.42,6220,12.48,1.0,False
1124,Sola,1987,06,176,7449,2.36,6220,2.83,1.0,False
1124,Sola,1987,07,0,7449,0.0,6220,0.0,1.0,False
1124,Sola,1987,08,0,7449,0.0,6220,0.0,1.0,False
1124,Sola,1987,55,0,7449,0.0,6220,0.0,1.0,False
1124,Sola,1987,99,1229,7449,16.5,6220,,1.0,False
1127,Randaberg,1987,01,909,3571,25.46,3571,25.46,1.0,False
1127,Randaberg,1987,02,0,3571,0.0,3571,0.0,1.0,False
1127,Randaberg,1987,03,1180,3571,33.04,3571,33.04,1.0,False
1127,Randaberg,1987,04,622,3571,17.42,3571,17.42,1.0,False
1127,Randaberg,1987,05,539,3571,15.09,3571,15.09,1.0,False
1127,Randaberg,1987,06,0,3571,0.0,3571,0.0,1.0,False
1127,Randaberg,1987,07,321,3571,8.99,3571,8.99,1.0,False
1127,Randaberg,1987,08,0,3571,0.0,3571,0.0,1.0,False
1127,Randaberg,1987,55,0,3571,0.0,3571,0.0,1.0,False
1127,Randaberg,1987,99,0,3571,0.0,3571,,1.0,False
1130,Strand,1987,01,1206,4308,27.99,3865,31.2,1.0,False
1130,Strand,1987,02,0,4308,0.0,3865,0.0,1.0,False
1130,Strand,1987,03,844,4308,19.59,3865,21.84,1.0,False
1130,Strand,1987,04,975,4308,22.63,3865,25.23,1.0,False
1130,Strand,1987,05,229,4308,5.32,3865,5.92,1.0,False
1130,Strand,1987,06,375,4308,8.7,3865,9.7,1.0,False
1130,Strand,1987,07,236,4308,5.48,3865,6.11,1.0,False
1130,Strand,1987,08,0,4308,0.0,3865,0.0,1.0,False
1130,Strand,1987,55,0,4308,0.0,3865,0.0,1.0,False
1130,Strand,1987,99,443,4308,10.28,3865,,1.0,False
1133,Hjelmeland,1987,01,165,1500,11.0,1351,12.21,1.0,False
1133,Hjelmeland,1987,02,73,1500,4.87,1351,5.4,1.0,False
1133,Hjelmeland,1987,03,224,1500,14.93,1351,16.58,1.0,False
1133,Hjelmeland,1987,04,386,1500,25.73,1351,28.57,1.0,False
1133,Hjelmeland,1987,05,503,1500,33.53,1351,37.23,1.0,False
1133,Hjelmeland,1987,06,0,1500,0.0,1351,0.0,1.0,False
1133,Hjelmeland,1987,07,0,1500,0.0,1351,0.0,1.0,False
1133,Hjelmeland,1987,08,0,1500,0.0,1351,0.0,1.0,False
1133,Hjelmeland,1987,55,0,1500,0.0,1351,0.0,1.0,False
1133,Hjelmeland,1987,99,149,1500,9.93,1351,,1.0,False
1134,Suldal,1987,01,434,2062,21.05,1880,23.09,1.0,False
1134,Suldal,1987,02,0,2062,0.0,1880,0.0,1.0,False
1134,Suldal,1987,03,218,2062,10.57,1880,11.6,1.0,False
1134,Suldal,1987,04,390,2062,18.91,1880,20.74,1.0,False
1134,Suldal,1987,05,576,2062,27.93,1880,30.64,1.0,False
1134,Suldal,1987,06,70,2062,3.39,1880,3.72,1.0,False
1134,Suldal,1987,07,192,2062,9.31,1880,10.21,1.0,False
1134,Suldal,1987,08,0,2062,0.0,1880,0.0,1.0,False
1134,Suldal,1987,55,0,2062,0.0,1880,0.0,1.0,False
1134,Suldal,1987,99,182,2062,8.83,1880,,1.0,False
1135,Sauda,1987,01,1266,3045,41.58,3045,41.58,1.0,False
1135,Sauda,1987,02,0,3045,0.0,3045,0.0,1.0,False
1135,Sauda,1987,03,482,3045,15.83,3045,15.83,1.0,False
1135,Sauda,1987,04,340,3045,11.17,3045,11.17,1.0,False
1135,Sauda,1987,05,256,3045,8.41,3045,8.41,1.0,False
1135,Sauda,1987,06,370,3045,12.15,3045,12.15,1.0,False
1135,Sauda,1987,07,304,3045,9.98,3045,9.98,1.0,False
1135,Sauda,1987,08,0,3045,0.0,3045,0.0,1.0,False
1135,Sauda,1987,55,27,3045,0.89,3045,0.89,1.0,False
1135,Sauda,1987,99,0,3045,0.0,3045,,1.0,False
1144,Kvitsøy,1987,01,56,287,19.51,203,27.59,1.0,False
1144,Kvitsøy,1987,02,0,287,0.0,203,0.0,1.0,False
1144,Kvitsøy,1987,03,59,287,20.56,203,29.06,1.0,False
1144,Kvitsøy,1987,04,88,287,30.66,203,43.35,1.0,False
1144,Kvitsøy,1987,05,0,287,0.0,203,0.0,1.0,False
1144,Kvitsøy,1987,06,0,287,0.0,203,0.0,1.0,False
1144,Kvitsøy,1987,07,0,287,0.0,203,0.0,1.0,False
1144,Kvitsøy,1987,08,0,287,0.0,203,0.0,1.0,False
1144,Kvitsøy,1987,55,0,287,0.0,203,0.0,1.0,False
1144,Kvitsøy,1987,99,84,287,29.27,203,,1.0,False
1145,Bokn,1987,01,83,398,20.85,398,20.85,1.0,False
1145,Bokn,1987,02,0,398,0.0,398,0.0,1.0,False
1145,Bokn,1987,03,102,398,25.63,398,25.63,1.0,False
1145,Bokn,1987,04,57,398,14.32,398,14.32,1.0,False
1145,Bokn,1987,05,156,398,39.2,398,39.2,1.0,False
1145,Bokn,1987,06,0,398,0.0,398,0.0,1.0,False
1145,Bokn,1987,07,0,398,0.0,398,0.0,1.0,False
1145,Bokn,1987,08,0,398,0.0,398,0.0,1.0,False
1145,Bokn,1987,55,0,398,0.0,398,0.0,1.0,False
1145,Bokn,1987,99,0,398,0.0,398,,1.0,False
1146,Tysvær,1987,01,767,3570,21.48,3444,22.27,1.0,False
1146,Tysvær,1987,02,369,3570,10.34,3444,10.71,1.0,False
1146,Tysvær,1987,03,631,3570,17.68,3444,18.32,1.0,False
1146,Tysvær,1987,04,681,3570,19.08,3444,19.77,1.0,False
1146,Tysvær,1987,05,423,3570,11.85,3444,12.28,1.0,False
1146,Tysvær,1987,06,0,3570,0.0,3444,0.0,1.0,False
1146,Tysvær,1987,07,573,3570,16.05,3444,16.64,1.0,False
1146,Tysvær,1987,08,0,3570,0.0,3444,0.0,1.0,False
1146,Tysvær,1987,55,0,3570,0.0,3444,0.0,1.0,False
1146,Tysvær,1987,99,126,3570,3.53,3444,,1.0,False
1149,Karmøy,1987,01,3965,15194,26.1,15194,26.1,1.0,False
1149,Karmøy,1987,02,2389,15194,15.72,15194,15.72,1.0,False
1149,Karmøy,1987,03,2950,15194,19.42,15194,19.42,1.0,False
1149,Karmøy,1987,04,3376,15194,22.22,15194,22.22,1.0,False
1149,Karmøy,1987,05,497,15194,3.27,15194,3.27,1.0,False
1149,Karmøy,1987,06,416,15194,2.74,15194,2.74,1.0,False
1149,Karmøy,1987,07,1563,15194,10.29,15194,10.29,1.0,False
1149,Karmøy,1987,08,0,15194,0.0,15194,0.0,1.0,False
1149,Karmøy,1987,55,38,15194,0.25,15194,0.25,1.0,False
1149,Karmøy,1987,99,0,15194,0.0,15194,,1.0,False
1151,Utsira,1987,01,68,148,45.95,68,100.0,1.0,False
1151,Utsira,1987,02,0,148,0.0,68,0.0,1.0,False
1151,Utsira,1987,03,0,148,0.0,68,0.0,1.0,False
