"Region","PolitParti","Godkjente1 1995"
"0101","01",4647
"0101","02",1176
"0101","03",1529
"0101","04",1795
"0101","08",528
"0101","05",1350
"0101","06",648
"0101","07",263
"0101","10",641
"0101","11",220
"0104","01",4362
"0104","02",1650
"0104","03",3437
"0104","04",652
"0104","06",728
"0104","07",524
"0104","10",916
"0104","11",420
"0105","01",7452
"0105","02",3149
"0105","03",2796
"0105","04",2006
"0105","05",1519
"0105","06",963
"0105","07",551
"0105","91",4183
"0106","01",10572
"0106","02",2639
"0106","03",5289
"0106","04",1953
"0106","05",1162
"0106","06",1528
"0106","07",720
"0106","11",308
"0106","91",8299
"0111","01",465
"0111","02",124
"0111","03",552
"0111","04",95
"0111","05",155
"0111","06",153
"0111","07",69
"0118","01",276
"0118","03",77
"0118","04",130
"0118","08",57
"0118","05",306
"0119","01",603
"0119","03",174
"0119","04",382
"0119","05",627
"0121","01",208
"0121","03",32
"0121","04",155
"0121","05",74
"0122","01",583
"0122","03",323
"0122","04",288
"0122","05",1042
"0122","06",68
"0122","07",77
"0123","01",462
"0123","02",131
"0123","03",609
"0123","04",212
"0123","05",536
"0123","06",88
"0123","07",114
"0124","01",1634
"0124","02",753
"0124","03",1665
"0124","04",667
"0124","05",711
"0124","06",366
"0124","07",220
"0124","11",181
"0125","01",1418
"0125","03",881
"0125","04",516
"0125","05",1241
"0125","06",163
"0125","07",201
"0127","01",424
"0127","02",207
"0127","03",144
"0127","04",331
"0127","05",527
"0128","01",860
"0128","03",381
"0128","04",670
"0128","05",1408
"0128","06",140
"0135","01",936
"0135","02",321
"0135","03",616
"0135","04",501
"0135","05",544
"0136","01",1709
"0136","02",1100
"0136","03",1587
"0136","04",369
"0136","05",510
"0136","06",323
"0136","07",171
"0136","11",94
"0137","01",373
"0137","02",170
"0137","03",720
"0137","04",174
"0137","05",428
"0138","01",549
"0138","02",149
"0138","03",351
"0138","04",336
"0138","05",378
"0138","07",86
"0138","91",229
"0211","01",2048
"0211","02",802
"0211","03",1547
"0211","04",224
"0211","05",595
"0211","07",214
"0211","11",158
"0213","01",3318
"0213","02",1782
"0213","03",3588
"0213","04",607
"0213","05",738
"0213","06",659
"0213","07",896
"0213","10",513
"0213","11",152
"0214","01",1829
"0214","02",740
"0214","03",1172
"0214","04",381
"0214","05",1022
"0214","06",634
"0214","07",458
"0214","11",146
"0215","01",1843
"0215","02",613
"0215","03",1697
"0215","04",192
"0215","05",508
"0215","06",318
"0215","07",713
"0215","11",58
"0216","01",1919
"0216","02",803
"0216","03",1928
"0216","04",366
"0216","08",333
"0216","05",186
"0216","06",1006
"0216","07",284
"0216","11",225
"0217","01",3236
"0217","02",1447
"0217","03",5103
"0217","04",624
"0217","05",171
"0217","06",529
"0217","07",285
"0217","10",485
"0217","11",90
"0219","01",10568
"0219","02",7117
"0219","03",24510
"0219","04",2164
"0219","05",1184
"0219","06",2536
"0219","07",2652
"0219","10",820
"0219","11",1004
"0220","01",4515
"0220","02",3322
"0220","03",8834
"0220","04",1117
"0220","05",774
"0220","06",1066
"0220","07",1576
"0220","11",422
"0220","91",2039
"0221","01",2798
"0221","03",754
"0221","04",646
"0221","05",1591
"0221","06",360
"0226","01",2632
"0226","02",693
"0226","03",845
"0226","04",357
"0226","05",1156
"0226","06",351
"0227","01",1511
"0227","02",619
"0227","03",1154
"0227","04",212
"0227","05",504
"0227","06",259
"0227","07",135
"0228","01",2582
"0228","02",867
"0228","03",1840
"0228","04",311
"0228","05",297
"0228","06",397
"0228","07",113
"0228","91",373
"0229","01",1174
"0229","02",637
"0229","03",669
"0229","04",441
"0229","05",625
"0229","06",233
"0230","01",5829
"0230","02",2382
"0230","03",3167
"0230","04",696
"0230","05",520
"0230","06",1073
"0230","07",549
"0230","11",176
"0231","01",7597
"0231","02",2907
"0231","03",3332
"0231","04",866
"0231","05",719
"0231","06",1050
"0231","07",501
"0231","11",173
"0233","01",3306
"0233","02",1654
"0233","03",1872
"0233","04",385
"0233","05",642
"0233","06",514
"0233","07",424
"0234","01",792
"0234","02",221
"0234","03",403
"0234","04",241
"0234","05",365
"0235","01",3249
"0235","02",1497
"0235","03",1773
"0235","04",381
"0235","05",1065
"0235","06",321
"0235","07",210
"0235","91",355
"0236","01",3312
"0236","02",490
"0236","03",584
"0236","04",387
"0236","05",1095
"0236","06",340
"0236","07",118
"0236","91",1202
"0237","01",2995
