kode,aar,befolkning
0115,1967,11697
0115,1968,11838
0115,1969,11933
0115,1970,12329
0115,1971,12525
0115,1972,12525
0115,1973,12520
0115,1974,12751
0115,1975,12726
0115,1976,12864
0115,1977,12943
0115,1978,13004
0115,1979,13261
0115,1980,13350
0115,1981,13349
0115,1982,13473
0115,1983,13466
0115,1984,13475
0115,1985,13495
0115,1986,13671
0115,1987,13899
0115,1988,14098
0115,1989,14278
0115,1990,14246
0116,1951,7603
0116,1952,7795
0116,1953,7986
0116,1954,8056
0116,1955,8045
0116,1956,7993
0116,1957,8080
0116,1958,8143
0116,1959,8291
0116,1960,8395
0116,1961,8543
0116,1962,8699
0116,1963,8818
0116,1964,8897
0116,1965,9124
0116,1966,9387
0117,1951,5839
0117,1952,5996
0117,1953,6122
0117,1954,6224
0117,1955,6575
0117,1956,6764
0117,1957,6818
0117,1958,6901
0117,1959,6968
0117,1960,7037
0117,1961,7044
0117,1962,7134
0117,1963,7133
0117,1964,7193
0117,1965,7164
0117,1966,7165
0118,1951,1721
0118,1952,1673
0118,1953,1637
0118,1954,1623
0118,1955,1606
0118,1956,1658
0118,1957,1615
0118,1958,1557
0118,1959,1533
0118,1960,1485
0118,1961,1482
0118,1962,1471
0118,1963,1429
0118,1964,1381
0118,1965,1378
0118,1966,1372
0118,1967,1363
0118,1968,1353
0118,1969,1343
0118,1970,1339
0118,1971,1362
0118,1972,1377
0118,1973,1374
0118,1974,1360
0118,1975,1357
0118,1976,1364
0118,1977,1345
0118,1978,1376
0118,1979,1365
0118,1980,1386
0118,1981,1431
0118,1982,1476
0118,1983,1478
0118,1984,1523
0118,1985,1519
0118,1986,1506
0118,1987,1509
0118,1988,1491
0118,1989,1493
0118,1990,1493
0119,1964,3405
0119,1965,3405
0119,1966,3373
0119,1967,3399
0119,1968,3383
0119,1969,3311
0119,1970,3319
0119,1971,3309
0119,1972,3317
0119,1973,3382
0119,1974,3406
0119,1975,3446
0119,1976,3445
0119,1977,3456
0119,1978,3453
0119,1979,3462
0119,1980,3461
0119,1981,3477
0119,1982,3455
0119,1983,3485
0119,1984,3495
0119,1985,3471
0119,1986,3430
0119,1987,3435
0119,1988,3474
0119,1989,3425
0119,1990,3424
0119u,1951,2125
0119u,1952,2138
0119u,1953,2183
0119u,1954,2158
0119u,1955,2150
0119u,1956,2130
0119u,1957,2155
0119u,1958,2166
0119u,1959,2170
0119u,1960,2179
0119u,1961,2129
0119u,1962,2070
0119u,1963,2074
0120,1951,1385
0120,1952,1390
0120,1953,1397
0120,1954,1372
0120,1955,1388
0120,1956,1404
0120,1957,1395
0120,1958,1386
0120,1959,1411
0120,1960,1390
0120,1961,1397
0120,1962,1344
0120,1963,1320
0121,1951,648
0121,1952,645
0121,1953,678
0121,1954,677
0121,1955,694
0121,1956,702
0121,1957,705
0121,1958,727
0121,1959,717
0121,1960,728
0121,1961,718
0121,1962,705
0121,1963,722
0121,1964,706
0121,1965,688
0121,1966,673
0121,1967,661
0121,1968,641
0121,1969,635
0121,1970,651
0121,1971,651
0121,1972,661
0121,1973,677
0121,1974,680
0121,1975,679
0121,1976,668
0121,1977,669
0121,1978,673
0121,1979,683
0121,1980,690
0121,1981,687
0121,1982,704
0121,1983,691
0121,1984,699
0121,1985,700
0121,1986,702
0121,1987,696
0121,1988,676
0121,1989,671
0121,1990,653
0122,1951,4178
0122,1952,4241
0122,1953,4237
0122,1954,4206
0122,1955,4119
0122,1956,4055
0122,1957,4064
0122,1958,4035
0122,1959,4068
0122,1960,4094
0122,1961,4054
0122,1962,4006
0122,1963,3990
0122,1964,4016
0122,1965,4021
0122,1966,3984
0122,1967,3971
0122,1968,3998
0122,1969,4030
0122,1970,4004
0122,1971,4008
0122,1972,4051
0122,1973,4072
0122,1974,4120
0122,1975,4242
0122,1976,4290
0122,1977,4354
0122,1978,4450
0122,1979,4576
0122,1980,4655
0122,1981,4724
0122,1982,4698
0122,1983,4746
0122,1984,4768
0122,1985,4776
0122,1986,4742
0122,1987,4725
0122,1988,4755
0122,1989,4761
0122,1990,4799
0123,1951,2873
0123,1952,2903
0123,1953,2880
0123,1954,2826
0123,1955,2808
0123,1956,2809
0123,1957,2874
0123,1958,2838
0123,1959,2887
0123,1960,2872
0123,1961,2856
0123,1962,2846
0123,1963,2809
0123,1964,2843
0123,1965,2818
0123,1966,2854
0123,1967,2934
0123,1968,3089
0123,1969,3158
0123,1970,3275
0123,1971,3351
0123,1972,3420
0123,1973,3447
0123,1974,3456
0123,1975,3622
0123,1976,3739
0123,1977,3786
0123,1978,3834
0123,1979,3879
0123,1980,3920
0123,1981,3964
0123,1982,4007
0123,1983,4086
0123,1984,4107
0123,1985,4156
0123,1986,4188
0123,1987,4250
0123,1988,4274
0123,1989,4282
0123,1990,4284
0124,1951,8608
0124,1952,8722
0124,1953,8764
0124,1954,8921
0124,1955,8976
0124,1956,9069
0124,1957,9104
0124,1958,9242
0124,1959,9354
0124,1960,9395
0124,1961,9519
0124,1962,9631
0124,1963,9713
0124,1964,9680
0124,1965,9697
0124,1966,9827
0124,1967,9946
0124,1968,10089
0124,1969,10160
0124,1970,10210
0124,1971,10604
0124,1972,10879
0124,1973,11129
0124,1974,11216
0124,1975,11266
0124,1976,11155
0124,1977,11100
0124,1978,11359
0124,1979,11690
0124,1980,11875
0124,1981,12100
