"Region","PolitParti","Godkjente1 1945"
"0101","01",2481
"0101","03",967
"0101","04",801
"0101","07",203
"0101","09",726
"0102","01",2863
"0102","03",1009
"0102","04",1019
"0102","07",462
"0102","09",1455
"0103","01",2571
"0103","03",1614
"0103","04",1138
"0103","07",375
"0103","09",1228
"0104","01",4681
"0104","03",1427
"0104","04",1075
"0104","07",352
"0104","09",1532
"0111","01",444
"0111","03",392
"0111","04",162
"0111","07",187
"0111","92",130
"0112","01",254
"0112","09",122
"0112","90h",200
"0113","01",1203
"0113","04",421
"0113","09",808
"0113","90h",413
"0114","01",201
"0114","04",112
"0114","90h",85
"0114","92",34
"0115","01",1517
"0115","03",200
"0115","04",776
"0115","07",127
"0115","71",142
"0115","09",532
"0115","90h",149
"0116","01",1900
"0116","04",793
"0116","09",146
"0116","90h",825
"0117","01",1172
"0117","04",199
"0117","07",54
"0117","09",247
"0117","90h",402
"0118","01",375
"0118","04",4
"0118","07",59
"0118","90h",115
"0119","01",503
"0119","04",255
"0119","90h",230
"0120","01",155
"0120","90h",124
"0120","92",220
"0121","01",113
"0121","90h",109
"0122","01",441
"0122","04",295
"0122","07",90
"0122","71",604
"0123","01",579
"0123","04",190
"0123","07",22
"0123","71",543
"0124","01",1686
"0124","04",527
"0124","09",211
"0124","92",1239
"0125","01",935
"0125","04",591
"0125","07",129
"0125","71",725
"0126","01",449
"0126","04",182
"0126","09",119
"0126","90h",414
"0127","01",401
"0127","04",234
"0127","07",108
"0127","90h",328
"0128","01",862
"0128","04",714
"0128","71",494
"0128","92",140
"0129","01",161
"0129","04",234
"0129","71",346
"0130","01",2027
"0130","03",303
"0130","04",802
"0130","07",188
"0130","71",181
"0130","09",821
"0131","01",569
"0131","04",257
"0131","09",181
"0131","92",197
"0132","01",2815
"0132","03",752
"0132","04",1278
"0132","07",279
"0132","09",811
"0133","01",934
"0133","04",521
"0133","09",252
"0133","90h",342
"0134","01",1363
"0134","03",405
"0134","04",695
"0134","07",94
"0134","09",266
"0134","92",489
"0135","01",322
"0135","04",362
"0135","90",213
"0135","90h",345
"0136","01",685
"0136","04",305
"0136","07",176
"0136","09",78
"0136","90h",570
"0137","01",279
"0137","04",117
"0137","90h",479
"0137","92",96
"0138","01",452
"0138","04",160
"0138","71",354
"0138","09",57
"0138","92",92
"0201","01",40
"0201","09",46
"0201","92",86
"0203","01",528
"0203","07",100
"0203","90h",369
"0211","01",703
"0211","04",91
"0211","90h",669
"0211","92",40
"0212","01",271
"0212","90h",364
"0213","01",976
"0213","04",262
"0213","09",232
"0213","92",746
"0214","01",798
"0214","04",142
"0214","07",84
"0214","09",40
"0214","90h",265
"0214","92",420
"0215","01",423
"0215","03",163
"0215","71",302
"0215","92",163
"0216","01",816
"0216","09",189
"0216","90h",399
"0216","92",275
"0217","01",1046
"0217","04",195
"0217","09",365
"0217","90h",538
"0217","92",315
"0218","01",21549
"0218","03",19059
"0218","04",7337
"0218","07",2116
"0218","09",6421
"0219","01",5420
"0219","03",4125
"0219","04",1254
"0219","07",918
"0219","09",1761
"0219","90h",833
"0220","01",1761
"0220","03",989
"0220","04",602
"0220","07",150
"0220","71",249
"0220","09",768
"0220","92",383
"0221","01",838
"0221","03",61
"0221","04",263
"0221","07",34
"0221","71",385
"0221","09",102
"0222","01",441
"0222","04",156
"0222","09",51
"0222","90h",431
"0223","01",272
"0223","04",79
"0223","90h",95
"0224","01",833
"0224","04",174
"0224","07",63
"0224","71",200
"0224","09",178
"0225","01",485
"0225","03",41
"0225","04",159
"0225","07",64
"0225","71",210
"0226","01",677
"0226","04",163
"0226","07",26
"0226","90h",656
"0227","01",950
"0227","03",104
"0227","04",215
"0227","71",244
"0227","09",222
"0228","01",586
"0228","04",138
"0228","09",326
"0228","90h",181
"0228","92",50
"0229","01",644
"0229","04",185
"0229","09",124
"0229","90h",381
"0230","01",1342
"0230","04",171
"0230","09",713
"0230","90h",314
"0231","01",1671
"0231","03",314
"0231","04",422
"0231","07",245
"0231","71",241
"0231","09",855
"0232","01",1953
"0232","03",381
"0232","04",352
"0232","07",208
"0232","09",1027
"0233","01",1104
"0233","09",289
"0233","90h",590
"0234","01",185
"0234","04",84
"0234","71",368
"0234","09",11
"0235","01",1542
"0235","03",274
"0235","04",360
"0235","71",978
"0235","09",252
"0236","01",2119
"0236","04",438
"0236","09",768
"0236","92",1251
"0237","01",2697
"0237","03",249
"0237","04",480
"0237","07",100
"0237","71",729
"0237","09",758
"0237","92",82
"0238","01",514
"0238","04",289
"0238","71",440
"0238","09",177
"0239","01",534
"0239","04",309
"0239","07",190
"0239","09",32
"0240","01",274
"0240","09",28
"0240","90h",246
"0601","01",876
"0601","04",213
"0601","09",221
"0601","90h",721
"0611","01",385
"0611","09",207
"0611","90h",175
"0613","01",2748
"0613","04",506
"0613","09",1406
"0613","90h",983
"0614","01",913
"0614","09",551
"0614","90h",233
"0629","01",852
"0629","71",180
"0629","09",102
"0629","90h",234
"0629","92",1
"0630","01",580
"0630","04",120
"0630","09",167
"0630","90h",248
"0634","01",228
"0634","90h",264
"0634","92",78
"0301","01",60725
"0301","03",37307
"0301","04",16412
"0301","07",4696
"0301","09",22599
"0401","01",2443
"0401","03",1129
"0401","04",643
"0401","07",306
"0401","09",1164
"0402","01",542
"0402","07",126
"0402","09",68
"0402","92",278
"0411","01",1095
"0411","07",107
"0411","90h",523
"0412","01",3111
"0412","03",244
"0412","07",204
"0412","71",420
"0412","09",593
"0412","90h",776
"0412","92",73
"0413","01",1692
"0413","09",110
"0413","90h",1011
"0414","01",1684
"0414","03",284
"0414","71",424
"0414","09",479
"0415","01",1477
"0415","04",212
"0415","09",702
"0415","90h",539
"0416","01",1327
"0416","04",198
"0416","09",501
"0416","90h",290
"0416","92",137
"0417","01",2219
"0417","04",230
"0417","09",503
"0417","90h",660
"0418","01",1214
"0418","09",851
"0418","90h",316
"0419","01",2132
"0419","07",71
"0419","09",699
"0419","90h",530
"0420","01",1392
"0420","04",358
"0420","09",736
"0420","90h",413
"0421","01",1257
"0421","07",342
"0421","09",463
"0421","90h",168
"0422","01",900
"0422","04",205
"0422","07",105
"0422","09",566
"0422","90h",202
"0423","01",1885
"0423","04",271
"0423","09",504
"0423","90h",525
"0424","01",709
"0424","04",235
"0424","09",378
"0424","90h",287
"0425","01",1360
"0425","09",1143
"0425","90h",406
"0426","01",810
"0426","09",842
"0426","90h",439
"0427","01",2674
"0427","03",663
"0427","07",228
"0427","71",437
"0427","09",1633
"0428","01",1947
"0428","03",123
"0428","07",398
"0428","71",345
"0428","09",521
"0428","90h",70
"0429","01",787
"0429","09",954
"0429","90h",461
"0430","01",1027
"0430","07",56
"0430","09",649
"0430","90h",255
"0431","01",127
"0431","90h",112
"0432","01",703
"0432","09",164
"0432","90h",166
"0433","01",574
"0433","90h",349
"0434","01",374
"0434","07",145
"0434","90h",164
"0435","01",284
"0435","90h",449
"0436","01",276
"0436","71",262
"0436","90h",163
"0436","92",80
"0437","01",671
"0437","07",171
"0437","71",382
"0437","09",116
"0437","90h",178
"0438","01",581
"0438","07",265
"0438","71",444
"0439","01",604
"0439","09",51
"0439","90h",513
"0440","01",154
"0440","04",109
"0440","71",71
"0440","90h",95
"0501","01",1446
"0501","03",768
"0501","04",304
"0501","07",392
"0501","09",490
"0502","01",1325
"0502","04",370
"0502","07",288
"0502","09",627
"0502","90h",380
"0511","01",785
"0511","90h",411
"0512","01",530
"0512","07",105
"0512","71",394
"0512","90h",252
"0513","01",495
"0513","90h",152
"0513","92",289
"0514","01",541
"0514","92",628
"0515","01",965
"0515","04",56
"0515","07",192
"0515","71",401
"0516","01",412
"0516","09",47
"0516","90",136
"0516","92",169
"0517","01",727
"0517","09",116
"0517","92",213
"0518","01",1333
"0518","07",192
"0518","71",717
"0518","09",69
"0519","01",994
"0519","71",291
"0519","09",85
"0519","92",324
"0520","01",1313
"0520","07",117
"0520","71",770
"0520","09",181
"0520","90",147
"0521","01",692
"0521","07",335
"0521","71",590
"0522","01",865
"0522","07",371
"0522","71",447
"0523","01",736
"0523","07",111
"0523","71",386
"0524","01",1707
"0524","04",294
"0524","07",499
"0524","71",784
"0524","09",198
"0525","01",708
"0525","04",148
"0525","07",150
"0525","71",291
"0526","01",510
"0526","07",299
"0526","71",219
"0527","01",1463
"0527","07",629
"0527","71",313
"0527","09",594
"0528","01",1723
"0528","04",332
"0528","07",524
"0528","71",638
"0528","09",763
"0529","01",1529
"0529","04",366
"0529","07",360
"0529","71",475
"0529","09",573
"0530","01",223
"0530","04",112
"0530","71",286
"0530","09",67
"0531","01",504
"0531","07",244
"0531","71",504
"0531","09",17
"0532","01",870
"0532","04",239
"0532","09",697
"0532","92",216
"0533","01",1009
"0533","04",239
"0533","71",560
"0533","09",299
"0534","01",870
"0534","04",245
"0534","71",759
"0534","09",129
"0535","01",1092
"0535","04",293
"0535","07",349
"0535","71",590
"0535","09",500
"0536","01",1088
"0536","07",143
"0536","09",472
"0536","90h",171
"0537","01",498
"0537","71",67
"0537","09",235
"0537","92",135
"0538","01",892
"0538","04",27
"0538","07",84
"0538","90h",162
"0538","92",267
"0539","01",582
"0539","07",190
"0539","71",166
"0540","01",639
"0540","09",188
"0540","90",35
"0540","90h",289
"0540","92",255
"0541","01",253
"0541","07",245
"0541","71",157
"0542","01",945
"0542","90h",1265
"0543","01",307
"0543","07",400
"0543","71",213
"0543","92",119
"0544","01",423
"0544","07",430
"0544","71",222
"0544","90h",93
"0545","01",229
"0545","92",623
"0602","01",7087
"0602","03",3485
"0602","04",2169
"0602","07",244
"0602","09",1892
"0604","01",1592
"0604","04",326
"0604","07",482
"0604","09",1219
"0604","90h",401
"0612","01",352
"0612","07",119
"0612","09",146
"0612","90h",330
"0615","01",445
"0615","90h",307
"0616","01",536
"0616","04",291
"0616","07",170
"0616","09",46
"0616","90h",266
"0617","01",367
"0617","07",369
"0617","71",225
"0617","90h",342
"0618","01",82
"0618","04",102
"0618","07",152
"0618","71",91
"0618","90h",235
"0619","01",539
"0619","04",384
"0619","07",466
"0619","71",247
"0619","90h",379
"0620","01",665
"0620","07",462
"0620","71",85
"0620","90h",420
"0621","01",822
"0621","04",91
"0621","07",58
"0621","90h",886
"0621","92",172
"0622","01",565
"0622","09",219
"0622","90h",354
"0623","01",2374
"0623","04",667
"0623","09",1322
"0623","90h",1136
"0624","01",2274
"0624","04",725
"0624","09",914
"0624","90h",1227
"0625","01",1558
"0625","04",612
"0625","09",1361
"0625","90h",354
"0626","01",3088
"0626","03",529
"0626","04",482
"0626","71",379
"0626","09",1010
"0626","90h",643
"0628","01",1424
"0628","04",502
"0628","09",673
"0628","90h",494
"0631","01",230
"0631","07",241
"0631","71",262
"0631","90",309
"0632","01",323
"0632","04",160
"0632","07",72
"0632","71",139
"0632","09",32
"0632","90h",75
"0633","01",459
"0633","07",426
"0633","09",126
"0701","01",332
"0701","04",99
"0701","92",109
"0702","01",572
"0702","03",294
"0702","04",215
"0702","09",133
"0703","01",2507
"0703","04",436
"0703","07",372
"0703","09",404
"0703","90h",1382
"0704","01",77
"0704","90h",194
"0705","01",1915
"0705","03",1582
"0705","04",703
"0705","07",197
"0705","09",748
"0705","92",322
"0706","01",813
"0706","03",953
"0706","04",335
"0706","07",397
"0706","09",192
"0707","01",1746
"0707","03",594
"0707","04",653
"0707","07",562
"0707","09",1270
"0708","01",199
"0708","03",196
"0708","92",176
"0711","01",499
"0711","90h",203
"0711","92",87
"0712u","01",2659
"0712u","03",619
"0712u","04",894
"0712u","09",689
"0712u","90h",421
"0713","01",960
"0713","04",214
"0713","71",387
"0713","09",172
"0713","92",224
"0714","01",706
"0714","90h",333
"0715u","01",624
"0715u","04",194
"0715u","09",87
"0715u","90h",495
"0716","01",318
"0716","07",36
"0716","71",448
"0716","90",25
"0716","90h",230
"0717","01",930
"0717","03",521
"0717","07",87
"0717","71",293
"0718","01",349
"0718","07",69
"0718","90h",647
"0719","01",311
"0719","03",265
"0719","07",289
"0719","71",165
"0719","90h",154
"0720","01",660
"0720","03",406
"0720","07",338
"0720","71",289
"0720","90h",211
"0721","01",1469
"0721","04",605
"0721","07",132
"0721","09",286
"0721","90h",1667
"0722","01",1424
"0722","03",1675
"0722","04",518
"0722","07",94
"0722","09",218
"0722","92",364
"0723","01",328
"0723","90h",670
"0724","01",2093
"0724","03",1386
"0724","04",732
"0724","07",1126
"0724","71",282
"0724","09",476
"0725","01",706
"0725","03",186
"0725","04",175
"0725","07",423
"0725","71",271
"0725","09",242
"0726","01",726
"0726","03",170
"0726","04",177
"0726","07",819
"0726","71",115
"0726","09",189
"0727","01",853
"0727","03",253
"0727","04",392
"0727","07",712
"0727","71",272
"0727","09",129
"0728","01",636
"0728","07",68
"0728","90h",470
"0801","01",694
"0801","03",374
"0801","04",266
"0801","07",265
"0801","09",265
"0802","01",411
"0802","04",107
"0802","07",245
"0802","09",64
"0802","92",230
"0803","01",157
"0803","03",67
"0803","04",55
"0803","07",61
"0804","01",284
"0804","03",176
"0804","04",182
"0804","07",135
"0804","09",352
"0805","01",1369
"0805","03",759
"0805","04",868
"0805","07",628
"0805","09",917
"0806","01",2741
"0806","03",928
"0806","04",831
"0806","07",1374
"0806","09",1697
"0807","01",1542
"0807","03",352
"0807","04",503
"0807","07",237
"0807","09",708
"0811","01",246
"0811","04",164
"0811","07",118
"0811","71",51
"0812","01",1579
"0812","03",230
"0812","04",779
"0812","07",910
"0812","71",160
"0812","09",877
"0813","01",1096
"0813","04",398
"0813","07",421
"0813","09",697
"0813","90h",284
"0814","01",771
"0814","03",121
"0814","04",217
"0814","07",226
"0814","71",177
"0814","09",225
"0814","90h",92
"0815","01",608
"0815","03",94
"0815","04",298
"0815","07",179
"0815","71",54
"0815","09",115
"0816","01",577
"0816","04",281
"0816","07",108
"0816","92",197
"0817","01",1271
"0817","04",399
"0817","07",374
"0817","71",57
"0818","01",1418
"0818","04",445
"0818","07",401
"0818","09",1148
"0818","90h",246
"0818","92",47
"0819","01",725
"0819","04",301
"0819","09",256
"0819","90h",492
"0820","01",594
"0820","04",201
"0820","07",188
"0820","71",173
"0820","90",57
"0821","01",733
"0821","04",286
"0821","07",251
"0821","71",197
"0822","01",699
"0822","04",327
"0822","07",243
"0822","71",184
"0822","09",280
"0822","90h",129
"0823","01",942
"0823","04",271
"0823","07",98
"0823","71",187
"0823","09",252
"0823","90h",57
"0824","01",350
"0824","07",102
"0824","71",107
"0824","09",109
"0825","01",163
"0825","07",82
"0825","71",81
"0825","09",13
"0827","01",361
"0827","90h",385
"0827","92",52
"0829","01",716
