"Region","PolitParti","Godkjente1 1949"
"0101","01",3747
"0101","03",1406
"0101","04",502
"0101","07",236
"0101","09",265
"0101","21",7
"0102","01",4760
"0102","03",1743
"0102","04",693
"0102","07",389
"0102","09",612
"0102","21",6
"0103","01",4505
"0103","03",2593
"0103","04",809
"0103","07",252
"0103","09",593
"0103","21",38
"0104","01",6394
"0104","03",2793
"0104","04",694
"0104","07",326
"0104","09",812
"0104","21",86
"0111","01",616
"0111","04",319
"0111","09",3
"0111","21",8
"0111","90a",155
"0111","90b",11
"0111","90d",551
"0112","01",390
"0112","04",55
"0112","09",76
"0112","21",4
"0112","90a",5
"0112","90b",129
"0112","90d",26
"0113","01",2347
"0113","04",353
"0113","09",507
"0113","21",6
"0113","90a",81
"0113","90b",221
"0113","90d",304
"0114","01",273
"0114","04",128
"0114","09",7
"0114","21",4
"0114","90a",34
"0114","90b",64
"0114","90d",41
"0115","01",2775
"0115","04",646
"0115","09",286
"0115","21",8
"0115","90a",168
"0115","90b",293
"0115","90d",419
"0116","01",2679
"0116","04",601
"0116","09",105
"0116","21",6
"0116","90a",97
"0116","90b",557
"0116","90d",674
"0117","01",2084
"0117","04",283
"0117","09",116
"0117","21",5
"0117","90a",114
"0117","90b",253
"0117","90d",326
"0118","01",451
"0118","04",249
"0118","09",9
"0118","90a",36
"0118","90b",142
"0118","90d",72
"0119u","01",671
"0119u","04",207
"0119u","09",15
"0119u","21",1
"0119u","90a",18
"0119u","90b",150
"0119u","90d",197
"0120","01",257
"0120","04",111
"0120","09",22
"0120","90a",24
"0120","90b",237
"0120","90d",80
"0121","01",127
"0121","04",81
"0121","09",8
"0121","90a",10
"0121","90b",23
"0121","90d",34
"0122","01",705
"0122","04",342
"0122","09",7
"0122","21",12
"0122","90a",212
"0122","90b",734
"0122","90d",132
"0123","01",687
"0123","04",157
"0123","09",19
"0123","90a",50
"0123","90b",559
"0123","90d",122
"0124","01",2631
"0124","04",521
"0124","09",144
"0124","21",2
"0124","90a",200
"0124","90b",664
"0124","90d",865
"0125","01",1273
"0125","04",576
"0125","09",33
"0125","21",1
"0125","90a",150
"0125","90b",1069
"0125","90d",229
"0126","01",673
"0126","04",213
"0126","09",30
"0126","21",7
"0126","90a",113
"0126","90b",16
"0126","90d",430
"0127","01",532
"0127","04",217
"0127","09",9
"0127","21",3
"0127","90a",76
"0127","90b",415
"0127","90d",84
"0128","01",1167
"0128","04",806
"0128","09",38
"0128","90a",59
"0128","90b",667
"0128","90d",281
"0129","01",233
"0129","04",261
"0129","09",4
"0129","90a",6
"0129","90b",350
"0129","90d",49
"0130","01",3588
"0130","04",778
"0130","09",412
"0130","21",46
"0130","90a",150
"0130","90b",191
"0130","90d",483
"0131","01",1032
"0131","04",221
"0131","09",76
"0131","90a",10
"0131","90b",126
"0131","90d",130
"0132","01",4916
"0132","04",889
"0132","09",377
"0132","21",87
"0132","90a",273
"0132","90b",152
"0132","90d",1442
"0133","01",1479
"0133","04",396
"0133","09",115
"0133","21",51
"0133","90a",84
"0133","90b",77
"0133","90d",429
"0134","01",2284
"0134","04",800
"0134","09",189
"0134","21",26
"0134","90a",142
"0134","90b",476
"0134","90d",845
"0135","01",707
"0135","04",383
"0135","09",31
"0135","21",2
"0135","90a",62
"0135","90b",359
"0135","90d",232
"0136","01",1052
"0136","04",357
"0136","09",56
"0136","21",15
"0136","90a",110
"0136","90b",490
"0136","90d",347
"0137","01",411
"0137","04",153
"0137","09",13
"0137","21",15
"0137","90a",50
"0137","90b",384
"0137","90d",172
"0138","01",562
"0138","04",196
"0138","09",74
"0138","21",12
"0138","90a",17
"0138","90b",464
"0138","90d",119
"0201","01",188
"0201","03",97
"0201","04",16
"0201","07",12
"0201","71",11
"0201","09",16
"0201","21",2
"0203","01",637
"0203","03",516
"0203","04",49
"0203","07",85
"0203","09",3
"0211","01",973
"0211","03",456
"0211","04",112
"0211","07",56
"0211","71",575
"0211","09",57
"0211","21",2
"0212","01",359
"0212","03",121
"0212","04",46
"0212","07",60
"0212","71",243
"0212","09",13
"0212","21",3
"0213","01",1431
"0213","03",677
"0213","04",249
"0213","07",216
"0213","71",269
"0213","09",200
"0213","21",28
"0214","01",1132
"0214","03",368
"0214","04",166
"0214","07",144
"0214","71",613
"0214","09",42
"0214","21",21
"0215","01",528
"0215","03",335
"0215","04",106
"0215","07",30
"0215","71",364
"0215","09",19
"0215","21",3
"0216","01",1105
"0216","03",498
"0216","04",196
"0216","07",98
"0216","71",143
"0216","09",155
"0216","21",3
"0217","01",1509
"0217","03",867
"0217","04",243
"0217","07",324
"0217","71",28
"0217","09",266
"0217","21",11
"0219","01",7974
"0219","03",8368
"0219","04",942
"0219","07",1514
"0219","71",396
"0219","09",1445
"0219","21",55
"0220","01",3282
"0220","03",2419
"0220","04",534
"0220","07",472
"0220","71",317
"0220","09",505
"0220","21",27
"0221u","01",556
"0221u","03",116
"0221u","04",190
"0221u","07",35
"0221u","71",416
"0221u","09",41
"0221u","21",1
"0222","01",1040
"0222","03",171
"0222","04",286
"0222","07",47
"0222","71",449
"0222","09",66
"0223","01",265
"0223","03",59
"0223","04",70
"0223","07",26
"0223","71",39
"0223","09",15
"0224","01",1039
"0224","03",116
"0224","04",176
"0224","07",28
"0224","71",251
"0224","09",132
"0224","21",3
"0225","01",552
"0225","03",106
"0225","04",121
"0225","07",35
"0225","71",270
"0225","09",123
"0225","21",6
"0226","01",855
"0226","03",220
"0226","04",203
"0226","07",71
"0226","71",623
"0226","09",58
"0226","21",1
"0227","01",1302
"0227","03",196
"0227","04",156
"0227","07",70
"0227","71",358
"0227","09",168
"0227","21",7
"0228","01",955
"0228","03",238
"0228","04",126
"0228","07",53
"0228","71",101
"0228","09",274
"0228","21",5
"0229","01",892
"0229","03",182
"0229","04",217
"0229","07",70
"0229","71",390
"0229","09",96
"0229","21",1
"0230","01",2386
"0230","03",373
"0230","04",185
"0230","07",222
"0230","71",167
"0230","09",658
"0230","21",15
"0231","01",3073
"0231","03",727
"0231","04",397
"0231","07",306
"0231","71",311
"0231","09",586
"0231","21",14
"0232","01",3062
"0232","03",811
"0232","04",314
"0232","07",285
"0232","71",10
"0232","09",580
"0232","21",19
"0233","01",1703
"0233","03",443
"0233","04",178
"0233","07",62
"0233","71",332
"0233","09",271
"0233","21",17
"0234","01",311
"0234","03",78
"0234","04",149
"0234","07",13
"0234","71",389
"0234","09",12
"0234","21",1
"0235","01",2305
"0235","03",607
"0235","04",339
"0235","07",143
"0235","71",1115
"0235","09",209
"0235","21",7
"0236","01",3283
"0236","03",501
"0236","04",387
"0236","07",121
"0236","71",1181
"0236","09",454
"0236","21",47
"0237","01",3633
"0237","03",637
"0237","04",470
"0237","07",168
"0237","71",987
"0237","09",555
"0237","21",4
"0238","01",1391
"0238","03",158
"0238","04",280
"0238","07",37
"0238","71",748
"0238","09",127
"0239","01",621
"0239","03",46
"0239","04",272
"0239","07",150
"0239","71",92
"0239","09",4
"0239","21",4
"0240","01",297
"0240","03",26
"0240","04",86
"0240","07",7
"0240","71",147
"0240","09",17
"0601u","01",1169
"0601u","03",906
"0601u","04",147
"0601u","09",165
"0601u","21",1
"0602","01",9601
"0602","03",6164
"0602","04",1032
"0602","09",917
"0602","21",71
"0604","01",2940
"0604","03",1131
"0604","04",289
"0604","09",617
"0604","21",8
"0604","92",9
"0611","01",622
"0611","03",93
"0611","04",45
"0611","09",128
"0611","21",1
"0611","90a",3
"0611","90b",122
"0612","01",583
"0612","03",216
"0612","04",72
"0612","09",79
"0612","21",1
"0612","90a",67
"0612","90b",299
"0613","01",4508
"0613","03",878
"0613","04",254
"0613","09",873
"0613","21",3
"0613","90a",139
"0613","90b",690
"0614","01",1261
"0614","03",213
"0614","04",41
"0614","09",320
"0614","90a",26
"0614","90b",147
"0615","01",518
"0615","03",164
"0615","04",60
"0615","09",6
"0615","21",9
"0615","90a",15
"0615","90b",100
"0616","01",704
"0616","03",285
"0616","04",204
"0616","09",32
"0616","21",1
"0616","90a",213
"0616","90b",133
"0617","01",424
"0617","03",349
"0617","04",160
"0617","09",7
"0617","21",7
"0617","90a",268
"0617","90b",297
"0618","01",83
"0618","03",227
"0618","04",161
"0618","09",3
"0618","21",2
"0618","90a",137
"0618","90b",217
"0619","01",694
"0619","03",553
"0619","04",323
"0619","09",36
"0619","90a",557
"0619","90b",347
"0620","01",870
"0620","03",506
"0620","04",219
"0620","09",60
"0620","21",13
"0620","90a",378
"0620","90b",174
"0621","01",913
"0621","03",606
"0621","04",113
"0621","09",20
"0621","90a",180
"0621","90b",566
"0622","01",750
"0622","03",191
"0622","04",45
"0622","09",96
"0622","90a",15
"0622","90b",241
"0623","01",3725
"0623","03",996
"0623","04",389
"0623","09",841
"0623","21",8
"0623","90a",91
"0623","90b",848
"0624","01",3394
"0624","03",1209
"0624","04",348
"0624","09",611
"0624","21",3
"0624","90a",85
"0624","90b",890
"0625","01",3126
"0625","03",620
"0625","04",271
"0625","09",959
"0625","21",5
"0625","90a",50
"0625","90b",171
"0626","01",4583
"0626","03",1393
"0626","04",337
"0626","09",696
"0626","21",10
"0626","90a",98
"0626","90b",879
"0627","01",1897
"0627","03",537
"0627","04",135
"0627","09",531
"0627","21",10
"0627","90a",17
"0627","90b",421
"0628","01",2159
"0628","03",705
"0628","04",252
"0628","09",416
"0628","21",1
"0628","90a",4
"0628","90b",244
"0629","01",1092
"0629","03",139
"0629","04",77
"0629","09",70
"0629","21",3
"0629","90a",105
"0629","90b",420
"0630","01",806
"0630","03",101
"0630","04",77
"0630","09",59
"0630","21",1
"0630","90a",89
"0630","90b",256
"0631","01",558
"0631","03",92
"0631","04",65
"0631","09",54
"0631","21",2
"0631","90a",296
"0631","90b",281
"0632","01",381
"0632","03",42
"0632","04",119
"0632","09",25
"0632","21",1
"0632","90a",114
"0632","90b",231
"0633u","01",562
"0633u","03",213
"0633u","04",108
"0633u","09",37
"0633u","90a",185
"0633u","90b",89
"0634","01",309
"0634","03",53
"0634","04",35
"0634","09",4
"0634","21",4
"0634","90a",11
"0634","90b",219
"0301","01",119741
"0301","03",99179
"0301","04",14792
"0301","07",19017
"0301","09",21535
"0301","21",827
"0301","92",2
"0401","01",4231
"0401","03",1597
"0401","07",1056
"0401","09",562
"0401","21",9
"0402","01",668
"0402","03",366
"0402","07",218
"0402","09",56
"0402","21",1
"0411","01",1434
"0411","09",58
"0411","21",7
"0411","90a",105
"0411","90b",427
"0411","90d",313
"0412","01",5199
"0412","09",285
"0412","21",178
"0412","90a",282
"0412","90b",1405
"0412","90d",955
"0413","01",1947
"0413","09",73
"0413","21",15
"0413","90a",97
"0413","90b",468
"0413","90d",653
"0413","92",2
"0414","01",2521
"0414","09",276
"0414","21",11
"0414","90a",129
"0414","90b",314
"0414","90d",491
"0415","01",2320
"0415","09",476
"0415","21",33
"0415","90a",27
"0415","90b",440
"0415","90d",405
"0416","01",2178
"0416","09",519
"0416","21",15
"0416","90a",97
"0416","90b",286
"0416","90d",315
"0417","01",3366
"0417","09",300
"0417","21",14
"0417","90a",99
"0417","90b",504
"0417","90d",608
"0418","01",1948
"0418","09",685
"0418","21",13
"0418","90a",64
"0418","90b",288
"0418","90d",104
"0419","01",2960
"0419","09",545
"0419","21",15
"0419","90a",124
"0419","90b",538
"0419","90d",251
"0420","01",2381
"0420","09",451
"0420","21",6
"0420","90a",241
"0420","90b",392
"0420","90d",279
"0421","01",1932
"0421","09",374
"0421","21",4
"0421","90a",310
"0421","90b",143
"0421","90d",161
"0422","01",1624
"0422","09",369
"0422","21",7
"0422","90a",186
"0422","90b",233
"0422","90d",134
"0423","01",2540
"0423","09",435
"0423","21",13
"0423","90a",252
"0423","90b",509
"0423","90d",217
"0424","01",1113
"0424","09",228
"0424","21",5
"0424","90a",61
"0424","90b",416
"0424","90d",48
"0425","01",1785
"0425","09",1114
"0425","21",12
"0425","90a",50
"0425","90b",398
"0425","90d",232
"0426","01",1116
"0426","09",681
"0426","21",11
"0426","90a",47
"0426","90b",347
"0426","90d",182
"0427","01",3586
"0427","09",1111
"0427","21",23
"0427","90a",204
"0427","90b",736
"0427","90d",1018
"0428","01",2462
"0428","09",386
"0428","21",24
"0428","90a",428
"0428","90b",595
"0428","90d",237
"0429","01",1304
"0429","09",882
"0429","21",11
"0429","90a",65
"0429","90b",387
"0429","90d",228
"0430","01",1400
"0430","09",499
"0430","21",6
"0430","90a",50
"0430","90b",265
"0430","90d",196
"0431","01",133
"0431","90a",5
"0431","90b",102
"0431","90d",35
"0432u","01",835
"0432u","09",70
"0432u","21",8
"0432u","90a",24
"0432u","90b",157
"0432u","90d",25
"0433","01",572
"0433","09",69
"0433","21",4
"0433","90a",50
"0433","90b",287
"0433","90d",63
"0434","01",490
"0434","09",4
"0434","21",5
"0434","90a",146
"0434","90b",163
"0434","90d",65
"0435u","01",461
"0435u","09",20
"0435u","21",11
"0435u","90a",237
"0435u","90b",293
"0435u","90d",27
"0436","01",351
"0436","09",6
"0436","21",7
"0436","90a",150
"0436","90b",500
"0436","90d",44
"0437","01",1000
"0437","09",93
"0437","21",4
"0437","90a",204
"0437","90b",852
"0437","90d",111
"0438","01",730
"0438","09",12
"0438","21",2
"0438","90a",282
"0438","90b",527
"0438","90d",26
"0439","01",716
"0439","09",38
"0439","90a",213
"0439","90b",365
"0439","90d",23
"0440","01",234
"0440","09",30
"0440","90a",155
"0440","90b",198
"0440","90d",52
"0501","01",2087
"0501","03",1184
"0501","07",596
"0501","09",263
"0501","21",30
"0502","01",2028
"0502","03",731
"0502","07",647
"0502","09",305
"0502","21",11
"0511","01",926
"0511","04",56
"0511","07",64
"0511","71",451
"0511","09",1
"0512","01",627
"0512","04",120
"0512","07",40
"0512","71",830
"0512","09",12
"0512","21",5
"0512","92",1
"0513","01",657
"0513","04",44
"0513","07",110
"0513","71",432
"0513","09",25
"0513","21",4
"0514","01",762
"0514","04",75
"0514","07",72
"0514","71",539
"0514","09",48
"0515","01",1188
"0515","04",63
"0515","07",133
"0515","71",579
"0515","09",20
"0515","92",2
"0516u","01",531
"0516u","04",54
"0516u","07",55
"0516u","71",141
"0516u","09",28
"0517","01",981
"0517","04",34
"0517","07",173
"0517","71",338
"0517","09",80
"0517","21",1
"0518u","01",1744
"0518u","04",142
"0518u","07",131
"0518u","71",873
"0518u","09",60
"0519","01",1157
"0519","04",46
"0519","07",110
"0519","71",525
"0519","09",82
"0519","21",3
"0520","01",1554
"0520","04",174
"0520","07",232
"0520","71",958
"0520","09",129
"0520","21",5
"0521","01",961
"0521","04",152
"0521","07",202
"0521","71",739
"0521","09",5
"0521","21",1
"0522u","01",1117
"0522u","04",68
"0522u","07",287
"0522u","71",621
"0522u","09",17
"0523","01",944
"0523","04",105
"0523","07",57
"0523","71",451
"0523","09",17
"0523","21",19
"0524","01",2746
"0524","04",276
"0524","07",637
"0524","71",1280
"0524","09",224
"0524","21",8
"0525","01",905
"0525","04",125
"0525","07",176
"0525","71",449
"0525","09",14
"0525","21",7
"0526","01",699
"0526","04",52
"0526","07",232
"0526","71",302
"0526","09",13
"0526","21",5
"0527","01",2664
"0527","04",245
"0527","07",633
"0527","71",534
"0527","09",355
"0527","21",1
"0527","92",2
"0528","01",2823
"0528","04",406
"0528","07",514
"0528","71",1074
"0528","09",466
"0528","21",8
"0529","01",2243
"0529","04",395
"0529","07",482
"0529","71",712
"0529","09",352
"0529","21",9
"0530","01",325
"0530","04",84
"0530","07",49
"0530","71",360
"0530","09",41
"0530","21",1
"0531","01",591
"0531","04",168
"0531","07",151
"0531","71",510
"0531","09",17
"0532","01",1286
"0532","04",240
"0532","07",59
"0532","71",342
"0532","09",575
"0532","21",16
"0532","92",3
"0533","01",1355
"0533","04",194
"0533","07",100
"0533","71",793
"0533","09",205
"0533","21",5
"0534","01",1201
"0534","04",207
"0534","07",57
"0534","71",1007
"0534","09",130
"0534","21",12
"0535","01",1670
"0535","04",288
"0535","07",271
"0535","71",827
"0535","09",304
"0535","21",5
"0536","01",1493
"0536","04",73
"0536","07",135
"0536","71",300
"0536","09",353
"0536","21",2
"0537","01",683
"0537","04",54
"0537","07",115
"0537","71",138
"0537","09",184
"0538","01",1040
"0538","04",127
"0538","07",217
"0538","71",416
"0538","09",69
