"Region","PolitParti","Godkjente1 1963"
"0101","01",3665
"0101","03",1425
"0101","04",377
"0101","07",437
"0101","09",75
"0101","70",223
"0102","01",4556
"0102","03",1874
"0102","04",536
"0102","07",598
"0102","09",210
"0102","70",402
"0103","01",9951
"0103","03",4704
"0103","04",1153
"0103","05",148
"0103","07",653
"0103","09",383
"0103","70",581
"0104","01",7166
"0104","03",3679
"0104","04",580
"0104","05",169
"0104","07",346
"0104","09",291
"0104","70",381
"0111","01",583
"0111","03",459
"0111","04",153
"0111","07",95
"0113","01",3500
"0113","03",571
"0113","04",314
"0113","05",375
"0113","09",470
"0114","01",325
"0114","04",132
"0114","05",185
"0115","01",3671
"0115","03",579
"0115","04",633
"0115","05",446
"0115","07",260
"0115","09",209
"0115","70",360
"0116","01",3022
"0116","03",680
"0116","04",594
"0116","05",527
"0116","07",172
"0116","70",166
"0117","01",2588
"0117","03",385
"0117","04",291
"0117","05",346
"0117","07",106
"0117","09",48
"0117","70",153
"0118","01",370
"0118","04",170
"0118","05",268
"0119","01",1029
"0119","03",193
"0119","04",330
"0119","05",442
"0121","01",185
"0121","04",121
"0121","90h",88
"0122","01",764
"0122","03",184
"0122","04",304
"0122","05",843
"0122","07",108
"0123","01",667
"0123","03",169
"0123","04",132
"0123","05",505
"0123","07",83
"0124","01",3056
"0124","03",710
"0124","04",454
"0124","05",525
"0124","07",597
"0124","09",69
"0125","01",2254
"0125","03",756
"0125","04",697
"0125","05",981
"0125","07",316
"0127","01",515
"0127","03",111
"0127","04",208
"0127","05",329
"0127","07",85
"0128","01",1446
"0128","03",374
"0128","04",898
"0128","05",1158
"0128","07",67
"0130","01",4852
"0130","03",944
"0130","04",636
"0130","05",282
"0130","07",385
"0130","09",137
"0130","70",406
"0131","01",1417
"0131","03",192
"0131","04",252
"0131","05",158
"0131","09",58
"0131","70",79
"0133","01",1948
"0133","03",838
"0133","04",327
"0133","09",119
"0133","92",281
"0134","01",2900
"0134","03",1491
"0134","04",650
"0134","05",392
"0134","09",66
"0134","70",146
"0134","92",140
"0135","01",948
"0135","03",296
"0135","04",364
"0135","05",383
"0135","92",150
"0136","01",2002
"0136","03",1058
"0136","04",250
"0136","05",483
"0136","07",161
"0136","92",186
"0137","01",432
"0137","03",157
"0137","04",136
"0137","05",412
"0137","07",127
"0138","01",711
"0138","03",167
"0138","04",132
"0138","05",467
"0211","01",1336
"0211","03",393
"0211","04",155
"0211","05",826
"0211","70",74
"0213","01",2750
"0213","03",1129
"0213","04",391
"0213","05",634
"0213","07",526
"0213","09",91
"0213","70",326
"0214","01",1499
"0214","03",466
"0214","04",199
"0214","05",875
"0214","07",407
"0214","70",113
"0215","01",1601
"0215","03",944
"0215","04",155
"0215","05",435
"0215","07",130
"0216","01",1644
"0216","03",1124
"0216","04",295
"0216","05",190
"0216","07",235
"0216","09",45
"0216","70",222
"0217","01",1953
"0217","03",1574
"0217","04",278
"0217","07",382
"0217","09",66
"0217","70",261
"0219","01",11300
"0219","03",17539
"0219","04",1030
"0219","05",558
"0219","07",2640
"0219","09",559
"0219","70",1003
"0220","01",4331
"0220","03",4102
"0220","04",590
"0220","05",480
"0220","07",851
"0220","09",162
"0220","70",529
"0221","01",602
"0221","03",89
"0221","04",161
"0221","05",409
"0222","01",1322
"0222","03",206
"0222","04",267
"0222","05",521
"0223","01",316
"0223","04",54
"0223","90h",92
"0224","01",1183
"0224","03",163
"0224","04",159
"0224","05",343
"0226","01",1969
"0226","03",284
"0226","04",297
"0226","05",1108
"0226","07",211
"0227","01",1783
"0227","03",300
"0227","04",203
"0227","05",409
"0227","07",200
"0227","09",53
"0227","70",123
"0228","01",1584
"0228","03",384
"0228","07",180
"0228","09",97
"0228","70",156
"0228","90h",320
"0228","92",256
"0229","01",870
"0229","03",145
"0229","04",133
"0229","05",321
"0229","07",128
"0229","70",122
"0230","01",3871
"0230","03",981
"0230","04",274
"0230","05",201
"0230","07",529
"0230","09",226
"0230","70",575
"0231","01",8429
"0231","03",2390
"0231","04",674
"0231","05",482
"0231","07",1110
"0231","09",485
"0231","70",1006
"0233","01",2593
"0233","03",621
"0233","04",132
"0233","05",326
"0233","07",331
"0233","09",107
"0233","70",203
"0234","01",511
"0234","03",174
"0234","04",136
"0234","05",347
"0235","01",3361
"0235","03",1089
"0235","04",320
"0235","05",1121
"0235","07",373
"0235","70",183
"0236","01",3924
"0236","03",562
"0236","04",312
"0236","05",1196
"0236","07",200
"0236","09",147
"0236","70",115
"0237","01",4591
"0237","03",652
"0237","04",356
"0237","05",1063
"0237","07",218
"0237","09",186
"0237","70",242
"0237","92",220
"0238","01",1537
"0238","03",277
"0238","04",287
"0238","05",720
"0238","09",130
"0239","01",648
"0239","04",252
"0239","05",152
"0239","07",228
"0601","01",10092
"0601","03",2376
"0601","04",479
"0601","05",1188
"0601","07",644
"0601","09",509
"0601","70",514
"0301","01",131909
"0301","03",115903
"0301","04",12575
"0301","05",2366
"0301","07",12853
"0301","09",5080
"0301","70",15131
"0401","01",4851
"0401","03",2242
"0401","04",433
"0401","07",509
"0401","09",170
"0401","70",241
"0402","01",4890
"0402","03",711
"0402","04",251
"0402","05",617
"0402","07",431
"0402","09",435
"0412","01",9585
"0412","03",1849
"0412","04",505
"0412","05",2384
"0412","07",562
"0412","09",333
"0414","01",3066
"0414","03",505
"0414","05",585
"0414","09",153
"0414","70",190
"0415","01",2247
"0415","03",408
"0415","05",495
"0415","09",369
"0415","70",107
"0417","01",5847
"0417","03",930
"0417","04",310
"0417","05",1079
"0417","09",409
"0417","70",313
"0418","01",2046
"0418","03",152
"0418","04",123
"0418","05",259
"0418","09",395
"0419","01",2850
"0419","03",367
"0419","04",132
"0419","05",554
"0419","09",268
"0419","70",108
"0420","01",2541
"0420","03",234
"0420","05",439
"0420","07",254
"0420","09",162
"0420","70",136
"0423","01",2499
"0423","03",301
"0423","05",566
"0423","09",158
"0423","70",125
"0423","92",167
"0425","01",2912
"0425","03",296
"0425","04",282
"0425","05",760
"0425","09",605
"0425","70",303
"0426","01",1381
"0426","03",335
"0426","04",105
"0426","05",363
"0426","09",366
"0426","70",127
"0427","01",4017
"0427","03",1079
"0427","04",213
"0427","05",1118
"0427","07",213
"0427","09",369
"0427","70",354
"0428","01",2334
"0428","03",273
"0428","05",1113
"0428","07",260
"0428","09",332
"0429","01",1508
"0429","03",252
"0429","05",479
"0429","09",797
"0430","01",1481
"0430","03",230
"0430","05",331
"0430","09",261
"0431","01",119
"0431","90h",124
"0432","01",747
"0432","04",19
"0432","05",220
"0432","09",60
"0432","70",82
"0433","01",551
"0433","09",302
"0433","90h",97
"0434","01",509
"0434","03",93
"0434","05",280
"0434","07",137
"0435","01",490
"0435","05",462
"0435","07",91
"0436","01",293
"0436","05",608
"0436","92",120
"0437","01",612
"0437","03",146
"0437","04",148
"0437","05",973
"0437","07",153
"0437","90",296
"0438","01",717
"0438","04",89
"0438","05",609
"0438","07",136
"0439","01",676
"0439","05",566
"0440","01",183
"0440","05",280
"0440","07",80
"0501","01",5529
"0501","03",2141
"0501","04",590
"0501","05",1042
"0501","07",576
"0501","09",196
"0501","70",456
"0502","01",8194
"0502","03",1629
"0502","04",935
"0502","05",1325
"0502","07",683
"0502","09",385
"0511","01",845
"0511","03",108
"0511","05",378
"0511","92",107
"0512","01",582
"0512","03",115
"0512","04",98
"0512","05",654
"0513","01",519
"0513","05",413
"0513","92",263
"0514","01",694
"0514","05",419
"0514","90h",203
"0515","01",1211
"0515","05",633
"0515","90",343
"0516","01",565
"0516","05",193
"0516","90",54
"0517","01",1217
"0517","90h",582
"0518","01",1837
"0518","03",200
"0518","04",125
"0518","05",750
"0518","90",215
"0519","01",1241
"0519","05",668
"0520","01",1418
"0520","03",226
"0520","04",118
"0520","05",680
"0520","70",88
"0520","90",527
"0521","01",864
"0521","03",100
"0521","04",121
"0521","05",679
"0521","07",165
"0522","01",1716
"0522","04",115
"0522","05",951
"0522","07",218
"0522","70",158
"0522","90",315
"0528","01",3951
"0528","03",386
"0528","04",389
"0528","05",1638
"0528","07",563
"0528","09",154
"0529","01",3588
"0529","03",395
"0529","04",501
"0529","05",878
"0529","07",286
"0529","09",180
"0532","01",1738
"0532","03",310
"0532","05",256
"0532","09",388
"0533","01",1724
"0533","03",196
"0533","04",142
"0533","05",681
"0534","01",3333
"0534","03",516
"0534","04",392
"0534","05",1542
"0534","07",191
"0534","09",177
"0534","70",132
"0536","01",2093
"0536","04",133
"0536","05",462
"0536","07",376
"0536","09",277
"0538","01",2309
"0538","04",241
"0538","05",734
"0538","07",259
"0540","01",1034
"0540","04",111
"0540","90h",580
"0540","92",91
"0541","01",366
"0541","03",108
"0541","04",125
"0541","05",118
"0541","07",220
"0541","92",40
"0542","01",1276
"0542","03",307
"0542","04",236
"0542","05",893
"0542","90h",136
"0543","01",421
"0543","03",46
"0543","05",464
"0543","92",237
"0544","01",525
"0544","03",57
"0544","05",477
"0544","07",289
"0545","01",226
"0545","03",48
"0545","05",240
"0545","92",406
"0602","01",15081
"0602","03",8547
"0602","04",1704
"0602","05",294
"0602","07",479
"0602","09",452
"0602","70",1071
"0604","01",5239
"0604","03",1523
"0604","04",335
"0604","05",842
"0604","07",907
"0604","70",486
"0615","01",477
"0615","90h",333
"0616","01",771
"0616","03",289
"0616","04",167
"0616","05",214
"0616","07",121
"0616","90",95
"0617","01",549
"0617","03",295
"0617","04",157
"0617","05",427
"0617","07",184
"0618","01",138
"0618","03",153
"0618","04",150
"0618","05",237
"0618","07",76
"0619","01",757
"0619","03",399
"0619","04",309
"0619","05",499
"0619","07",346
"0620","01",839
"0620","03",384
"0620","04",190
"0620","05",250
"0620","07",290
"0620","92",97
"0621","01",914
"0621","03",500
"0621","05",760
"0622","01",632
"0622","03",191
"0622","05",292
"0622","70",102
"0623","01",3986
"0623","03",949
"0623","04",315
"0623","05",888
"0623","09",315
"0623","70",255
"0624","01",3574
"0624","03",1234
"0624","04",402
"0624","05",965
"0624","07",133
"0624","09",215
"0624","70",256
"0625","01",4208
"0625","03",1004
"0625","04",321
"0625","05",225
"0625","07",77
"0625","09",382
"0625","70",509
"0626","01",4469
"0626","03",1685
"0626","04",252
"0626","05",991
"0626","07",261
"0627","01",2662
"0627","03",675
"0627","04",200
"0627","05",433
"0627","09",289
"0628","01",2365
"0628","03",773
"0628","04",234
"0628","05",182
"0628","09",216
"0631","01",495
"0631","03",120
"0631","05",421
"0631","07",106
"0631","70",28
"0632","01",361
"0632","03",81
"0632","04",98
"0632","70",35
"0632","90h",328
"0633","01",859
"0633","70",21
"0633","90h",874
"0702","01",2043
"0702","03",761
"0702","04",265
"0702","05",366
"0702","07",115
"0702","70",161
"0703","01",3753
"0703","03",2658
"0703","04",308
"0703","07",428
"0703","09",54
"0703","70",220
"0704","01",65
"0704","03",161
"0704","92",30
"0705","01",3401
"0705","03",2719
"0705","04",462
"0705","07",282
"0705","09",121
"0705","70",195
"0706","01",1231
"0706","03",1933
"0706","04",240
"0706","07",309
"0707","01",3321
"0707","03",1323
"0707","04",321
"0707","07",642
"0707","09",403
"0707","70",171
"0708","01",388
"0708","03",378
"0708","07",248
"0711","01",1237
"0711","03",547
"0711","05",212
"0713","01",1705
"0713","03",408
"0713","04",140
"0713","05",605
"0713","09",72
"0714","01",785
"0714","03",127
"0714","05",391
"0716","01",489
"0716","03",301
"0716","04",99
"0716","05",531
"0717","01",1521
"0717","03",1056
"0717","04",117
"0717","05",285
"0717","07",146
"0718","01",455
"0718","03",235
"0718","04",74
"0718","05",554
"0719","01",574
"0719","03",426
"0719","04",103
"0719","05",307
"0719","07",227
"0720","01",1081
"0720","03",684
"0720","04",247
"0720","05",599
"0720","07",296
"0721","01",4120
"0721","03",3212
"0721","04",554
"0721","05",497
"0721","07",423
"0721","70",306
"0722","01",3022
"0722","03",3368
"0722","04",366
"0722","05",187
"0722","07",428
"0722","70",219
"0723","01",663
"0723","03",778
"0723","04",83
"0723","05",70
"0724","01",5063
"0724","03",4018
"0724","04",622
"0724","05",505
"0724","07",1235
"0724","09",65
"0724","70",385
"0725","01",1616
"0725","03",464
"0725","04",169
"0725","05",424
"0725","07",487
"0725","09",72
"0726","01",1483
"0726","03",504
"0726","04",349
"0726","05",285
"0726","07",687
"0727","01",1518
"0727","03",715
"0727","04",449
"0727","05",480
"0727","07",726
"0728","01",738
"0728","03",156
"0728","04",68
"0728","05",346
"0728","07",97
"0728","92",33
"0805","01",6829
"0805","03",1967
"0805","04",982
"0805","05",291
"0805","07",2363
"0805","09",463
"0805","70",959
"0806","01",12828
"0806","03",3138
"0806","04",1973
"0806","05",780
"0806","07",3110
"0806","09",887
"0806","70",1544
"0807","01",4402
"0807","03",860
"0807","04",621
"0807","05",518
"0807","07",438
"0807","09",127
"0807","70",651
"0811","01",460
"0811","04",142
"0811","05",113
"0811","07",82
"0814","01",2360
"0814","03",470
"0814","04",340
"0814","05",283
"0814","07",629
"0814","70",212
"0815","01",2655
"0815","03",746
"0815","04",560
"0815","05",319
"0815","07",758
"0815","70",362
"0817","01",1145
"0817","04",238
"0817","05",267
"0817","07",619
"0817","70",106
"0817","90",88
"0819","01",2167
"0819","03",269
"0819","04",375
"0819","05",590
"0819","07",378
"0819","70",188
"0821","01",968
"0821","03",110
"0821","04",181
"0821","05",375
"0821","07",276
"0821","90",62
"0822","01",1011
"0822","03",161
"0822","04",206
"0822","05",419
"0822","07",198
"0822","70",137
"0826","01",3263
"0826","03",939
"0826","04",297
"0826","05",448
"0826","07",364
"0826","09",150
"0826","70",378
"0826","90",99
"0827","01",382
"0827","90h",499
"0828","01",724
"0828","70",52
"0828","90h",761
"0829","01",852
"0829","03",88
"0829","04",164
"0829","05",352
"0829","07",210
"0830","01",448
"0830","04",157
"0830","05",183
"0830","07",180
"0831","01",592
"0831","04",68
"0831","70",21
"0831","90h",246
"0833","01",1088
"0833","03",49
"0833","04",166
"0833","05",350
"0833","07",167
"0833","70",68
"0834","01",1116
"0834","04",183
"0834","05",324
"0834","07",299
"0834","70",157
"0901","01",1340
"0901","03",527
"0901","04",454
"0901","05",157
"0901","07",720
"0903","01",2796
"0903","03",1687
"0903","04",690
"0903","07",817
"0904","01",456
"0904","03",529
"0904","04",326
"0904","92",49
"0911","01",679
"0911","03",77
"0911","04",177
"0911","90h",289
"0912","01",459
"0912","04",73
"0912","90",39
"0912","90h",387
"0914","01",1122
"0914","03",623
"0914","04",379
"0914","05",317
"0914","07",535
"0914","70",38
"0918","01",1705
"0918","03",530
"0918","04",218
"0918","05",100
"0918","07",489
"0919","01",721
"0919","04",173
"0919","05",190
"0919","07",176
"0919","70",94
"0920","01",1533
"0920","03",193
