kode,etikett
1032,Lyngdal (-2019)
1034,Hægebostad (-2019)
1037,Kvinesdal (-2019)
1046,Sirdal (1960-2019)
1099,Uoppgitt kommune Vest-Agder
1101,Eigersund
1102,Sandnes (-2019)
1103,Stavanger
1106,Haugesund
1108,Sandnes
1111,Sokndal
1112,Lund
1114,Bjerkreim
1119,Hå
1120,Klepp
1121,Time
1122,Gjesdal
1124,Sola
1127,Randaberg
1129,Forsand (-2019)
1130,Strand
1133,Hjelmeland
1134,Suldal
1135,Sauda
1141,Finnøy (-2019)
1142,Rennesøy (-2019)
1144,Kvitsøy
1145,Bokn
1146,Tysvær
1149,Karmøy
1151,Utsira
1154,Vindafjord (1965-2005)
1159,Ølen (2002-2005)
1160,Vindafjord
1199,Uoppgitt kommune Rogaland
1201,Bergen (1972-2019)
1211,Etne (-2019)
1214,Ølen (1916-2001)
1216,Sveio (-2019)
1219,Bømlo (1916-2019)
1221,Stord (-2019)
1222,Fitjar (-2019)
1223,Tysnes (-2019)
1224,Kvinnherad (-2019)
1227,Jondal (-2019)
1228,Odda (1913-2019)
1230,Ullensvang (-1976)
1231,Ullensvang (1977-2019)
1232,Eidfjord (-2019)
1233,Ulvik (-2019)
1234,Granvin (-2019)
1235,Voss (-2019)
1238,Kvam (-2019)
1241,Fusa (-2019)
1242,Samnanger (1907-2019)
1243,Os (Hordaland) (-2019)
1244,Austevoll (-2019)
1245,Sund (-2019)
1246,Fjell (-2019)
1247,Askøy (-2019)
1248,Laksevåg (1918-1971)
1249,Fana (-1971)
1250,Arna (1964-1971)
1251,Vaksdal (1964-2019)
1252,Modalen (1910-2019)
1253,Osterøy (1964-2019)
1255,Åsane (-1971)
1256,Meland (1924-2019)
1259,Øygarden (1964-2019)
1260,Radøy (1964-2019)
1263,Lindås (-2019)
1264,Austrheim (1910-2019)
1265,Fedje (1948-2019)
1266,Masfjorden (-2019)
1299,Uoppgitt kommune Hordaland
1301,Bergen (-1971)
1401,Flora (1964-2019)
1411,Gulen (-2019)
1412,Solund (-2019)
1413,Hyllestad (-2019)
1416,Høyanger (1964-2019)
1417,Vik (-2019)
1418,Balestrand (-2019)
1419,Leikanger (-2019)
1420,Sogndal (-2019)
1421,Aurland (-2019)
1422,Lærdal (-2019)
1424,Årdal (-2019)
1426,Luster (-2019)
1428,Askvoll (-2019)
1429,Fjaler (-2019)
1430,Gaular (-2019)
1431,Jølster (-2019)
1432,Førde (-2019)
1433,Naustdal (-2019)
1438,Bremanger (-2019)
1439,Vågsøy (1964-2019)
1441,Selje (-2019)
1443,Eid (-2019)
1444,Hornindal (-2019)
1445,Gloppen (-2019)
1448,Stryn (-1976)
1449,Stryn (1977-2019)
1499,Uoppgitt kommune Sogn og Fjordane
1501,Ålesund (-1976)
1502,Molde (-2019)
1503,Kristiansund  (-2007)
1504,Ålesund (1977-2019)
1505,Kristiansund
1506,Molde
1507,Ålesund (2020-2023)
1508,Ålesund
1511,Vanylven
1514,Sande
1515,Herøy (Møre og Romsdal)
1516,Ulstein
1517,Hareid
1519,Volda (-2019)
1520,Ørsta
1523,Ørskog (1977-2019)
1524,Norddal (-2019)
1525,Stranda
1526,Stordal (-2019)
1527,Ørskog (-1976)
1528,Sykkylven
1529,Skodje (-2019)
1531,Sula
1532,Giske
1534,Haram (-2019)
1535,Vestnes
1539,Rauma
1543,Nesset (-2019)
1545,Midsund (1965-2019)
1546,Sandøy (-2019)
1547,Aukra
1548,Fræna (-2019)
1551,Eide (-2019)
1554,Averøy
1556,Frei (-2007)
1557,Gjemnes
1560,Tingvoll
1563,Sunndal
1566,Surnadal
1567,Rindal (-2018)
1569,Aure (-2005)
1571,Halsa (-2019)
1572,Tustna (-2005)
1573,Smøla
1576,Aure
1577,Volda
1578,Fjord
1579,Hustadvika
1580,Haram
1599,Uoppgitt kommune Møre og Romsdal
1601,Trondheim (-2017)
1612,Hemne (-2017)
1613,Snillfjord (1924-2017)
1617,Hitra (-2017)
1620,Frøya (1964-2017)
1621,Ørland (-2017)
1622,Agdenes (-2017)
1624,Rissa (-2017)
1627,Bjugn (-2017)
1630,Åfjord (-2017)
1632,Roan (-2017)
1633,Osen (-2017)
1634,Oppdal (-2017)
1635,Rennebu (-2017)
1636,Meldal (-2017)
1638,Orkdal (-2017)
1640,Røros (-2017)
1644,Holtålen (1972-2017)
1645,Haltdalen (-1971)
1648,Midtre Gauldal (1964-2017)
1653,Melhus (-2017)
1657,Skaun (-2017)
1662,Klæbu (-2017)
1663,Malvik (-2017)
1664,Selbu (-2017)
1665,Tydal (-2017)
1699,Uoppgitt kommune Sør-Trøndelag
1702,Steinkjer (-2017)
1703,Namsos (-2017)
1711,Meråker (-2017)
1714,Stjørdal (-2017)
1717,Frosta (-2017)
1718,Leksvik (-2017)
1719,Levanger (1962-2017)
1721,Verdal (-2017)
1723,Mosvik  (-2011)
1724,Verran (-2017)
1725,Namdalseid (-2017)
1729,Inderøy (-2011)
1736,Snåase - Snåsa (-2017)
1738,Lierne (1964-2017)
1739,Raarvihke - Røyrvik (1923-2017)
1740,Namsskogan (1923-2017)
1742,Grong (-2017)
1743,Høylandet (-2017)
1744,Overhalla (-2017)
1748,Fosnes (-2017)
1749,Flatanger (-2017)
1750,Vikna (-2017)
1751,Nærøy (-2017)
1755,Leka (-2017)
1756,Inderøy (2012-2017)
1799,Uoppgitt kommune Nord-Trøndelag
1804,Bodø
1805,Narvik (-2019)
1806,Narvik
1811,Bindal
1812,Sømna
1813,Brønnøy
1814,Brønnøy (-1976)
1815,Vega
1816,Vevelstad
1818,Herøy (Nordland)
1820,Alstahaug
1822,Leirfjord
1824,Vefsn
1825,Grane
1826,Aarborte - Hattfjelldal
1827,Dønna
1828,Nesna
1832,Hemnes
1833,Rana - Raane
1834,Lurøy
