"Region","PolitParti","Godkjente1 1967"
"0101","01",9158
"0101","03",2152
"0101","04",1243
"0101","05",1110
"0101","07",661
"0101","70",874
"0102","01",4177
"0102","03",1628
"0102","04",507
"0102","07",707
"0102","09",153
"0102","70",613
"0103","01",9020
"0103","03",4498
"0103","04",1260
"0103","07",821
"0103","09",282
"0103","70",996
"0104","01",6731
"0104","03",3780
"0104","04",723
"0104","07",480
"0104","09",179
"0104","70",933
"0111","01",573
"0111","03",471
"0111","07",116
"0113","01",3162
"0113","03",481
"0113","04",276
"0113","05",347
"0113","07",278
"0113","09",331
"0113","70",303
"0114","01",359
"0114","04",114
"0114","05",191
"0114","70",26
"0115","01",3639
"0115","03",578
"0115","04",589
"0115","05",478
"0115","07",266
"0115","09",140
"0115","70",434
"0118","01",371
"0118","04",135
"0118","05",257
"0119","01",928
"0119","03",146
"0119","04",303
"0119","05",457
"0119","07",58
"0121","01",173
"0121","04",122
"0121","90h",80
"0122","01",727
"0122","03",194
"0122","04",245
"0122","05",783
"0122","07",80
"0123","01",675
"0123","03",151
"0123","04",161
"0123","05",534
"0123","07",67
"0124","01",2764
"0124","03",744
"0124","04",350
"0124","05",543
"0124","07",844
"0125","01",1833
"0125","03",678
"0125","04",628
"0125","05",1001
"0125","07",289
"0125","70",296
"0127","01",513
"0127","03",90
"0127","04",199
"0127","05",347
"0127","07",89
"0128","01",1295
"0128","03",302
"0128","04",808
"0128","05",1086
"0128","07",141
"0130","01",4802
"0130","03",932
"0130","04",703
"0130","05",359
"0130","07",443
"0130","09",96
"0130","70",605
"0131","01",1369
"0131","03",207
"0131","04",237
"0131","05",164
"0131","09",21
"0131","70",128
"0131","92",112
"0133","01",1764
"0133","03",821
"0133","04",286
"0133","07",123
"0133","09",145
"0133","70",136
"0133","92",364
"0134","01",2728
"0134","03",1314
"0134","04",675
"0134","05",369
"0134","07",230
"0134","09",30
"0134","70",249
"0135","01",893
"0135","03",286
"0135","04",351
"0135","05",402
"0135","70",83
"0135","92",155
"0136","01",2038
"0136","03",1086
"0136","04",301
"0136","05",659
"0136","07",262
"0136","70",198
"0137","01",402
"0137","03",122
"0137","04",122
"0137","05",397
"0137","07",159
"0138","01",760
"0138","03",164
"0138","04",154
"0138","05",465
"0211","01",1330
"0211","03",521
"0211","04",140
"0211","05",715
"0211","07",117
"0211","70",105
"0213","01",2727
"0213","03",1357
"0213","04",404
"0213","05",632
"0213","07",623
"0213","70",513
"0214","01",1446
"0214","03",566
"0214","04",197
"0214","05",1086
"0214","07",480
"0214","70",175
"0215","01",1428
"0215","03",1129
"0215","04",176
"0215","05",497
"0215","07",217
"0215","70",115
"0216","01",1500
"0216","03",1219
"0216","04",301
"0216","05",209
"0216","07",502
"0216","09",30
"0216","70",302
"0217","01",2160
"0217","03",2207
"0217","04",318
"0217","07",529
"0217","70",400
"0219","01",10101
"0219","03",17951
"0219","04",1195
"0219","05",967
"0219","07",3739
"0219","09",562
"0219","70",1716
"0220","01",4326
"0220","03",4928
"0220","04",679
"0220","05",683
"0220","07",1311
"0220","70",834
"0221","01",3222
"0221","03",390
"0221","04",556
"0221","05",1231
"0221","07",268
"0226","01",1891
"0226","03",312
"0226","04",278
"0226","05",1121
"0226","07",204
"0226","92",154
"0227","01",1694
"0227","03",328
"0227","04",219
"0227","05",415
"0227","07",294
"0227","70",230
"0228","01",1846
"0228","03",574
"0228","07",413
"0228","09",81
"0228","70",220
"0228","90h",368
"0228","92",197
"0229","01",976
"0229","03",138
"0229","04",135
"0229","05",361
"0229","07",126
"0229","70",151
"0230","01",3858
"0230","03",1140
"0230","04",339
"0230","05",220
"0230","07",682
"0230","09",135
"0230","70",934
"0231","01",8461
"0231","03",2480
"0231","04",673
"0231","05",614
"0231","07",1495
