"Region","PolitParti","Godkjente1 1953"
"0101","01",3816
"0101","03",1393
"0101","04",576
"0101","07",254
"0101","71",11
"0101","09",188
"0102","01",4829
"0102","03",1711
"0102","04",714
"0102","07",479
"0102","71",20
"0102","09",522
"0103","01",4457
"0103","03",2545
"0103","04",792
"0103","07",298
"0103","71",67
"0103","09",482
"0104","01",6636
"0104","03",2715
"0104","04",777
"0104","07",344
"0104","71",130
"0104","09",766
"0111","01",573
"0111","03",480
"0111","04",254
"0111","07",94
"0111","71",56
"0111","09",9
"0112","01",416
"0112","03",50
"0112","04",57
"0112","07",8
"0112","71",103
"0112","09",77
"0113","01",2406
"0113","03",319
"0113","04",347
"0113","07",54
"0113","71",231
"0113","09",547
"0114","01",250
"0114","03",24
"0114","04",128
"0114","07",32
"0114","71",113
"0114","09",9
"0115","01",3014
"0115","03",447
"0115","04",673
"0115","07",164
"0115","71",387
"0115","09",260
"0116","01",2680
"0116","03",567
"0116","04",706
"0116","07",98
"0116","71",585
"0116","09",100
"0117","01",2315
"0117","03",332
"0117","04",340
"0117","07",73
"0117","71",294
"0117","09",105
"0118","01",432
"0118","03",55
"0118","04",245
"0118","07",22
"0118","71",153
"0118","09",9
"0119u","01",670
"0119u","03",172
"0119u","04",253
"0119u","07",21
"0119u","71",138
"0119u","09",2
"0120","01",273
"0120","03",53
"0120","04",108
"0120","07",13
"0120","71",253
"0120","09",9
"0121","01",168
"0121","03",38
"0121","04",84
"0121","07",6
"0121","71",28
"0121","09",7
"0122","01",670
"0122","03",214
"0122","04",373
"0122","07",66
"0122","71",769
"0122","09",15
"0123","01",634
"0123","03",159
"0123","04",152
"0123","07",107
"0123","71",488
"0123","09",25
"0124","01",2673
"0124","03",807
"0124","04",526
"0124","07",411
"0124","71",466
"0124","09",105
"0125","01",1259
"0125","03",372
"0125","04",587
"0125","07",129
"0125","71",889
"0125","09",49
"0126","01",691
"0126","03",433
"0126","04",225
"0126","07",100
"0126","71",22
"0126","09",24
"0127","01",543
"0127","03",80
"0127","04",218
"0127","07",103
"0127","71",376
"0127","09",3
"0128","01",1201
"0128","03",284
"0128","04",817
"0128","07",67
"0128","71",662
"0128","09",26
"0129","01",213
"0129","03",46
"0129","04",276
"0129","07",22
"0129","71",380
