kom2024,parti,aar,stemmer
3207,03,2025,7779
3207,04,2025,1131
3207,08,2025,2411
3207,55,2025,1530
3207,05,2025,670
3207,06,2025,2226
3207,07,2025,2086
3207,122,2025,275
3207,158,2025,102
3207,154,2025,199
3207,152,2025,114
3207,123,2025,78
3207,159,2025,25
3207,153,2025,97
3207,10,2025,415
3207,132,2025,62
3209,01,2025,6077
3209,02,2025,7091
3209,03,2025,3048
3209,04,2025,415
3209,08,2025,587
3209,55,2025,1150
3209,05,2025,844
3209,06,2025,1111
3209,07,2025,587
3209,122,2025,211
3209,158,2025,86
3209,154,2025,152
3209,152,2025,92
3209,123,2025,80
3209,159,2025,35
3209,153,2025,111
3209,10,2025,202
3209,132,2025,33
3212,01,2025,3454
3212,02,2025,1985
3212,03,2025,1788
3212,04,2025,316
3212,08,2025,1816
3212,55,2025,1076
3212,05,2025,176
3212,06,2025,958
3212,07,2025,729
3212,122,2025,85
3212,158,2025,96
3212,154,2025,135
3212,152,2025,44
3212,123,2025,26
3212,159,2025,8
3212,153,2025,22
3212,10,2025,83
3212,132,2025,17
3214,01,2025,2486
3214,02,2025,2486
3214,03,2025,2402
3214,04,2025,215
3214,08,2025,653
3214,55,2025,375
3214,05,2025,230
3214,06,2025,446
3214,07,2025,584
3214,122,2025,67
3214,158,2025,31
3214,154,2025,91
3214,152,2025,35
3214,123,2025,26
3214,159,2025,8
3214,153,2025,27
3214,10,2025,203
3214,132,2025,13
3216,01,2025,3170
3216,02,2025,2774
3216,03,2025,1858
3216,04,2025,277
3216,08,2025,633
3216,55,2025,579
3216,05,2025,364
3216,06,2025,529
3216,07,2025,463
3216,122,2025,121
3216,158,2025,41
3216,154,2025,92
3216,152,2025,52
3216,123,2025,42
3216,159,2025,19
3216,153,2025,18
3216,10,2025,118
3216,132,2025,17
3218,01,2025,3450
3218,02,2025,2497
3218,03,2025,1773
3218,04,2025,385
3218,08,2025,1138
3218,55,2025,721
3218,05,2025,539
3218,06,2025,927
3218,07,2025,567
3218,122,2025,93
3218,158,2025,49
3218,154,2025,67
3218,152,2025,39
3218,123,2025,46
3218,159,2025,7
3218,153,2025,31
3218,10,2025,108
3218,132,2025,15
3220,01,2025,1577
3220,02,2025,2033
3220,03,2025,797
3220,04,2025,199
3220,08,2025,168
3220,55,2025,295
3220,05,2025,327
3220,06,2025,294
3220,07,2025,155
3220,122,2025,54
3220,158,2025,11
3220,154,2025,48
3220,152,2025,43
3220,123,2025,30
3220,159,2025,9
3220,153,2025,12
3220,10,2025,82
3220,132,2025,11
3222,01,2025,8060
3222,02,2025,6211
3222,03,2025,4292
3222,04,2025,524
3222,08,2025,1050
3222,55,2025,1300
3222,05,2025,381
3222,06,2025,2127
3222,07,2025,1008
3222,122,2025,145
3222,158,2025,88
3222,154,2025,153
3222,152,2025,60
3222,123,2025,91
3222,159,2025,18
3222,153,2025,225
3222,10,2025,282
3222,132,2025,44
3224,01,2025,3524
3224,02,2025,2791
3224,03,2025,1692
3224,04,2025,306
3224,08,2025,417
3224,55,2025,452
3224,05,2025,241
3224,06,2025,619
3224,07,2025,377
3224,122,2025,77
3224,158,2025,27
3224,154,2025,84
3224,152,2025,37
3224,123,2025,74
3224,159,2025,14
3224,153,2025,38
3224,10,2025,112
3224,132,2025,20
3226,01,2025,3247
3226,02,2025,3045
3226,03,2025,923
3226,04,2025,382
3226,08,2025,181
3226,55,2025,477
3226,05,2025,1015
3226,06,2025,274
3226,07,2025,129
3226,122,2025,98
3226,158,2025,21
3226,154,2025,106
3226,152,2025,59
3226,123,2025,47
3226,159,2025,24
3226,153,2025,15
3226,10,2025,94
3226,132,2025,17
3228,01,2025,4182
3228,02,2025,4099
3228,03,2025,1245
3228,04,2025,307
3228,08,2025,403
3228,55,2025,678
3228,05,2025,1033
3228,06,2025,541
3228,07,2025,290
3228,122,2025,166
3228,158,2025,39
3228,154,2025,110
3228,152,2025,115
3228,123,2025,81
3228,159,2025,30
3228,153,2025,18
3228,10,2025,125
3228,132,2025,40
3230,01,2025,1205
3230,02,2025,1156
3230,03,2025,739
3230,04,2025,157
3230,08,2025,161
3230,55,2025,132
3230,05,2025,272
3230,06,2025,133
3230,07,2025,138
3230,122,2025,31
3230,158,2025,8
3230,154,2025,25
3230,152,2025,14
3230,123,2025,24
3230,159,2025,7
3230,153,2025,5
3230,10,2025,48
3230,132,2025,14
3232,01,2025,4430
3232,02,2025,3462
3232,03,2025,2479
3232,04,2025,367
3232,08,2025,834
3232,55,2025,627
3232,05,2025,406
3232,06,2025,870
3232,07,2025,631
3232,122,2025,92
3232,158,2025,55
3232,154,2025,96
3232,152,2025,44
3232,123,2025,38
3232,159,2025,13
3232,153,2025,39
3232,10,2025,85
3232,132,2025,30
3234,01,2025,1859
3234,02,2025,1413
3234,03,2025,698
3234,04,2025,153
3234,08,2025,220
3234,55,2025,282
3234,05,2025,414
3234,06,2025,221
3234,07,2025,153
3234,122,2025,60
3234,158,2025,14
3234,154,2025,46
3234,152,2025,28
3234,123,2025,37
3234,159,2025,11
3234,153,2025,6
3234,10,2025,55
3234,132,2025,5
3236,01,2025,1349
3236,02,2025,1171
3236,03,2025,479
3236,04,2025,72
3236,08,2025,101
3236,55,2025,197
3236,05,2025,262
3236,06,2025,166
3236,07,2025,81
3236,122,2025,37
3236,158,2025,12
3236,154,2025,38
3236,152,2025,38
3236,123,2025,10
3236,159,2025,4
3236,153,2025,5
3236,10,2025,43
3236,132,2025,10
3238,01,2025,2177
3238,02,2025,2664
3238,03,2025,927
3238,04,2025,261
3238,08,2025,235
3238,55,2025,354
3238,05,2025,503
3238,06,2025,357
3238,07,2025,175
3238,122,2025,126
3238,158,2025,27
3238,154,2025,76
3238,152,2025,42
3238,123,2025,46
3238,159,2025,6
3238,153,2025,27
3238,10,2025,82
3238,132,2025,22
3240,01,2025,4411
3240,02,2025,4241
3240,03,2025,1685
3240,04,2025,407
3240,08,2025,503
3240,55,2025,821
3240,05,2025,853
3240,06,2025,828
3240,07,2025,326
3240,122,2025,157
3240,158,2025,51
3240,154,2025,142
3240,152,2025,123
3240,123,2025,61
3240,159,2025,32
3240,153,2025,18
3240,10,2025,251
3240,132,2025,37
3242,01,2025,412
3242,02,2025,496
3242,03,2025,126
3242,04,2025,78
3242,08,2025,85
3242,55,2025,98
3242,05,2025,193
3242,06,2025,54
3242,07,2025,39
3242,122,2025,23
3242,158,2025,9
3242,154,2025,35
3242,152,2025,10
3242,123,2025,12
3242,159,2025,2
3242,153,2025,1
3242,10,2025,13
3242,132,2025,3
0301,01,1989,89414
0301,01,1993,101598
0301,01,1997,98340
0301,01,2001,64768
0301,01,2005,97246
0301,01,2009,113103
0301,01,2013,106001
0301,01,2017,104089
0301,01,2021,87158
0301,01,2025,108268
0301,02,1989,44920
0301,02,1993,23129
0301,02,1997,52828
0301,02,2001,37564
0301,02,2005,53280
0301,02,2009,56953
0301,02,2013,40660
0301,02,2017,35037
0301,02,2021,22784
0301,02,2025,60432
0301,03,1989,95679
0301,03,1993,76117
0301,03,1997,63980
0301,03,2001,83979
0301,03,2005,61130
0301,03,2009,69999
0301,03,2013,103834
0301,03,2017,97085
0301,03,2021,89342
0301,03,2025,78043
0301,04,1989,11414
0301,04,1993,9862
0301,04,1997,20083
0301,04,2001,17536
0301,04,2005,11168
0301,04,2009,8786
0301,04,2013,9850
0301,04,2017,7843
0301,04,2021,6922
0301,04,2025,8920
0301,08,1989,1727
0301,08,1993,656
0301,08,1997,1302
0301,08,2001,661
0301,08,2005,668
0301,08,2009,1828
0301,08,2013,19356
0301,08,2017,21853
0301,08,2021,32198
0301,08,2025,43326
0301,55,2009,12917
0301,55,2013,11133
0301,55,2017,23083
0301,55,2021,31352
0301,55,2025,30176
0301,05,1989,2189
0301,05,1993,12175
0301,05,1997,3774
0301,05,2001,1988
0301,05,2005,3270
0301,05,2009,3126
0301,05,2013,2963
0301,05,2017,7778
0301,05,2021,11953
0301,05,2025,3166
0301,06,1989,34882
0301,06,1993,19873
0301,06,1997,25954
0301,06,2001,48800
0301,06,2005,41434
0301,06,2009,33205
0301,06,2013,21924
