"Region","PolitParti","Godkjente1 2003"
"0101","01",2879
"0101","02",1890
"0101","03",1991
"0101","04",752
"0101","08",655
"0101","05",652
"0101","06",2231
"0101","07",202
"0101","10",321
"0101","11",483
"0101","92",23
"0104","01",3930
"0104","02",2851
"0104","03",2001
"0104","04",445
"0104","06",1896
"0104","07",282
"0104","10",455
"0104","11",382
"0104","92",141
"0105","01",9847
"0105","02",3851
"0105","03",2257
"0105","04",1366
"0105","05",834
"0105","06",1535
"0105","07",184
"0105","48",54
"0105","10",941
"0105","11",70
"0105","92",42
"0106","01",9298
"0106","02",5254
"0106","03",3443
"0106","04",1527
"0106","05",632
"0106","06",3047
"0106","07",547
"0106","48",47
"0106","44",90
"0106","09",63
"0106","10",1293
"0106","11",244
"0106","91",2569
"0106","92",58
"0111","01",563
"0111","02",261
"0111","03",473
"0111","05",156
"0111","06",205
"0111","07",62
"0111","11",12
"0111","92",73
"0118","01",254
"0118","02",60
"0118","03",76
"0118","04",199
"0118","05",179
"0119","01",623
"0119","03",179
"0119","04",306
"0119","05",460
"0121","01",152
"0121","02",49
"0121","04",153
"0121","05",85
"0122","01",381
"0122","02",401
"0122","03",153
"0122","04",153
"0122","05",925
"0122","06",98
"0122","07",65
"0123","01",300
"0123","02",355
"0123","03",321
"0123","04",189
"0123","05",513
"0123","06",292
"0123","07",72
"0124","01",1273
"0124","02",1067
"0124","03",1193
"0124","04",349
"0124","05",474
"0124","06",471
"0124","07",234
"0124","11",162
"0124","91",395
"0125","01",958
"0125","02",877
"0125","03",560
"0125","04",345
"0125","05",1075
"0125","06",329
"0125","07",108
"0127","01",410
"0127","02",143
"0127","03",118
"0127","04",153
"0127","05",565
"0127","07",24
"0128","01",707
"0128","02",325
"0128","03",238
"0128","04",747
"0128","05",876
"0128","06",108
"0128","91",153
"0135","01",728
"0135","02",961
"0135","03",435
"0135","04",415
"0135","05",346
"0135","06",195
"0135","07",69
"0136","01",1394
"0136","02",1578
"0136","03",1638
"0136","04",286
"0136","05",236
"0136","06",823
"0136","07",80
"0136","92",83
"0137","01",356
"0137","02",375
"0137","03",442
"0137","04",128
"0137","05",316
"0137","06",140
"0137","07",39
"0138","01",551
"0138","02",441
"0138","03",211
"0138","04",227
"0138","05",304
"0138","06",116
"0138","07",169
"0211","01",2216
"0211","02",956
"0211","03",1268
"0211","04",193
"0211","05",343
"0211","06",548
"0211","07",220
"0211","11",64
"0211","91",170
"0213","01",3221
"0213","02",2138
"0213","03",2972
"0213","04",459
"0213","05",494
"0213","06",1620
"0213","07",545
"0213","10",378
"0213","11",186
"0214","01",1995
"0214","02",1017
"0214","03",863
"0214","04",332
"0214","05",757
"0214","06",1166
"0214","07",365
"0214","11",113
"0215","01",1137
"0215","02",913
"0215","03",1780
"0215","04",221
"0215","05",185
"0215","06",861
"0215","07",652
"0215","10",387
"0215","11",42
"0216","01",1520
"0216","02",830
"0216","03",1464
"0216","04",292
"0216","08",195
"0216","05",122
"0216","06",2193
"0216","07",395
"0216","11",241
"0217","01",2319
"0217","02",1328
"0217","03",4530
"0217","04",523
"0217","05",88
"0217","06",1475
"0217","07",794
"0217","10",405
"0217","11",76
"0217","92",29
"0219","01",8382
"0219","02",7836
"0219","03",19458
"0219","04",1563
"0219","05",714
"0219","06",7098
"0219","07",2810
"0219","10",1321
"0219","11",575
"0219","91",371
"0219","92",87
"0220","01",4459
"0220","02",4513
"0220","03",7666
"0220","04",831
"0220","05",327
"0220","06",2787
"0220","07",1431
"0220","44",50
"0220","10",530
"0220","11",252
"0220","91",1627
"0221","01",2219
"0221","02",1119
"0221","03",399
"0221","04",358
"0221","05",1006
"0221","06",457
"0221","91",509
"0226","01",2024
"0226","02",1120
"0226","03",854
"0226","04",309
"0226","05",746
"0226","06",705
"0226","07",88
"0226","11",34
"0227","01",1701
"0227","02",861
"0227","03",761
"0227","04",137
"0227","05",403
"0227","06",564
"0227","07",153
"0228","01",2364
"0228","02",1176
"0228","03",1180
"0228","04",230
"0228","05",105
"0228","06",803
"0228","07",95
"0228","10",152
"0228","11",74
"0228","91",218
"0229","01",1046
"0229","02",919
"0229","03",821
"0229","04",257
"0229","05",381
"0229","06",495
"0229","11",67
"0230","01",4705
"0230","02",2900
"0230","03",3244
"0230","04",491
"0230","05",191
"0230","06",1838
"0230","07",338
"0230","11",156
"0230","92",26
"0231","01",6428
"0231","02",3451
"0231","03",3165
"0231","04",638
"0231","05",372
"0231","06",2282
"0231","07",468
"0231","10",636
"0231","11",134
"0233","01",1898
"0233","02",1415
"0233","03",1097
"0233","04",204
"0233","05",838
"0233","06",631
"0233","07",378
"0233","11",142
"0234","01",725
"0234","02",290
"0234","03",523
"0234","04",182
"0234","05",265
"0234","06",249
"0235","01",2741
"0235","02",2516
"0235","03",1359
"0235","04",278
"0235","05",755
"0235","06",913
"0235","07",171
"0235","10",660
"0235","11",77
"0236","01",2756
"0236","02",1258
"0236","03",484
"0236","04",301
"0236","05",782
"0236","06",680
"0236","07",181
"0236","11",53
"0236","91",773
"0237","01",2074
"0237","02",1318
"0237","03",1170
"0237","04",289
"0237","05",706
"0237","06",1127
"0237","07",90
"0237","11",61
"0237","91",428
"0238","01",1182
"0238","02",840
"0238","03",463
"0238","04",178
"0238","05",567
"0238","06",430
"0238","07",205
"0239","01",335
"0239","02",191
"0239","03",104
"0239","04",140
"0239","05",134
"0239","06",273
"0239","07",102
"0301","01",65282
"0301","02",42693
"0301","03",64792
"0301","04",7661
"0301","06",52627
"0301","07",10792
"0301","48",179
"0301","44",204
"0301","12",113
"0301","09",196
"0301","10",2245
"0301","11",8075
"0301","33",92
"0301","90",2092
"0301","91",1539
"0301","92",599
"0402","01",2687
"0402","02",1075
"0402","03",1471
"0402","04",279
"0402","05",376
"0402","06",1485
"0402","07",173
"0403","01",3933
"0403","02",896
"0403","03",994
"0403","04",398
"0403","05",215
"0403","06",1227
"0403","07",175
"0403","10",938
"0403","91",3441
"0403","92",29
"0412","01",5457
"0412","02",1134
"0412","03",1225
"0412","04",376
"0412","05",1743
"0412","06",1501
"0412","07",380
"0412","11",65
"0415","01",1081
"0415","02",284
"0415","03",202
"0415","05",1335
