"code","parentCode","level","name","shortName","presentationName","validFrom","validTo","validFromInRequestedRange","validToInRequestedRange","notes"
"0615","05","2","Flå (-2019)","","","","","","","617"
"0616","05","2","Nes (Buskerud) (-2019)","","","","","","","640"
"0617","04","2","Gol (-2019)","","","","","","","683"
"0618","05","2","Hemsedal (-2019)","","","","","","","625"
"0619","05","2","Ål (-2019)","","","","","","","635"
"0620","05","2","Hol (-2019)","","","","","","","629"
"0621","05","2","Sigdal (-2019)","","","","","","","663"
"0622","05","2","Krødsherad (-2019)","","","","","","","656"
"0623","03","2","Modum (-2019)","","","","","","","812"
"0624","03","2","Øvre Eiker (-2019)","","","","","","","848"
"0625","02","2","Nedre Eiker (-2019)","","","","","","","912"
"0626","02","2","Lier (-2019)","","","","","","","887"
"0627","02","2","Røyken (-2019)","","","","","","","910"
"0628","02","2","Hurum (-2019)","","","","","","","910"
"0631","04","2","Flesberg (-2019)","","","","","","","688"
"0632","05","2","Rollag (-2019)","","","","","","","578"
"0633","06","2","Nore og Uvdal (-2019)","","","","","","","530"
"0701","02","2","Horten (2002-2019)","","","","","","","874"
"0702","03","2","Holmestrand (-2017)","","","","","","","837"
"0703","02","2","Horten (-1987)","","","","","","","874"
"0704","02","2","Tønsberg (1988-2019)","","","","","","","879"
"0705","02","2","Tønsberg (-1987)","","","","","","","879"
"0706","03","2","Sandefjord (-2016)","","","","","","","861"
"0707","03","2","Larvik (-1987)","","","","","","","842"
"0708","03","2","Stavern (-1987)","","","","","","","842"
"0709","03","2","Larvik (1988-2017)","","","","","","","842"
"0710","03","2","Sandefjord (2017-2019)","","","","","","","861"
"0711","02","2","Svelvik (-2019)","","","","","","","912"
"0712","03","2","Larvik (2018-2019)","","","","","","","842"
"0713","03","2","Sande (Vestfold) (-2019)","","","","","","","837"
"0714","03","2","Hof (-2017)","","","","","","","837"
"0715","03","2","Holmestrand (2018-2019)","","","","","","","837"
"0716","02","2","Re (2002-2019)","","","","","","","879"
"0717","02","2","Borre (-1987)","","","","","","","874"
"0718","02","2","Ramnes (-2001)","","","","","","","879"
"0719","03","2","Andebu (-2016)","","","","","","","861"
"0720","03","2","Stokke (-2016)","","","","","","","861"
"0721","02","2","Sem (-1987)","","","","","","","879"
"0722","03","2","Nøtterøy (-2017)","","","","","","","846"
"0723","03","2","Tjøme (-2017)","","","","","","","846"
"0725","03","2","Tjølling (-1987)","","","","","","","842"
"0726","03","2","Brunlanes (-1987)","","","","","","","842"
"0727","03","2","Hedrum (-1987)","","","","","","","842"
"0728","03","2","Lardal (-2017)","","","","","","","842"
"0729","03","2","Færder (2018-2019)","","","","","","","846"
"0805","03","2","Porsgrunn (-2019)","","","","","","","855"
"0806","03","2","Skien (-2019)","","","","","","","849"
"0807","04","2","Notodden (-2019)","","","","","","","774"
"0811","04","2","Siljan (-2019)","","","","","","","739"
"0814","03","2","Bamble (-2019)","","","","","","","786"
"0815","04","2","Kragerø (-2019)","","","","","","","755"
"0817","05","2","Drangedal (-2019)","","","","","","","645"
"0819","04","2","Nome (-2019)","","","","","","","709"
"0821","04","2","Bø (Telemark) (-2019)","","","","","","","731"
"0822","04","2","Sauherad (-2019)","","","","","","","731"
"0826","05","2","Tinn (-2019)","","","","","","","595"
"0827","05","2","Hjartdal (-2019)","","","","","","","599"
"0828","05","2","Seljord (-2019)","","","","","","","650"
"0829","05","2","Kviteseid (-2019)","","","","","","","601"
"0830","06","2","Nissedal (-2019)","","","","","","","543"
"0831","06","2","Fyresdal (-2019)","","","","","","","491"
"0833","06","2","Tokke (-2019)","","","","","","","533"
"0834","06","2","Vinje (-2019)","","","","","","","550"
"0901","04","2","Risør (-2019)","","","","","","","709"
"0903","03","2","Arendal (-1991)","","","","","","","805"
"0904","03","2","Grimstad (-2019)","","","","","","","809"
"0906","03","2","Arendal (1992-2019)","","","","","","","805"
"0911","05","2","Gjerstad (-2019)","","","","","","","661"
"0912","05","2","Vegårshei (-2019)","","","","","","","653"
"0914","04","2","Tvedestrand (-2019)","","","","","","","729"
"0918","03","2","Moland (-1991)","","","","","","","805"
"0919","04","2","Froland (-2019)","","","","","","","726"
"0920","03","2","Øyestad (-1991)","","","","","","","805"
"0921","03","2","Tromøy (-1991)","","","","","","","805"
"0922","03","2","Hisøy (-1991)","","","","","","","805"
"0926","03","2","Lillesand (-2019)","","","","","","","788"
"0928","04","2","Birkenes (-2019)","","","","","","","705"
"0929","05","2","Åmli (-2019)","","","","","","","591"
"0935","05","2","Iveland (-2019)","","","","","","","624"
"0937","04","2","Evje og Hornnes (-2019)","","","","","","","691"
"0938","06","2","Bygland (-2019)","","","","","","","551"
"0940","06","2","Valle (-2019)","","","","","","","466"
"0941","06","2","Bykle (-2019)","","","","","","","467"
"1001","03","2","Kristiansand (-2019)","","","","","","","832"
"1002","04","2","Mandal (-2019)","","","","","","","733"
"1003","04","2","Farsund (-2019)","","","","","","","686"
"1004","04","2","Flekkefjord (-2019)","","","","","","","689"
"1014","03","2","Vennesla (-2019)","","","","","","","775"
"1017","03","2","Songdalen (-2019)","","","","","","","832"
"1018","03","2","Søgne (-2019)","","","","","","","832"
"1021","04","2","Marnardal (-2019)","","","","","","","733"
"1026","06","2","Åseral (-2019)","","","","","","","536"
"1027","04","2","Audnedal (-2019)","","","","","","","695"
"1029","04","2","Lindesnes (-2019)","","","","","","","733"
"1032","04","2","Lyngdal (-2019)","","","","","","","695"
"1034","05","2","Hægebostad (-2019)","","","","","","","575"
"1037","05","2","Kvinesdal (-2019)","","","","","","","650"
"1046","05","2","Sirdal (-2019)","","","","","","","575"
"1101","04","2","Eigersund","","","","","","","747"
"1102","02","2","Sandnes (-2019)","","","","","","","882"
"1103","02","2","Stavanger","","","","","","","890"
"1106","03","2","Haugesund","","","","","","","836"
"1108","02","2","Sandnes","","","","","","","882"
"1111","05","2","Sokndal","","","","","","","652"
"1112","05","2","Lund","","","","","","","625"
"1114","04","2","Bjerkreim","","","","","","","687"
"1119","04","2","Hå","","","","","","","773"
"1120","03","2","Klepp","","","","","","","851"
"1121","03","2","Time","","","","","","","836"
"1122","03","2","Gjesdal","","","","","","","792"
"1124","02","2","Sola","","","","","","","878"
