kom2024,parti,aar,stemmer
3234,06,2023,194
3234,07,2023,140
3234,92,2023,98
3236,01,2023,1570
3236,02,2023,471
3236,03,2023,531
3236,08,2023,92
3236,55,2023,112
3236,05,2023,232
3236,06,2023,234
3238,01,2023,1559
3238,02,2023,848
3238,03,2023,1100
3238,04,2023,229
3238,08,2023,149
3238,55,2023,134
3238,05,2023,539
3238,06,2023,195
3238,07,2023,145
3238,91,2023,777
3238,92,2023,420
3240,01,2023,2562
3240,02,2023,1651
3240,03,2023,3823
3240,04,2023,244
3240,08,2023,344
3240,55,2023,377
3240,05,2023,952
3240,06,2023,737
3240,07,2023,309
3240,10,2023,480
3240,92,2023,457
3242,01,2023,189
3242,02,2023,250
3242,03,2023,152
3242,04,2023,90
3242,08,2023,53
3242,05,2023,343
3242,07,2023,80
3242,90,2023,83
3242,91,2023,162
0301,01,1987,85334
0301,01,1991,82102
0301,01,1995,84565
0301,01,1999,69139
0301,01,2003,65282
0301,01,2007,81265
0301,01,2011,102707
0301,01,2015,102431
0301,01,2019,73122
0301,01,2023,66804
0301,02,1987,50848
0301,02,1991,23792
0301,02,1995,55175
0301,02,1999,42909
0301,02,2003,42693
0301,02,2007,38873
0301,02,2011,21852
0301,02,2015,19311
0301,02,2019,19272
0301,02,2023,21976
0301,03,1987,88797
0301,03,1991,85193
0301,03,1995,70775
0301,03,1999,74213
0301,03,2003,64792
0301,03,2007,68475
0301,03,2011,110776
0301,03,2015,101882
0301,03,2019,92833
0301,03,2023,117998
0301,04,1987,10305
0301,04,1991,9594
0301,04,1995,10022
0301,04,1999,13474
0301,04,2003,7661
0301,04,2007,8368
0301,04,2011,7571
0301,04,2015,7827
0301,04,2019,6346
0301,04,2023,6220
0301,08,1991,1553
0301,08,1995,1353
0301,08,1999,1326
0301,08,2007,1687
0301,08,2011,7653
0301,08,2015,26096
0301,08,2019,55772
0301,08,2023,36975
0301,55,2011,11257
0301,55,2015,16174
0301,55,2019,26302
0301,55,2023,20929
0301,05,1987,1866
0301,05,1991,5922
0301,05,1995,4045
0301,05,1999,1467
0301,05,2007,2189
0301,05,2011,1591
0301,05,2015,1926
0301,05,2019,7980
0301,05,2023,2989
0301,06,1987,18883
0301,06,1991,39087
0301,06,1995,20576
0301,06,1999,33237
0301,06,2003,52627
0301,06,2007,28701
0301,06,2011,19477
0301,06,2015,17445
0301,06,2019,33258
0301,06,2023,36612
0301,07,1991,4167
0301,07,1995,9991
0301,07,1999,8232
0301,07,2003,10792
0301,07,2007,23703
0301,07,2011,25351
0301,07,2015,21986
0301,07,2019,21110
0301,07,2023,32954
0301,26,1999,260
0301,48,2003,179
0301,44,2003,204
0301,12,2003,113
0301,12,2007,127
0301,20,1999,213
0301,09,1987,746
0301,09,1991,217
0301,09,1995,287
0301,09,1999,255
0301,09,2003,196
0301,09,2007,203
0301,09,2011,210
0301,09,2015,240
0301,10,1991,4528
0301,10,1995,2886
0301,10,1999,2271
0301,10,2003,2245
0301,10,2007,1414
0301,10,2011,1045
0301,10,2015,1169
0301,10,2019,2219
0301,10,2023,2054
0301,11,1987,8221
0301,11,1991,11055
0301,11,1995,8260
0301,11,1999,11043
0301,11,2003,8075
0301,11,2007,14131
0301,33,2003,92
0301,21,1999,137
0301,22,1999,206
0301,14,1991,2471
0301,27,1999,163
0301,90,1987,8127
0301,90,1995,848
0301,90,2003,2092
0301,91,1987,1208
0301,91,1995,2584
0301,91,2003,1539
0301,91,2007,1986
0301,91,2015,458
0301,91,2019,573
0301,91,2023,2878
0301,92,1987,2096
0301,92,1991,1392
0301,92,1995,1858
0301,92,1999,597
0301,92,2003,599
0301,92,2007,713
0301,92,2011,822
0301,92,2015,3478
0301,92,2019,26680
0301,92,2023,13996
3301,01,2023,9790
3301,02,2023,6937
3301,03,2023,13487
3301,04,2023,1219
3301,08,2023,1622
3301,55,2023,1526
3301,05,2023,1204
3301,06,2023,2057
3301,07,2023,2302
3301,10,2023,1156
3301,91,2023,477
3301,92,2023,2903
3303,01,2023,2522
3303,02,2023,882
3303,03,2023,3631
3303,04,2023,256
3303,08,2023,563
3303,55,2023,235
3303,05,2023,2166
3303,06,2023,877
3303,07,2023,463
3303,91,2023,1339
3303,92,2023,323
3305,01,2023,3141
3305,02,2023,1501
3305,03,2023,3447
3305,04,2023,280
3305,08,2023,269
3305,55,2023,577
3305,05,2023,1880
3305,06,2023,869
3305,07,2023,497
3305,10,2023,265
3305,92,2023,1327
3310,01,2023,413
3310,02,2023,280
3310,03,2023,1470
3310,04,2023,121
3310,08,2023,78
3310,05,2023,472
3310,06,2023,286
3310,07,2023,109
3312,01,2023,2718
3312,02,2023,1590
3312,03,2023,5676
3312,04,2023,264
3312,08,2023,565
3312,55,2023,265
3312,05,2023,800
3312,06,2023,504
3312,07,2023,613
3314,01,2023,1865
3314,02,2023,1433
3314,03,2023,2702
3314,04,2023,258
3314,55,2023,214
3314,05,2023,1342
3314,06,2023,462
3314,07,2023,372
3314,92,2023,149
3316,01,2023,1873
3316,02,2023,1263
3316,03,2023,1193
3316,04,2023,223
3316,08,2023,121
3316,55,2023,227
3316,05,2023,1085
3316,06,2023,265
3316,07,2023,175
3318,01,2023,359
3318,03,2023,288
3318,05,2023,49
3318,91,2023,582
3320,01,2023,183
3320,05,2023,120
3320,91,2023,304
3322,01,2023,528
3322,03,2023,521
3322,05,2023,538
3322,91,2023,150
3324,01,2023,968
3324,02,2023,150
3324,03,2023,440
3324,55,2023,38
3324,05,2023,377
3324,06,2023,116
3324,07,2023,160
3326,01,2023,132
3326,02,2023,126
3326,03,2023,282
3326,04,2023,88
3326,05,2023,462
3326,06,2023,198
3326,07,2023,54
3326,91,2023,37
3328,01,2023,831
3328,02,2023,163
3328,03,2023,676
3328,55,2023,51
3328,05,2023,659
3328,06,2023,153
3328,07,2023,118
3330,01,2023,313
3330,02,2023,145
3330,03,2023,815
3330,05,2023,631
3330,06,2023,197
3330,07,2023,88
3330,91,2023,176
3332,01,2023,266
3332,02,2023,97
3332,03,2023,232
3332,05,2023,667
3332,91,2023,489
3334,01,2023,183
3334,02,2023,251
3334,03,2023,314
3334,05,2023,475
3334,91,2023,100
3336,01,2023,324
3336,02,2023,132
3336,05,2023,323
3338,01,2023,220
3338,02,2023,264
3338,03,2023,200
3338,05,2023,361
3338,06,2023,125
3338,91,2023,100
3401,01,2019,2727
3401,01,2023,2324
3401,02,2019,645
3401,02,2023,874
3401,03,2019,1018
3401,03,2023,1577
3401,04,2019,214
3401,04,2023,154
3401,08,2019,227
3401,08,2023,144
3401,55,2019,244
3401,55,2023,306
3401,05,2019,2050
3401,05,2023,759
3401,06,2019,436
3401,06,2023,379
3401,07,2019,198
3401,07,2023,225
3401,10,2019,945
3401,10,2023,975
3401,92,2019,30
3401,92,2023,217
3403,01,2019,3701
3403,01,2023,2312
3403,02,2019,526
3403,02,2023,791
3403,03,2019,1470
3403,03,2023,2633
3403,04,2019,389
3403,04,2023,443
3403,08,2019,741
3403,08,2023,498
3403,55,2019,552
3403,55,2023,611
3403,05,2019,1279
3403,05,2023,433
3403,06,2019,854
3403,06,2023,1038
3403,07,2019,526
3403,07,2023,1353
3403,10,2019,519
3403,10,2023,820
3403,91,2019,5496
3403,91,2023,5006
3403,92,2023,146
3405,01,2019,4015
3405,01,2023,4006
3405,02,2019,701
3405,02,2023,720
3405,03,2019,2628
3405,03,2023,3502
3405,04,2019,279
3405,04,2023,271
3405,08,2019,1321
3405,08,2023,727
3405,55,2019,968
3405,55,2023,755
3405,05,2019,2488
3405,05,2023,794
3405,06,2019,1115
3405,06,2023,1163
3405,07,2019,589
3405,07,2023,674
3405,10,2019,295
3405,10,2023,663
3405,92,2023,632
3407,01,2019,4756
3407,01,2023,3690
3407,02,2019,539
3407,02,2023,1178
3407,03,2019,2709
3407,03,2023,2859
3407,04,2019,346
3407,04,2023,330
3407,08,2019,553
3407,08,2023,285
3407,55,2019,871
3407,55,2023,799
3407,05,2019,3202
3407,05,2023,2641
3407,06,2019,738
3407,06,2023,753
3407,07,2019,404
3407,07,2023,448
3407,92,2019,140
3407,92,2023,558
3411,01,2019,7252
3411,01,2023,5013
3411,02,2019,679
3411,02,2023,1461
3411,03,2019,1164
3411,03,2023,2248
3411,04,2019,256
3411,04,2023,301
3411,08,2019,588
3411,08,2023,391
3411,55,2019,313
3411,55,2023,342
3411,05,2019,4079
3411,05,2023,2256
3411,06,2019,533
3411,06,2023,736
3411,07,2019,162
3411,07,2023,291
3411,10,2019,785
3411,10,2023,1579
3411,91,2019,375
3411,91,2023,317
3411,92,2023,616
3412,01,2019,1109
3412,01,2023,854
3412,02,2019,132
3412,02,2023,254
3412,03,2019,200
3412,03,2023,308
3412,08,2019,161
3412,08,2023,154
3412,55,2023,109
3412,05,2019,2016
3412,05,2023,1512
3412,06,2019,222
3412,06,2023,284
3412,07,2019,38
3412,07,2023,38
3412,92,2023,141
3413,01,2019,4146
3413,01,2023,3035
3413,02,2019,662
3413,02,2023,987
3413,03,2019,581
3413,03,2023,890
3413,04,2019,359
3413,04,2023,463
3413,08,2019,410
3413,08,2023,286
3413,55,2019,296
3413,55,2023,314
3413,05,2019,2672
3413,05,2023,977
3413,06,2019,615
3413,06,2023,715
3413,07,2019,118
3413,07,2023,232
