kode,husholdtype,variabel,aar,verdi
3016,0000,AntallHushold,2021,3825
3016,0000,AntallHushold,2022,3870
3016,0000,AntallHushold,2023,3918
3017,0000,InntSkatt,2020,593000
3017,0000,InntSkatt,2021,622000
3017,0000,InntSkatt,2022,585000
3017,0000,InntSkatt,2023,679000
3017,0000,AntallHushold,2020,3344
3017,0000,AntallHushold,2021,3380
3017,0000,AntallHushold,2022,3778
3017,0000,AntallHushold,2023,3531
3018,0000,InntSkatt,2020,623000
3018,0000,InntSkatt,2021,650000
3018,0000,InntSkatt,2022,672000
3018,0000,InntSkatt,2023,704000
3018,0000,AntallHushold,2020,2424
3018,0000,AntallHushold,2021,2494
3018,0000,AntallHushold,2022,2547
3018,0000,AntallHushold,2023,2610
3019,0000,InntSkatt,2020,630000
3019,0000,InntSkatt,2021,661000
3019,0000,InntSkatt,2022,684000
3019,0000,InntSkatt,2023,728000
3019,0000,AntallHushold,2020,7746
3019,0000,AntallHushold,2021,7973
3019,0000,AntallHushold,2022,8149
3019,0000,AntallHushold,2023,8375
3020,0000,InntSkatt,2020,662000
3020,0000,InntSkatt,2021,689000
3020,0000,InntSkatt,2022,714000
3020,0000,InntSkatt,2023,766000
3020,0000,AntallHushold,2020,25160
3020,0000,AntallHushold,2021,25742
3020,0000,AntallHushold,2022,26409
3020,0000,AntallHushold,2023,27111
3021,0000,InntSkatt,2020,587000
3021,0000,InntSkatt,2021,604000
3021,0000,InntSkatt,2022,630000
3021,0000,InntSkatt,2023,677000
3021,0000,AntallHushold,2020,8476
3021,0000,AntallHushold,2021,8762
3021,0000,AntallHushold,2022,9129
3021,0000,AntallHushold,2023,9440
3022,0000,InntSkatt,2020,619000
3022,0000,InntSkatt,2021,650000
3022,0000,InntSkatt,2022,671000
3022,0000,InntSkatt,2023,717000
3022,0000,AntallHushold,2020,7237
3022,0000,AntallHushold,2021,7328
3022,0000,AntallHushold,2022,7385
3022,0000,AntallHushold,2023,7520
3023,0000,InntSkatt,2020,638000
3023,0000,InntSkatt,2021,670000
3023,0000,InntSkatt,2022,691000
3023,0000,InntSkatt,2023,740000
3023,0000,AntallHushold,2020,8437
3023,0000,AntallHushold,2021,8523
3023,0000,AntallHushold,2022,8748
3023,0000,AntallHushold,2023,8869
3024,0000,InntSkatt,2020,674000
3024,0000,InntSkatt,2021,704000
3024,0000,InntSkatt,2022,724000
3024,0000,InntSkatt,2023,784000
3024,0000,AntallHushold,2020,55052
3024,0000,AntallHushold,2021,55606
3024,0000,AntallHushold,2022,56283
3024,0000,AntallHushold,2023,56931
3025,0000,InntSkatt,2020,663000
3025,0000,InntSkatt,2021,692000
3025,0000,InntSkatt,2022,719000
3025,0000,InntSkatt,2023,773000
3025,0000,AntallHushold,2020,40088
3025,0000,AntallHushold,2021,40841
3025,0000,AntallHushold,2022,41780
3025,0000,AntallHushold,2023,42428
3026,0000,InntSkatt,2020,542000
3026,0000,InntSkatt,2021,562000
3026,0000,InntSkatt,2022,595000
3026,0000,InntSkatt,2023,637000
3026,0000,AntallHushold,2020,8047
3026,0000,AntallHushold,2021,8193
3026,0000,AntallHushold,2022,8279
3026,0000,AntallHushold,2023,8345
3027,0000,InntSkatt,2020,602000
3027,0000,InntSkatt,2021,626000
3027,0000,InntSkatt,2022,652000
3027,0000,InntSkatt,2023,701000
3027,0000,AntallHushold,2020,8085
3027,0000,AntallHushold,2021,8231
3027,0000,AntallHushold,2022,8536
3027,0000,AntallHushold,2023,8805
3028,0000,InntSkatt,2020,614000
3028,0000,InntSkatt,2021,631000
3028,0000,InntSkatt,2022,660000
3028,0000,InntSkatt,2023,704000
3028,0000,AntallHushold,2020,4680
3028,0000,AntallHushold,2021,4789
3028,0000,AntallHushold,2022,4889
3028,0000,AntallHushold,2023,4964
3029,0000,InntSkatt,2020,587000
3029,0000,InntSkatt,2021,599000
3029,0000,InntSkatt,2022,624000
3029,0000,InntSkatt,2023,666000
3029,0000,AntallHushold,2020,18889
3029,0000,AntallHushold,2021,20031
3029,0000,AntallHushold,2022,21001
3029,0000,AntallHushold,2023,21696
3030,0000,InntSkatt,2020,598000
3030,0000,InntSkatt,2021,615000
3030,0000,InntSkatt,2022,643000
3030,0000,InntSkatt,2023,688000
3030,0000,AntallHushold,2020,38092
3030,0000,AntallHushold,2021,39331
3030,0000,AntallHushold,2022,40674
3030,0000,AntallHushold,2023,42127
3031,0000,InntSkatt,2020,669000
3031,0000,InntSkatt,2021,687000
3031,0000,InntSkatt,2022,724000
3031,0000,InntSkatt,2023,775000
3031,0000,AntallHushold,2020,10101
