"Region","PolitParti","Godkjente1 1999"
"0101","01",3618
"0101","02",1564
"0101","03",2765
"0101","04",1414
"0101","08",623
"0101","05",641
"0101","06",916
"0101","07",388
"0101","10",276
"0101","11",338
"0104","01",3840
"0104","02",1786
"0104","03",3001
"0104","04",784
"0104","06",1251
"0104","07",306
"0104","10",435
"0104","11",427
"0105","01",8834
"0105","02",2565
"0105","03",3283
"0105","04",1970
"0105","05",864
"0105","06",1018
"0105","07",294
"0105","10",337
"0105","11",129
"0105","22",130
"0105","92",680
"0106","01",9400
"0106","02",3208
"0106","03",4978
"0106","04",2389
"0106","05",703
"0106","06",2017
"0106","07",773
"0106","09",117
"0106","10",2398
"0106","11",313
"0106","22",129
"0106","91",3703
"0111","01",381
"0111","02",240
"0111","03",448
"0111","05",212
"0111","06",147
"0111","07",108
"0111","92",208
"0118","01",231
"0118","03",105
"0118","04",213
"0118","08",56
"0118","05",201
"0119","01",532
"0119","02",41
"0119","03",232
"0119","04",530
"0119","05",409
"0121","01",171
"0121","02",30
"0121","04",171
"0121","05",74
"0122","01",486
"0122","02",383
"0122","03",216
"0122","04",287
"0122","05",977
"0123","01",331
"0123","02",190
"0123","03",461
"0123","04",246
"0123","05",586
"0123","06",147
"0123","07",133
"0124","01",836
"0124","02",879
"0124","03",1586
"0124","04",665
"0124","05",471
"0124","06",750
"0124","07",290
"0124","11",179
"0124","91",337
"0125","01",961
"0125","02",617
"0125","03",785
"0125","04",557
"0125","05",971
"0125","06",229
"0125","07",278
"0125","22",27
"0127","01",425
"0127","02",219
"0127","03",128
"0127","04",280
"0127","05",461
"0128","01",763
"0128","03",305
"0128","04",967
"0128","05",834
"0128","91",531
"0135","01",792
"0135","02",571
"0135","03",545
"0135","04",556
"0135","05",370
"0135","07",157
"0135","22",30
"0136","01",1733
"0136","02",1204
"0136","03",1592
"0136","04",641
"0136","05",395
"0136","07",138
"0136","11",204
"0137","01",336
"0137","02",193
"0137","03",687
"0137","04",191
"0137","05",323
"0138","01",540
"0138","03",314
"0138","04",390
"0138","05",370
"0138","07",179
"0138","91",225
"0211","01",1910
"0211","02",654
"0211","03",1314
"0211","04",262
"0211","05",453
"0211","06",377
"0211","07",152
"0211","11",100
"0211","91",405
"0213","01",2818
"0213","02",1481
"0213","03",3787
"0213","04",734
"0213","05",456
"0213","06",1122
"0213","07",829
"0213","10",357
"0213","11",149
"0213","92",31
"0214","01",1728
"0214","02",727
"0214","03",1196
"0214","04",459
"0214","08",54
"0214","05",668
"0214","06",797
"0214","07",405
"0214","11",125
"0214","91",169
"0215","01",1137
"0215","02",782
"0215","03",1917
"0215","04",239
"0215","05",221
