kom2024,aar,befolkning
3101,1951,23388
3101,1952,23690
3101,1953,24032
3101,1954,24177
3101,1955,24454
3101,1956,24598
3101,1957,24692
3101,1958,24811
3101,1959,25114
3101,1960,25405
3101,1961,25550
3101,1962,25937
3101,1963,25970
3101,1964,26089
3101,1965,26290
3101,1966,26389
3101,1967,26525
3101,1968,26588
3101,1969,26689
3101,1970,26694
3101,1971,26687
3101,1972,27024
3101,1973,26958
3101,1974,27182
3101,1975,27124
3101,1976,27082
3101,1977,27056
3101,1978,26979
3101,1979,26810
3101,1980,26696
3101,1981,26528
3101,1982,26361
3101,1983,26219
3101,1984,26050
3101,1985,25876
3101,1986,25844
3101,1987,25807
3101,1988,25848
3101,1989,25841
3101,1990,25816
3103,1951,23111
3103,1952,23422
3103,1953,23577
3103,1954,23948
3103,1955,24505
3103,1956,25279
3103,1957,25871
3103,1958,26381
3103,1959,26861
3103,1960,27510
3103,1961,28012
3103,1962,28771
3103,1963,29368
3103,1964,29961
3103,1965,30630
3103,1966,31190
3103,1967,32285
3103,1968,32955
3103,1969,33604
3103,1970,33979
3103,1971,34686
3103,1972,35094
3103,1973,35146
3103,1974,35146
3103,1975,35265
3103,1976,35512
3103,1977,35816
3103,1978,35802
3103,1979,36193
3103,1980,36583
3103,1981,36577
3103,1982,36603
3103,1983,36519
3103,1984,36413
3103,1985,36370
3103,1986,36154
3103,1987,36260
3103,1988,36631
3103,1989,36797
3103,1990,36648
3105,1951,34180
3105,1952,34874
3105,1953,35447
3105,1954,35845
3105,1955,36469
3105,1956,36739
3105,1957,37235
3105,1958,37780
3105,1959,38106
3105,1960,38446
3105,1961,38747
3105,1962,39278
3105,1963,39669
3105,1964,39760
3105,1965,40275
3105,1966,40688
3105,1967,40658
3105,1968,41024
3105,1969,41719
3105,1970,42496
3105,1971,43352
3105,1972,43895
3105,1973,44037
3105,1974,44654
3105,1975,44967
3105,1976,45124
3105,1977,45398
3105,1978,45567
3105,1979,45645
3105,1980,45664
3105,1981,45824
3105,1982,45883
3105,1983,46148
3105,1984,46126
3105,1985,46212
3105,1986,46274
3105,1987,46499
3105,1988,46651
3105,1989,46875
3105,1990,46671
3107,1951,52575
3107,1952,52937
3107,1953,53315
3107,1954,53885
3107,1955,54633
3107,1956,55681
3107,1957,56395
3107,1958,57015
3107,1959,57510
3107,1960,57988
3107,1961,58382
3107,1962,58896
3107,1963,59301
3107,1964,59818
3107,1965,60287
3107,1966,60690
3107,1967,61203
3107,1968,61782
3107,1969,62196
3107,1970,62797
3107,1971,63453
3107,1972,64039
3107,1973,64790
3107,1974,64759
3107,1975,64773
3107,1976,64608
3107,1977,64407
3107,1978,64173
3107,1979,64030
3107,1980,63710
3107,1981,63785
3107,1982,63838
3107,1983,63981
3107,1984,63864
3107,1985,63948
3107,1986,63962
3107,1987,63991
3107,1988,64248
3107,1989,64392
3107,1990,64448
3110,1951,3335
3110,1952,3328
3110,1953,3289
3110,1954,3188
3110,1955,3146
3110,1956,3070
3110,1957,3043
3110,1958,2971
3110,1959,2920
3110,1960,2872
3110,1961,2749
3110,1962,2645
3110,1963,2603
3110,1964,2542
3110,1965,2490
3110,1966,2440
3110,1967,2386
3110,1968,2323
3110,1969,2282
3110,1970,2309
3110,1971,2247
3110,1972,2285
3110,1973,2350
3110,1974,2389
3110,1975,2435
3110,1976,2458
3110,1977,2494
3110,1978,2538
3110,1979,2554
3110,1980,2571
3110,1981,2668
3110,1982,2761
3110,1983,2838
3110,1984,2870
3110,1985,2889
3110,1986,2921
3110,1987,2968
3110,1988,3090
3110,1989,3181
3110,1990,3213
3112,1951,3421
3112,1952,3460
3112,1953,3529
3112,1954,3531
3112,1955,3580
3112,1956,3670
3112,1957,3720
3112,1958,3715
3112,1959,3764
3112,1960,3827
3112,1961,3804
3112,1962,3814
3112,1963,3841
3112,1964,3859
3112,1965,3951
3112,1966,4016
3112,1967,4130
3112,1968,4291
3112,1969,4391
3112,1970,4416
3112,1971,4463
3112,1972,4546
3112,1973,4627
3112,1974,4725
3112,1975,4924
3112,1976,4970
