"Region","PolitParti","Godkjente1 2019"
"3001","01",2603
"3001","02",1034
"3001","03",4141
"3001","04",478
"3001","08",1058
"3001","55",1044
"3001","05",2037
"3001","06",744
"3001","07",393
"3001","10",1206
"3001","92",106
"3002","01",6592
"3002","02",2083
"3002","03",4532
"3002","04",575
"3002","08",1402
"3002","55",1681
"3002","05",1720
"3002","06",1431
"3002","07",1106
"3002","91",2620
"3002","92",122
"3003","01",8657
"3003","02",2602
"3003","03",2461
"3003","04",1004
"3003","08",996
"3003","55",1058
"3003","05",2711
"3003","06",607
"3003","07",312
"3003","10",648
"3003","91",3839
"3003","92",229
"3004","01",13616
"3004","02",4698
"3004","03",5723
"3004","04",1324
"3004","08",2599
"3004","55",1872
"3004","05",2491
"3004","06",1661
"3004","07",549
"3004","10",1688
"3004","91",1089
"3004","92",187
"3005","01",12472
"3005","02",5103
"3005","03",12231
"3005","04",1071
"3005","08",4097
"3005","55",1199
"3005","05",3799
"3005","06",2142
"3005","07",996
"3005","91",3811
"3005","92",761
"3006","01",2697
"3006","02",589
"3006","03",2121
"3006","08",938
"3006","55",240
"3006","05",3398
"3006","06",670
"3006","07",422
"3006","91",2037
"3006","92",139
"3007","01",3862
"3007","02",1405
"3007","03",2671
"3007","04",284
"3007","08",644
"3007","55",559
"3007","05",3448
"3007","06",768
"3007","07",386
"3007","92",142
"3011","01",995
"3011","02",504
"3011","03",235
"3011","08",150
"3011","05",361
"3011","06",200
"3011","91",304
"3011","92",18
"3012","01",180
"3012","03",143
"3012","04",78
"3012","05",433
"3013","01",668
"3013","03",228
"3013","05",837
"3013","07",155
"3014","01",3981
"3014","02",1570
"3014","03",5130
"3014","04",682
"3014","08",746
"3014","55",473
"3014","05",6206
"3014","06",716
"3014","07",395
"3014","92",113
"3015","01",682
"3015","02",123
"3015","03",212
"3015","04",102
"3015","05",746
"3016","01",1022
"3016","02",285
"3016","03",424
"3016","04",306
"3016","08",136
"3016","05",1797
"3017","01",573
"3017","02",310
"3017","03",1392
"3017","04",252
"3017","08",218
"3017","55",70
"3017","05",786
"3017","07",70
"3018","01",297
"3018","02",194
"3018","03",795
"3018","04",134
"3018","55",101
"3018","05",1012
"3018","06",130
"3019","01",2748
"3019","02",712
"3019","03",1689
"3019","04",168
"3019","08",893
"3019","55",283
"3019","05",735
"3019","06",427
"3019","07",302
"3019","91",760
"3019","92",73
"3020","01",7254
"3020","02",2585
"3020","03",9285
"3020","04",782
"3020","08",3147
"3020","55",933
"3020","05",2201
"3020","06",1670
"3020","07",1888
"3020","10",1152
"3020","92",105
"3021","01",2597
"3021","02",945
"3021","03",1798
"3021","04",239
"3021","08",1178
"3021","55",457
"3021","05",1212
"3021","06",833
"3021","07",465
"3022","01",1466
"3022","02",574
"3022","03",3058
"3022","04",386
"3022","08",835
"3022","55",228
"3022","05",608
"3022","06",568
"3022","07",684
"3022","10",364
"3023","01",2130
"3023","02",642
"3023","03",2288
"3023","04",285
"3023","08",1598
"3023","55",1272
"3023","05",636
"3023","06",1347
"3023","07",612
"3024","01",10096
"3024","02",4858
"3024","03",28922
"3024","04",1195
"3024","08",7378
"3024","55",1848
"3024","05",2303
"3024","06",2849
"3024","07",6673
"3024","10",1713
"3024","92",361
"3025","01",7819
"3025","02",3530
"3025","03",20958
"3025","04",937
"3025","08",5104
"3025","55",1226
"3025","05",2905
"3025","06",2219
"3025","07",2837
"3025","10",946
"3025","92",145
"3026","01",3270
"3026","02",1044
"3026","03",759
"3026","04",495
"3026","08",193
"3026","55",187
"3026","05",2138
"3026","06",214
"3026","07",72
"3027","01",3662
"3027","02",806
"3027","03",1756
"3027","04",209
"3027","08",366
"3027","55",221
"3027","05",589
"3027","06",418
"3027","07",278
"3027","92",156
"3028","01",1427
"3028","02",696
"3028","03",1182
"3028","04",131
"3028","08",147
"3028","55",126
"3028","05",1148
"3028","06",239
"3028","07",108
"3029","01",6283
"3029","02",1970
"3029","03",4805
"3029","04",409
"3029","08",1170
"3029","55",685
"3029","05",1377
"3029","06",1184
"3029","07",791
"3030","01",11787
"3030","02",4198
"3030","03",7720
"3030","04",944
"3030","08",2520
"3030","55",1020
"3030","05",4700
"3030","06",1957
"3030","07",1136
"3030","10",675
"3030","91",1991
"3030","92",763
"3031","01",3019
"3031","02",1417
"3031","03",3060
"3031","04",302
"3031","08",1003
"3031","55",462
"3031","05",1273
"3031","06",652
"3031","07",772
"3031","92",66
"3032","01",889
"3032","02",296
"3032","03",883
"3032","04",146
"3032","08",229
"3032","05",772
"3032","06",104
"3032","07",100
"3033","01",4387
"3033","02",4811
"3033","03",2402
"3033","04",308
"3033","08",625
"3033","55",474
"3033","05",2051
"3033","06",662
"3033","07",489
"3033","92",69
"3034","01",3664
"3034","02",1330
"3034","03",1295
"3034","04",316
"3034","08",563
"3034","05",2300
"3034","07",272
"3034","90",630
"3034","91",225
"3034","92",63
"3035","01",2650
"3035","02",1407
"3035","03",1921
"3035","04",252
"3035","08",559
"3035","55",372
"3035","05",2956
"3035","06",508
"3035","07",205
"3035","10",476
"3035","92",34
"3036","01",1751
"3036","02",658
"3036","03",880
"3036","04",162
"3036","08",254
"3036","55",117
"3036","05",963
"3036","06",159
"3036","07",279
"3036","91",788
"3037","01",255
"3037","02",144
"3037","03",175
"3037","04",93
"3037","08",101
"3037","05",391
"3037","07",75
"3037","90",63
"3037","91",205
"3038","01",783
"3038","02",216
"3038","03",1332
"3038","04",118
"3038","08",198
"3038","05",585
"3038","06",239
"3039","05",106
"3039","90",229
"3039","91",277
"3040","01",239
"3040","03",387
"3040","05",311
"3040","91",825
"3041","01",1047
"3041","02",80
"3041","03",386
"3041","04",47
"3041","05",565
"3041","06",93
"3041","07",78
"3042","01",175
"3042","02",47
"3042","03",340
"3042","04",97
"3042","05",447
"3042","06",80
"3042","07",50
"3042","91",90
"3043","01",866
"3043","02",119
"3043","03",386
"3043","05",873
"3043","06",178
"3043","07",147
"3044","01",715
"3044","03",629
"3044","05",834
"3044","07",130
"3045","01",238
"3045","02",73
"3045","03",201
"3045","05",954
"3045","91",374
"3046","01",399
"3046","03",257
"3046","91",460
"3047","01",2721
"3047","02",908
"3047","03",721
"3047","04",212
"3047","08",186
"3047","55",124
"3047","05",1474
"3047","06",280
"3047","07",167
"3047","92",60
"3048","01",2035
"3048","02",844
"3048","03",2109
"3048","04",222
"3048","08",276
"3048","55",159
"3048","05",2561
"3048","06",393
"3048","07",198
"3049","01",3379
"3049","02",1141
"3049","03",4903
"3049","04",268
"3049","08",886
"3049","05",1429
"3049","06",594
"3049","07",478
"3050","01",256
"3050","02",191
"3050","03",192
"3050","05",676
"3050","07",49
"3051","01",284
"3051","05",462
"3052","01",495
"3052","02",70
"3052","03",201
"3052","05",445
"3052","06",71
"3053","01",1498
"3053","02",371
"3053","03",415
"3053","08",169
"3053","05",581
"3053","06",398
"3054","01",1718
"3054","02",383
"3054","03",699
"3054","08",244
"3054","55",208
"3054","05",1025
"3054","06",221
"3054","07",123
"0301","01",73122
"0301","02",19272
"0301","03",92833
"0301","04",6346
"0301","08",55772
"0301","55",26302
"0301","05",7980
"0301","06",33258
"0301","07",21110
"0301","10",2219
"0301","91",573
"0301","92",26680
"3401","01",2727
"3401","02",645
"3401","03",1018
"3401","04",214
"3401","08",227
"3401","55",244
"3401","05",2050
"3401","06",436
"3401","07",198
"3401","10",945
"3401","92",30
"3403","01",3701
"3403","02",526
"3403","03",1470
"3403","04",389
"3403","08",741
"3403","55",552
"3403","05",1279
"3403","06",854
"3403","07",526
"3403","10",519
"3403","91",5496
"3405","01",4015
"3405","02",701
"3405","03",2628
"3405","04",279
"3405","08",1321
"3405","55",968
"3405","05",2488
"3405","06",1115
"3405","07",589
"3405","10",295
"3407","01",4756
"3407","02",539
"3407","03",2709
"3407","04",346
"3407","08",553
"3407","55",871
"3407","05",3202
"3407","06",738
"3407","07",404
"3407","92",140
"3411","01",7252
"3411","02",679
"3411","03",1164
"3411","04",256
"3411","08",588
"3411","55",313
"3411","05",4079
"3411","06",533
"3411","07",162
"3411","10",785
"3411","91",375
"3412","01",1109
"3412","02",132
"3412","03",200
"3412","08",161
"3412","05",2016
"3412","06",222
"3412","07",38
"3413","01",4146
"3413","02",662
"3413","03",581
"3413","04",359
"3413","08",410
"3413","55",296
