"Region","PolitParti","Godkjente1 1945"
"0101","01",2925
"0101","03",1281
"0101","04",741
"0101","07",163
"0101","09",593
"0102","01",3171
"0102","03",1325
"0102","04",1231
"0102","07",354
"0102","09",1400
"0103","01",3028
"0103","03",2084
"0103","04",1298
"0103","07",286
"0103","09",1444
"0104","01",4971
"0104","03",2020
"0104","04",816
"0104","07",337
"0104","09",1618
"0111","01",477
"0111","03",485
"0111","04",322
"0111","07",137
"0111","71",9
"0111","09",57
"0112","01",248
"0112","03",27
"0112","04",64
"0112","07",5
"0112","71",123
"0112","09",143
"0113","01",1468
"0113","03",277
"0113","04",552
"0113","07",74
"0113","71",187
"0113","09",872
"0114","01",187
"0114","03",38
"0114","04",129
"0114","07",32
"0114","71",55
"0114","09",16
"0115","01",1659
"0115","03",368
"0115","04",949
"0115","07",148
"0115","71",239
"0115","09",664
"0116","01",1983
"0116","03",555
"0116","04",765
"0116","07",80
"0116","71",426
"0116","09",221
"0117","01",1413
"0117","03",294
"0117","04",344
"0117","07",104
"0117","71",212
"0117","09",226
"0118","01",392
"0118","03",65
"0118","04",257
"0118","07",33
"0118","71",120
"0118","09",6
"0119u","01",485
"0119u","03",163
"0119u","04",232
"0119u","07",15
"0119u","71",115
"0119u","09",29
"0120","01",204
"0120","03",68
"0120","04",156
"0120","07",21
"0120","71",188
"0120","09",7
"0121","01",104
"0121","03",16
"0121","04",91
"0121","07",5
"0121","71",10
"0121","09",15
"0122","01",528
"0122","03",97
"0122","04",483
"0122","07",157
"0122","71",500
"0122","09",25
"0123","01",531
"0123","03",102
"0123","04",213
"0123","07",42
"0123","71",434
"0123","09",71
"0124","01",1770
"0124","03",620
"0124","04",652
"0124","07",145
"0124","71",442
"0124","09",248
"0125","01",1001
"0125","03",151
"0125","04",840
"0125","07",100
"0125","71",655
"0125","09",70
"0126","01",522
"0126","03",290
"0126","04",280
"0126","07",77
"0126","71",10
"0126","09",99
"0127","01",376
"0127","03",60
"0127","04",256
"0127","07",54
"0127","71",274
"0127","09",22
"0128","01",941
"0128","03",203
"0128","04",955
"0128","07",43
"0128","71",448
"0128","09",51
"0129","01",191
"0129","03",43
"0129","04",326
"0129","07",6
"0129","71",287
"0129","09",2
"0130","01",2205
"0130","03",443
"0130","04",1080
"0130","07",139
"0130","71",163
"0130","09",882
"0131","01",669
"0131","03",115
"0131","04",291
"0131","07",9
"0131","71",103
"0131","09",185
"0132","01",3428
"0132","03",991
"0132","04",1206
"0132","07",189
"0132","71",97
"0132","09",886
"0133","01",1072
"0133","03",316
"0133","04",495
"0133","07",62
"0133","71",53
"0133","09",274
"0134","01",1609
"0134","03",639
"0134","04",921
"0134","07",108
"0134","71",334
"0134","09",347
"0135","01",381
"0135","03",195
"0135","04",438
"0135","07",52
"0135","71",280
"0135","09",49
"0136","01",712
"0136","03",303
"0136","04",284
"0136","07",97
"0136","71",397
"0136","09",157
"0137","01",250
"0137","03",148
"0137","04",190
"0137","07",43
"0137","71",307
"0137","09",32
"0138","01",477
"0138","03",90
"0138","04",272
"0138","07",13
"0138","71",326
"0138","09",100
"0201","01",157
"0201","03",72
"0201","04",27
"0201","07",8
"0201","09",27
"0203","01",507
"0203","03",437
"0203","04",30
"0203","07",97
"0203","09",32
"0211","01",671
"0211","03",409
"0211","04",174
"0211","07",31
"0211","71",382
"0211","09",90
"0212","01",269
"0212","03",117
"0212","04",96
"0212","07",34
"0212","71",172
"0212","09",25
"0213","01",1114
"0213","03",433
"0213","04",326
"0213","07",114
"0213","71",214
"0213","09",288
"0214","01",897
"0214","03",271
"0214","04",201
"0214","07",133
"0214","71",521
"0214","09",81
"0215","01",458
"0215","03",236
"0215","04",105
"0215","07",24
"0215","71",330
"0215","09",17
"0216","01",849
"0216","03",396
"0216","04",148
"0216","07",64
"0216","71",111
"0216","09",228
"0217","01",1230
"0217","03",596
"0217","04",274
"0217","07",142
"0217","71",29
"0217","09",386
"0218","01",24154
"0218","03",24274
"0218","04",7081
"0218","07",4146
"0218","71",270
"0218","09",8545
"0219","01",5986
"0219","03",5855
"0219","04",1400
"0219","07",1105
"0219","71",269
"0219","09",2221
"0220","01",2156
"0220","03",1638
"0220","04",756
"0220","07",229
"0220","71",282
"0220","09",878
"0221u","01",417
"0221u","03",72
"0221u","04",218
"0221u","07",52
"0221u","71",305
"0221u","09",73
"0222","01",794
"0222","03",108
"0222","04",333
"0222","07",37
"0222","71",367
"0222","09",116
"0223","01",252
"0223","03",31
"0223","04",99
"0223","07",19
"0223","71",29
"0223","09",3
"0224","01",818
"0224","03",80
"0224","04",145
"0224","07",62
"0224","71",142
"0224","09",218
"0225","01",477
"0225","03",73
"0225","04",93
"0225","07",65
"0225","71",219
"0225","09",169
"0226","01",692
"0226","03",180
"0226","04",192
"0226","07",40
"0226","71",488
"0226","09",135
"0227","01",1001
"0227","03",162
"0227","04",255
"0227","07",40
"0227","71",278
"0227","09",250
"0228","01",672
"0228","03",164
"0228","04",159
"0228","07",23
"0228","71",62
"0228","09",362
"0229","01",707
"0229","03",166
"0229","04",235
"0229","07",58
"0229","71",256
"0229","09",149
"0230","01",1631
"0230","03",199
"0230","04",253
"0230","07",100
"0230","71",127
"0230","09",876
"0231","01",2217
"0231","03",483
"0231","04",506
"0231","07",153
"0231","71",274
"0231","09",849
"0232","01",2368
"0232","03",550
"0232","04",422
"0232","07",139
"0232","71",8
"0232","09",940
"0233","01",1236
"0233","03",307
"0233","04",226
"0233","07",27
"0233","71",252
"0233","09",366
"0234","01",239
"0234","03",43
"0234","04",157
"0234","07",4
"0234","71",360
"0234","09",44
"0235","01",1597
"0235","03",410
"0235","04",384
"0235","07",69
"0235","71",947
"0235","09",363
"0236","01",2139
"0236","03",438
"0236","04",520
"0236","07",60
"0236","71",880
"0236","09",1044
"0237","01",2962
"0237","03",446
"0237","04",603
"0237","07",118
"0237","71",806
"0237","09",933
"0238","01",984
"0238","03",131
"0238","04",404
"0238","07",29
"0238","71",590
"0238","09",261
"0239","01",495
"0239","03",41
"0239","04",298
"0239","07",92
"0239","71",73
"0239","09",46
"0240","01",289
"0240","03",37
"0240","04",89
"0240","07",7
"0240","71",134
"0240","09",32
"0601u","01",923
