Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Antall stemmeberettigede;Godkjente stemmegivninger — Forhånd;Godkjente stemmegivninger - Valgting;Godkjente stemmegivninger - Totalt;Forkastede stemmegivninger - Forhånd;Forkastede stemmegivninger - Totalt;Godkjente stemmesedler - Forhånd;Godkjente stemmesedler - Valgting;Godkjente stemmesedler - Totalt;Forkastede stemmesedler - Forhånd;Forkastede stemmesedler - Totalt;Blanke stemmesedler - Forhånd;Blanke stemmesedler - Totalt;
01;Østfold;0111;Hvaler;0000;Hele kommunen;3608;799;2068;2867;2;3;801;2067;2868;4;9;4;21;
01;Østfold;0118;Aremark;0000;Hele kommunen;1098;162;745;907;0;0;166;745;911;0;0;1;3;
01;Østfold;0119;Marker;0000;Hele kommunen;2815;616;1579;2195;0;0;615;1583;2198;1;6;2;12;
01;Østfold;0121;Rømskog;0000;Hele kommunen;511;102;316;418;0;0;104;318;422;0;0;2;4;
01;Østfold;0122;Trøgstad;0000;Hele kommunen;3888;790;2181;2971;0;0;789;2184;2973;1;5;6;25;
01;Østfold;0123;Spydeberg;0000;Hele kommunen;4209;917;2329;3246;2;2;907;2327;3234;14;18;5;27;
01;Østfold;0124;Askim;0000;Hele kommunen;11405;2949;5378;8327;5;5;2948;5381;8329;15;20;24;95;
01;Østfold;0125;Eidsberg;0000;Hele kommunen;8247;1931;4127;6058;0;1;1937;4123;6060;0;1;23;57;
01;Østfold;0127;Skiptvet;0000;Hele kommunen;2678;478;1530;2008;0;0;475;1532;2007;4;12;1;13;
01;Østfold;0128;Rakkestad;0000;Hele kommunen;5964;772;3709;4481;1;1;761;3711;4472;13;20;6;31;
01;Østfold;0135;Råde;0000;Uoppgitt krets;6;4;0;4;0;0;843;0;843;20;20;6;6;
01;Østfold;0135;Råde;0001;Karlshus;3146;458;1992;2450;0;0;0;2048;2048;0;8;0;26;
01;Østfold;0135;Råde;0002;Saltnes;2253;393;1487;1880;0;1;0;1434;1434;0;6;0;8;
01;Østfold;0136;Rygge;0000;Uoppgitt krets;41;20;0;20;0;0;2411;0;2411;7;7;15;15;
01;Østfold;0136;Rygge;0001;Halmstad;3145;612;1773;2385;0;0;0;1758;1758;0;0;0;20;
