Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Antall stemmeberettigede;Godkjente stemmegivninger — Forhånd;Godkjente stemmegivninger - Valgting;Godkjente stemmegivninger - Totalt;Forkastede stemmegivninger - Forhånd;Forkastede stemmegivninger - Totalt;Godkjente stemmesedler - Forhånd;Godkjente stemmesedler - Valgting;Godkjente stemmesedler - Totalt;Forkastede stemmesedler - Forhånd;Forkastede stemmesedler - Totalt;Blanke stemmesedler - Forhånd;Blanke stemmesedler - Totalt;
01;Østfold;0101;Halden;0000;Hele kommunen;22632;2658;14144;16802;3;44;2665;14160;16825;16;31;10;107;
01;Østfold;0104;Moss;0000;Hele kommunen;22764;3748;13624;17372;0;35;3739;13625;17364;15;19;18;91;
01;Østfold;0105;Sarpsborg;0000;Hele kommunen;39631;5851;23411;29262;4;21;5843;23419;29262;33;71;26;172;
01;Østfold;0106;Fredrikstad;0000;Hele kommunen;57134;19076;24199;43275;2;15;19076;24123;43199;2;47;87;240;
01;Østfold;0111;Hvaler;0000;Hele kommunen;3419;707;2066;2773;1;1;706;2067;2773;3;7;2;5;
01;Østfold;0118;Aremark;0000;Hele kommunen;1116;133;792;925;0;0;133;790;923;0;0;2;5;
01;Østfold;0119;Marker;0000;Hele kommunen;2794;435;1766;2201;3;3;434;1763;2197;0;0;3;15;
01;Østfold;0121;Rømskog;0000;Hele kommunen;526;87;356;443;0;0;86;356;442;1;1;1;5;
01;Østfold;0122;Trøgstad;0000;Hele kommunen;3947;643;2364;3007;1;1;643;2370;3013;0;3;6;22;
01;Østfold;0123;Spydeberg;0000;Hele kommunen;4039;695;2519;3214;0;2;698;2521;3219;0;0;3;10;
01;Østfold;0124;Askim;0000;Hele kommunen;11150;2436;5808;8244;0;4;2434;5808;8242;5;5;11;69;
01;Østfold;0125;Eidsberg;0000;Hele kommunen;8130;1370;4616;5986;0;25;1369;4617;5986;2;2;12;41;
01;Østfold;0127;Skiptvet;0000;Hele kommunen;2627;470;1549;2019;0;0;469;1549;2018;0;0;1;12;
01;Østfold;0128;Rakkestad;0000;Hele kommunen;5828;624;3652;4276;1;4;620;3647;4267;4;5;1;14;
01;Østfold;0135;Råde;0000;Hele kommunen;5227;708;3571;4279;4;8;708;3570;4278;1;6;4;23;
01;Østfold;0136;Rygge;0000;Hele kommunen;11076;1917;6697;8614;0;5;1911;6698;8609;11;16;4;42;
01;Østfold;0137;Våler;0000;Hele kommunen;3429;360;2336;2696;0;0;362;2326;2688;0;0;0;12;
01;Østfold;0138;Hobøl;0000;Hele kommunen;3569;479;2351;2830;0;0;478;2374;2852;0;0;1;10;
02;Akershus;0211;Vestby;0000;Hele kommunen;10889;1985;6934;8919;0;27;1986;6949;8935;6;22;6;36;
02;Akershus;0213;Ski;0000;Hele kommunen;20523;3829;13122;16951;3;39;3835;13131;16966;5;15;11;54;
02;Akershus;0214;Ås;0000;Hele kommunen;11791;2307;7367;9674;0;44;2307;7368;9675;4;9;17;50;
02;Akershus;0215;Frogn;0000;Hele kommunen;11293;3186;6388;9574;11;20;3190;6390;9580;20;31;10;36;
02;Akershus;0216;Nesodden;0000;Hele kommunen;12595;3906;6692;10598;2;12;3908;6698;10606;4;10;10;41;
02;Akershus;0217;Oppegård;0000;Hele kommunen;18625;3939;12130;16069;2;14;3932;12138;16070;17;18;15;55;
02;Akershus;0219;Bærum;0000;Hele kommunen;79277;21471;45904;67375;26;109;21483;45960;67443;59;130;71;192;
02;Akershus;0220;Asker;0000;Hele kommunen;38963;10660;22373;33033;19;57;10659;22377;33036;3;14;43;104;
02;Akershus;0221;Aurskog-Høland;0000;Hele kommunen;11197;1503;7381;8884;1;1;1503;7356;8859;8;9;17;52;
02;Akershus;0226;Sørum;0000;Hele kommunen;11191;1645;7583;9228;0;0;1640;7590;9230;11;15;11;51;
02;Akershus;0227;Fet;0000;Hele kommunen;7718;1262;5099;6361;1;6;1260;5099;6359;3;5;2;18;
