Tid,GodkjenteProsent,PolitParti,Region
2013 2013,28.6,03 Høyre,0111 Hvaler (-2019)
2017 2017,27.2,03 Høyre,0111 Hvaler (-2019)
2013 2013,3.6,04 Kristelig Folkeparti,0111 Hvaler (-2019)
2017 2017,2.6,04 Kristelig Folkeparti,0111 Hvaler (-2019)
2013 2013,1.7,05 Senterpartiet,0111 Hvaler (-2019)
2017 2017,6.7,05 Senterpartiet,0111 Hvaler (-2019)
2013 2013,3.0,06 Sosialistisk Venstreparti,0111 Hvaler (-2019)
2017 2017,4.5,06 Sosialistisk Venstreparti,0111 Hvaler (-2019)
2013 2013,4.0,07 Venstre,0111 Hvaler (-2019)
2017 2017,2.6,07 Venstre,0111 Hvaler (-2019)
2013 2013,2.2,08 Miljøpartiet de Grønne,0111 Hvaler (-2019)
2017 2017,2.5,08 Miljøpartiet de Grønne,0111 Hvaler (-2019)
2013 2013,0.8,55 Rødt,0111 Hvaler (-2019)
2017 2017,2.7,55 Rødt,0111 Hvaler (-2019)
2013 2013,28.2,01 Arbeiderpartiet,0118 Aremark (-2019)
2017 2017,18.8,01 Arbeiderpartiet,0118 Aremark (-2019)
2013 2013,14.8,02 Fremskrittspartiet,0118 Aremark (-2019)
2017 2017,11.2,02 Fremskrittspartiet,0118 Aremark (-2019)
2013 2013,16.0,03 Høyre,0118 Aremark (-2019)
2017 2017,15.1,03 Høyre,0118 Aremark (-2019)
2013 2013,9.6,04 Kristelig Folkeparti,0118 Aremark (-2019)
2017 2017,9.1,04 Kristelig Folkeparti,0118 Aremark (-2019)
2013 2013,21.2,05 Senterpartiet,0118 Aremark (-2019)
2017 2017,38.2,05 Senterpartiet,0118 Aremark (-2019)
2013 2013,1.8,06 Sosialistisk Venstreparti,0118 Aremark (-2019)
2017 2017,1.6,06 Sosialistisk Venstreparti,0118 Aremark (-2019)
2013 2013,3.0,07 Venstre,0118 Aremark (-2019)
2017 2017,1.1,07 Venstre,0118 Aremark (-2019)
