Tid,GodkjenteProsent,PolitParti,Region
2013 2013,23.0,02 Fremskrittspartiet,0631 Flesberg (-2019)
2017 2017,21.2,02 Fremskrittspartiet,0631 Flesberg (-2019)
2013 2013,23.8,03 Høyre,0631 Flesberg (-2019)
2017 2017,18.3,03 Høyre,0631 Flesberg (-2019)
2013 2013,2.6,04 Kristelig Folkeparti,0631 Flesberg (-2019)
2017 2017,1.8,04 Kristelig Folkeparti,0631 Flesberg (-2019)
2013 2013,18.5,05 Senterpartiet,0631 Flesberg (-2019)
2017 2017,30.4,05 Senterpartiet,0631 Flesberg (-2019)
2013 2013,1.9,06 Sosialistisk Venstreparti,0631 Flesberg (-2019)
2017 2017,2.9,06 Sosialistisk Venstreparti,0631 Flesberg (-2019)
2013 2013,3.6,07 Venstre,0631 Flesberg (-2019)
2017 2017,2.0,07 Venstre,0631 Flesberg (-2019)
2013 2013,2.0,08 Miljøpartiet de Grønne,0631 Flesberg (-2019)
2017 2017,2.3,08 Miljøpartiet de Grønne,0631 Flesberg (-2019)
2013 2013,0.7,55 Rødt,0631 Flesberg (-2019)
2017 2017,1.2,55 Rødt,0631 Flesberg (-2019)
2013 2013,31.5,01 Arbeiderpartiet,0632 Rollag (-2019)
2017 2017,24.0,01 Arbeiderpartiet,0632 Rollag (-2019)
2013 2013,9.2,02 Fremskrittspartiet,0632 Rollag (-2019)
2017 2017,11.7,02 Fremskrittspartiet,0632 Rollag (-2019)
2013 2013,18.3,03 Høyre,0632 Rollag (-2019)
2017 2017,12.5,03 Høyre,0632 Rollag (-2019)
2013 2013,3.6,04 Kristelig Folkeparti,0632 Rollag (-2019)
2017 2017,3.2,04 Kristelig Folkeparti,0632 Rollag (-2019)
2013 2013,29.3,05 Senterpartiet,0632 Rollag (-2019)
2017 2017,42.0,05 Senterpartiet,0632 Rollag (-2019)
2013 2013,1.9,06 Sosialistisk Venstreparti,0632 Rollag (-2019)
2017 2017,1.9,06 Sosialistisk Venstreparti,0632 Rollag (-2019)
2013 2013,2.9,07 Venstre,0632 Rollag (-2019)
2017 2017,2.4,07 Venstre,0632 Rollag (-2019)
2013 2013,1.0,08 Miljøpartiet de Grønne,0632 Rollag (-2019)
2017 2017,0.6,08 Miljøpartiet de Grønne,0632 Rollag (-2019)
2013 2013,0.2,55 Rødt,0632 Rollag (-2019)
2017 2017,0.7,55 Rødt,0632 Rollag (-2019)
2013 2013,27.4,01 Arbeiderpartiet,0633 Nore og Uvdal (1962-2019)
2017 2017,22.5,01 Arbeiderpartiet,0633 Nore og Uvdal (1962-2019)
2013 2013,17.1,02 Fremskrittspartiet,0633 Nore og Uvdal (1962-2019)
2017 2017,14.6,02 Fremskrittspartiet,0633 Nore og Uvdal (1962-2019)
2013 2013,17.4,03 Høyre,0633 Nore og Uvdal (1962-2019)
2017 2017,15.6,03 Høyre,0633 Nore og Uvdal (1962-2019)
2013 2013,3.9,04 Kristelig Folkeparti,0633 Nore og Uvdal (1962-2019)
2017 2017,2.3,04 Kristelig Folkeparti,0633 Nore og Uvdal (1962-2019)
2013 2013,27.2,05 Senterpartiet,0633 Nore og Uvdal (1962-2019)
2017 2017,38.8,05 Senterpartiet,0633 Nore og Uvdal (1962-2019)
2013 2013,2.5,06 Sosialistisk Venstreparti,0633 Nore og Uvdal (1962-2019)
2017 2017,3.2,06 Sosialistisk Venstreparti,0633 Nore og Uvdal (1962-2019)
2013 2013,1.6,07 Venstre,0633 Nore og Uvdal (1962-2019)
2017 2017,0.4,07 Venstre,0633 Nore og Uvdal (1962-2019)
2013 2013,1.0,08 Miljøpartiet de Grønne,0633 Nore og Uvdal (1962-2019)
2017 2017,1.6,08 Miljøpartiet de Grønne,0633 Nore og Uvdal (1962-2019)
2013 2013,0.4,55 Rødt,0633 Nore og Uvdal (1962-2019)
2017 2017,0.5,55 Rødt,0633 Nore og Uvdal (1962-2019)
2013 2013,33.8,01 Arbeiderpartiet,0701 Horten (2002-2019)
2017 2017,32.8,01 Arbeiderpartiet,0701 Horten (2002-2019)
2013 2013,17.0,02 Fremskrittspartiet,0701 Horten (2002-2019)
2017 2017,15.0,02 Fremskrittspartiet,0701 Horten (2002-2019)
2013 2013,28.9,03 Høyre,0701 Horten (2002-2019)
2017 2017,27.1,03 Høyre,0701 Horten (2002-2019)
2013 2013,3.6,04 Kristelig Folkeparti,0701 Horten (2002-2019)
2017 2017,2.5,04 Kristelig Folkeparti,0701 Horten (2002-2019)
2013 2013,1.6,05 Senterpartiet,0701 Horten (2002-2019)
2017 2017,5.1,05 Senterpartiet,0701 Horten (2002-2019)
2013 2013,4.8,06 Sosialistisk Venstreparti,0701 Horten (2002-2019)
2017 2017,6.2,06 Sosialistisk Venstreparti,0701 Horten (2002-2019)
2013 2013,4.8,07 Venstre,0701 Horten (2002-2019)
2017 2017,3.5,07 Venstre,0701 Horten (2002-2019)
2013 2013,3.0,08 Miljøpartiet de Grønne,0701 Horten (2002-2019)
2017 2017,3.5,08 Miljøpartiet de Grønne,0701 Horten (2002-2019)
2013 2013,1.1,55 Rødt,0701 Horten (2002-2019)
2017 2017,3.1,55 Rødt,0701 Horten (2002-2019)
2013 2013,34.8,01 Arbeiderpartiet,0702 Holmestrand (-2017)
2017 2017,30.0,01 Arbeiderpartiet,0702 Holmestrand (-2017)
2013 2013,17.6,02 Fremskrittspartiet,0702 Holmestrand (-2017)
2017 2017,15.8,02 Fremskrittspartiet,0702 Holmestrand (-2017)
2013 2013,26.6,03 Høyre,0702 Holmestrand (-2017)
2017 2017,27.8,03 Høyre,0702 Holmestrand (-2017)
2013 2013,4.7,04 Kristelig Folkeparti,0702 Holmestrand (-2017)
2017 2017,3.7,04 Kristelig Folkeparti,0702 Holmestrand (-2017)
2013 2013,3.9,05 Senterpartiet,0702 Holmestrand (-2017)
2017 2017,7.8,05 Senterpartiet,0702 Holmestrand (-2017)
2013 2013,4.0,06 Sosialistisk Venstreparti,0702 Holmestrand (-2017)
2017 2017,4.8,06 Sosialistisk Venstreparti,0702 Holmestrand (-2017)
2013 2013,3.8,07 Venstre,0702 Holmestrand (-2017)
2017 2017,3.6,07 Venstre,0702 Holmestrand (-2017)
2013 2013,2.1,08 Miljøpartiet de Grønne,0702 Holmestrand (-2017)
2017 2017,2.6,08 Miljøpartiet de Grønne,0702 Holmestrand (-2017)
2013 2013,0.7,55 Rødt,0702 Holmestrand (-2017)
2017 2017,2.2,55 Rødt,0702 Holmestrand (-2017)
2013 2013,29.1,01 Arbeiderpartiet,0704 Tønsberg (1988-2019)
2017 2017,28.2,01 Arbeiderpartiet,0704 Tønsberg (1988-2019)
2013 2013,16.7,02 Fremskrittspartiet,0704 Tønsberg (1988-2019)
2017 2017,15.1,02 Fremskrittspartiet,0704 Tønsberg (1988-2019)
2013 2013,31.8,03 Høyre,0704 Tønsberg (1988-2019)
2017 2017,31.1,03 Høyre,0704 Tønsberg (1988-2019)
2013 2013,5.5,04 Kristelig Folkeparti,0704 Tønsberg (1988-2019)
2017 2017,4.3,04 Kristelig Folkeparti,0704 Tønsberg (1988-2019)
2013 2013,1.8,05 Senterpartiet,0704 Tønsberg (1988-2019)
2017 2017,4.4,05 Senterpartiet,0704 Tønsberg (1988-2019)
2013 2013,4.8,06 Sosialistisk Venstreparti,0704 Tønsberg (1988-2019)
2017 2017,6.0,06 Sosialistisk Venstreparti,0704 Tønsberg (1988-2019)
2013 2013,5.5,07 Venstre,0704 Tønsberg (1988-2019)
2017 2017,4.5,07 Venstre,0704 Tønsberg (1988-2019)
2013 2013,2.8,08 Miljøpartiet de Grønne,0704 Tønsberg (1988-2019)
2017 2017,3.0,08 Miljøpartiet de Grønne,0704 Tønsberg (1988-2019)
2013 2013,0.7,55 Rødt,0704 Tønsberg (1988-2019)
2017 2017,2.0,55 Rødt,0704 Tønsberg (1988-2019)
2013 2013,30.7,01 Arbeiderpartiet,0709 Larvik (1988-2017)
2017 2017,29.2,01 Arbeiderpartiet,0709 Larvik (1988-2017)
2013 2013,23.7,02 Fremskrittspartiet,0709 Larvik (1988-2017)
2017 2017,19.5,02 Fremskrittspartiet,0709 Larvik (1988-2017)
2013 2013,26.6,03 Høyre,0709 Larvik (1988-2017)
2017 2017,27.5,03 Høyre,0709 Larvik (1988-2017)
2013 2013,5.6,04 Kristelig Folkeparti,0709 Larvik (1988-2017)
2017 2017,4.4,04 Kristelig Folkeparti,0709 Larvik (1988-2017)
2013 2013,2.4,05 Senterpartiet,0709 Larvik (1988-2017)
2017 2017,6.0,05 Senterpartiet,0709 Larvik (1988-2017)
2013 2013,2.9,06 Sosialistisk Venstreparti,0709 Larvik (1988-2017)
2017 2017,4.3,06 Sosialistisk Venstreparti,0709 Larvik (1988-2017)
2013 2013,3.7,07 Venstre,0709 Larvik (1988-2017)
2017 2017,3.4,07 Venstre,0709 Larvik (1988-2017)
2013 2013,2.3,08 Miljøpartiet de Grønne,0709 Larvik (1988-2017)
2017 2017,2.6,08 Miljøpartiet de Grønne,0709 Larvik (1988-2017)
2013 2013,0.6,55 Rødt,0709 Larvik (1988-2017)
2017 2017,1.6,55 Rødt,0709 Larvik (1988-2017)
2013 2013,,01 Arbeiderpartiet,0710 Sandefjord (2017-2019)
2017 2017,25.9,01 Arbeiderpartiet,0710 Sandefjord (2017-2019)
2013 2013,,02 Fremskrittspartiet,0710 Sandefjord (2017-2019)
2017 2017,17.2,02 Fremskrittspartiet,0710 Sandefjord (2017-2019)
2013 2013,,03 Høyre,0710 Sandefjord (2017-2019)
2017 2017,33.3,03 Høyre,0710 Sandefjord (2017-2019)
2013 2013,,04 Kristelig Folkeparti,0710 Sandefjord (2017-2019)
2017 2017,3.6,04 Kristelig Folkeparti,0710 Sandefjord (2017-2019)
2013 2013,,05 Senterpartiet,0710 Sandefjord (2017-2019)
2017 2017,5.6,05 Senterpartiet,0710 Sandefjord (2017-2019)
2013 2013,,06 Sosialistisk Venstreparti,0710 Sandefjord (2017-2019)
2017 2017,4.5,06 Sosialistisk Venstreparti,0710 Sandefjord (2017-2019)
2013 2013,,07 Venstre,0710 Sandefjord (2017-2019)
2017 2017,4.0,07 Venstre,0710 Sandefjord (2017-2019)
2013 2013,,08 Miljøpartiet de Grønne,0710 Sandefjord (2017-2019)
2017 2017,2.7,08 Miljøpartiet de Grønne,0710 Sandefjord (2017-2019)
2013 2013,,55 Rødt,0710 Sandefjord (2017-2019)
2017 2017,1.4,55 Rødt,0710 Sandefjord (2017-2019)
2013 2013,32.5,01 Arbeiderpartiet,0711 Svelvik (1964-2019)
2017 2017,28.2,01 Arbeiderpartiet,0711 Svelvik (1964-2019)
2013 2013,24.5,02 Fremskrittspartiet,0711 Svelvik (1964-2019)
2017 2017,21.4,02 Fremskrittspartiet,0711 Svelvik (1964-2019)
2013 2013,28.9,03 Høyre,0711 Svelvik (1964-2019)
2017 2017,29.1,03 Høyre,0711 Svelvik (1964-2019)
2013 2013,2.9,04 Kristelig Folkeparti,0711 Svelvik (1964-2019)
2017 2017,2.2,04 Kristelig Folkeparti,0711 Svelvik (1964-2019)
2013 2013,2.2,05 Senterpartiet,0711 Svelvik (1964-2019)
2017 2017,7.8,05 Senterpartiet,0711 Svelvik (1964-2019)
2013 2013,1.8,06 Sosialistisk Venstreparti,0711 Svelvik (1964-2019)
2017 2017,3.4,06 Sosialistisk Venstreparti,0711 Svelvik (1964-2019)
2013 2013,3.7,07 Venstre,0711 Svelvik (1964-2019)
2017 2017,2.5,07 Venstre,0711 Svelvik (1964-2019)
2013 2013,2.0,08 Miljøpartiet de Grønne,0711 Svelvik (1964-2019)
2017 2017,2.5,08 Miljøpartiet de Grønne,0711 Svelvik (1964-2019)
2013 2013,0.3,55 Rødt,0711 Svelvik (1964-2019)
2017 2017,1.6,55 Rødt,0711 Svelvik (1964-2019)
2013 2013,31.3,01 Arbeiderpartiet,0713 Sande (Vestfold) (-2019)
2017 2017,26.9,01 Arbeiderpartiet,0713 Sande (Vestfold) (-2019)
2013 2013,23.6,02 Fremskrittspartiet,0713 Sande (Vestfold) (-2019)
2017 2017,21.6,02 Fremskrittspartiet,0713 Sande (Vestfold) (-2019)
2013 2013,26.5,03 Høyre,0713 Sande (Vestfold) (-2019)
2017 2017,27.2,03 Høyre,0713 Sande (Vestfold) (-2019)
2013 2013,3.7,04 Kristelig Folkeparti,0713 Sande (Vestfold) (-2019)
2017 2017,2.4,04 Kristelig Folkeparti,0713 Sande (Vestfold) (-2019)
2013 2013,5.8,05 Senterpartiet,0713 Sande (Vestfold) (-2019)
2017 2017,10.0,05 Senterpartiet,0713 Sande (Vestfold) (-2019)
2013 2013,2.4,06 Sosialistisk Venstreparti,0713 Sande (Vestfold) (-2019)
2017 2017,3.4,06 Sosialistisk Venstreparti,0713 Sande (Vestfold) (-2019)
2013 2013,4.4,07 Venstre,0713 Sande (Vestfold) (-2019)
2017 2017,3.6,07 Venstre,0713 Sande (Vestfold) (-2019)
2013 2013,1.2,08 Miljøpartiet de Grønne,0713 Sande (Vestfold) (-2019)
2017 2017,2.1,08 Miljøpartiet de Grønne,0713 Sande (Vestfold) (-2019)
2013 2013,0.3,55 Rødt,0713 Sande (Vestfold) (-2019)
2017 2017,1.4,55 Rødt,0713 Sande (Vestfold) (-2019)
2013 2013,32.5,01 Arbeiderpartiet,0714 Hof (-2017)
2017 2017,26.7,01 Arbeiderpartiet,0714 Hof (-2017)
2013 2013,16.6,02 Fremskrittspartiet,0714 Hof (-2017)
2017 2017,15.6,02 Fremskrittspartiet,0714 Hof (-2017)
2013 2013,23.9,03 Høyre,0714 Hof (-2017)
2017 2017,24.5,03 Høyre,0714 Hof (-2017)
2013 2013,3.4,04 Kristelig Folkeparti,0714 Hof (-2017)
2017 2017,3.0,04 Kristelig Folkeparti,0714 Hof (-2017)
2013 2013,11.1,05 Senterpartiet,0714 Hof (-2017)
2017 2017,16.7,05 Senterpartiet,0714 Hof (-2017)
2013 2013,4.0,06 Sosialistisk Venstreparti,0714 Hof (-2017)
2017 2017,4.5,06 Sosialistisk Venstreparti,0714 Hof (-2017)
2013 2013,3.8,07 Venstre,0714 Hof (-2017)
2017 2017,2.3,07 Venstre,0714 Hof (-2017)
2013 2013,2.8,08 Miljøpartiet de Grønne,0714 Hof (-2017)
2017 2017,3.4,08 Miljøpartiet de Grønne,0714 Hof (-2017)
2013 2013,0.9,55 Rødt,0714 Hof (-2017)
2017 2017,1.9,55 Rødt,0714 Hof (-2017)
2013 2013,25.1,01 Arbeiderpartiet,0716 Re (2002-2019)
2017 2017,22.9,01 Arbeiderpartiet,0716 Re (2002-2019)
2013 2013,18.5,02 Fremskrittspartiet,0716 Re (2002-2019)
2017 2017,17.8,02 Fremskrittspartiet,0716 Re (2002-2019)
2013 2013,24.2,03 Høyre,0716 Re (2002-2019)
2017 2017,24.0,03 Høyre,0716 Re (2002-2019)
2013 2013,7.8,04 Kristelig Folkeparti,0716 Re (2002-2019)
2017 2017,6.1,04 Kristelig Folkeparti,0716 Re (2002-2019)
2013 2013,14.3,05 Senterpartiet,0716 Re (2002-2019)
2017 2017,17.9,05 Senterpartiet,0716 Re (2002-2019)
2013 2013,2.9,06 Sosialistisk Venstreparti,0716 Re (2002-2019)
2017 2017,3.9,06 Sosialistisk Venstreparti,0716 Re (2002-2019)
2013 2013,3.5,07 Venstre,0716 Re (2002-2019)
2017 2017,2.2,07 Venstre,0716 Re (2002-2019)
2013 2013,1.6,08 Miljøpartiet de Grønne,0716 Re (2002-2019)
2017 2017,2.6,08 Miljøpartiet de Grønne,0716 Re (2002-2019)
2013 2013,0.4,55 Rødt,0716 Re (2002-2019)
2017 2017,1.2,55 Rødt,0716 Re (2002-2019)
2013 2013,26.9,01 Arbeiderpartiet,0722 Nøtterøy (-2017)
2017 2017,26.7,01 Arbeiderpartiet,0722 Nøtterøy (-2017)
2013 2013,16.8,02 Fremskrittspartiet,0722 Nøtterøy (-2017)
2017 2017,13.9,02 Fremskrittspartiet,0722 Nøtterøy (-2017)
2013 2013,35.7,03 Høyre,0722 Nøtterøy (-2017)
2017 2017,35.6,03 Høyre,0722 Nøtterøy (-2017)
2013 2013,4.3,04 Kristelig Folkeparti,0722 Nøtterøy (-2017)
2017 2017,3.2,04 Kristelig Folkeparti,0722 Nøtterøy (-2017)
2013 2013,1.1,05 Senterpartiet,0722 Nøtterøy (-2017)
2017 2017,3.4,05 Senterpartiet,0722 Nøtterøy (-2017)
2013 2013,4.6,06 Sosialistisk Venstreparti,0722 Nøtterøy (-2017)
2017 2017,5.5,06 Sosialistisk Venstreparti,0722 Nøtterøy (-2017)
2013 2013,5.2,07 Venstre,0722 Nøtterøy (-2017)
2017 2017,4.8,07 Venstre,0722 Nøtterøy (-2017)
2013 2013,3.4,08 Miljøpartiet de Grønne,0722 Nøtterøy (-2017)
2017 2017,3.7,08 Miljøpartiet de Grønne,0722 Nøtterøy (-2017)
2013 2013,0.8,55 Rødt,0722 Nøtterøy (-2017)
2017 2017,2.0,55 Rødt,0722 Nøtterøy (-2017)
2013 2013,26.1,01 Arbeiderpartiet,0723 Tjøme (-2017)
2017 2017,23.9,01 Arbeiderpartiet,0723 Tjøme (-2017)
2013 2013,20.2,02 Fremskrittspartiet,0723 Tjøme (-2017)
2017 2017,17.5,02 Fremskrittspartiet,0723 Tjøme (-2017)
2013 2013,33.1,03 Høyre,0723 Tjøme (-2017)
2017 2017,32.3,03 Høyre,0723 Tjøme (-2017)
2013 2013,3.0,04 Kristelig Folkeparti,0723 Tjøme (-2017)
2017 2017,2.3,04 Kristelig Folkeparti,0723 Tjøme (-2017)
2013 2013,1.4,05 Senterpartiet,0723 Tjøme (-2017)
2017 2017,5.3,05 Senterpartiet,0723 Tjøme (-2017)
2013 2013,4.5,06 Sosialistisk Venstreparti,0723 Tjøme (-2017)
2017 2017,5.1,06 Sosialistisk Venstreparti,0723 Tjøme (-2017)
2013 2013,4.3,07 Venstre,0723 Tjøme (-2017)
2017 2017,5.0,07 Venstre,0723 Tjøme (-2017)
2013 2013,5.2,08 Miljøpartiet de Grønne,0723 Tjøme (-2017)
2017 2017,4.7,08 Miljøpartiet de Grønne,0723 Tjøme (-2017)
2013 2013,0.9,55 Rødt,0723 Tjøme (-2017)
2017 2017,2.4,55 Rødt,0723 Tjøme (-2017)
2013 2013,37.6,01 Arbeiderpartiet,0728 Lardal (-2017)
2017 2017,33.4,01 Arbeiderpartiet,0728 Lardal (-2017)
2013 2013,14.5,02 Fremskrittspartiet,0728 Lardal (-2017)
2017 2017,15.2,02 Fremskrittspartiet,0728 Lardal (-2017)
2013 2013,20.5,03 Høyre,0728 Lardal (-2017)
2017 2017,17.4,03 Høyre,0728 Lardal (-2017)
2013 2013,5.0,04 Kristelig Folkeparti,0728 Lardal (-2017)
2017 2017,2.8,04 Kristelig Folkeparti,0728 Lardal (-2017)
2013 2013,13.0,05 Senterpartiet,0728 Lardal (-2017)
2017 2017,20.9,05 Senterpartiet,0728 Lardal (-2017)
2013 2013,2.5,06 Sosialistisk Venstreparti,0728 Lardal (-2017)
2017 2017,2.8,06 Sosialistisk Venstreparti,0728 Lardal (-2017)
2013 2013,2.6,07 Venstre,0728 Lardal (-2017)
2017 2017,1.9,07 Venstre,0728 Lardal (-2017)
2013 2013,1.8,08 Miljøpartiet de Grønne,0728 Lardal (-2017)
2017 2017,1.8,08 Miljøpartiet de Grønne,0728 Lardal (-2017)
2013 2013,0.6,55 Rødt,0728 Lardal (-2017)
2017 2017,1.5,55 Rødt,0728 Lardal (-2017)
2013 2013,37.4,01 Arbeiderpartiet,0805 Porsgrunn (-2019)
2017 2017,35.6,01 Arbeiderpartiet,0805 Porsgrunn (-2019)
2013 2013,19.7,02 Fremskrittspartiet,0805 Porsgrunn (-2019)
2017 2017,17.3,02 Fremskrittspartiet,0805 Porsgrunn (-2019)
2013 2013,24.9,03 Høyre,0805 Porsgrunn (-2019)
2017 2017,22.8,03 Høyre,0805 Porsgrunn (-2019)
2013 2013,5.1,04 Kristelig Folkeparti,0805 Porsgrunn (-2019)
2017 2017,3.9,04 Kristelig Folkeparti,0805 Porsgrunn (-2019)
2013 2013,1.1,05 Senterpartiet,0805 Porsgrunn (-2019)
2017 2017,5.3,05 Senterpartiet,0805 Porsgrunn (-2019)
2013 2013,3.6,06 Sosialistisk Venstreparti,0805 Porsgrunn (-2019)
2017 2017,5.3,06 Sosialistisk Venstreparti,0805 Porsgrunn (-2019)
2013 2013,3.7,07 Venstre,0805 Porsgrunn (-2019)
2017 2017,3.2,07 Venstre,0805 Porsgrunn (-2019)
2013 2013,2.3,08 Miljøpartiet de Grønne,0805 Porsgrunn (-2019)
2017 2017,2.6,08 Miljøpartiet de Grønne,0805 Porsgrunn (-2019)
2013 2013,1.1,55 Rødt,0805 Porsgrunn (-2019)
2017 2017,2.4,55 Rødt,0805 Porsgrunn (-2019)
2013 2013,35.8,01 Arbeiderpartiet,0806 Skien (-2019)
2017 2017,33.1,01 Arbeiderpartiet,0806 Skien (-2019)
2013 2013,20.7,02 Fremskrittspartiet,0806 Skien (-2019)
2017 2017,17.5,02 Fremskrittspartiet,0806 Skien (-2019)
2013 2013,23.5,03 Høyre,0806 Skien (-2019)
2017 2017,22.4,03 Høyre,0806 Skien (-2019)
2013 2013,7.2,04 Kristelig Folkeparti,0806 Skien (-2019)
2017 2017,5.6,04 Kristelig Folkeparti,0806 Skien (-2019)
2013 2013,1.9,05 Senterpartiet,0806 Skien (-2019)
2017 2017,7.0,05 Senterpartiet,0806 Skien (-2019)
2013 2013,3.3,06 Sosialistisk Venstreparti,0806 Skien (-2019)
2017 2017,5.7,06 Sosialistisk Venstreparti,0806 Skien (-2019)
2013 2013,3.4,07 Venstre,0806 Skien (-2019)
2017 2017,2.8,07 Venstre,0806 Skien (-2019)
2013 2013,2.0,08 Miljøpartiet de Grønne,0806 Skien (-2019)
2017 2017,2.6,08 Miljøpartiet de Grønne,0806 Skien (-2019)
2013 2013,0.7,55 Rødt,0806 Skien (-2019)
2017 2017,1.9,55 Rødt,0806 Skien (-2019)
2013 2013,41.4,01 Arbeiderpartiet,0807 Notodden (1913-2019)
2017 2017,33.6,01 Arbeiderpartiet,0807 Notodden (1913-2019)
2013 2013,16.1,02 Fremskrittspartiet,0807 Notodden (1913-2019)
2017 2017,15.4,02 Fremskrittspartiet,0807 Notodden (1913-2019)
2013 2013,18.2,03 Høyre,0807 Notodden (1913-2019)
2017 2017,17.6,03 Høyre,0807 Notodden (1913-2019)
2013 2013,7.6,04 Kristelig Folkeparti,0807 Notodden (1913-2019)
2017 2017,6.0,04 Kristelig Folkeparti,0807 Notodden (1913-2019)
2013 2013,4.3,05 Senterpartiet,0807 Notodden (1913-2019)
2017 2017,14.3,05 Senterpartiet,0807 Notodden (1913-2019)
2013 2013,2.9,06 Sosialistisk Venstreparti,0807 Notodden (1913-2019)
2017 2017,4.3,06 Sosialistisk Venstreparti,0807 Notodden (1913-2019)
2013 2013,3.6,07 Venstre,0807 Notodden (1913-2019)
2017 2017,2.4,07 Venstre,0807 Notodden (1913-2019)
2013 2013,2.3,08 Miljøpartiet de Grønne,0807 Notodden (1913-2019)
2017 2017,1.6,08 Miljøpartiet de Grønne,0807 Notodden (1913-2019)
2013 2013,1.4,55 Rødt,0807 Notodden (1913-2019)
2017 2017,3.3,55 Rødt,0807 Notodden (1913-2019)
2013 2013,39.3,01 Arbeiderpartiet,0811 Siljan (-2019)
2017 2017,33.8,01 Arbeiderpartiet,0811 Siljan (-2019)
2013 2013,18.8,02 Fremskrittspartiet,0811 Siljan (-2019)
2017 2017,13.8,02 Fremskrittspartiet,0811 Siljan (-2019)
2013 2013,18.1,03 Høyre,0811 Siljan (-2019)
2017 2017,17.8,03 Høyre,0811 Siljan (-2019)
2013 2013,7.0,04 Kristelig Folkeparti,0811 Siljan (-2019)
2017 2017,4.2,04 Kristelig Folkeparti,0811 Siljan (-2019)
2013 2013,6.3,05 Senterpartiet,0811 Siljan (-2019)
2017 2017,19.3,05 Senterpartiet,0811 Siljan (-2019)
2013 2013,3.8,06 Sosialistisk Venstreparti,0811 Siljan (-2019)
2017 2017,3.8,06 Sosialistisk Venstreparti,0811 Siljan (-2019)
2013 2013,2.4,07 Venstre,0811 Siljan (-2019)
2017 2017,2.1,07 Venstre,0811 Siljan (-2019)
2013 2013,1.5,08 Miljøpartiet de Grønne,0811 Siljan (-2019)
2017 2017,1.9,08 Miljøpartiet de Grønne,0811 Siljan (-2019)
2013 2013,0.4,55 Rødt,0811 Siljan (-2019)
2017 2017,1.5,55 Rødt,0811 Siljan (-2019)
2013 2013,34.6,01 Arbeiderpartiet,0814 Bamble (-2019)
2017 2017,31.2,01 Arbeiderpartiet,0814 Bamble (-2019)
2013 2013,25.2,02 Fremskrittspartiet,0814 Bamble (-2019)
2017 2017,22.6,02 Fremskrittspartiet,0814 Bamble (-2019)
2013 2013,23.3,03 Høyre,0814 Bamble (-2019)
2017 2017,22.4,03 Høyre,0814 Bamble (-2019)
2013 2013,6.5,04 Kristelig Folkeparti,0814 Bamble (-2019)
2017 2017,4.7,04 Kristelig Folkeparti,0814 Bamble (-2019)
2013 2013,2.1,05 Senterpartiet,0814 Bamble (-2019)
2017 2017,8.9,05 Senterpartiet,0814 Bamble (-2019)
2013 2013,1.9,06 Sosialistisk Venstreparti,0814 Bamble (-2019)
2017 2017,3.6,06 Sosialistisk Venstreparti,0814 Bamble (-2019)
2013 2013,2.6,07 Venstre,0814 Bamble (-2019)
2017 2017,2.3,07 Venstre,0814 Bamble (-2019)
2013 2013,1.3,08 Miljøpartiet de Grønne,0814 Bamble (-2019)
2017 2017,1.5,08 Miljøpartiet de Grønne,0814 Bamble (-2019)
2013 2013,0.9,55 Rødt,0814 Bamble (-2019)
2017 2017,1.5,55 Rødt,0814 Bamble (-2019)
2013 2013,38.4,01 Arbeiderpartiet,0815 Kragerø (1960-2019)
2017 2017,32.2,01 Arbeiderpartiet,0815 Kragerø (1960-2019)
2013 2013,18.0,02 Fremskrittspartiet,0815 Kragerø (1960-2019)
2017 2017,14.9,02 Fremskrittspartiet,0815 Kragerø (1960-2019)
2013 2013,20.8,03 Høyre,0815 Kragerø (1960-2019)
2017 2017,21.7,03 Høyre,0815 Kragerø (1960-2019)
2013 2013,7.0,04 Kristelig Folkeparti,0815 Kragerø (1960-2019)
2017 2017,5.8,04 Kristelig Folkeparti,0815 Kragerø (1960-2019)
2013 2013,2.0,05 Senterpartiet,0815 Kragerø (1960-2019)
2017 2017,9.5,05 Senterpartiet,0815 Kragerø (1960-2019)
2013 2013,3.6,06 Sosialistisk Venstreparti,0815 Kragerø (1960-2019)
2017 2017,4.4,06 Sosialistisk Venstreparti,0815 Kragerø (1960-2019)
2013 2013,3.9,07 Venstre,0815 Kragerø (1960-2019)
2017 2017,3.1,07 Venstre,0815 Kragerø (1960-2019)
2013 2013,2.7,08 Miljøpartiet de Grønne,0815 Kragerø (1960-2019)
2017 2017,2.6,08 Miljøpartiet de Grønne,0815 Kragerø (1960-2019)
2013 2013,2.0,55 Rødt,0815 Kragerø (1960-2019)
2017 2017,4.7,55 Rødt,0815 Kragerø (1960-2019)
2013 2013,41.7,01 Arbeiderpartiet,0817 Drangedal (-2019)
2017 2017,31.0,01 Arbeiderpartiet,0817 Drangedal (-2019)
2013 2013,14.7,02 Fremskrittspartiet,0817 Drangedal (-2019)
2017 2017,13.0,02 Fremskrittspartiet,0817 Drangedal (-2019)
2013 2013,15.5,03 Høyre,0817 Drangedal (-2019)
2017 2017,12.1,03 Høyre,0817 Drangedal (-2019)
2013 2013,8.4,04 Kristelig Folkeparti,0817 Drangedal (-2019)
2017 2017,6.0,04 Kristelig Folkeparti,0817 Drangedal (-2019)
2013 2013,9.2,05 Senterpartiet,0817 Drangedal (-2019)
